,Text
0,"@kunalb11 The future will be Hybrid Work. Yes, human interaction is very very important, but a lot can be achieved with good quality Video Conferencing. Offices should be places where we go to meet our colleagues and have fun. Emails and phone calls can be taken from home."
1,2 positive cases at work in the span of 3 days. i wanna work from home again pls. lemme me be the hermit again pls.
2,"@Reuters 😅😅😅 these people should get real jobs, pay is better and can work from home too. No need to roam the streets like a beggar 😅"
3,"Kesehatan dan keselamatan bangsa Indonesia adalah yang utama utk itu Menkominfo mengimbau masyarakat menerapkan pembatasan kerja di kantor dan lebih menerapkan bekerja dari rumah atau work from home (WFH) secara bergantian seiring meningkatnya kasus Covid-19

Jokowi Lawan Pandemi https://t.co/xTxaETGaBX"
4,"@pianxtalib Nak gi mana tu pian? Work from home la brader, kita stream macam dulu dulu"
5,"Turkish President Erdogan tests positive for Covid-19, says symptoms mild

February 05, 2022 9:47 PMMr Erdogan, who is vaccinated, said he would continue to work from home.

https://t.co/TdVEcSyGIJ https://t.co/9WVqiPn0wS"
6,"""unfortunately many employers are either unaware or still insistent on MCs… especially for workers who cannot work from home""
Good lord what about those workers who don't get paid if they don't show up to work?"
7,"one of the coolest things about hari raya that i've come to realise is that the saying ""if you matter enough, they'll make time for you"" rings true. even on weekdays when you just got home from a long day of school or work, your family will *still* go visiting"
8,"askST: Do I need an MC if I get Covid-19 and feel well, but cannot work from home? https://t.co/NZTq4KVrgC"
9,"""Those who cannot work from home should not be required to submit an MC. Employers should treat their period of absence, while self-isolating at home, as paid sick leave.""
ROFL #1"
10,"Do I need an MC if I get Covid-19 and feel well, but cannot work from home? https://t.co/nL2UYq1TmJ"
11,"askST: Do I need an MC if I get Covid-19 and feel well, but cannot work from home? https://t.co/UzlbsfM8hs"
12,You are welcome 🤣🤣 #zoom #workfromhome https://t.co/IAmUFoCVdb
13,"just realized after *two years* of work from home that my work email signature still includes my desk phone number. I wonder how many times it has sat there, ringing, alone in an empty newsroom"
14,Got home 25min ago from a 10 hour shoot day. Load shedding will happen now till 22:30. Then again from 4-6am &amp; I have to be at work at 7am but first I have to battle my way through morning traffic caused by load shedding. Okay then.
15,"Kesian dia. Have been waiting for me to reach home from work. But i baru sampai rumah dah kene kluar balik cos theres abit of problem at the lab. Then i checked cctv, he just sit there. 😭 https://t.co/kAwwRbsNok"
16,"Hong Kong expands government work-from-home plans as Omicron bites
https://t.co/TqeoRWzqoG https://t.co/6cjcMYTKn2"
17,Hong Kong expands government work-from-home plans as Omicron bites https://t.co/gEeP69kLAb https://t.co/VZZzbf8kKU
18,"ibuku : ""kok ada di bawain laptop?""
aku    : kerja

pan kita sakit bukan berarti kerjanya juga libur. balik lagi work from home 🥲"
19,"@hwsoh Lol work from home and no intermingling, how to appear 🤣"
20,"It finally arrived. Got the Health Risk Warning (HRW) alert from our Ministry of Health.

Submitted my negative ART result that I took this morning, but headed home from work to self-isolate. Fortunately, I don’t have much site work in my portfolio. I can work from home. https://t.co/zmq8YWLsHM"
21,"#Ransomware is moving faster than critical infrastructure operators.
#cybersecurity #itsolutions #workfromhome #datasecurity #technopals

https://t.co/u35nMfzvyU"
22,I got present from my sister who work oversea and just return home today. https://t.co/ofgU18cEH8
23,"High Risk Warning Order journey day 1..... 

Immediately after coming back home from work, negative

Lets see again tomorrow morning before i leave for work"
24,"Swiss start relaxing pandemic measures

February 02, 2022 10:20 PMQuarantine rules and a work-from-home order will end on Thursday, the government says.

https://t.co/aWfbO1opjo https://t.co/sKDDDKUUrp"
25,惊闻旁边同事中招，喜提work from home...
26,"📚平日の風景👧
娘を迎えに行き、仕事をしながら、娘も英語の本を読書中、えらい
#平和なり🕊

🏡Work from home👨‍💻
One of routine is to pick my daughter and study &amp; work together in the same room space #coexist

🏠平衡工作和家庭 #预算👧
生孩子难，但成就感加倍 https://t.co/tGATiud5fa"
27,Train ride home from work.
28,Self-Testing and Trace &amp; Isolate strategy via #TraceTogether apps work very well for Singapore workforce. Work-from-home default ended last week and returning normal work hour. https://t.co/e2YbQqjHQD
29,Today is lazy day. We just work from home and stay at home
30,"Crowds return to office areas as Singapore marks the end of work-from-home default 

 https://t.co/M3uVghn5BI"
31,"Crowds return to office areas as Singapore marks the end of work-from-home default 

 https://t.co/E5O7LWWwQJ"
32,"Setelah hampir 2tahun work from home. Happy working :’) (@ Public Bank Tower in Johor Bahru, Johor) https://t.co/orMCCb7Rk5 https://t.co/LkEfUV7AMC"
33,"@hendygolf Mate - a great business 👏 we have taken so many of these here in Singapore, our kids come home with packs of 50 from the school.Many business here requiring testing to be done daily to attend work, I returned from 🇦🇺 recently had to do7 tests in 7days upon returning. 👃"
34,"@senthil15892 @Daic_selva @BiggBoss5Tamil @AegonTargaryenZ @chandiransunda1 @TeejayDeenash 

In this BB season time, whenever manager arrange for internal meeting.... always #KulichituVaren moments only, especially #WorkFromHome😂😂😂"
35,"It's a bittersweet feeling as we inch closer to 2022. One one hand, yay to a new year, new beginning, new you, new me and all that.

But meh as we say goodbye to work from home and say hello to my tiny, claustrophobic workstation (full-time some time next year I bet). 😫 https://t.co/hUAslZDulW"
36,Yeah. Manfaatkan sisa sisa work from home https://t.co/2Db9yHqa4H
37,"Just got screened by cops at Tanjong Pagar :) they ask me what I doing :) I say I going home from work :) he ask me what work I do :) I say I gym trainer :) he say wa nice bro I also lift, what workout you like to do :)"
38,"To your lie. 2 months later, your parents return home from overseas work. And asked you again to prove why u say it's Cindy.

The day before your elder sibling once again suspect parent will ask again. So they advise you to keep narrative and you will not be judged.

Your two"
39,"If I lie and want to admit it, I can admit my lie in 3 microsecond on Twitter

No need to wait until 3 months

Dunno how to use social media and email is it? So young dunno how to work from home meh?"
40,"Finally able to clear my 'own' work when working from home. 😅 phew... 

#worklifebalance #wfh #WorkFromHome"
41,disuruh isolasi mandiri selama 2 minggu lagi di asrama haji sama puskesmas walaupun anosmia. untung work from home.
42,This is how I work from home these days... https://t.co/1rMwir4b2L
43,As we move towards “Work from home” evolution… @ D'phenomenal Pte Ltd https://t.co/g89xp1TVro
44,@suvaathy giving me roach killing jobs right after I reach home from work? Bro
