,Text
0,@kosherjellyfish Ugh I just realised I haven’t been to the library in so long they now use QR codes and I never noticed 🤦🏻‍♀️
1,"我好像沒有發過我出去玩的打扮
所以這是我平常的穿搭 https://t.co/KNMGDcClTX"
2,"@alexi_quinn BTW, tried tipping you via this PayLah QR code but it doesn't work. My app says ""can't recognize this QR code"""
3,我真的是有那麼矮 https://t.co/VCMeUcKMyN
4,Idkk whyyyyy some kedai2 makan yg owned by org2 yg berumur or even org melayu sendiri tknk put the initiative to start using the QR code as a mode of payment. Alasan dorg bagi is bcos dorg tk pandai. ADUI govt penat2 buat ad ans even campaign to teach yall. Apa jadi?
5,"Cadangan majlis kahwin akan datang, cetak kod QR akaun bank pengantin dua mempelai dan letak di setiap meja.

Sambil letak doa pengantin. Jika tak mahu beri duit, boleh doakan."
6,"Coca-Cola has an ""AR Photo Experience"" setup on Orchard Road (just a frame overlay, really). But the QR codes to download the photos aren't working 🤷🏻‍♂️ https://t.co/U8WAzeOJRf"
7,"@pony_hk Flying into oz, you just need to do a clinic administered ART. Which is less invasive and less expensive. You'll need to get your vaccinations notarised on
https://t.co/DM4HXqQY57

My suggestion is to print them all out with the qr code."
8,Tengok patient lain pakai iphone 13 samsung lipat tapi tak reti scan QR code or takde internet aterr geram je aku tengok. Baik bagi aku je phone tu. 😆
9,"Another 100 sejadah for the care packs! Please refer to the poster for the updated items that I’m collecting. Items need to be delivered by 27 February 2022.

I’m still collecting funds to purchase meals for our migrant brothers. Scan the QR code on the poster to donate. https://t.co/u0SuKKXuHJ"
10,@arctanno In lots of places in Singapore you can. The QR on each table is linked to its number too so the person serving knows where to serve
11,"helloo! my fyp team and i are looking for applicants for the rols of Eiza Sefira in our FYP film, 'The Framework'

if interested, please scan the QR code and apply. 

even retweeting this will help us a lot in finding the right person for the role! thank you https://t.co/DY3QMqff3e"
12,どこにも入れない=safe entry出来ないだろうなーと不安の中チャンギT3到着→safe entryがひとつもなくRaffles Clinic受付到着→受付でワクチン有効期限切れたからチェックイン出来ないと伝える→あんたどうやってここまで入ったの？とビックリされる😂Health DeclarationとQRでokでした。
13,A key milestone in the long history of collaboration between #Malaysia and #Indonesia - central banks @BNM_official and @bank_indonesia have launched a cross-border QR #payment linkage. https://t.co/pqp3KrO0r6
14,"Happy weekend, friends! Enjoy your time and our last #LunarNewYear NFT drop 🧧🌜

Scan the QR or click the link to claim: https://t.co/liFIiNiHWE

#CNY2022 #Giveaway #ChineseNewYear https://t.co/6W7Cp40sEc"
15,@Jiahow10 很會射喔
