,Text
0,Commentary: TraceTogether and SafeEntry shouldn’t be needed for entry into malls and low-risk areas https://t.co/fOOHpQ07Aw
1,"Instead of using cheap beacons to track people’s walking in/out of places automatically, @GovTechSG uses SafeEntry and builds this gantry for us… and people couldn’t exit until crowd built up and no one could go anywhere… how to safe-distancing? 不可能! https://t.co/McJvrGxN51"
2,@Cimrai We recent have an otter swim in my local SafeEntry pass. https://t.co/njCFhaqwRa
3,"its also now that safeentry should be retired. the entry exit points in malls, restaurants &amp; even beaches are frustrating. it doesn’t work &amp; the common ground’s that we’re reaching covid exhaustion"
4,"Saw this thread on r/sg discussing the awful SafeEntry gantries that are installed in some places, which made me remember a bad experience I had with one of those https://t.co/VMOgNSEGNB"
5,"カワウソ イズ バック

https://t.co/3MkRUK2arZ New SafeEntry Check-In Shows An Otter Swimming On Top If You're Cleared"
6,"本日TraceTogetherがアップデートされたと言うので早速対応……チェックイン画面にオッターが泳いでおった～‼️😆
#Covid29備忘録 #追跡アプリ
#TraceTogether #SafeEntry https://t.co/qcCdWh965r"
7,Capitol finally removed their problematic automated SafeEntry gantries! https://t.co/EikoDbx1CO
8,New systems is in place for entry/exit protocol at the mall as newly announced measure kick-in soon. #SafeEntry https://t.co/6vxrmBjF31
9,#singapore #shoppingcenter #safeentry #tracetogether #tracetogetherapp #tracetogethertoken #covidー19 @ Jurong Point Shopping Centre https://t.co/9VNPiC2WR0
10,PLUS THE CONSTANT EYE CONTACT PLS IF HE IS CATCALLING ME SOMEONE BETTER SUB ME FOR SAFEENTRY IMMA GET MY ORGANS RE ARRANGED TONIGHT 😵‍💫✨😵‍💫🤠
11,Abis ngerjain sekuriti kantor. Diem diem sambil jalan jongkok ngetap ke SafeEntry gateway. Dia sampe bingung Kok Tiba tiba bunyi sendiri.
12,"Astro - Our friendly guide at @Salesforce Singapore, keeping everyone safe with the #SafeEntry (National check-in system to facilitate Covid-19 contact tracing) https://t.co/qUXCt56jD0"
13,"The SafeEntry Gateway (SEGW) is a new check-in method that allows individuals to check in more quickly and seamlessly. It can also be used to check if the TraceTogether (TT) Token is working as intended. It will be deployed as additional mode of check-in.

#TraceTogetherapps https://t.co/r9INCakSzc"
14,"#Tracetogetherapps 

Check-in via #SafeEntry gateway android system. https://t.co/4t0poVEVYV"
15,(SEGW) #SafeEntry #gateway check-in for morning shift reporting. https://t.co/CgqFxDqLua
16,A bear bear will pop up and tell you if you're stupid enough to scan a non SafeEntry QR using TT https://t.co/0AZX4GkMZ8
