,Text
0,"We have Good News to end the 1st week of February🥳 

This week we've: 

🙌 Received a development grant from @NEARProtocol 
🙌 Increased network coverage for @tetu_io 
🙌 Released our social media report, January hacks and community questions blogs"
1,"My answer to Should we grant immunity to ISIS fighters if they return to their home countries, as an incentive to collapse ISIS from inside? https://t.co/wwlCDRewkV"
2,The Mirror Effect: Quora Answer: Should We Grant Immunity to ISIS Fig... https://t.co/1afIyXcnEW
3,"7/ NEAR has high potential, an incredible ecosystem and we're delighted to be a part of their journey 🚀💪 

Read more about our development grant from @NEARProtocol here: 

https://t.co/3Rja9ItwEW"
4,"2/ 

🚀 Received a development grant to build on @NEARProtocol 

🚀 Announced partnerships with @tetu_io and @Wing_Finance 

🚀 Collaborated with @Re7Capital on marketing content

🚀 Launched our first newsletter 

and so much more! 🙌

Read more here: https://t.co/I8Drb2IqZp"
5,She's the amazing woman I've seen but I couldn't be like her. She's the strongest I've found but I couldn't grant her anything. I prayed she will be granted jannah is the best thing I could done.
6,"@LukhanyoV How i wish many were as vocal during the 'irrationale' and abuse of 'unfettered' executive powers during the erstwhile President's reign.

Our constitution grants too much power to the Presidency. Zuma demonstrated that we can't always assume the Pres would put the country first"
7,@Imaginary_Ones this was inspired by books that i read to my goddaughter. i drew a crescent moon man carrying a bucket full of stars. he tiptoes on clouds so he doesn’t wake up sleeping children. today he’s visiting his favourite child to grant her good dreams for the night 🌙✨ https://t.co/uTGmxtGQ60
8,@HolttaOtto Ah I see! Thanks for the primer on how grants can support academics!  (#til ERC = European Research Council)
9,"May Allāh have mercy on Rayyan and grant his family patience and comfort.

The hashtag #الطفل_ريان (Little Rayyan) has made it to the top 3 most tweeted word today.

This boy has the world making duʿa for him. Our scholars are also dropping some serious gems for us to reflect on."
10,May Allah grant him the highest jannah https://t.co/2pxrEVAeHL
11,@NicoleArbour #istandwithjoerogan
12,"Innalillahiwainnailaihirojiun.. He is safe in Jannah now. 😭😭 May Allah grant Sabr to this Family 💔
AlFatehah. 
#heartbreakingnews #SaveRayan #alhamdulillahforeverything #yaallah"
13,"Innalillah, Rayan selamat keluar tapi beberapa minit kemudian dia meninggal dunia. May Allah grant him jannah amin #SaveRayan"
14,Me when i got the Sassa grant 3 times in 24 hours: https://t.co/Z6pFhVyv1W
15,"@FishmansLabs @flaviuc06 @mmgfk1030 @jeff_myriad @alexjmingolla @11Blockchain11 @caution_ru @Modapuka @AvocaDOGE_42069 @tanawatv19 @TheStoneYT @Felixlantelme @GalTabakman @EcomEngels @JJthesailor @rboronft On behalf of all of us being your first batch of whitelisted members, kindly grant us the OG roles!! We shall do our part as pioneers of the project to help get the community active and in good order!! Thank you so much!!"
16,"Based on Adam grant give and take book.
A discussion on three kinds of people in organizations.

Which kind of people succeed in long run?

Givers or takers or matchers.

Full discussion in following video

https://t.co/M4VOkPQB1W"
17,"Following the news that we received a development grant, we wanted to provide our community some amazing advantages of @NEARProtocol🚀: 

🙌 NEAR prides itself as developer-friendly 
🙌 NEAR offers scalability via sharding + shared security 
🙌 NEAR has a ceiling of 100,000 TPS"
18,Is there going to be Loadshedding 5 February 2022
19,"@Doranimated @sjoerddendaas And he wasn't identifying himself with the pass to gain access to the area, which do grants access for him. So, what gives?"
20,"2/6
STRONG Network + Support

NEARton also has partnerships with big boys like Big Brain Holdings and a grant from NEAR Foundation themselves.
https://t.co/VjKXGgg7YU

https://t.co/aHGImmGYJa"
21,"@CityPowerJhb @CityofJoburgZA  good day. It was laid shedding earlier from 10am to 12 pm coronationville,but then went off again at 12h20 until now . What is the possible cause if possible ?"
22,@Grant_Undead @UndeadBlocks It’s so exciting. Like nft form of l4d but better .
23,@LegionHoops Better than Jeremy Grant
24,"Happiest birthday to the “cute voice” @hakimi_ms. 🤭🍰 🎂 
I pray that u continue to be the wonderful person that u r and get everything u’ve ever dreamed of this year and always! 
😉🎈😉🎈😉🎈😉🎈
May Allah grant u good health, wealth &amp; age longevity. Insya’Allah. 🙏 🎁 💝"
25,@bapesclan PLEASE GRANT ME A WHITELIST SPOT PLEASEEEEEEE 😭😍
26,"God, grant me the chill."
27,"From the top 6 solutions presented today, the 3 winners will be eligible to win grant prizes💸 &amp; ecosystem support from @hedera @HBAR_foundation ✨

Join us on our Discord to stay updated on more such programs👇
https://t.co/l4bxIEszx9"
28,@nyaluvhani_ I see Prasa neh. But imagine the corruption in the social grants system
29,"Unveiling the DBS Foundation Social Enterprise Grant Awardees for 2021! https://t.co/LDxGEDf7Z2
#SEChampion https://t.co/ZfKh1K9OjS"
30,"https://t.co/JrBcoS144N
Today we are going to discuss on organization psycology book give and take by adam grant.

What is reciprocity (kodukal vangal) ?
2 real life stories
Introduction of characters
Givers, takers and matchers.

Which character is successful winner or loser?"
31,"@Grant_Undead @UndeadBlocks I grew up playing Zombie games, L4D was a lifestyle and a bonding activity for my friends and I. Hope I can become a part of this amazing project so I can relive my adolescence!"
32,"“This pleasing outcome reflects a combination of strong operating metrics and continued leasing momentum across the portfolio,"" COF fund manager and Centuria head of office Grant Nichols said. #reit #reitasiapac

https://t.co/k3mp6A8JCq"
33,🎉We are happy to announce that #SoulReborn has received a grant from @0xPolygon. https://t.co/pmfa0ZDw41
34,"Allah SWT knows your duaa inside your heart before you speak it. If you cannot word it together, then ask Allah to grant whats in your heart."
35,@david16ethans jerami grant would be great too bro
36,"The more interviews she grants, the more we see quotable thoughts and read about her bold aspirations. Contrary to the (corny) memes of the other camp. 

Pink is indeed refreshing. 🎀"
37,"“If you don't look back at yourself and think ‘Wow how stupid I was a year ago,’ then you have not learned much in the last year.” Adam Grant"
38,@BlueTerraNFT @QuantumTraders_ I love like to chill with my loved ones at the bahamas. please grant me the wishhh
39,"@feeezahhh Hi sis, may Allah grant syifa to your family. May He always keep you &amp; family under His Shade of Mercy &amp; Protection at all times. Aameen ♥️"
40,"إِنَّا ِلِلَّٰهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ
To the very bubbly, humorous warm-hearted Cik Mis whom everyone adores, May Allah grant you Jannatul Firdaus."
41,"This was such a fantastic experience to gain a deeper understanding of the federal grant writing process - and definitely couldn't have been in a more beautiful place! Highly recommend esp for grad students, post-docs, and early career PIs! https://t.co/NX3QjdzRyt"
42,"@BlueSpaceCanary @MikeIsaac pretty much all employee stock portfolios do that, but they also use that for stock grants projected in the future, so like someone promoted in 2021 will probably have gotten a 4 year stock package based on a price in the 300s"
