,Text
0,@ValueAnalyst1 @DavidSacks Everywhere is hiring. What recession ?
1,@AdiSurreyEnergy Think we headed to beat 2008 high gas prices before mother of recession hits https://t.co/9zAmSJxTqH
2,"@thetradingchick Are u a trader ie short-term or growth investor ie long-term investing horizon?  

I am a growth investor who 1st investing principles No leverage, No margin, ONLY invest using Investible cash...

I go for my safe haven $TSLA and ride magestically thru any stormy recession"
3,"We are NOT in recession. 

1) Oil/Yields are not dropping
2) PMI above 50
3) W5 is missing

Despite rates hike, it will take 1-2 years before it flows into the market.

Tweeted abt this 2 weeks ago, similar pattern as per previous recessions."
4,@AndreasSteno Count me in. Europe is done with such high energy prices - industrial recession to follow?
5,"@NirvanaStk @MrTeslaX @Tesla Sure you have a point but if recession really hits, I'll bet my last dollar that the $1000 phone maker has a much higher chance to survive than the $40 phone maker. Cheap doesn't mean it's better value."
6,"@wes61560714 @crossbordercap Means market participants are thinking the hike will be a mistake and cause curve inversion, which usually portend recession due to funding curve shift"
7,"Singapore's economy grew 7.2% in 2021, rebounding from recession the previous year: MTI advance estimates 

 https://t.co/46Knk5DGqD"
8,"Also not be blur sotong about world too.

As a top tier life coach, I can guide your whole family out of knowledge recession and show you the real world."
9,"In Greenwich, recovery from the pandemic recession came quickly https://t.co/xeuIpezObF"
10,Ifo Says Germany in 'Bottleneck Recession' as Confidence Falls https://t.co/vJPxZlKa2n
11,Japan Avoids Double-Dip Recession Amid Pandemic https://t.co/LlzC1qbOZN
12,"Understand history something #WashingtonDC Elites ignore, often rewrite. Wreckless #GovernmentSpending, #Bailouts, #LoanForgiveness on top #Deficit, #QuantitativeEasing &amp; #CurrencyManipulation will lead to #Inflation, #Recession &amp; #Depression. Nothing is FREE. Bills do come due! https://t.co/esz5GLxPQ6"
13,recession is real.
14,Satu dunia akan mengalami suatu kegawatan ekonomi terbesar dipanggil The Great Recession!
15,“The Great Recession.”
16,"Despite recession, Singapore’s property market surprises again with stellar new private home sales.

#Singapore 
#RealEstate https://t.co/lWP3rldlEl"
17,"@bryanboyer I belonged to e 2008 gang. Worked in a small firm under a tyrant supervisor. Left after a few months. Entered a big firm. Recession followed. Got retrenched. Found work in a small firm 1 year on. Serendipitous, found a lecturing post at my alma mater. Next year - post grad at 40."
18,"This is not a recession. It marked a structural transition. If we’re framing this as a recession, we’d imagine we’ll return to the precious normal. - Indy Johar."
19,"Global democracy in recession, well written article by @TheEconomist , reminds me of a book by @FareedZakaria The rise kf Illiberal democracy, a must read https://t.co/gV7RFfyUB3"
