,Text
0,"@advovolicious Julius I understand. Zuma was a total disaster. Unemployment was in the 20's with Thabo when he left. Everything follows from a large tax base. Cyril is equally a disaster. Zuma love is really an opinion, nothing really factual. Bad outweighs good. Cyril same"
1,"Last I heard, renewable enery was not the cause of unemployment, hunger, being cold  (😆) , nor the reason that fossil fuel exploration projects are stopped.
These projects are stopped as they do not meet environmental requirements."
2,"I mean, I’m engaging in good faith but if your assumption upon finding nothing is “info missing or self-employed - PROVE YOUR UNEMPLOYMENT” is kinda messed up"
3,"And, people of India got Demo, GST, country polarised on basis of religion, unemployment, crores of people pushed back into poverty, national assets sold. https://t.co/AkZMHKwteL"
4,@bitcoinfool But I don't think there will be a catastrophic widespread unemployment..
5,U.S. job growth beats expectations in January; unemployment rate at 4.0% https://t.co/a98EdgBevZ
6,@AyushSJ @kirubaakaran UNEMPLOYMENT is at record levels and you say jobs have been created ?
7,"@thesun516 Market 2 hari ini hectic di jam US om. Kemarin ada initial jobless claim, non farm productivity, unit labor cost, ECB press conference dan BoE gov speech. Hari ini ada non farm payrolls, unemployment rate dan average hourly earnings 😂😂"
8,Not how i want to spend my unemployment but it is what it is
9,@laevitas1 Just 0.1% more unemployment than expected and they shat in their pants 😂
10,"🇺🇸 Unemployment Rate (JAN)
Actual: 4%
Expected: 3.9%
Previous: 3.9%
https://t.co/Oo5Nu5VTxC"
11,"🇨🇦 Unemployment Rate (JAN)
Actual: 6.5%
Expected: 6.2%
Previous: 0.1%
https://t.co/Oo5Nu5VTxC"
12,"Heads Up:🇺🇸 Unemployment Rate (JAN) due at 13:30 GMT (15min)
Expected: 3.9%
Previous: 3.9%
https://t.co/Oo5Nu5Wrna"
13,"Heads Up:🇨🇦 Unemployment Rate (JAN) due at 13:30 GMT (15min)
Expected: 6.2%
Previous: 5.9%
https://t.co/Oo5Nu5VTxC"
14,Those 4rein teachers just replaced those unemployed SAn teachers. Anc government will never win the fight against unemployment in SA. 💔 https://t.co/0fs8KdNCGM
15,"Driven by a decrease in rural unemployment, India's unemployment rate fell to 6.57% in January, the lowest since March last year. https://t.co/KoDrWsxKyi"
16,@CyrilRamaphosa Singenaphi thina? You should be more worried about unemployment rate. You are busy telling us about other countries who are not concerned about us 🚮🚮🚮
17,Labour experts split on whether Singapore will introduce unemployment benefits for PMEs https://t.co/IeqNtLBuPv MOST of the...
