,Text
0,Nk tnye spe2 yg taw .. klu sinovac xamek booster .. my sejahtera akn berubah .. ade x kesukaran utk kemana2 .. ?? #kompius
1,"The mix-and-match booster approach induced stronger antibody protection against both the Delta and Omicron variants, compared with a third dose of Sinovac's vaccine, known as CoronaVac, the study showed. https://t.co/EcNuzkt3pX via @stcom #DORSCON #Coronavirus"
2,"@shafiqbuang Aku pun tak pasti. Baca macam Pharmaniaga ni sound ke apa, terus KKM keluarkan pilihan booster jenis Sinovac."
3,@kakiaki1005 自分も様子見してます。下手に3本目を急いで打っても、馬政府や星政府(仕事で行く可能性あり)がSinovac boosterのワクパスの有効期限を短くする可能性があるので。
4,@kamayNewsMPB @BuletinTV3 Betul ke kalau vaksin sinovac kita kena bayar? Yang free cuma AZ dan Pfizer? @DGHisham
5,"@wahyu_zaki Knape xambik pfizer yuyu.. i think ambik pfizer.. ayie bosster pfizer , 1 dan 2nd sinovac.. lps ambik bosster rehat or tido.. jgn buat ap2.."
6,Terima sinovac secara walk in. Ayuhh https://t.co/derip5r8Wd
7,aft sinovac reached home then k.o HAHHA
8,"📍PPV Persada📍
Siapa belum dapat vaccine appointment atau yang pernah postpone.. Boleh walk in je.. They have pfizer, sinovac &amp; Az!! Cepat siap🎉 https://t.co/s291G9cR5h"
9,@fanafoat Power ae takde sakit apa hahahah Aku sinovac.. pilih pfizer la gitu.. mak aku sinovac gak. Dia takut gak nk cucuk. Dos 3. Hahah mula2 ckp tak wajib jp g si kj ckp yg sinovac kena amek gak ..😒
10,@fanafoat Booster kau ape brand?😂 tmpat kerja aku majority sinovac.. so mmg majority pun dh amek booster. Aku ngndung aritu tak amek lagi.. ni skrg aku tgh nk pilih az ke pfizer hahaha takut la nk amek.. dh kena panggil smlm aku reject dulu ckp sakit. Hahah
11,"Hong Kong refuses to disclose data on Covid-19 patient vaccine types, despite concerns over Sinovac Omicron efficacy – HKFP https://t.co/h04SehdWdR"
