,Text
0,"Wordle 233 3/6

🟦🟦⬛⬛⬛
⬛🟧🟦⬛🟦
🟧🟧🟧🟧🟧"
1,"$GSKY 崩れても直ぐに持ち直すね👦☁️
みんなの心理的な不安も無くなっただろうね。ここから上昇していくだろうね👦☁️ $SHN も同じく上げていくだろうね。先ずは関連プロジェクトのスタートを優先👦☁️勿論、 $GCAKE の梃入れは忘れたらあかんぞ👦☁️ふぉっふぉっふぉ👦☁️"
2,"@g_yadon 成班男人嘅聚會 &lt;- ""是推聚嗎?"""
3,卡迪夫輸球on9波 #LIVCAR
4,呢腳俾紅都得啦 #LIVCAR
5,@econreporter “上推”
6,@econreporter me is illiterated
7,#推特小劇場 🇰🇷🇰🇵 https://t.co/GDunRWAFgk
8,@FREEDOMHAI 🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏🤏
9,@j4jerk 「唔自首即係承認自己持久力不足兩小時」
10,"Wordle 232 5/6

⬛⬛⬛⬛⬛
⬛⬛🟧🟦⬛
⬛⬛🟧⬛⬛
🟧⬛🟧🟧🟧
🟧🟧🟧🟧🟧"
11,Ending my self imposed SHN today. Clap clap clap.
12,@ruyapic 情報格差とは恐ろしいもので今出来る人は $SHN を仕込んでいることでしょう👦☁️気付いている人のみの特権だね👦☁️
13,救到！！
14,#CHEPLY  加時25分鐘十二碼🤗🤗🤗
15,$SHN ホルダーは2/10 日本時間 15:00PMでスナップショットが取られて保有枚数と同じ枚数の $GCAKE を貰えます✨ $SHN かなり安くなっているのでお買い得ですし $GCAKE も貰えるので一石二鳥👦☁️ https://t.co/YOmaypyVoa
16,想玩🥺🥺🥺 https://t.co/fDxYP736CE
17,尋晚曼聯今晚車仔？🤔🤔🤔
18,喂呀～～ https://t.co/fH14UyHSvq
19,@ryokoni @RubberBelll 「寄幾十盒比 @RubberBelll  等佢安心食女～」
20,"@Keebaby_Chan 例如：如果曼聯贏波，迪基亞有70%機會cleansheet, 然後計返如果場波迪基亞cleansheet, 曼聯贏波嘅機會有幾大咁"
21,Steamdeck 好大部😮 https://t.co/PN6Tdb3Ank
22,"Wordle 231 6/6

⬛🟦⬛⬛⬛
⬛⬛🟦⬛🟦
⬛⬛🟧🟦⬛
🟧⬛🟧⬛⬛
🟧⬛🟧⬛⬛
🟧🟧🟧🟧🟧"
23,"@RubberBelll ""東橫feel的inn"""
24,"@bigbiggas 諗起佬訊嘅""如何戴冷帽而不似化療康復者""鐵三角"
25,"因為見太多撚樣攞啲數據斷章取義散佈假消息 而去重溫數學或然率,   
Binomial Theorem &amp; Bayes’ Theorem是咪會考Maths 東西?"
26,@FREEDOMHAI 一千蚊算係乜吖講呢啲...
27,"@biaojiezheng @rossikwan @pybobo &lt;涼薄&gt;冷靜D照下鏡, 睇下自己個肚腩, 同埋望下你一日三餐食咗幾多垃圾食物先啦

世界好公平, 如果人人都身體健康長命百歲會天下大亂 世上總要有你D咁既短命種&lt;/涼薄&gt;"
28,@biaojiezheng was born in 悲煎嘅都唔提悲煎~
29,@FREEDOMHAI @biaojiezheng 西朝鮮也是朝鮮
30,"@biaojiezheng 花椰菜～
#來宮城吧"
31,"@fire_grandma ""SOD 女子社員系列"""
32,@beepbeep__boop 🎶Nando's 沒練習太耐 感覺都追不回來～ https://t.co/VK735Ir7Ke
33,@beepbeep__boop 老麥/Tim記/肚餓傑克/蘭度G
34,"唔想升win11, 但微軟迫我升，好大壓力

//唔想升職，但條女迫我升，好大壓力
https://t.co/TkyfltA0JJ
- 分享自 LIHKG 討論區"
35,"@shippou07 餐廳

好在唔算太messy"
36,@chingyuen_ 買多個 death star ... 轟呀～
37,本地&amp;馬來西亞同事興致勃勃咁話要玩撈起，韓國同事&amp;me一副「你們搞甚麼飛機」的樣子
38,"屌

Wordle 230 X/6

🟦⬛⬛⬛🟦
🟦🟦⬛⬛⬛
⬛🟦🟦⬛🟦
⬛🟧🟧🟧⬛
⬛🟧🟧🟧⬛
🟧🟧🟧🟧⬛"
39,🎶第五波 將會有疫情~ 我也為你高興~ https://t.co/lisUyAY2fS
40,@ryokoni 大波妹咭game&lt;- name pls🙏🙏
41,@biaojiezheng 地鐵染疫方發覺 袁國勇何幼稚~~
42,No Gas No Guts https://t.co/wZcNDsGL2A
43,"@bigbiggas ""乜你fo敦倫人妻先生,,,,"""
44,@FREEDOMHAI @abeleung 一直都有
45,@Wong666V https://t.co/2Q82zPSty1
46,@FREEDOMHAI @abeleung https://t.co/vDry9jZlCd
47,@hatanohime 黃香!!!
48,"@biaojiezheng @bigbiggas ""推特係一個用假名講真話的社交平台"""
