,Text
0,@SoudanNFT_LAG @Project_Ririsu @SoudanNFT @TheOwl23094551 @Booyah1314 hope i win!
1,@jesslyn_limm @theothersideNFT @TheOwl23094551 @Booyah1314 @vickedmemer see you on the other side
2,@OttoSuwenNFT @TastyBonesNFT @TheOwl23094551 @Booyah1314 @vickedmemer looks tasty!
3,@battle_xr @SoudanNFT_LAG @SoudanNFT @TheOwl23094551 @Booyah1314 @vickedmemer lets goooo
4,@ApeGangNFT @TsukiNFT @TheOwl23094551 @Booyah1314 @vickedmemer Tsuki!
5,"A whodunnit to start the week. Origins of Omicron? Discovered in South Africa, it  wreaked havoc in more than 120 countries in 8 weeks, with 50 mutations over Alpha. We are still some way from the conclusion of this story. #OriginStory #WhatPYisReading

https://t.co/XaPIx5PZlK https://t.co/zKsCkQVZTr"
6,How long can Zuckerberg afford to bankroll the AR/VR market? https://t.co/nLXqHW3GsQ https://t.co/E9v16mgfwQ
7,@SynthiumK NOOOOO that’s sad alpha
8,On the importance of fine-scale sampling in detecting alpha taxonomic diversity among saproxylic invertebrates: A velvet worm (Onychophora: Opisthopatus amaxhosa ) template https://t.co/zd5AwKOx4S
9,"also here's a bunch of doodles of your ocs that I did about a month ago :3
plus some s u s wips of the drawing lmao,,
k i t t y d o g  a m o g u s  s u s -
heheheheheheheheh,, https://t.co/6GhDpjcjvI"
10,"Fanart for @kittydogcrystal! Happy birth KD! I really love your art, animations and music and you're one of my biggest inspirations :3 I hope you had a great birthday, I hope you like this! It's been very epic looking though your stuff and seeing the improvement over the years &lt;3 https://t.co/K0TZMLSOON"
11,@nanoblackbox @TabinekoKIKI @nanoverseHQ @TheOwl23094551 @Booyah1314 TSUBASA lets gooooo
12,@CryptoWallStr @projSOS @TheOwl23094551 @Booyah1314 @vickedmemer Lets gooooo
13,@SalsaTekila Win Liao lor I always tot u Chao Ang moh give me alpha
14,@s_x_and_alpha Beautiful 💖
15,"Hi Fam

I found about this Alpha project @izumiNFT_2 

Don’t miss it. #IzumiLove 
Discord: https://t.co/97ZzoZNHZ2"
16,@0xH_Alpha @WGMI_Industries @HAPEBEASTGANG @TounsiHeat @suize1797 @PumpkinSwerr @madritistax0 @RomainDsn @dorythenemo @woaicuan @Crypto_H94 @nmmmym @TheFatSeal_ Thank you!
17,@13ben13_ @Blloonsville Yes sirrr pls make oneee. Alpha ben!!
18,"⭐ CLAIM THE SPOTLIGHT AND 20K $GEAR PRIZE ⭐

MetaGear's Alpha Test Sub-Event: Create To Win is still going strong❗❗ Don’t miss this chance to win 20,000 $GEAR

This Sub-Event will end on February 15th, 2022 so you better speed up, guys 🏃‍♂️🏃‍♀️

👉 https://t.co/8YkuK7XRq7 https://t.co/dnBERNsRNU"
