,Text
0,"Happy Vesak Day 2020

#vesakday2020
#卫塞节
#circuitbreaker
#covid19
#singapore @ Singapore https://t.co/UoGejV7tz8"
1,"Mee Siam. Chinese mee siam has always appeal to me more and having access to one near me does help to get through this #circuitbreaker.
·····
Address: 佳香 Jia Xiang. 85 Redhill Lane, #01-35, Singapore… https://t.co/7Ogj2BF2ss"
2,"Did 10KM in 1 hr 29 mins. 5 KM in 40 mins. No good. 👎

Did a total of 190 KM during the circuit breaker period (did 2KM last night without recording or sharing). https://t.co/3eoKaY4Kyy"
3,Dinner on day 30 of the Singapore Circuit Breaker: braised cauliflower with assorted mushrooms and vegetables. Not forgetting the Tiramisu Gelato for dessert! @ Singapore https://t.co/TAfuhik6pt
4,"Day 30 of #circuitbreaker. Yang duk kata nak lari tu, dah lari belum? https://t.co/HuRuMmYCJT"
5,"#anotheryearhaspassed n it was #mybirthday #yesterday during this #circuitbreaker period in #singapore .. With #amazingsunset, #loveones n a #sweetsurprise of #birthdaycake  delivered cedelesingapore fr… https://t.co/ZTsMksIdqb"
6,"When it’s circuit breaker period and bubble tea shops are all closed 😢and your midnight craving for a cup of bubble tea strikes!!!!!! 

What do you do?!?! 🤔

Luckily I have a DIY Bubble Tea Kit from Party Settler 🥤… https://t.co/osPlR4KJho"
7,"How are y’all holding up?????? We can do this guys! The #CircuitBreaker is almost over now that we are in the month of May! Meanwhile, if you ever feel discouraged, don’t forget to check out classt1t5 short catch-up… https://t.co/3hXtMlM2wx"
8,"[BY THE BOOK] [AN INTERVIEW WITH KENNY LECK, OWNER OF BOOKSACTUALLY] Now out on https://t.co/YqMK03eI81. “Since temporarily closing its doors on 4th April due to the current circuit breaker measures, BooksActually has… https://t.co/IYSI2YXjcD"
9,Can’t wait to carry this bag out once circuit breaker is overrr (I featured it on my stories yesterday hehe)✨ Eliza Bucket Bag is already live on thesophialabel website and their Weekender Tote Bag will be launching… https://t.co/Tqb25yReGV
10,"How are y’all holding up?????? We can do this guys! The #CircuitBreaker is almost over now that we are in the month of May! Meanwhile, if you ever feel discouraged, don’t forget to check out classt1t5 short catch-up… https://t.co/nSyNZmYUEf"
11,5 Real Ways to Save Money on Takeaway Food and Delivery During the Circuit Breaker Period in Singapore  https://t.co/fY2ao9zQL2  #sgfood #news #singapore #sg #circuitbreaker #foodpanda #deals #sgdeals
12,Many days into #circuitbreaker and we still find a deserted  wheelockplace very eerie at #lunchtime #covid19 #coronavirus #stayhomestaysafe #stayhome #mask #packinglunch #washyourhands #socialdistancing #sovereign… https://t.co/ienllQnE88
13,Day 30 of the Singapore Circuit Breaker: Alphabet Pasta cooked in oriental style with chicken stock and vegetables! @ Singapore https://t.co/Qa2pNSOC0R
14,"Circuit Breaker Day 29

Can someone still recognize who am I?

Handsome or pretty?

@theyeobrothers

#theyeobrothers
#lilbunlilbao
#izacyeo 
#wittyizac 
#lilbun 
#jalenyeo 
#mightyjalen 
#lilbao 
#brothers… https://t.co/UuQEx5uRCk"
15,"L I L I A N L E E
of saywhatwithfriends 
Due to the circuit breaker (kinda like a lockdown) in Singapore, ABG have done our first interview through Zoom with a Singaporean card game designer who wants to use her… https://t.co/q4SPjjgGZx"
16,"@dkopsunintended tak tauuu...dorg xde inform pape lg...sbb sini circuit breaker sampai 1st june..tp xtau laaa dorg nk bkk border x lepas tu...😭 

aidil dpt hotel kt area masai...dia bwk moto sng sket...kalo kak kina nk blk kene rentas causeway dgn kaki kot...dah le pose...😥"
17,#Sunrise during a road run. #sgunited #circuitbreaker #circuitbreakersg #kilogrammerz #timeoutSG #visitSingapore #todayweexplore #yourSingapore #topSGshots #visualSingapore #whatisSingapore #letsexploreSG… https://t.co/qhM926cHSr
18,White Chrysanthemum Gelato. Raise your hands up if you are still waiting this #circuitbreaker to end and hopefully we can eat ice cream out in the open as well. For info: Birds of Paradise operations has suspended… https://t.co/yBGmeWx6pJ
19,#sinkodemayo #covid19 #circuitbreaker @ Chinatown https://t.co/7Nu28BFUn0
20,@RevRyeBread circuitbreaker ain't over
21,"Is it ok to have bread and wine at such time? 😜
.
•
.
•
.
#ikphoto #stayhome #redwine #breadandwine #circuitbreaker #shotoniphone #shotoniphone11promax #happy @ Woodlands, Singapore https://t.co/t9tJFNsVhj"
22,"CHECKMATE | Taken one year ago when I unboxed my then new phone on board Dream Cruises with the folks but posted today, the 29th day of the Circuit Breaker. So, what's up and what's next?

p.s. Happy birthday, phone!… https://t.co/vTfH9A4fcp"
23,Dinner on Day 29 of the Singapore Circuit Breaker: Mostly greens for dinner! Made a yogurt parfait with grapes and cornflakes! Really yummy! @ Singapore https://t.co/47LSsBEsQb
24,"Reason #1438 why you're not seeing results from your workouts: you're not pushing yourself hard enough.  ⁣⁣
⁣⁣
Look, I get it, it's challenging during Singapore Circuit Breaker/quarantine/isolation etc to make… https://t.co/eibqs4yYZw"
25,ok i’ll be blind until circuit breaker ends.
26,"Making full use of my time at home to do some detox so that I can enjoy life when Circuit Breaker ends.
Ima trying trulife_sg's Herbal System Detox, which contains natural ingredients such as Green Tea, Lotus Leaf,… https://t.co/7kxdbJjRO2"
27,Lunch today on Day 29 of Singapore Circuit Breaker: Green Tea Soba in Kimchi soup! @ Singapore https://t.co/MzSOTZYG0R
28,"“I sought the LORD, and he answered me; he delivered me from all my fears. “ 
-Psalm 34:4-

The positive side of Circuit Breaker—- More time with the family..… https://t.co/axnbhlYEFI"
29,"It can get a little overwhelming during this circuit breaker, but together we can spread #HopeWhileStayingHome"
30,"When Was The Last Time You Took An #ElevatorSelfie? It's Been A Month Of Circuit Breaker, Fuck It! I'm Travelling... From BDR to WMA (Bedroom To Washing Machine Area) LMAO #onemonthtogo @ Singapore https://t.co/y3drRhZqiA"
31,"Circuit Breaker Day 28

Let's sing songs to cheer the health care team and the affected patients. Hope they recover fast! 🙏 

We will fight this together!… https://t.co/r0NWmYj6CT"
32,"It can get a little overwhelming during this circuit breaker, but together we can spread #HopeWhileStayingHome"
33,"Concluded my 7th Webinar in 1 month #circuitbreaker cannot break me ! 
Thanks to @cisco Singapore ,it was fun n enlightening learning fm you too ! Thank you to harryew79 @audreythesque 
#flyartistes @ Singapore https://t.co/img4yqYHEi"
34,"Isn’t this the best time to customise your own new sofa, made-to-size? A few simple steps to have your sofa made as soon as the Circuit Breaker ends: measure the space you have, email us your dimensions, get a quote… https://t.co/dea1lu87Oh"
35,"New “NORMAL” // 😷

Start the second half of #CircuitBreaker in Singapore c/o myproteinsg with 58% off storewide using my link and code in bio.

Get your hands on a wide selection of workout supplements, foods,… https://t.co/LCLxzbdyeZ"
36,"SWIPE to see before and after.
.
Celebrate your family love story during the Circuit Breaker! We are hand-making these gorgeous illustrations to celebrate special dates like birthdays, Mother’s and Father’s Day, or… https://t.co/snMBLzEDNY"
37,"As part of the circuit breaker measures, it is mandatory to deploy SafeEntry system to log the check-in and check-out of employees and visitors.

#MotorEdgevantage
#JaguarWorkshop
#LandRoverWorkshop
#PorscheWorkshop
#VolvoWorkshop
#covid19
#safeentry

https://t.co/O3QCZP5kxA https://t.co/uHNiiWsYqs"
38,Tried to snap some #reflections seen on a balcony window &amp; this was the result. #sgunited #circuitbreaker #circuitbreakersg #kilogrammerz #timeoutSG #visitSingapore #todayweexplore #yourSingapore #topSGshots… https://t.co/rS7kBiAmri
39,"Udang Harimau Samrah Mentari
•
Masam2 Manis Ikan Kerapu 😆Marang Sekehper 😆
•
Nasi Panas tu penting yer. hahahahaha!
#HomeCooking #CircuitBreaker #Ramadhan #CircuitBreakerSG #2020 #StayHome #SGunited #HomeCook @… https://t.co/kmck246wz0"
40,"we were supposed to be done with circuit breaker tomorrow, but we'll all still be home. so instead, I want to bring you music I hope you'll like, with the help of my brother 🎸(you might've seen him play with me at… https://t.co/QukJIvyzPx"
41,"Current circuit breaker situation: When you have nothing else to let them do, you let them play around with whatever you can find at home.
.
So so glad they are both drinking the same formula milk now! #rhyszayan… https://t.co/ZuYjuJTZGP"
42,#goodevening keep watching god created #painting by #Nature during #eveningwalk #staycalm #stayfit #staysafe #stayhome during #covid19 #lockdown #circuitbreaker keep #smiling we can fight #together #sgunited @… https://t.co/bcak8ZH150
43,"Dinner on Day 28 of Singapore Circuit Breaker: Mixed vegetable soup with fish balls, coupled with steamed riceberry with chickpeas and kidney beans! @ Singapore https://t.co/Iw9p6rTMrc"
44,"Day 28 of #CircuitBreaker. Kawan-kawan di Malaysia, dah lari belum? https://t.co/3EVmkjRKDa"
45,"Made kaya the other day with 3 simple ingredients- egg, gula melaka and fresh coconut milk. If there is one thing that I have learnt during the whole Circuit Breaker, that is appreciation. Appreciating the effort… https://t.co/GeUzopX192"
46,"Sometimes, we need to take the Road less travelled 😊😉!!
.
#lonewolfrunner #SG55 #thomasquek #thomasquekrealestate #lonewolfrealtor #thomasquekassociates #CircuitBreaker #StaySafe #StayHome #StayHealthy #StayMasked… https://t.co/tWR7emMEuH"
47,Circuit breaker got me losing weight. 😕 @ Singapore https://t.co/2oZIyjcPr1
48,Look at this Circuit Breaker as a Time where We can Spend Quality Family Time with Our Love Ones. You Can Do Zoom Lunch or Dinner for Families Not Staying Together. We Deliver to Your Doorstep and All of You can Have… https://t.co/BtHys6ipU2
49,"#circuitbreakingorange day 28 - after the dust settles, how many of our favorite haunts will still be around? But still, halfway through the community circuit breaker, CCB! 

#legianbeach #bali circa 2017
#covid_19… https://t.co/wORsBjAwIk"
50,"Although, I'm not a star wars fan, but still happy star wars day to all star wars fans out there!!!
•
Mat the fourth be with you especially during this tough circuit breaker period.

https://t.co/MabOzq3I8B https://t.co/NgupRvg2Eb"
51,"Berbagai kegiatan, termasuk ujian untuk program kejar paket, kegiatan pelatihan dan ceramah keagamaan untuk PMI dapat dilaksanakan dengan lancar dan baik di tengah circuit breaker &amp; WFH yg diselenggarakan @KBRI… https://t.co/H5X6pr2gcO"
52,Rice cooker chicken katsudon for lunch on Day 28 of Singapore Circuit Breaker! @ Singapore https://t.co/1BB5UoCrDI
53,A nice family meal to kick off the new Mon-th. My Monday motivation. #2020 #lunchisserved #circuitbreaker #lovingmondays #maythe4thbewithyou @ Singapore https://t.co/sup3GrOPRD
54,"Yeah! It’s the last day of HBL!!
Time for holidays!!!!
.
•
.
At home still... emo in process..
.
•
.
•
.
#ikphoto #jaynekuan #shotoniphone #shotoniphone11promax #throwback #stayhome #circuitbreaker @ Gardens by the Bay https://t.co/8ZOEAIubJZ"
55,"Circuit Breaker Day 28

我们一起冲出去！

The Yeo Brothers

#theyeobrothers
#lilbunlilbao
#izacyeo 
#wittyizac 
#lilbun 
#jalenyeo 
#mightyjalen 
#lilbao 
#brothers 
#brotherlylove 
#bffsforever
#bff
#covid19… https://t.co/dBhvj3x3MG"
