,Text
0,Back in school physically after more than a year of home-based learning. who are these humans in my class... 😄
1,"MOE to announce later this week if home-based learning for primary schools will be extended

https://t.co/AnnsNfhsaX"
2,Bought a new chair for Home-Based Learning and Webinars. Preparing for New Normal where things would be done either at home or on the mountain. https://t.co/suNkCpwtuQ
3,It’s report writing time and I’m beginning to see some gaps between assessment tools and system during home based learning.
4,"@carmensuisse Sí, un porcentaje importante de los infectados (adultos) estaban vacunados. No son casos graves pero otro problema es la incidencia en la población más joven. Hay varios casos de niños infectados y de ahí que a partir de hoy, todos los colegios estamos en Home Based Learning."
5,"@rapplerdotcom We’ll get through this… work from home, home based learning, no dining out, we’ve been through this before and recovered. At least this time all retail shops are going to remain open."
6,"来てしまった。。

S'pore schools to start full home-based learning from May 19 amid spike in Covid-19 cases https://t.co/zJR6g9IIok"
7,"Indonesia smartphones +21% YoY in 3Q20 due to pent-up lockdown demand, home-based learning. Vivo still led, Xiaomi moved past Samsung to #3 via @febrianris @IDCIndo https://t.co/C0HJbUAjdl"
8,FML. Today home based learning and I’m in the grab otw to RP.. 💸💸
9,tak keje = every other day buat elearning kat rumah. i feel like im doing HBL at home. home based learning cos of HL 😅😝
10,Our #VR work from @NUSingapore! @NUSResearch VR supports experiential learning during home-based learning and remote teaching and learning. https://t.co/KA1CHLEkbk
11,I hate Home-Based Learning #IhateHBL @MOEsg
12,"#homebasedlearning has been a whirlwind of adventure. We're blessed to have the resources to think out of the 📦, delivering w/ Pre-K through engaging &amp; interactive ways w/ a one stop portal for easy access to books &amp; websites. #virtualclassroom #GEMSSingapore #EYPYGEMS https://t.co/jdRhvYB34P"
13,"In Pre-K, we encourage creativity &amp; togetherness while learning 🌈 in a bilingual manner. Inviting Ss &amp; families to snap photo/s wearing the same colour/s &amp; have fun! We also do it travelling in style, recognise these places in SG🇸🇬?@GEMS_Singapore #EYPYGEMS #homebasedlearning https://t.co/FIuitCuH9m"
14,"Blessed 51st month to our little princess Maeleth! Amen We are thankful that she’s happy to stay home, and has been doing so for many weeks already with no complaints. Such a lovable, precious girl ❤️ #circuitbreakersg #homebasedlearning https://t.co/VCpEAPPqTY"
15,Feeling the love from one of our PreK Ss. Continuing our usual morning greeting home based learning style! 💖🤗 @GEMS_Singapore #EYPYGEMS https://t.co/sNtqwVhOsg
16,"Home Based Learning on going.
#distancelearning #HBL #StayHomeStaySafe #StaySafeStayHome
#SGUnited https://t.co/EFqYrKqzAd"
17,"Good morning peeps! 

#catsofinstagram #photolab #stayhome #homebasedlearning #siberiancat #blessed #naughtycat @ Kingsford Waterbay - Upper Serangoon View https://t.co/p0cIWPJLxF"
18,"How has Home-Based Learning been?

Other than academic work, we're making it a point to focus on life ""learning"", too.

Here's a pic from yesterday. We got the older bro to teach the younger one. theangboys

A great… https://t.co/xn2vhrnnE5"
19,Singapore suspended the use of video-conferencing tool Zoom by teachers on Friday after “very serious incidents” occurred in the first week of a coronavirus lockdown that has seen schools move to home-based learning https://t.co/N1jZbViHU5
20,"A4: #masterychat I think even in just a week it’s shifted the community perspective for staff.. 

I am so very grateful for how hard how leadership team have work to put together a home-based learning site, my HOD for checking in with me everyday via email &amp; my awesome work pals! https://t.co/YYn8CKwGFV"
21,this is amazing!!! and this is also similar to one of the home-based learning activities we planned for the children ;u; https://t.co/JiV3BQzihI
22,"Book your tickets today!

We've got another performer at heart in the family 

After the circuit breaker home-based learning, theangboys here can probably put on a show by then haha..

Following his very first magic… https://t.co/w6aOx8JfcZ"
23,#StayHome #StayAtHome #HBL Home-based Learning @ Singapore https://t.co/dyjUkE5LAp
24,Home Based Learning Is SO BORINGGGGGG
25,#circuitbreaker day 2. Home based learning and staying home. My 6-yr imagining what’s outside! #StayStrong #COVID19 https://t.co/PQ94nKLX7I
26,"@ 10am: sisters, dad, uncle and brother in law are all on their own computers working from home &amp; even my 9yr old bro is on a laptop doing Home based learning....

Meanwhile me just wakes up and looks at this, mind voice speaks 
""Appo namma thaan veettle thandasora?"" HAHAH https://t.co/Lx2uawduJu"
27,Second day of #homebasedlearning planning done and I am 💯 focusing on @daveburke82 awesome advice “focus on connections this week - learning will come later” #werealllearning #makeconnections #relationshipsfirst
28,"1st day of our circuit breaker, 三月十五， rainy day &amp; parents juggling with your work at home and handling your kids from their last day of school before home based learning. Leave your meals to us - Botanict. We… https://t.co/9dVZK9CDk4"
29,"1st day of our circuit breaker, 三月十五， rainy day &amp; parents juggling with your work at home and handling your kids from their last day of school before home based learning. Leave your meals to us - Botanict. We… https://t.co/xMMYmzrPKT"
30,Home based learning is shit .
