,Text
0,Putting people on ventilator too early. Ventilator means death if you are over 70. Or the isolation which demoralises patient.Completely losing faith #Hospitals
1,"COVID Vaccines in Singapore are absolutely safe. 

No Death related to vaccines are recorded in every single hospital.

😉 https://t.co/zW59kZDmZC"
2,Cycling: Bernal leaves hospital after Colombia crash https://t.co/gkmCA8rR3y
3,"cant wait to graduate, but i also enjoy working in this hospital ._."
4,"@madinalover3 Min aik choty sy village se uth k Singapore General Hospital k ward no 6/7 ka Incharge hon Shukar Alhamdulillah to pher fakhar keyon na kron 
Barey barey cities k rehny waly log yahan enter b nae ho sakty han"
5,"@Ask__me__why @corona_cassidy @Bro90 @DrTinaPeers That vaxxed testing negative after 5 days. I know a ton a vaxxed people who didn’t, as they are still in hospital for example. It’s not a fact unfortunately, as much as you wish it."
6,"Fully utilised for today. Filled up with hospital and koperasi things, futsal and many more. Kaki i bengkak ni people kena sauk tadi aihhh"
7,What a day. Pergi hospital refill ubat pastu kena membebel ngan orang pharmacy sebab lambat ambil. Tahan je lah telinga. Nak hidup kan. 😓
8,"@donovanchoy Public spaces are owned by the state for the enjoyment of its rightful citizen- free immigration dilutes scarce public resources. Violation of shared property rights? A person that comes to land-scarce Singapore, crowd out the system - condos, trains, hospitals?"
9,"High number of patients at hospital emergency departments, most did not require emergency care: MOH https://t.co/PHwVeHAvsP null https://t.co/nr4aprli66"
10,"This happened at the bends leading to plus hiway towards Setia Tropika from Dato Onn. Ytjt kat situ memang ntah baper banyak keta ntah dah spin. Masa sampai hospital KPJ tu dah rasa tak sedap hati. Terus mengucap. Ehhhhh mmg betul la bila hati berbicara, sila dengar."
11,"@MothershipSG Why are we in this situation MOH?
Vaccine not working
2nd Dose not working
Booster not working
Child vaccine not working
Mask not working
VDS not working
Safe Distancing not working
Hospital crowded
Clinics crowded
Still listening to the same EXPERTS?
May ALLAH forgive us."
12,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/vAnMbbtcYr"
13,@syidoo27 Syida dekat hospital mane?
14,"High number of patients at hospital emergency departments, most did not need urgent care: MOH https://t.co/1jzgyLSdmA"
15,"MOH asks mild Covid-19 cases to recover at home, hospital A&amp;Es seeing 'long queues &amp; waiting times' https://t.co/F9mDaDXVPl"
16,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/qvMv2f2tSn"
17,"Covid-19 in 🇸🇬 (6 Feb):

In hospital: 1,074 (+6)
- O2: 92 (+6)
- ICU: 21 (-2)

New cases: 7,752 (total: 397,823)
New deaths: 3 (total: 871)

Week-on-week ratio:
- Case: 1.49 (+0.05)
- Severe case: 1.69 (-0.04)

Dose 1/2/3: 91%/89%/60%

https://t.co/M05ViaqZSz https://t.co/K9Bs3xA7YU"
18,"High number of patients at hospitals' emergency departments, most did not need urgent care: MOH https://t.co/XD1Dr7k9nR"
19,I hope all these ppl who go to the hospital for mild covid symptoms are not the same people who say covid is just a flu
20,"@KanavaLoo Sad reality🙏🏻
The gud is that there are a lot of menta hospital✊🏽"
21,"Datang macam kambing panik, aku pun suruh beratur elok-elok. Reti pun. Duduk kumpul ramai² beraya tak takut, tiba kat hospital tak reti nak jejak tanah."
22,"High number of patients at hospital emergency departments, most did not require emergency care: MOH 

 https://t.co/KsUTs6NVKx"
23,Hospitals' A&amp;E departments seeing high number of patients who do not need emergency care: MOH https://t.co/NdRHVvBu10 https://t.co/5G1tl77Onj
