,Text
0,"10 PEOPLE HAVING CNY PARTY AT KTV, THROWS VEGES IN THE AIR
#Singapore #umbrage #spore #uncensored
https://t.co/K9Ar33TdVu"
1,At first i was like OMG taxi uncle is blasting Kenny Rogers and then The Gambler on and just like that it became a KTV sing-a-long ride
2,I think Taiwan is a wonderful place to retire. CFO can play mahjong daily. I can go 夜市 as and when I like. I love their ktv too. 台湾美食就更不用说了。猪血糕、贡丸、爱玉
3,I'm at Beer Belly KTV Pub https://t.co/aCpbHcLQkz
4,@nemurunik フォニー~~OMG NIK AT KTV
5,I'm at After Dark Ktv Geylang Lorong 14 https://t.co/DQtP0Vq710
6,I'm at Beer Belly KTV Pub https://t.co/UDbr1NRUtz
7,I'm at Party World KTV in Singapore https://t.co/Zpy78I6Viq
8,I'm at Party World KTV in Singapore https://t.co/LsNUdUCo9k
9,I'm at Beer Belly KTV Pub https://t.co/Vqok8ypIpN
10,I'm at Beer Belly KTV Pub https://t.co/QvvKllOfhm
11,I'm at Beer Belly KTV Pub https://t.co/YoKdaT2F4m
12,"卸屋さんに酒仕入れに来たけれど、クリスマスシーズン金曜日夜8時のCuppage Plaza。これが現実🥺……
#Covid19備忘録 #CuppagePlaza 
#華金 #KTV #シャッター街 https://t.co/5RRon9JB1p"
13,"End my fruitful day with a Guinness and KTV session. 
#Guinness
#KTV @ Windsor Nature Park https://t.co/klr0udPova"
14,I'm at Party World KTV in Singapore https://t.co/f26ioKmHAT
15,I'm at Beer Belly KTV Pub https://t.co/6gUXWTItob
16,I'm at Beer Belly KTV Pub https://t.co/zG017E1o9z
17,I think KTV is a huge fan of Sarathkumar. It's always his movies..😆
18,#ktv @ Singapore / Singapura / 新加坡 / சிங்கப்பூர் https://t.co/ahOyLSD4uY
19,I'm at Beer Belly KTV Pub https://t.co/2i2V6H22cY
20,#karaokeathome🎤 #destressingtime @ My KTV https://t.co/yRBK7jLiUv
21,I'm at Beer Belly KTV Pub https://t.co/JnSwjYr3dI
22,I'm at Beer Belly KTV Pub https://t.co/LsolNo0Wu7
23,I used to think SG govt handled the COVID-19 pandemic better than other countries. But after the KTV outbreak they have really lost their way and the situation is terrible now. Stupidest rule that unvaccinated ppl cannot enter malls. Don’t they ever think with their brains?!
24,"So fast KTV covid spread nobody talk Liao.
All goldfish memory.

When it happens.. everyone joins in and mill the issue.

So eh facepalm

It's all number game nowadays.

Where eyeball is.. is where everyone will be

Why u all so scared of having a meaningless life?"
25,@ZssBecker 0x56929587941Cc68959D3AF96106102f56211f893                                                 When the lights turned on in a ktv club before you finish your beer https://t.co/8rHmCH3Wud
26,"お、このベトナム嬢が帰国。結局、KTVに関する逮捕など今の所なかったね。

#シンガポールKTV #シンガポール夜遊び #シンガポールKTV嬢 #シンガポールTIKTOK https://t.co/tzd2kMzoxK"
27,I'm at Beer Belly KTV Pub https://t.co/NqzeEzgTyn
28,I'm at Myths Ktv &amp; Disco Pub https://t.co/cp8kD6gVh5
29,"Just in time. Let the singing begin!!!

#Powerhouse
#KTV
#JerryLow劉權義 @ Lorong Puntong , home https://t.co/5zzrR07IIX"
30,"年龄：18
身高：158
体重：110
坐标：#孝感
情感状态：单身
已开几洞：2
被几个人操过:11
第一次几岁：16
是否喜欢露出：出门喜欢穿露一点
操过你的都是什么关系：前男友   KTV陌生人
口活不错 
有偿约 被楼主内射 真实验证附带记录 https://t.co/xALs361P93"
31,@Sgboy01 @dinoXsg after KTV full on meal...
32,I'm at Beer Belly KTV Pub https://t.co/RMSHdDGTnX
33,"このコロナ禍の中できちんと政府の規制を遵守しながら大変な思いをしてきたと思います。KTVでのクラスター店内飲食禁止なった時は怒りと落胆だったと思います(私もそうです)人数制限はあるものも開いたり閉じたり、もうないよう当地のF&amp;B業界が勢いを取り戻す事を願います！

https://t.co/6GYpZ2IsYT"
34,"ちなみにKTVのママさんが隔離から出て、３−４週間は経ったと思うけど、、

今営業メール来てるｗｗ こりてないｗ

#シンガポールKTV #シンガポール夜遊び #シンガポールKTV嬢 #シンガポールTIKTOK https://t.co/x7BSlB4xeF"
35,"superspreader so far since March , of varying power.

Changi Airport
Westgate/IMM
Bukit Merah View Market
KTV
Jurong Fishery Port (1000+)
BHG Bugis Junction (ongoing)

Which place has superspreader event

And which place do not have superspreader event tells us alot abt delta"
36,"19 oxygen
7 ICU

The main main thing govt is watching . 

Considering KTV fishery port explosion is early July to 200 plus cases

Govt has achieved its aim. That ICU did not explode few weeks after that onward.

Now is 26 Aug"
37,But no changes to makan and social gatherings. Still five in a group for vaccinated individuals. Probably can wait till September before we might expect further reopening. Hopefully no other major clusters like KTV and Jurong fishery port 🤞🏼
38,"29 cases local today.

Back to the first time the KTV first explode period...

I wonder if dine in effect last week will kick up this number from tomorrow onwards...

By right dine in = spread like virus having buffet."
39,At the hawker center where satay man patronise KTV cluster.
40,"After the KTV and Jurong fishery port cluster..

Every cluster like preschool one look damn noob liao..

Really is habituation is everything.

If ur country is used to dying 500 people everyday by covid. Like in some country.

Dying 20 people daily looks quite good news ."
41,Auba n laca sakit ehk.. merepek sial!! Gi KTV pe dh tahu ade game duduk rumah aje laaah
42,I'm at Beer Belly KTV Pub https://t.co/qnoqTIJ4mV
43,"Those people scold business for asking about vaccination status for indoor dine in

Is exactly the same attitude of Jurong Fish port and KTV horny bastard 

Who got us into the super spreading mode around early July.

Being nice and complacent will end up sabo whole island."
44,"今回KTV行く時は、バタフライ何かさせないで、ちゃんと一人指名して、マスクしてKTV遊びしましょ！頼んだよ！

#シンガポールmeme #sgmeme #sgmemes https://t.co/wmsIPJOqHM"
45,@strokemycactuus when KTV reopen i collab
46,“Not a KTV lounge but we’re shut too” the message at @epigrambooks very much reflects the sentiment of thousands of medium and small businesses in Singapore dealing with recent wave of lockdown https://t.co/lEn1v0HDmP
47,Birthday gift from loved ones @ 7th Heaven KTV &amp; Cafe https://t.co/V6EnaiXbb9
48,@frhn AKA Fucking KTV bros gonna Fuck.
49,"こっちのKTV嬢は入院してるっぽいね。コロ助持ってるってことかな。

#シンガポールKTV #シンガポール夜遊び #シンガポールKTV嬢 #シンガポールTIKTOK https://t.co/L68Q0UeyTw"
50,"Commentary: TraceTogether and SafeEntry were never foolproof in averting recent fishery port and KTV clusters

https://t.co/bhrUctgYM3"
51,pukimak punye ktv bikin hidop org susah ah sial aku nk carik tempat dudok makan pon susah sial psl korang
52,"BABI MCM MANE AKU NK KEJE TKDE APRON ABEH MKN NK MKN MANE , SAPE2 GI KTV TU HARAP2 KRG MAMPOS"
53,Yeah but it started from the ktv right? Lol https://t.co/C5WwiUB8YJ
54,Which one of the ministers went to the ktv? Just tell me
55,"If there wasn’t ktv cluster, there won’t be Jurong fishery port cluster kunji 😒😒😒 https://t.co/PLI5BWT6oE"
56,could have OT-ed by like 40 hours this month but KTV ruined it
57,"Last day today until we gather for makan again on the 19th. Guai guai stay home don't go KTV ha!

Shot with @huawei.sg mate 30 pro @ Waterway Point https://t.co/9e1ku9rZiz"
58,"To the cikopek uncles who went to ktv, since yall want to fuck the whole of singapore up. fuck your dead mothers ah cb"
59,"Maybe if we’d gone after illegal #ktv lounges - their pimps &amp; patrons - like we’d terrorised the odd confused, maskless auntie at a coffee shop - instead of closing one eye to the inherent sleaze of our culture, we might not be in this mess now, eh? #KTVCLUSTER #Hypocrisy"
60,"シンガポールはまた明日から外食ができなくなります。その他の規制も強化されます。社内もしくはお客様で陽性者が出ないかとドキドキの毎日が再びです。
心の底からKTVのクソ野郎と思いますが、それでもみんな元気に無事乗り切れればそれで良いですね。
今だから出来ることもあるはず…。"
