,Text
0,level 5 lockdown 😭😭😂 https://t.co/6qIXl2I7BH
1,ni dah kes tinggi jangan sesiapa doa lockdown eh anak babi. aku nak keje cari duit ni jangan pukimak sangat doa kan benda yang tak elok
2,@hmzzzzhh Hmmm harapnya tak lockdown ke apa lah ye 💀
3,@642642 @MothershipSG No point. You’re going to catch it either now or if lockdown as soon as the lockdown ends. https://t.co/791yzQMO26
4,Jangan lah lockdown time raya. Nak buat open house ni 😭 lama tak jamu kawan2
5,What? 7k cases only? How to lockdown like that....
6,@mrs_wee Omg. Lockdown now how
7,@mrs_wee My planning norm is that I can survive a one month total lockdown at any time
8,Lockdown is so stupid and pointless. https://t.co/vKc3jwmXKe
9,Kalau aku ada kerusi dalam parliment menteri menteri tu. Aku dah bersuara buat lock down dah dari sekarang.  Takda hal lah berkurung 2 minggu sebab nak sambut lebaran yang dah 2 tahun tertangguh. At least percentage kes takdalah mendadak. Sugest jelah.   @SyedSaddiq hear me later
10,‘Scared and apprehensive’: Life inside Fortress WA’s shadow lockdown https://t.co/uDiPqPjCsy
11,@zua_al_azmi Suasana kena lockdown walau di mana pun jua memberikan sakit hati dan meruntunkan jiwa
12,@IbuPeri__ Bu gue udah tak tahan asyik lockdown ajeeeee
13,"Mushkil Mein Jeena is a virtual hug in the form of a song. Released in June 2020 at the height of the first pandemic lockdown, the song struck a chord with thousands who resonated with the simple reminder in the song: to remember to live even when times are hard. https://t.co/Mb1axdFrpg"
14,ko nak sangat ke lockdown ?
15,My mental was torn hard last year and I am gonna be totally devastated if raya lock down again. I really mean it. No baking or running can help me anymore.
16,"Nowadays, I just buy alcohol, I don’t even drink them. It’s been stocked up enough that I can easily handle another lockdown 👀🤦🏽‍♀️"
17,"@tanhuiyi haha got lah, some of the children songs lor.. and he learnt from Khan Academy and https://t.co/2xuuFTsCg8. I almost wanted to sent him to I Can Read, but he improved tremendously after spending time doing self learning using these 2 app/sites during the covid lockdown"
18,Our liberty rests on whether #Sage will admit to its horrendous #Lockdowns lockdown mistakes https://t.co/mKJGcc6M4t
19,"@minahjawa @MothershipSG And with more cases, Hari Raya looks threatened with a lockdown again."
20,i know that it's fucking privileged of me to say this but can we please go back to lockdown? please please please circuit breaker please please please
21,"kes naik takpe,janji stage 4 dan 5 tak meningkat,shows that vaccine works no such thing as lockdown anymore tiada negara di dunia ni yg bodoh mcm China nak buat lockdown,even UK pn move on wlwpn kes beribu2"
22,Tak pa. Dah faham dah. Raya nanti lockdown balik.
23,@IcyGreenForest This fake economists doesn't even know supply chains issues are in America not China which can churned out manufactured goods more than they can chew even in lockdown. Building 2 hospitals in 14 days during a total lockdown in Wuhan is a testament to that.
24,Apa jadi tak akan ada lock down lah aku rasa. Aku lah rasa. Stay safe semua orang.
25,alright js get ready raya lockdown https://t.co/Et6d1UUYAq
26,@princess_nusrah Khamis Lockdown 🔐
27,"Tak payah nak mintak² lockdown la celaka. Kau keje gomen sedaplah makan tido pun gaji jalan. Lancau la lockdown demi rakyat.

Tahun lepas berapa ramai yang hilang mata pencarian."
28,"Surprised that $EA recorded more hours played in 2021 than during 2020.

Was expecting the lockdown demand to wane off.

Looking forward to how $SE Free Fire fare."
29,"@GiulioAprin San Francesco 🌉 2020 March first week. Canceled the trip half way and had to fly back on 6th to avoid lockdown. 

Other than that, different shopping malls in Singapore for last two years :("
30,"@MadMarv4Life @ZeepSop @polderps @MvEHAL @timojepkema @sjoerddendaas Twee weken lockdown dan is alles weer open, daarmee hebben zij ook geen besmettingen meer. Ipv de halfslachtige benadering hier."
31,Wait till Hari Raya guys... then they initiate lockdown in Singapore :D https://t.co/jRJg9U7L47
32,lockdown varuthu.
33,@ikhmalalaloco Kalau lockdown dpt x 10k one off mal? 🤣
34,"@JeanYip3 (1/2) Alleging urination? Defecation? No mention of them on Google but ""Ontario, was under a COVID19 lockdown on the weekend..meaning many public washrooms were closed"" (Source: https://t.co/aGjf4xexYN) Why keep public toilets closed knowing a million people were entering Ottawa?"
35,sebelum lockdown bagi aku vacation dulu 😂 sorang pun jadilaa
36,"SmaRT-LAMP: A quicker and at-home COVID-19 test that uses a smartphone camera and an application to detect pathogens. The SmaRT-LAMP system promises to be nearly as accurate as a #PCRtest.

#covid #coronavirus #corona #stayathome #quarantine #lockdown https://t.co/ZjLPynnhRn"
37,"British PM Johnson is 'taking charge' after lockdown party row, minister says https://t.co/ykoCjmx5i0 https://t.co/Y254USTgDl"
38,"this was so cuteee - them being all family reminded me of their antakshari game night during post lockdown epis - missed such wholesome domestic light moments so much.
#YehHaiChahatein #RuHiSha https://t.co/R9RqyJSRTK"
39,@ItBeganInThe90s @firefliesophia Okay now I know why this technique sounds familiar 😅 It reminds me of lockdown days
40,"@ChrisExcel102 🤣🤣🤣🤣🤣 you and I are complete opposite bro, I succumbed to pressure on all of them, especially Game Of Thrones. I hated it by just hearing the name but once I started watching(During first hard lockdown)  I could not stop. My wife made me watch THE WIFE, it's fire though"
41,@barsnes @FplCg @BoredApeYC @versegalleryNFT @EmilErlingson @0xFinna @mus1tie It looks like BAYC discord is on lockdown. How do you guys join?
42,@2pintWonder The Philippines was booked then lockdown happened.. 1 night in Manila then off to Coron hopefully the world will return to normal soon
43,"That’s why…🤭
It was not clear to me; ‘Why did the Toilet Roll Racks were empty’ during lockdown !
20 Years of Patience..
Well Done MERICA..
👏👏👏 https://t.co/M0r00SsBYL"
44,Avoid The “Lockdown Look” With These Hair Cutting Tips https://t.co/xqI1lPFrzW
45,I wonder if the quality and type of lockdown including enforceability were also captured within the study! Only one way to find out I suppose https://t.co/PGHT2xRnUY
46,"Interesting thread about censorship over a recent and very strict lockdown of 1.2M people in China. Also, how little information gets out of there. https://t.co/SdHKMi6EMF"
47,"Jusko! Lockdown sana kakayanin mo self ahahahahha
WHAT UNLOCKED 15M NOW
#PABLOTunay6angKaibigan 
@SB19Official #SB19
Stream #What_SB19 MV"
48,"Like macam takde pape je kiteorang ni semua. Macam da kirekan normal je. Dulu sampai lockdown, circuit breaker bagai. Huhu.. https://t.co/4LA3DhTW9D"
49,I managed to stay out drinking at this hour in the Times Of Lock Down Lawrence .... I need patting on the back
50,"May lockdown pla ehe!

BAZINGA MAINSTAY BBHTS
@SB19Official #SB19
#SB19TopsBillboardHTS

#Bazinga_SB19 is my hype song!"
51,Road to lockdown ke cilake..?
52,@karthickselvaa Honestly speaking. Lockdown is not good  option as Dr Priya said. We have to get most population infected https://t.co/sRwzZykSsi
53,"This endemic period is more activities than precious heightened alert in Singapore..

Not so lockdown ..

Quite amazing that we still can do that while wave is ongoing for some time.."
54,Hungry in Xi An. 三分天灾，七分人为. #bookshelf #bookstagram #sglibrary #sgwriters #sglifestyle #chinesefood #hungergames #lockdown #covid_19 @ Tampines Hub Library https://t.co/YDuPNFEUaf
55,"மறுபடியும் முதல்ல இருந்தா!!😝🤪

#Omicron #lockdown #BoneyKapoor https://t.co/k8XbOEXyek"
56,Are we gonna hit another lockdown ? #malaysialockdown
57,"Xi'an lockdown brings heartbreak as pressure to contain outbreak grows

https://t.co/tN15tQVLeF @TzeEnPoh1"
58,"J'aime beaucoup Nole, mais quand tu vois les sacrifices qu'on fait les Australiens (107 jours de lockdown encore y'a quelques semaines) c'est pas acceptable son attitude. Totalement logique comme décision. https://t.co/6NhyQQdM0y"
