,Text
0,"@elonmusk @peterktodd @nypost Take this a step further:
Pro vaccine, anti mandate, anti restrictions! Let anyone take their own decisions if they wanna stay home, wear a mask, etc."
1,"i had to remove my mask at airport security twice, and both times it was just me crying into a camera sensor while the officers were watching 😃👍🏽"
2,@SSDefendersNFT Mysterious mask girl in space 🌟 loving that vibe!!
3,Wanna go on a night walk with my mask on just to see which girls don't run away from me
4,@DCDeoghar @HemantSorenJMM @mbhajantri @DeogharPrd Apka mask kahan hai DC sahab?
5,"@LeCinephiles I dont think its just raimi fans honestly and its not tht we are nitpicky, some i'll say are exaggerating about it but some like me am just happy to see him back but could've made the mask better, if andrew's and tom's were good, why not tobey's?"
6,"@MothershipSG Why are we in this situation MOH?
Vaccine not working
2nd Dose not working
Booster not working
Child vaccine not working
Mask not working
VDS not working
Safe Distancing not working
Hospital crowded
Clinics crowded
Still listening to the same EXPERTS?
May ALLAH forgive us."
7,When will this mask period get over and done with !!
8,@JoannaNoBanana I shouldn't forced to be a prisoner in my own home because  you wont wear a friggin mask or get a vax Karen.
9,@sofeashaholamin hihi tak bukak mask pun dah tau hensem🥰🥰
10,"I’m exaggerating for sarcastic effect, but one of the worst things about this damn pandemic is sitting down expecting a simple haircut &amp; instead getting a 40 minute anti-mask, anti-vaccine diatribe. Never have so many people been so well-informed having read the scientific detail"
11,One of the main reason why I bought an Apple Watch is to unlock my iPhone while wearing face mask.  https://t.co/UF1Rvrw6y2
12,Dah la kat depan aku je pastu aku tengok banyak kali sebab orang tu macam Is tapi aku tak nampak (biasa la rabun) pastu hannan kata tu memang is. Malunyaaa nasib baik pakai mask 😶
13,"Combination Skincare Routine🌟

Target:Fulfill dry &amp; oily skin need

Daily Routine: Deep Cleansing Cleanser - Hydrating Mist/Toner - Soothing Essence - Oil Controlling Serum - Gel/Lotion Moisturizer - Suncsreen

Weekly Routine:
Hydrating Sheet Mask, Clay Mask, AHA/BHA exfoliator https://t.co/rrbIv035Fa"
14,mask night
15,@suraelynn Can you imagine my face if I wasn’t wearing a mask?!
16,@023 @diverse That mask 😳
17,"Just saw this man combing, I repeat, COMBING, his leg hair on the train. At times like this I’m so f’kn glad I’m wearing a mask cuz I’m shaking in my damn seat I can’t even."
18,因为之前写的关于Mask Network的文章会被收入到一本数字货币的教材里，所以翻译成了英文。中立立场。非投资建议。
19,"@jomroundsydxtyo Thank you! Nak skin instant glow? Jom try reverie rubber mask ✨

https://t.co/wCndbphuax"
20,"Alhamdulillah, this week I berjaya jual 3 items ZarZou, 1 DDC and 2 DEM. For reverie rubber mask, 4 box green tea and 1 box rosy glow. Fuhhh, so proud 💓😭"
21,@VivianBala Nice mask. Where did you get it from? https://t.co/UhKh0cquLe
22,@izhrhh @JatIkhwan Srs la around awak semua ikut sop.. Emmm.. Saya pegi mall semalam pun ada je selamba jalan tak pakai mask.  Dekat perumahan pun selamba berkumpul tak pakai mask. Ada budak² pula tu..
23,"EVERYTHING WRONG with ""THE MASK""?! https://t.co/k5djNaWawo"
24,@OpiumCoca How can you even forgot abt the mask OC dear 😌💅🏻
25,@OpiumCoca Where’s your mask Mr M.A? https://t.co/HPW0fEMBea
26,"@bellansxrddn Dok, mask tu buat kau nampak cantik doh...."
27,"Man held after going amok for being told to wear a mask https://t.co/XQpmyuAZWd Some people needed to be taught a Lesson on ""Covid safety"" the hard way! One good lesson he will never forget! Well done Malaysians!👍"
28,"Unruly has many pre-warning signs - 

* The enviroment is already filled with tension
* An official #pandemic 
* We know people will refuse to wear a mask
* People need to travel &gt; #business #family &gt; to earn a living
* #Government…https://t.co/SdHQLikpzr https://t.co/UMijHkgnhI"
29,@dalevon_digital Atleast it works. I see people typing their password all the time in public transport on iPhone because face id doesnt work with masks.oh and its mandatory to wear a mask where I live
30,"WATCH: The U.S. Army playing #TheMandalorian theme. Good performance. 
SG #StarWars fans. Quick. Go and dig out your recorder from your school days. (I moved house so many x, I no longer have mine.) Then, cut out a hole in your mask, then, play it. https://t.co/xZnDKIHVeA"
31,"release the update, i need to unlock with my mask on"
32,rimas do pakai mask haihh kalau la bole bukak mask macam kat uk serious aku bukak
33,Building uncle gives himself legit reason this time to take mask off https://t.co/Z9wnfllFhv
34,"@Cathay42181733 @CanadianPM @JustinTrudeau @fordnation @CPHO_Canada Actions like that cause kids to die, or cause kids to lose their parents or grandparents as they get sick. Wear a mask, get vaccinated."
35,"the blue one was too big and i was so upset but like , THEY GAVE ME A MASK SO I STILL APPRECIATE IT"
36,the only mask that fits me is the black colour duck looking mask and the person gave me the normal blue mask
37,had to knock on random houses asking if they have extra mask
38,yesterday i fucking choked on my milo and it went all over my mask and i ended up becoming so sot sia
39,Introducing a new photography series: MASK CITY. A documentary on everyday life in Singapore through the pandemic. #maskcity #Singapore #COVID19 #photography #Leica #LeicaQ2 @Leica_UK @leica_camera @LeicaCameraUSA https://t.co/cEJBxsAyj7
