,Text
0,"This is brilliant, and profound (take off your dumb masks everyone! no more jabbies/stabbies/booters lol) https://t.co/gZ4aD7OuZn"
1,People who move their masks to the side when sneezing 🥴
2,@MothershipSG Then why never allow Catholics who are unvaxxed and with masks on to enter into churches while all can enter a full packed public transport that doe not observe safety distancing? Are we fooling ourselves ?
3,@dalevon_digital Atleast it works. I see people typing their password all the time in public transport on iPhone because face id doesnt work with masks.oh and its mandatory to wear a mask where I live
4,"@ChannelNewsAsia If daily cases up thousands or 10K+, become community immunity to this common flu, maybe time to consider relax more measures, masks up to individuals, no need social distance, no need 50% work in office, and others."
5,@SuzyQL @merry_mezzo @Caitlyn_Jenner @joerogan @Spotify Like fauci saying cloth masks didn't work?
6,"@Jizzle9011 @RooterDouglas @Ken36143959 @Shaunak2105 @WaitingForPerot Yes, they enacted safety measures early on before the virus made it African countries. They didn’t need masks or isolation because of their quick actions. https://t.co/0d6uEashID"
7,@X22_SG @DrFlung @DrewPavlou And... she openly admitted in her videos that she is not a journalist. She's only there to destroy and disrupt COVID rules and measures. Much like how people are protesting against wearing masks in public.
8,How to stop your makeup from smudging under masks https://t.co/mGg8rydPt6 https://t.co/zetbMrkE2C
9,"yeaaaah last four to eight medical workers and doctors I've dealt with have been wearing haphazardly applied surgical masks. Even after I told them we had covid?? Giving up on staying current with my well visits, me thinks. https://t.co/47gqGRTZXu"
10,"told ya some guys have a really pretty eyes yet he wears masks he will look more attractive but once he take off the masks our assumptions will differ from before 😂 same goes to guys with shades, looks hot with shades on and vice versa hsdhdhhshs https://t.co/8B0G6uyhV3"
11,"Spain includes the cost of face masks in its list of articles to gauge inflation, in the latest example of the far-reaching impact of the pandemic https://t.co/YmM3wuRi0H @economics"
12,I wonder how many complaints about masks being uncomfortable would be solved by people getting proper masks that actually fit their face!?
13,"We don't take our masks off during the flight, so we fast. And drink water through this contraption. You slide the straw under your mask. https://t.co/acDKukTAS8"
14,"At the airport, both in Singapore and Sydney, 5 out of 10 people are not wearing their masks or not wearing them correctly.
Makes you wonder if they understand WHY they need to wear a mask. 😕🙄"
15,@CDCgov @CDCMMWR Did this study control for the possibility that members of the public who are inclined to wear K/N95 respirator masks might not be going to bars and parties...
16,"@StephenPKendal @superscion88 @Based__UK Correct.  Masks are made to create fear, they are a danger to one's health, and are a part of the world wide spread of utter bull shit."
17,"did anyone actually think cases were gonna go down? just move into endemic lah, accept that we gotta live with covid.. it’s not gonna go away in years to come also, how long wanna live with masks, vtl, 10:30pm dine-in closure, 5-pax all??"
18,"@gilbert I think it could be reasonably argued that the last two years for IT were driven by external factors. I know a company that produces masks and had revenue growth of 400%/year during the last 2 years. You can guess, that's not due to innovations or interesting business model"
19,Ski hats and masks it is impossible to spot any hot athletes #WinterOlympics #OpeningCeremony
20,"Masks are allowed but not hijab?
#Karnataka #HijabisOurRight https://t.co/8ORGH7FmHK"
