,Text
0,"The PD specialist we know are saying that omicron in kids is pretty bad; high fever and fits.

So am I worried? Of course! For both of my kids.

But we do what we can to protect them. And we will still have outdoor time.

Kids need physical activity and sunlight."
1,"A whodunnit to start the week. Origins of Omicron? Discovered in South Africa, it  wreaked havoc in more than 120 countries in 8 weeks, with 50 mutations over Alpha. We are still some way from the conclusion of this story. #OriginStory #WhatPYisReading

https://t.co/XaPIx5PZlK https://t.co/zKsCkQVZTr"
2,@Khairykj Salah stratigi dan salah guna vaksin ini yang tak dapat defend omicron. Majoriti rakyat yang sudah jap kena lagi. Rakan rakan saya selalu makan bawang putih tiada apa apa.
3,@Sophie_Mokoena let me thank Patrice Motsepe for @DiskiAfrika AFCON leadership..@mzwaimbeje viewing AFCON in Cameroon was a dream. @robertmarawa leadership is clarity. Ntate Motsepe did put that clarity. I don't have his contacts but I am grateful. Omicron or no Omicron AFCON
4,Singapore urged to crunch manpower as omicron infection surges... ok
5,"@dr_tompi Apaan tuh omicron,???
Tidak ada bukti."
6,"SINGAPORE - Singapore's high vaccination and booster rates give the country a window of opportunity to ease some Covid-19 measures, especially as the Omicron variant causes a less severe form of the disease, suggest several experts. ... https://t.co/1XBuHVZ28T"
7,how did the omicron in me not die in a body temperature of 39.7°c
8,"US coronavirus deaths surpass 900,000, driven in part by Omicron surge 

 https://t.co/fLWGMlt70l"
9,"Emg kalo udah pernah kena covid, bisa juga kena omicron? Tolong dong masa iya 2 kali aku kena :( dari sekian banyak org, kenapa aku mulu heh?"
10,@DrBpatel Foodie tweets seem to be more infectious than omicron!
11,"Singapore: Employers are advised to review their business continuity plans to deal with short-term staff shortages amid the current surge in Covid-19 Omicron cases ...
https://t.co/u9QcEGhVK8"
12,"Singapore: Companies here are taking the surge in Covid-19 cases fuelled by the Omicron variant in their stride as they remain confident of their ability to stay flexible ...
https://t.co/jtxtSrJPQq"
13,cries in omicron😫😭😫 https://t.co/BTxvE2WUgY
14,Omicron ไม่กระจอกนะ คนที่ทำงาน (อยู่ SGนะคะ) เป็นกันไปหลายคนแล้ว ไอกันจนนอนไม่ได้ทั้งคืน ต้องนั่งหลับ ไอแบบเกิน 5 วัน ไอ 10 วันก็มี พอหายแล้วมีอาการ long covid ทุกคนค่ะ คือหลังจากหายเกินเดือนก็ยังเหนื่อยง่ายมาก กลับไปออกกำลังกายไม่ไหว
15,"More than 10,000 new COVID-19 cases in Malaysia amid Omicron wave https://t.co/IDQxhafz8C"
16,"Omicron Melonjak, Kemenag Keluarkan Aturan Baru di Rumah Ibadah https://t.co/J78DclgfsN lewat @barakata_id"
17,@peacevehicle Yeah hoping it’s ~just omicron!
18,@tempodotco Yamg memerlukan vaksin Omicron cuma bagi yang punya proyek.
19,"Malaysia hit by Omicron wave, new cases daily will reach 15,000, says KJ https://t.co/dJSnn7ysdg via @YouTube"
20,@qistinaajefri Kann rasa patut tangguh tp omicron makin ganas 😩 maksud expired apa tu awak?
21,"!!!!百色市德保县截至2月6日16:00 共43例確診 德保县37 右江区2 田阳区1
隆林县1 靖西市2 共計43例 另PS
2月6日第一轮PCR 207506人 207321人阴性 阳性98人+87人(待复核）=185阳性 。爆發了 德保县 到處可見支援的救护車 搭帳篷 靜空房間 給支援人員住處
2022年2月6日 #Baise City #Omicron https://t.co/vDHWKkXMUB"
22,"@FriarMario Father, I would like to offer my little sufferings with Omicron at yr Altar for the sins of the world. Please  pray for my speedy recovery. Tested positive for Omicron on 3 Feb. GOD is Great. Jude from Singapore"
23,"Bintan Nihil Kasus Omicron, Tiga Pasien Covid Sembuh https://t.co/dhyDwPgEj4 lewat @@detikepri"
24,"More than 10,000 new COVID-19 cases in Malaysia amid Omicron wave https://t.co/z1aAsh0CKw"
25,"More than 10,000 new COVID-19 cases in Malaysia amid Omicron wave https://t.co/9zqZaOYYOE

Look at that. Better public sharing than the reclusive Singapore MOH and MTF. https://t.co/VL4sXdtNOA"
