,Text
0,"Counter seat view 🔥🔥
#burntendssg #sg #counting #down #to #reopening #phase3 #slayers @ Burnt Ends SG https://t.co/xODKriEhWv"
1,My last sunset phase3 HA. Wednesday 21.7.2021 before tomorrow Phase2 HA. @ Raffles Marina https://t.co/IE2X6WgaLS
2,"State = phase3
While covidCase &gt; 0:
    if covidCase &gt; 100:
        State = phase1
    elif covidCase &gt; 50:
        State = phase2

# so stay home

はい、この無限ループね。

https://t.co/FKtCBpkiwG"
3,#digitallightcanvas #mbs #attractions #phase3 #🤞 #edvventurer @ Digital Light Canvas At Marina Bay Sands https://t.co/IVjO4UYTeW
4,#digitallightcanvas #mbs #attractions #phase3 #🤞 #edvventurer @ Digital Light Canvas At Marina Bay Sands https://t.co/jfEup7ft7Z
5,#IncomeTax #IRAS #Phase3 #Gym https://t.co/MRjax14lYt
6,シンガポールではコロナ対応状況がphase3からphase2に戻り、寮のジムがクローズとなりました。ただ、外出自体はまだOKですので、運動不足解消のために朝散歩を開始。思いがけず、素敵な散歩道を見つけました。 https://t.co/Ien0OzHC5u
7,Phase3で1年以上ぶりの同窓会。コロナ禍でも(だからか？)メンバーは変わらず、お互いの近況を話したりロックダウンの苦労をシェアしたり。楽しい会になりました😊来年帰任しそうな友がいるのでまた近いうちに集まれると良いな。
8,Brought my TT token to Our Tampines Hub and poor uncle at the entrance (basement carpark) was using a mobile phone to scan 😆. Close to 2 weeks of #Phase3 . How to #TraceTogedderGedder like this? 😆😆
9,"最近ここに来すぎですね。行ける間に、いっぱい楽しみたい🤗
Phase3になって、仕切り版が無くなってました！
Truffle Friesは安定してうまい！Nachosもうまい。
ピザはBacon My HeartとHam Soloのハーフ！
ビールはGalaxi  IPAとNervous Breakdown。どっちも初めてでしたが、うまい。Golden Ale卒業笑 https://t.co/bNM9IAMRTt"
10,Thankful to be signing a  new lease with a Brazilian couple tenant yesterday morning #covid19 #phase3 #relief #gratitude #blessed #tenant #pimsphotography #pimsphoto @iampimster @ The Interlace Singapore https://t.co/qDjuiyHgta
11,It's #NewYearsEve &amp; there is an insane no. of crowds at the #shopping mall. Was out buying groceries &amp; the queue for entry and for payment take up to &gt;1 hour. I felt exhausted already even before I start cooking 😓 #Phase3 #Retail #Singapore https://t.co/HU4RheDCiG
12,@juniorg5gti Phase3に入ったし、旧正月も近づくので、ローカルのタガが外れ出すのが目に見えてるので要注意ですね😩
13,"#Singapore enters Phase3
.
https://t.co/EdB7epcOdC
.
Page 363 of 366 https://t.co/S6hk8dI3jk"
14,#Phase3 shenanigans #ComeLimpehClapForYou https://t.co/CzNFbtHJyS
15,Singing #Phase3 in the style of Seven Dwarves #HiHo https://t.co/uzzwiuMKeP
16,"Christmas love, peace and best wishes  @iampimster #minnie #love #blessings #goodhealth #covid19free #phase3 #staywell #celebrate #family #cherishourloveones @ Singapore https://t.co/GdFrvYy75z"
17,"#TB22 almost 15 years later.

Although NgeeAnn Poly days are long over, the #friendship never ends.

To the other TB22 Classmates, reunion is long overdue! See you in #Phase3! @ Cafe Football Singapore https://t.co/A5wLH058PI"
18,"八仙 can finally meet together. But to 过海 still need to wait... 
#sg #Phase3 #Covid_19 https://t.co/XizVUz1kx3"
19,#Phase3 in Singapore from Dec 28th https://t.co/Fg92x6shNK
20,phase2 alr like phase3
21,Whoopee to Phase 3!! #progressforournation #singapore #PHASE3 https://t.co/3aVjWUJHjA
22,So isit 10 square metre or 10 ppl per metre square?? #phase3 #Singapore https://t.co/5WiB8Nsc3R
23,Sg anti-vaxxers..u sure u want to be left out? #phase3
24,"BREAKING: Singapore to enter #phase3 on 28 Dec, group gatherings limit raised from 5 to 8. Vaccines to be made free for all Singaporeans when available, but will be on voluntary basis."
25,"Phase3で三人増える。そいでそいで？？。。。。

それだけ。。。。。？"
26,Singapore enters Phase3 of #COVID19. Vaccinations are free to all living in SG. https://t.co/MYKmmXpoGj
27,てか、phase3になったら何ができるんだっけ？😅　もっとオフィスに戻れる？
28,phase3来るかな😁
29,"シンガポールって、いつPhase3に入るの？

10月ぐらいに政府が「数週間以内に移行します」って言ってた気がするんだけど。笑

もう国内での新規感染者０のはずなんだけど...🤔

教えて賢い人！"
30,"Phase 3 in Singapore coming soon??
Return to work!!

#watermelonkidssg #jokes #singapore #phase3 #work #covid19 @ Singapore https://t.co/5OItyDdmlS"
31,"【ビッグニュース in シンガポール🇸🇬】

政府より数週間以内にPhase3への移行時期が発表される模様...！！

この制限だらけなしがらみからの解放もすぐそこまで来てる。
みんな負けるな。乗り越えよう。

#コロナに負けるな #シンガポール https://t.co/jn93LP0NuJ"
32,"いったいいつになったらPhase3は訪れるんでしょうね😭

ワクチンなんていつ出来るのやら😫

日本のニュース見るたびにびっくりすることばかりです。😳

#コロナ
#シンガポールの現状 
#日本が心配
#コロナ対策 https://t.co/7Itnt8iH3f https://t.co/CYtOMFtHRO"
33,@airindiain Any flights scheduled for Singapore to Trichy in phase3???
