,Text
0,...https://t.co/1XBuHVZ28T via @stcom #DORSCON #Quarantine
1,"If the result is positive, the employee should continue to self-isolate, and take an ART every 24 hours. https://t.co/bIilT5uWWU via @stcom #DORSCON #Quarantine"
2,...https://t.co/1XBuHVZ28T via @stcom #DORSCON #Quarantine
3,"staycation alone in the hotel
 = quarantine cos covid"
4,@ANI When will india remove 7 day quarantine for international traveller?
5,The fact that I was most peaceful at my quarantine says a lot.
6,"My family caught Covid, we are fine and nothing too serious! I’m tested negative but I’ll be doing some self quarantine just in case 😭😭"
7,"From now onwards mau terapin two cup method and scripting, 🥳🥳🥳"
8,Hari ini berasa barbar kaya orang2 nyerobot naek krl :’(
9,"Kakadating lang ng housemate ko from The Philippines. Hindi na siya ni-require mag quarantine kasi kaka-recover niya lang from COVID-19.

Good news para dun sa gusto bumalik at nagka-covid."
10,Swedish journalist becomes the story in Beijing COVID-19 quarantine https://t.co/mRUK2eGHZx https://t.co/6DjBunDS7l
11,Swedish journalist becomes the story in Beijing quarantine https://t.co/bGtLo6m8ep https://t.co/ZlO9FfQ8gi
12,Omg besok senin 🥲
13,"https://t.co/gemeQjiv7j

Hello #michelin I’m sure you can do better than leaving out fiery Indian and Malay curries when writing about “Singapore” curries. 
Come on, curry noodles and curry puffs? Was your writer on house quarantine while writing this article?"
14,@afiiinda https://t.co/zJWQCLyvRd
15,This is why you need to wait 5 hours in a quarantine hotel to wait till you are clear of COVID before you can enter the territory. https://t.co/l7v2mqlolj
16,@chigrl Sowing right wing FUD as usual. She's just being taken to a quarantine facility for goodness sake. All in line with local covid19 protocols.
17,Hahaha di prank 😭 https://t.co/lH4BHxSlZk
18,"Travelers coming from certain countries don't need to quarantine on arrival to singapore if you come by a vtl flight.

List of VTL flights: https://t.co/UtmbAJM2zY

Full rules:
https://t.co/cPAEcHVdcq

#singapore #Solana"
19,@afiiinda https://t.co/sbXxyBk76D
20,@afiiinda Bisa diam tidak
21,@afiiinda https://t.co/GzHSVkdcGn
22,@afiiinda Ex kantor gue 2org
23,"@Austin_Federa Well, if you are coming from US, you may need it for 7 days. Countries agreed Vaccine Travel Lane with Singapore, won't need quarantine(Vaccine history required)."
24,"Memanglah cat 3,4,5 dah kurang. Kita yg kat primary care ni still kena VCAC kan yg stage 1,2 yg home quarantine tu. Kau rase berapa banyak stage 1,2? 🥲"
25,Shallallaahu ‘ala Muhammad Shallallahu 'alaihi wasallam 😇
26,"https://t.co/uqHR0GGcAu
Already stuck? That's pretty poor resource management for a city that has only just started a new wave. 
Also 10-15% out due to covid/quarantine isn't a crisis."
27,Boleh tak terima RTK Ag positive as positive je. Then self quarantine je lah. No need lah ask patient to repeat PCR. Penatlah sial. Tak mengubah management langsung. Rasanya drpd dulu lagi cakap benda sama. Tapi JKNJ punya guideline ni suka sgt menyusahkan orang bawah.
28,"""Quarantine is fun!"" Omg she probably likes it cuz no one bothere her and she can do anything she likes 😅🤣🤣 https://t.co/jUsu1SO6sk"
29,@toastedlynx Doing a bit of reading when I fly over for FurDU! Definitely need to find out more on testing in Queensland for quarantine-free travel.
30,"China's zero-Covid policy = Southeast Asia's fruit farmers in debt. After Chinese cities said they had detected the virus on dragon fruit from VN, they shut down supermarkets, forced at least 1,000 people to quarantine, and ordered customers to be tested. https://t.co/hduQGHOndR"
31,"You can travel to Bali once again from this month, but it starts with four nights “resort quarantine” at a limited selection of hotels, with plenty of nose-poking involved! https://t.co/p7wlYaB5Nq"
32,Nak get boosted tp belum dpt noti lagi. Nak walk in tp kena tunggu after clear 10 days self quarantine ni dulu la.
33,"@Thunderingz Ppease quarantine yourself and drunk water. Or tea or coffee, idk what you like to drink but please be safe!"
34,"@SIDD_ADA @adaGOATS I got you fam. let me sort out your discord account. You're not banned, we installed wick bot recently and it assigns Quarantine role for various reasons."
35,"@BexGraham @radionz Other countries (Taiwan, Korea, Thailand, Singapore) all managed to have quarantine systems that allowed citizens home when needed. They also did not have mass death. NZ system absolutely sucked for many people and saying it’s black and white MIQ or death is reductive."
36,CECC suspects cluster in Kaohsiung quarantine hotel – Taipei Times https://t.co/hsKKiymwBp
37,"Yes, at last! Fully vaccinated travelers need to quarantine for 5 days in a hotel or on a liveaboard boat certified by the Ministry of Tourism, and travelers who have received one dose of COVID-19 vaccine must quarantine for 7 days. #Bali #Holiday 🇮🇩  https://t.co/1btbGSxIse"
38,"Sorang lagi kena quarantine, barai aku masuk office next week ni🤧"
39,I started watching Dr John yesterday. Hujung episode 1 my man joined and he got hooked sampai taknak berhenti kt episode 3 sbb iPad nk kena charge dah. 😂 we watched until ep5 last night. Looks like Dr John going to accompany our quarantine days here.
40,@bill_bookersbay Ya it’s great for me being in China even though it was a short 43 days stay with 29 days of quarantine included! U will get back soon! This pandemic will be over soon!
41,"@ThaiNewsReports And they still quarantine double vaxxed healthy tourists who have a slight infection and no symptoms. This silliness needs to stop or tourism will not improve. The word is widespread in Europe, don't go to Thailand."
42,"@Ajarncom And they still quarantine double vaxxed healthy tourists who have a slight infection. This silliness needs to stop or tourism will not improve. The word is widespread in Europe, don't go to Thailand."
43,"@Bohemianderp Idk if it's now available for public or quarantine facility but the jen hotel at somerset was nice cause i could eat at the shops downstairs, go library etc. But the room itself is cozy and nice, plus actual bath tub."
44,A case of ‘public benefit’ and a morphing virus: Why SA’s isolation and quarantine rules needed to change https://t.co/sFWcExPOlq
45,@ezatyainur Alhamdulillah. Saya tak pakai gelang pun. Self-quarantine dan online monitor sahaja. Cepat sembuh Ainur♥️
46,@zyzyheizee im not sure pero kc no quarantine required na sila dto. wait pko info haha
47,@sublhaine27 Di sya busy? May 10-day quarantine pa ah
48,"Me : Omg! Quarantine 10 days? I can’t go anywhere? 

Husband : It’s Ok. I bought some books for you👇🏻 https://t.co/kI9J2P2Lmu"
49,"SmaRT-LAMP: A quicker and at-home COVID-19 test that uses a smartphone camera and an application to detect pathogens. The SmaRT-LAMP system promises to be nearly as accurate as a #PCRtest.

#covid #coronavirus #corona #stayathome #quarantine #lockdown https://t.co/ZjLPynnhRn"
50,"World : Laos slashes quarantine period for new arrivals, returning residents to 7 days  https://t.co/s4N0brOHlQ"
51,@astroboysoup Come back soon.... We r now open for business... People flying from Australia..  Quarantine free 😂😂😂😂
52,"@candyzoo_kako Quarantine 終わりだね！
今元気本当に良かったね。おかえりなさい！"
53,"@KKMPutrajaya KKM, which day is counted as day 1 of the quarantine? Is it the day of the testing, or the day the results are released?"
