,Text
0,Remarking the third year of living with the new normal ( clicked and wrote this at the first Singapore’s safe measure restriction in 2020) #COVID19 #NewNormal https://t.co/o10D23ajQc
1,"Body mass, energy budget and leptin of mice under stochastic food restriction and refeeding https://t.co/bu2qhWoQBw"
2,"#mixbox #motioninputs #KOFXIII
Testing, testing. I don't have the right recording equipment yet. I had to do this in a very awkward position due to space restriction, but fortunately for input demo videos (later) I don't have to perform combos any more difficult than these. https://t.co/Hc1Oq5u9DA"
3,"@straits_times Deploy SDA there, and restriction on taking marine creatures.  Sad to say, without enforcement or restrictions, many will take advantages."
4,"@duskvortex okay i think i remembered wrong, just went to check an account i saw earlier today and fresh accounts without verification are ""temporarily restricted"", not suspended

though that begs the question whether or not temp. restriction also counts"
5,"COVID-19 | Global Mobility Updates

🇩🇰 Denmark - From 2nd February, Denmark lifts all Covid-19 travel restriction bans.

More Updates 🌍 https://t.co/A3XsVfkIit  
COVID-19 | Global Mobility Updates"
6,"@zoo_bear There is no restriction in wearing Burkha anywhere, but it should not be allowed in school and colleges"
7,"At the rate we’re going, we can probably hit 10k cases per day within the next two weeks. I hope we can have some form of restriction imposed to curb this."
8,Mousepad restriction lmao
9,"Really upset with @tata_housing @TataCompanies that in tines of Covid rather than understand travel restriction and circumstances, there replies are delayed by more than a month just to accrue interest charges which are informed only after all payments have been made 😡"
10,"Complacency due to covid19 has been here for 2 years ; and no restriction despite the weekly infection rate is 2.75 and expected to rise , WFH eligible personnel are not returned to WFH mode. https://t.co/Zj7omYAnBn"
11,"Those against restriction and vaccination should go and assist in ICU if numbers shoot up

After 1 year of cumulative assisting , with salary of course, then if they think it's no big deal for health worker compared to them not being able to meet 8 friends eating

Then I believe"
12,"Covid19 itself or its restriction is nowhere the worst thing if it does not kill you or hurt you too much

Wait till you have to deal with death of yourself or family"
13,"Last balik Johor utk tahun 2021. 
Alhamdulillah as the travel restriction lifted up, dapatlah balik kampung tiap bulan 👯‍♀️ 

Agak-agak raya2022 dapat rentas negeri ke tak ni? 😮‍💨 https://t.co/tNwNpBja5e"
14,"Xmas strolling mlm semlm..
Chilling out when i missed my family badly.
Dgn kisah sedih banjir .VTL pulak freeze.
As part of the HCW i faham knp gomen wat mcm ni. Mmg sedih dgn restriction yg bakal kami hadap lagi. 
Moga Allah sentiasa menjaga kita semua..Aaminn YRA https://t.co/OhM6sRMgXN"
15,"Finally no more 2 pax restriction.

H A P P Y  B I R T H D A Y  E L D O N 🎂 @ Go KBbq https://t.co/NaOnId7F29"
16,"Metaverse metaverse apaan kalo mau nonton film secara legal kehalang geo restriction block terus, sementara kalo nonton bajakan malah gampang."
17,@Dorianlynskey @TomChivers Triple as it starts to compete with upper level private sector jobs. Add a restriction on what their immediate families can do and add a nice pension package but stop any jobs for say 5-6 years after office. Also half the number of politicians at least to finance it.
18,Haiz... Not that I wanna purposely report. But I can see everyone already hanging out in big group now. I guess the covid restriction is wearing people already. 😩
