,Text
0,"#sinseh in #singapore

#healthcare #tcm #traditionalchinesemedicine #socialdistancing #igers #streetphotography #xperia #xperia1ii #streetdreamsmag #singaporeunseen #weekendinsg #covid19 https://t.co/J1y0TyZbh0"
1,Assume the position #mauijimsunglasses #stb #myfavouriteplace #socialdistancing #chukka #friday @ Singapore Polo Club (Official) https://t.co/iQBTgeldET
2,“The secret of getting ahead is getting started” Mark Twain #exploring #tiongbahru #briskwalk #2todine #staysafe #wfh #mask #socialdistancing #wecandoit #sgtogether #staystrong @ Tiong Bahru Singapore https://t.co/1K0yvNntW7
3,"REDEEM YOUR FREE MEALS ON AIRASIA FOOD – JOHOR BAHRU &amp; MELAKA

#airasiafood
#fooddelivery 
#freemeals 
#makanmakan
#community
#kitajagakita
#Covid19
#wearamask
#SocialDistancing 
#DeltaVariant
#StayHome
#MyJohorOnline
#MJO

https://t.co/Ua6nKBMPhn

@airasia"
4,A #hairwash before the #citywalk #wfh #healthylifestyle #7km #staysafe #mask #socialdistancing #covid19 #secondwave #wecandoit #takecareofyourself @iampimster @ Merlion Park https://t.co/QK5LIySV27
5,"Something’s cooking in the pot! My morning reading at the observation hall after getting my second dose of COVID-19 vaccination. Have you gotten yours? Stay safe Singapore!
#covid_19 #vaccination #washhands #socialdistancing #wearmask #stayhome #read #knowledge https://t.co/RYadrdjf19"
6,"Here’s wishing those celebrating a blessed Eid-ul Fitr. 
Stay home and eat kuih! 
#eidmubarak #selamathariraya #covid_19 #maafzahirbatin #stayhome #washhands #wearmask #socialdistancing #eatkuih #peacetopalestine https://t.co/8CKqGqSTrK"
7,"Well then. Better off hitting it indoors at home than to go to the gym wearing masks only to be allowed doing warmups and stretching. #COVID19 #SocialDistancing #StayHomeStaySafe #WearAMask 

https://t.co/BVe9bEWV0Z"
8,The set up #movieinamall #free #socialdistancing #covid_19 #singapore @ Our Tampines Hub https://t.co/Ecy5ppXmOY
9,Can you spare a square? #socialdistancing #safety #Singapore #masksandspace #covid #prevention #movieinthemall #free @ Our Tampines Hub https://t.co/rPuhHP1MWu
10,A socially distanced Friday morning stand up meeting to get me doing for the day #socialdistancing #fridaymorning #singapore #pandemiclife @ Singapore https://t.co/g3s6qh6Tmh
11,"One year ago, this is unthinkable 😅
#Covid_19 #circuitbreakersg
#SocialDistancing
#facemasks"
12,"1 year ago today, this is unthinkable 😅
#Covid_19 #circuitbreakersg
#SocialDistancing https://t.co/gPubJhRP6M"
13,"1 year ago today, Singapore had entered the first day of lockdown aka ""circuit breaker""
Everyone had to stay at home, mainly to minimise the chances of catching the vaccineless super bug through social interactions and activities. 

#SocialDistancing 
 #Covid_19"
14,"Distance makes the heart grow fonder. 
#Covid_19
#SOCIALDISTANCING"
15,"At 1043 on 26 Mar 2021

The art of social distancing

#socialdistancing #social #safedistancing @ Singapore https://t.co/pdJybzUSeL"
16,"The Anmon Resort Bintan😍
#bintan #anmonresort #Indonesia #indotravell #travel #Island #hotel #Resort #room #holidays #photography #PhotoOfTheDay #Photos #Explore #travelling #StaySafe #StayHealthy #WearAMask #SocialDistancing https://t.co/1nfv050sse"
17,Holly Friday #indonesiadijohorbahru #andriyfaraby #sholatjumat #socialdistancing #kjrijb @ Indonesian Consulate General Johor Bahru https://t.co/z5RuU0ytk8
18,"With auspicious red
We welcomed Chinese New Year
Together, apart

#chinesenewyear #cny #covid19 #socialdistancing @ Our Tampines Hub https://t.co/AXg9jx45u4"
19,"#KGMU
#Lucknow 

#UttarPradesh 
में
#CoronaVaccine 

#vaccine 
लगवाकर फोटो खिंचवाना अच्छी बात है।
लेकिन हज़ूर , #मास्क क्यों हटा लिया आप लोगों ने?

और #socialdistancing क्यों maintaim नहीं कर रहे हैं आप ज़िम्मेदार लोग ?

तभी nic मीटिंग में #रजनीश दुबे चिल्ला चिल्ला कर पूछते हैं। https://t.co/eDTsRTM5qv"
20,"Almost like normal on a Thurs evening at a suburban mall in #Singapore - except that every1 is wearing a mask. It took us 2 painful months of lockdown in April n May, n disciplined subsequent months 2 get here. Lets not take this 4 granted. #Covid_19 #SocialDistancing @sporeMOH https://t.co/c6BGoiyUCQ"
21,#COVID19 Am Flughafen von #Singapur gilt #SocialDistancing auch für die Gepäckstücke... https://t.co/YnbPltfhYr
22,"Halloween #socialdistancing style 👻🎃💀
Thanks for the invite beks! 🙌🏼 @divineharlot @upscaleukay @ Singapore https://t.co/1BRiCrCgad"
23,Try #SocialDistancing on the the Singapore MRT @SMRT_Singapore ....it’s just a matter of time folks 🤦‍♂️ #COVIDIDIOTS
24,"Ireland plans for a second Lockdown for another 6-weeks. Stay Safe people and practice Social Distancing.
.
.
.
#covid19 #ireland #staystrong #socialdistancing #ireland #euro @ Singapore https://t.co/YMlSqIeRt4"
25,"Kepada yang tengah hangat bercinta tu bila bergambar sila jaga social distancing 1 meter.Bukan apa musim covid ni nak kurangkan jangkitan satu hal.Lepastu lagi satu kalau esok breakup senang nak crop gambar.
#SocialDistancing #breakup #CiptaKerjaDemiRakyat"
26,Bersepeda dan olahraga adalah sebagian cara untuk meningkatkan imunitas tubuh #semogapandemicovid19segeraberlalu #kitajagakita #masjidsultanmahmudriayatsyah #socialdistancing @ Masjid Sultan Mahmud Riyat Syah https://t.co/yQWx8yiyUf
27,"@PokemonGoApp #socialdistancing and #maskup pls, baby fox onboard ☺️☺️♥️ #Singpore https://t.co/4KqHwFf3MR"
28,"“At some point, I don't want to have any obligation. And just chill out.”
-Charles Barkley
.
.📍Palawan Beach, Singapore

#twitter #chill #beach #covid_19 #socialdistancing #photography #palawanbeach #Singapore https://t.co/lyxu8lgbRR"
29,"#socialdistancing and #maskup pls, baby fox onboard ☺️☺️♥️ #Singapore

@pokemonGoApp @PokemonGOHubNet @NianticHelp 

#pokemonGOarphotos #arphotos https://t.co/DDUGOv9f4v"
30,"“ To shine your brightest light is to be who you truly are.”
- Roy T. Bennett

📍Gardens by the Bay, SG

#photography #photooftheday #singapore #asia #travelasia #travelsingapore #ofw #midautumnfestival #autumn #lights #colors #pinoy #socialdistancing #covid_19 #twitter https://t.co/MOhbQYRnCY"
31,💜 Meet the social distancing bears when you dine at @purabrasa.singapore 😄😄😄 #purabrasasingapore #purabrasa #pinkypiggunicole #socialdistancing @ PURA BRASA Singapore https://t.co/9qQPJQ2x9T
32,"Makin bertambah, angka terus naik OMG #indonesiadijohorbahru #andriyfaraby #statusmalaysia #coronavirus #covid19 #fizikaldistancing #socialdistancing #stayhealthy #notoveryet @ Bukit Saujana Apartment https://t.co/fsSLLEe8Xw"
33,"Changi Airport in Singapore 🇸🇬 

Tag someone that would love to see this! 

By: @mysteryparto

⁠#dmasiatravel #everythingextraordinary #remoteandaccessible #remoteaccessible #accessiblyremote #socialdistancing #changi #changiairport #singapore https://t.co/CLs5EjWquv"
34,"If life is so blue, then select another color from the rainbow.
.
. 📍Little India, Singapore

#twitter #instadaily #photooftheday #photography #color #rainbow #asia #asian #singapore #travelasia #quotes #grateful #grafitti #streetphotography #covid_19 #socialdistancing https://t.co/yEUlxZKugN"
35,"“Some people become cops because they want to make the world a better place. Some people become vandals because they want to make the world a better looking place.“
- Banksy

.📍Chinatown, SG
#graffiti #chinatown #singapore #ilovesingapore #asian #pinoy #socialdistancing #COVID https://t.co/fuDzFZ7FrY"
36,"“Color is a power which directly influences the soul.” 
- Wassily Kandinsky

📍Little India, Singapore

#singapore #littleindia #ilovesingapore #travelsingapore #travelasia #asia #pinoy #instagram #colors #streetart #photography #rainbow #🌈 #socialdistancing #covid_19 https://t.co/FP9KilIzGq"
37,Stay in your square #socialdistancing #singapore #tamaruke #tamarukeaustralia #dogsofinstagram @ Crown Bakery &amp; Cafe https://t.co/pUQwragUOp
38,"I like this rule in Singapore, I hope it will remain until post Covid crap!! No, not the mask on - volume off, do not talk on the phone Or talk each other. We want a peaceful &amp; quite journey!! #Covid_19 #SocialDistancing https://t.co/Jit8MCVnzT"
39,"@Gartner_inc’s Market Guide for #SocialDistancing Technology has recognized @Everbridge #COVID19 #ReturnToWork #software solution.
https://t.co/qSe8MajXaq @IMDAsg @SCMPNews @timesofindia @CNETAustralia @TechTargetNews @mymdec @TechTargetNews @Telstra_news @ChannelNewsAsia"
40,🎈 wknd shenanigan: when it’s raining and you really want your own pool 🛁 #socialdistancing done right hey?! 🙃 @ Marina Bay Sands https://t.co/ogd2vK9pEk
41,"Who else misses #Singapore ? 
Video By @yk

⁠#dmasiatravel #everythingextraordinary #remoteandaccessible #remoteaccessible #accessiblyremote #socialdistancing https://t.co/joLQXiOVbJ"
42,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/fmJO1U5VKT"
43,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/0g1EZC8hSq"
44,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/vXyj5pwdt4"
45,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/HUAy3TOa0G"
46,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/97UCBkZSLr"
47,"Sorry, you just missed him
.
#callbacklater #newnormal #facemask #xmarksthespot #socialdistancing @ Singapore https://t.co/jrIJSAvKz6"
48,"Corono cases in India crosses 4M .
Be safe guys.. #coronavirus #COVID19 #SocialDistancing https://t.co/zO1vKuBu8b"
49,"Social Distancing. 
So-Mai So-Good
.
.
.
@elxlee sgfoodies sgfoodie singapore #dimsum #sgfoodies #sgfood #cantonese #lunchideas #rafflesplace #socialdistancing #siumai 
#elxlee @ Singapore https://t.co/nJH9pTpK32"
50,Tuesday Brunch was the first face to face business meeting since March 31. Just 5 of us due to social distancing rules. #tuesdaybrunch #facetoface #socialdistancing #tiongbahrubakery #singapore https://t.co/64h9uHfyig
51,"오빠도 조심하시기바랍니다😬 다들 거강을 잘 지겨세요😬🥰

Posted withregram • danedwkim11 #today #seoul #korea #covid19 #socialdistancing singapore https://t.co/9acrI8nwgN"
52,"Socialdistancing ""Dont Lean On Me"" @ Singapore https://t.co/5kzrYVYqPH"
53,"BB Old Boys Lunch Fellowship!

#BeenALongWhile #Socialdistancing @ Tanglin Club https://t.co/TerBCz3EZP"
54,02082020 Foodie land in the concrete jungle #LauPaSat #Foodieland #COVID19 #SocialDistancing #SplitSeating #Apple #iPhoneXR #TeamiPhone #ShotOniPhone #ShotoniPhoneXR #SmartHDR… https://t.co/zuteGX0vPH
55,Our first movie in months #traintobusan2 #traintobusanmovie #movieouting #socialdistancing #mask #covid19 #phase2 #penisula #goldenvillage #husbandandwife #saturdaydate @ Golden Village at Tiong Bahru Plaza https://t.co/qH1APy54Ui
56,Has the vaccine been found already? #covid19 #singapore #socialdistancing https://t.co/nUo6F4KBZy
57,"Help.

#covid19musings #socialdistancing #circuitbreakersgphase2 
#fitnessgoals #fitforlife #fightingfit #fitnessjourney #fitnessmotivation #SgFitness #FitnessSG  #sgfitspo 
#singaporefitness #fitspiration  #Boxing… https://t.co/q9hHLdxhb9"
58,"I received the 3rd edition of the Book of Walks of the Netherlands Charity Associaton in Singapore. It’s a great gift if you want to stay active and explore Singapore and support charities  #active #walking #SocialDistancing #charity @NLinSingapore 
https://t.co/yVSz9jYtm2 https://t.co/kn5j5dASmG"
59,"Help.

🤣🤣🤣🤣🤣

#covid19musings #socialdistancing #circuitbreakersgphase2 
#fitnessgoals #fitforlife #fightingfit #fitnessjourney #fitnessmotivation #SgFitness #FitnessSG  #sgfitspo 
#singaporefitness #fitspiration… https://t.co/LWly68NvAw"
60,"check 1-2

#eventplanner #eventsg #sgevents #event #staysafe #sgunited #socialdistancing #livestream #onlineevents #sgevents #sgonline #virtualevents #virtualmeeting #webinar 
#eventsg #exhibition #tradefair https://t.co/TiSyjdrb1M"
61,Finally back in the water! Best way to end the term break! 🚣🏽‍♂️ #palsdb #dragonboat #socialdistancing #maskon @ Passion Wave at Marina Bay https://t.co/U08JfGZNW0
62,"#throwback to a bit of laughter at the gym a few weeks ago during boxing training. 🤣

Me:  What are you doing?

The coach:  Social distancing.

🤣🤣🤣🤣🤣

#covid19musings #socialdistancing #circuitbreakersgphase2… https://t.co/szFX2AaRM2"
63,Fresh air after 11 days ——— I’m screaming with joy (internally) because quite a few people are around. #QuarentineLife #WearADamnMask #SocialDistancing 😷 https://t.co/hDqyxSNJAM
