,Text
0,...https://t.co/y1JGLPvjDD via @stcom #SmallBusinessOwner #WFH
1,"Ms Nguyen said that she had experienced slight pain and discomfort the whole day on Monday (Jan 31), but was hoping baby Bryan Tan would not come until Feb 2. https://t.co/hchm5ckglW via @stcom #WFH #SmallBusinessOwner"
2,"Get the most out of Aweray Remote. Read more about the tips to enhance the experience now:https://t.co/1A7H9f91ay

#productivity #remotedesktop #hybridwork #wfh #awerayremote https://t.co/ihveqV9ZBv"
3,@prettysarah__ Aku dah boring kalau wfh
4,@yoshikis449 WFHならできなくもない！(できない)
5,"I've been practicing these routines which I will buy groceries for one week and siang siap siap on weekends, and for weekdays I masak time dinner, lebihkan for lunch the next day. Takdelah kelam kabut even wfh pun"
6,dread wfh…
7,明天wfh 但是装修 害
8,Do you think we’ll be on default WFH again? 😅
9,WFH experience slightly elevated with 2 dollar laptop stand lol. https://t.co/zCkJs6VuBs
10,"@miminadam Hahahaha tak pon kak min . Dah abis dah maternity leave . Ni sebab seminggu tak pergi office dan cuma WFH. Bila seminggu anak depan mata, rasa berat nk pergi kerja. Kak min dah abis pantang ke?"
11,"Kesehatan dan keselamatan bangsa Indonesia adalah yang utama utk itu Menkominfo mengimbau masyarakat menerapkan pembatasan kerja di kantor dan lebih menerapkan bekerja dari rumah atau work from home (WFH) secara bergantian seiring meningkatnya kasus Covid-19

Jokowi Lawan Pandemi https://t.co/xTxaETGaBX"
12,Are you feeling lost while #WFH? You are not alone. Many WFH-ers don't have someone to turn to and a lot is bottled up internally. Get connected and support one another #MentalHealthAwareness
13,It is not all sweet and roses working from home. Unplanned disruptions cause frustrations that may zap more energy than the daily commute. Live a little. Don't get too hung up on getting to where you want to go.
14,Brilliant people do lazy things in smart ways. While lazy dumb ass people who change the group number in WFH roster just deserve a special spot in hell for confusing good people like me
15,Yeay WFH lagi🤗
16,#WFH means you can decor your home office the way you want it. https://t.co/JqPDgFzDCu
17,Can't wait for everyone to wfh
18,"@ferizandra PNS itu msh Pegawai Negeri Sipilkan??
Itu guru"" sekolah ada jg PNS terus ikut WFH?? Lhaaaa muridnya PTM ngapain???"
19,Sabar ya fans MU. Senin ngajuin WFH aja mending 😂
20,The things we used to do to appear professional in office shouldn't be lost due to WFH convenience.
21,"WFH does not mean you adopt a shabby outfit. In fact, clothing makes the person. Resist the urge to be too casual."
22,"If you are working from home, consider picking up reading to keep learning and growing."
23,"I use #DroidCam app to turn my Smartphone into a webcam. The result is amazing, and you don't need to burn a crater in your wallet buying a DSLR. #WFH"
24,"Anyway, the point here is - you need boundaries, you need to have down time for yourself and family."
25,#WFH created the 7-day work week. No kidding.
26,@iqbal_farabi WFH FTW
27,"Part of my parents’ complaints to me about my irregular work life the past year is that they do not like seeing me home all the time. Go get a regular job, they said.

Just got one, and I’m told it’s 80% WFH at the moment. I’ll just be paid more. Excellent."
28,1時間くらい、さっと、ラーメン食べるレベルで声掛けられる人がいるといいなぁ…飲みたいわけじゃないし、誰でも良くて、同僚的な感じで、さっと食べていきます？みたいな。WFHでふと人恋しいとき。
29,"TGIF! @JonasBlue do be chasing all our WFH blues away with these hits🍾

Listen to #Dontwakemeup here!
🎧: https://t.co/z9a4hzef6k https://t.co/4QxIYty8zV"
30,WFH中🐶の構ってアピール無視し続けると、急にいなくなってベットの下で拗ねて名前呼んでも出てこなくなる😂😂 https://t.co/PG2OPtxevA
31,I just want a place of my own. Maybe then wfh will be such a treat for me
32,"It’s gets frustrating when my fam disturbs me to deal with some misc stuffs while I wfh. Even more frustrating when there’s an older sibling at home who’s not working, not even helping at home."
33,WFH requires 101% focus and discipline.
34,@Not_A_Shammer I can't watch whole day lah. Today WFH.....after 1:30PM i have zoom meetings till evening. Then going out for dinner at night. FOMO max !!
35,"@sratoz nem fale, perdi uma reunião importantíssima às 3am pois coloquei apenas um despertador em volume baixo, pois não queria acordar o resto da família… tempos de wfh trazem seus próprios desafios, e os fusos horários praticamente “desapareceram”…"
36,Do low transport marks reflect #wfh? https://t.co/GskVcnYD7o
37,Ffffff kenapa harini ramai wfh
38,wfh tapi takda semua cuti😂
39,"Kung kelan naman nag wfh nakalimutan ko may aircon servicing pala. 🤦🏻‍♂️😫 anyway, #TGIF 🥳"
40,@mytapradita Wfh skg bun?
41,"Terbiasa wfh, kaget wfo https://t.co/Ek1fUaHbhf"
42,WFH has changed me. I’m that lady in a robe staring outside her balcony door questioning how much longer can I handle being separated from society?
43,HK is really enjoying a sweet WFH LNY break.
44,"aku cerita : enakan kerja di kantor, daripada seharian di kamar, ehhh... 
malah balik di curhatin,""i am like this almost 2.5 years"".
#WFH"
45,Dah asik wfh je dah malas ye nak ke office. Nak pergi betulkan laptop je punnn dia punya malas tu masya Allah
46,@Pasimannn fish wfh pun ada ot
47,really hope i can continue to wfh 🥲
48,"We can't thrive in a digital world without protecting our organization's computer networks and systems from cyber attacks.

So it's essential to hire an Information Security Analyst.
Sign up and post your job ads now at https://t.co/yRjsZs1ZSs for FREE, no catches! 😉

#WFH https://t.co/AXFdRqj2Gu"
49,"One of our MNC client is looking for:
Position: Java Developer  
Location: Mumbai (WFH) 
Experience: 5+ Years
Notice period: 30 days max. 
CTC: Up to 20 lakhs
Please share your resume to: shaji@tmangoes.com"
50,All I want is WFH to never ever ever end
51,"Covid-19 Meluas di DPR, Puan: Mulai Hari Ini WFH https://t.co/zxLUBpFXDW"
52,"Got out of the house to have a quick lunch, and still got a ping from my service desk that there was an issue. haha
#wfh #singaporefood #foodisamazing #nonstopwork #solittletimesomuchtodo https://t.co/f2Dnrp0mfj"
53,"So busy at work, the wind said, 'Ganbare!' 頑張れ！
#wfh #solittletimesomuchtodo #singlelifestyle #singaporeweather https://t.co/HDOKqFDk8G"
54,Masih amaze sama rang orang yang bisa WFH sembari menjaga anak2nya. Salut !!!!
55,"Dia hampir gak pernah ke kantor alias selalu WFH, padahal yg lain ada jg yg lg hamil tetap dipaksa masuk ke kantor, bahkan ada 1 piinis yg lg hamil sempat kena kopit sampai bergejala parah karena belum vaksin dan jg mungkin kena varian delta. Jadi bahan omongan deh dia di kantor."
56,"WFH , learning in a virtual classroom, has resulted in more of us experiencing the effects of excessive #screen use, such as #eyestrain, #tearyeyes, and #dryeyes. Use these tips to keep your eyes healthy: https://t.co/1qUIC1HiEh
#ophthalmology #Singapore #EyeHealth #SINGVISION https://t.co/eiTXxb3yss"
57,Reminds me of my wfh days... ain't going back https://t.co/CaCjRp6jS9
58,"@Apink_2011 Yes, I am listening to Chorong ASMR during my work hours but its WFH so 🤣🤷‍♂️
#APink #에이핑크 #판다들 @Apink_2011"
59,the fact that i came to office and realized i can wfh today🥺🥲
60,"Come to think of it, im still fortunate to WFH lol"
61,"I really should be the last person to get covid. I wfh, and the human traffic in my life is cap at 10 per month.  I don’t go out either.  😞"
62,"Sooner or later, the home office needs some decluttering. There are just too many cables around...that labeling them becomes almost a full time job. We need a #ZEN-er approach to #WFH  efficiency."
63,#Marvel-ous power scrolling for enhanced #WFH productivity 🤣 #logitech #m238 https://t.co/Z6Rb7mU0Ng
64,...https://t.co/8T1SmlZO1A via @stcom #WFH #COVID19
65,義理姉の会社はWFHのセットアップに$650払ってくれるらしいけどうちは$500。ear podsとフットレスト、マウスとデスクとか買ったらしい。何買おう。もちろんprobation 終わった後でだけど。
66,"@bolaubibulat Ya jadinya WFH :"")"
67,...https://t.co/8T1SmlZO1A via @stcom #WFH #COVID19
68,@bolaubibulat WFH lagi?
69,"@Tommy_SoSueMe Damn that’s nice, working from home would defo help alot in that sense. Unfortunately i work in the aerospace industry &amp; there’s barely any WFH jobs 🥲"
70,...https://t.co/8T1SmlZO1A via @stcom #WFH #COVID19
71,Bangunan Pejabat sebelah Department abg semua staf di arah balik serta merta jam 10 Pagi tadi. 200 staf di arah kuarantin/WFH atas sebab ada beberapa org staf di dapati Positive Covid 19.
72,@MyFireTan WFHも復活か⁈
73,"Complacency due to covid19 has been here for 2 years ; and no restriction despite the weekly infection rate is 2.75 and expected to rise , WFH eligible personnel are not returned to WFH mode. https://t.co/Zj7omYAnBn"
74,"@Hisrath95 Wa so free ah
Wfh r on leave r mc
Hahahahahaha"
75,"さあ来週でWFHもお終いだけど恐怖しかない…
2月からは週一WHFって言われてそれって無意味過ぎるから毎日出勤するよって啖呵切ったのよ。

もうどうにでもなれと…"
76,Wfh - work from hotel.. 😂 https://t.co/NnOE6D7tcx
77,"最近思うこと
シンガポール人の旦那さんってみんなリビングでWFHしてて奥さんが部屋でWFHしてる🤣🤣🤣
ちなみにうちも"
78,"We started WFH April 1, 2020. We can now return 3 days a week, 50% of staff at a time on a voluntary basis. Hardly a return to normal, but better than what it was! https://t.co/MNuN3UKXsO"
79,"D+2. 2nd day of s̶c̶h̶o̶o̶l̶ work. 
WFH today. At least that means no vege lunch for me 😅. Thanks Daire for reminding of what could be my lunch tomorrow. 😩"
80,"Finally a perfect product for a WFH setup, thank you guys!!! #Secretlab https://t.co/VfSEqNpOMT"
81,I totally do this when I WFH on freaking warm days. https://t.co/QrAcxcddfu
82,WFH setup. #HappyFriday https://t.co/346zDJnfnY
83,"綺麗な景色をみながら
メキシカンナイト🥑🌮🧉
なんてSAIKOな平日なんでしょう
明日は２年以上ぶりに7時台に
起きて出社する😭
私は断然WFH派だわ💔
#シンガポール
#シンガポール在住
#現地採用 https://t.co/RQl33vyqBG"
84,@hirotapal 四六時中騒音響き渡るわけじゃないですが、近隣は本当にストレスですよね。WFHとは言え、外にお茶でもしに行きたくなりますよ😁
85,"More than 50% are due to Omicron variant, exponential increase and no intention to step back yet but reopening by getting all WFH eligible employees back to site. And those guys unable to keep SMM as they’re used to mask off at home https://t.co/3XMGiiyY9I"
86,@FaisalAdli_ Wfh dh 6 bulan
87,Already expected then why no more #WFH or #hybrid https://t.co/QneCy4SMQI
88,@ryogya_008 @SingaporeTaka たしかにほぼWFHしてるしエアコン付けっぱなしにしたるのでかさみますね😂
89,How nice kalau husband I wfh 😂😂 https://t.co/QIsRh1T9Cv
90,"As Singapore ends #WFH and people gradually return to the office, here's a still empty CBD on an early morning. https://t.co/zevK9FEv0a"
91,"本日の麺's倶楽部は、WFH前にマーケット買い出しついでの朝食@TiongBahruMarketでござーる。この時間でも、まだ開いていないお店も多く、前回食べたLor Meeのお店をチョイス。🧄バリバリに効いててまいう～だけど、😅……
#麺s倶楽部 #ローカル麺
#ホーカー #鹵面
#TiongBahruMarket https://t.co/NI5ddYScnj"
92,All office worker doing WFH will be lying on bed all day while receiving emails and answering emails all via brain machine interface.
93,"🎶🎤娘が歌っているところに、#リモートワーク のお父さんが乱入
平和な #クリスマスイブ🤶🎄
While #WFH, my daughter is #singing and I’m cutting in half way https://t.co/2t3UvrCJw5"
94,Finally Getting my WFH privileges 😎
95,久しぶりに1日WFHなので朝イチで潮州粥のお店に行ってきた。平日しか空いてないし今の家から離れているのでなかなか行けないけど相変わらず美味しい。 https://t.co/P25hCQ1JXJ
96,"When WFH confuses you about WLH

And you thought WLH is work leaving home"
97,"finally set up new desk for the cats 😼
need to get one for myself too 🤦‍♀️

#Caturday #CatsOnTwitter #WFH #chouchou #udon https://t.co/h99CM24tXj"
