,Text
0,You are welcome 🤣🤣 #zoom #workfromhome https://t.co/IAmUFoCVdb
1,"#Ransomware is moving faster than critical infrastructure operators.
#cybersecurity #itsolutions #workfromhome #datasecurity #technopals

https://t.co/u35nMfzvyU"
2,"@senthil15892 @Daic_selva @BiggBoss5Tamil @AegonTargaryenZ @chandiransunda1 @TeejayDeenash 

In this BB season time, whenever manager arrange for internal meeting.... always #KulichituVaren moments only, especially #WorkFromHome😂😂😂"
3,"Finally able to clear my 'own' work when working from home. 😅 phew... 

#worklifebalance #wfh #WorkFromHome"
4,"Back to the #Junket in the Kitchen!

This one is still highly classified and top secret until further notice… 😎

#Work #Interview #Journalist 
#SmartWorking #WorkFromHome #JunketInTheKitchen @ •*• My Kitchen •*• https://t.co/Lg1BqWy0vd"
5,"aint aiming for perfection;
only quality life.

#friday13 #randomthoughts
#MonitorLightingSetup
#workfromhome @ Sembawang, Singapore https://t.co/0jG3vkvMEs"
6,"😩No… No… No… I’m not going!!!🥲 Singapore Covid-19 Update: From 19th August up to 50% of employees can return to the workplace.😭

#wfh #workfromhome #memes #memesdaily #memeoftheday #singaporememes #singapore #singaporean #covid19 #covid19memes #coronavirus #coronamemes https://t.co/OaKT44jcHH"
7,"You've got to get up every morning with determination if you're going to go to bed with satisfaction.

#YetAnotherTuesday
#WorkFromHome
#AppleFanBoy @ Sembawang, Singapore https://t.co/ts0BBXkrTJ"
8,"Boo doesn’t quite understand WFH arrangements, and has claimed my notebook as hers. #adoptdontshop #catsofinstagram #workfromhome #howtoworkfromhome @ Singapore https://t.co/tJZZoWCHI5"
9,"Mid Friday; 
how 1 hr lunch break should be spent like
#workfromhome @ Sembawang, Singapore https://t.co/XB8t3TUvGf"
10,"Ada ni ha.. Dkt dapur...😂😂😂
.
#workfromanywhere #workfromeverywhere #workfromhome @ Singapore https://t.co/iMYtZa7c97"
11,"Start of new week. 
頑張ります！ #workfromhome @ Singapore https://t.co/ukA0NE8PHq"
12,This is what happens when you #workfromhome for a long time https://t.co/gKnEZ9G4ZI
13,"Stricter Covid-19 curbs in Singapore: Is this another Circuit Breaker❓❓❓❓

When news broke that Singapore was further tightening rules from Sunday.

#singaporecovid19  #singaporebusiness #covid19outbreak😷
 # #covid19business  #workfromhome https://t.co/mEtd1bZSi6"
14,The rare occasion when my workplace is free of scraps and debris. #workfromhome #wfh #workstation #workvibes #grind #horangi #teamhorangi #tigers #singaporelife @ East Village Mall at Simpang Bedok https://t.co/0KRWe3UGne
15,"*🌊அலைகளுக்கு தெரியும் கடலின் ஆழம். ஒவ்வொருவர் சிந்தும் கண்ணீர் கறைகளில் தெரியும்பெற்ற தாயும் பிறந்த பொன் நாடும்.!*
#Singapore #WorkFromHome https://t.co/uCIelRr1n4"
16,"What if people don’t want to return to the office? How do bosses manage in a fair way? 

My commentary today draws on a conversation from our Heart of the Matter #podcast. Full episode here: https://t.co/t5Ic3TXJEF #WorkFromHome https://t.co/ch0IywVV48"
17,Day 2 of 14 quarantine. I love @Cisco innovation. @Webex Desk Pro up and running beautifully over quarantine hotel wifi. My #WorkFromHome setup can be setup anywhere. #LoveWhereYouWork https://t.co/D8FmthFYV0
18,My #workfromhome essentials #sonywh1000xm4 #sony Now I can have good sound quality in any virtual meetings and conferences ^__^  Ofcouse what is life without a bucket of chicken joy #jollibee #singapore @ Lengkong Tiga https://t.co/t7Awd4lyL7
19,Gloomy home office vibes. #workfromhome #workvibes #grind #wfh #covid #covidlife #homeoffice #eastvillage #singaporelife @ East Village Condominium https://t.co/lgBnHajLRF
20,"Luxury Scent Asia 

#luxuryscent #luxuryscentasia #luxuryscentsingapore #essentialoils
#supportlocalsg #hotelscents #shoppingonlinesg #workfromhome #marriott #hotelfeelathome @ Woodlands, Singapore https://t.co/8WdnLkfYAn"
21,"#battleStation for the day
#WorkFromHome #COVID19 #staysafe https://t.co/2wOaLpb8Pd"
22,Late breakfast #homemade #WorkFromHome https://t.co/aVprryrSXd
23,"How to build a Global Business from the comfort of your home with Atomy now!
Watch the full video clip here - https://t.co/bDDBhHXryI

#atomy #global #business #opportunity #WorkFromHome #entrepreneur #wellness #health #wealth https://t.co/Xb1OOHW9bH https://t.co/G7sgN073Hx"
24,Preoders are now open! #malaysia #WorkFromHome #speakerphone https://t.co/VzPqh8MVgi
25,#LoveForColors #AfterLong #Buddha #NonBrushPainting #WaterColors #Paint #Art #Artist #peace #WorkFromHome #SelfTime https://t.co/EilU96LdHm
26,"It may not be easy but remember; there is no shame in seeking and asking for help when you need it! 

Tag a friend to remind them! 💌☀️

#ReMind #mentalhealth #mentalhealthawareness #covid19 #workfromhome #safemanagement #mentalhealthtips #mentalillness https://t.co/IGrTGf14Rb"
27,"On medical leave, #workfromhome today... #wisdomtoothout 🥲 @ Woodlands, Singapore https://t.co/4qfOKa9Spu"
28,Work sent us some dope facemasks. #horangi #teamhorangi #tigers #innovatewithoutfear #facemask #hoodie #workfromhome #singaporelife @ Singapore https://t.co/hC5PYi3JG2
29,"The spot that I spent most of my time in 2020 🌏 
Shot by @jenwst 
 #workfromhome #datadog #nerd #plant #wfh #xioami #bose #razer #setup #smile #noob #singapore #pandemic #work #macbookpro #setupinspiration #minimalism https://t.co/e1oFqmjNKv"
30,desperately want this scorpion workstation #workfromhome https://t.co/MkZlTrzmPk
