,Text
0,Why do I always get to the airport before checkin/bag drop opens? https://t.co/kHGmTbTIt0
1,"@4_SeasonManor @IvelineDB @Karenkk_axel Not my screenshot thankfully, i'm done with all of them. Never bother checkin.😂 just glad to have some friends that still keep an eye for entertaining purposes"
2,#checkin https://t.co/5dI4KMQczV
3,I baru perasan MySejahtera now dah takda checkout lagi ea after dah checkin 😆
4,"Harapannya 2022 cuma kalo bisa travel tanpa karantina aja. PCR/antigen sebelum traveling masih oke lah.
Kemana2 pake masker no problem. Harus checkin aplikasi sebelum masuk mana2 ga masalah. WFH terus2an malah bagus."
5,now i gotta think of the stress checkin in my cargo coz the airport gonna be crowded on a fri
6,"First flight since Feb 2, 2020. Singapore Changi Airport very quiet. Checkin a little chaotic, but got there eventually. As you can see, the Airline Lounge was very quiet, 6 of us in there. Malaysia Airlines was excellent. KLIA very efficient! @malaysiaairlines @malaysiaairports https://t.co/3yw01UdoCt"
7,"Nice improvement nih app TraceTogether. Sebelumnya pas checkin ga langsung keliatan status vaksin, harus pindah halaman dulu. Bahkan ada improvement di animasi juga biar keliatan itu screenshot atau bukan. Boleh juga idenya. https://t.co/pnkr9haoT0"
8,phone b so dry i be checkin tomorrow’s weather
9,"Kalau mcm saya, lepas checkin terus checkout 😂 senang https://t.co/qTUOCWNZFT"
10,@Tok_Tek @Msh_Danish @Danial_Damir Hahaha checkin skali tido dalam mall 😂
11,"I 2nd this. To Parent with kids yg dh plan restoran mana nk makan, hotel mana nk checkin, pls2 carefully selected the place &amp; rethink your decision, covid is real, it is sporadic and delta variant is everywhere. Dun make a decision that you will regret. Sumpah sis xjeles pon https://t.co/xuNjmEaeJ7"
12,"@yeobeeyin @Hasni_Johor @KKMPutrajaya @DGHisham #FTTIS?

The use of TraceTogether apps is mandatory in Singapore. #checkin #checkout #contacttracing https://t.co/Pcf12f9zfs"
13,"#ButterFest #checkin 🏖✅

#HappyBirthdayToARMY https://t.co/MFzrBIi4zu"
14,@khaihiruma_ @BapakDiaLaaa itula..mende tibe2 masok forex..patot dah bual2 tu belanjutan ke checkin..
15,"Checkout singapore
Checkin india, chennai. 😁
Mixed feeling 🙄"
16,"Checkin (@ Dapor Warisan in Johor Bahru, Johor) https://t.co/rQir67xOI6"
