,Text
0,"thinking back to Friday night and sitting through the brainless blathering babble spewing out of the Bigot Christian Cousin

ok meksens now https://t.co/wwHoOIjLOw"
1,@lupcheong I am ded at spidussy
2,sonofabitch just realised my s pen is missing. detached from device since 19 January!?
3,BUTO AKU BUAT SAFE ENTRY KT WORKPLACE AKU THEN ADE CUSTOMER PANGGIL AKU “FARIZ JABBA” JUST PSL AKU BOTAK… SETAN BETOL 🤣🤣🤣🤣
4,どこにも入れない=safe entry出来ないだろうなーと不安の中チャンギT3到着→safe entryがひとつもなくRaffles Clinic受付到着→受付でワクチン有効期限切れたからチェックイン出来ないと伝える→あんたどうやってここまで入ったの？とビックリされる😂Health DeclarationとQRでokでした。
5,@virginangelic yeah she did. she was v happy for me.. lol
6,"*deep breath* I am however thankful for my Liberal Cousin and her husband.. who kept me from kicking the Bigoted Christian Cousin out of my house last night.

i was so angry I rage outed myself to them LOL. ""he's so fucking stupid and I'm dating a boy by the way"" idek https://t.co/DbUrqYF73a"
7,sometimes I wish I was a bigoted heterosexual rabid protestant stereotype so I can exercise that Chinese Christian Male privilege and sail through life as an oblivious doorknob
8,pretty fucking sure his neanderthal smooth brain is better off used as a door stop. https://t.co/jjPEye1ldN
9,"I had to find a way to vent my frustration 

Me: bro do u believe that Mary is the mother of God

BCC: no

Me: yep. u burn in hell

BCC: no I Christian what

Me: false church. Protestants worship false god. only catholics are true Christians

BCC: https://t.co/1gN0qB8iBz"
10,Boy brings less than nothing to the table but expects the world pretty fucking sure I nearly had an aneurysm last night https://t.co/p5saUlziFC
11,"BCC: I can't wait to get married. I can't stand being single. I want to start a family.

Also BCC: I'm a boring person so she has to accept me for who I am she must understand me

And BCC: I don't discriminate. but she must be Christian. and a virgin. https://t.co/st8wNaNPMs"
12,"Bigot Christian Cousin : I hate gays. I felt harassed by one gay guy once

Liberal Cousin: so if a girl harassed u, that's ok?

BCC: ya

LC: why?

BCC: shiok sia"
13,I knew there was a good reason why i am not friends with some of my cousins.
14,"quite disappointed with the pig headed wilful ignorance of my cousin. granted only 19 years old but idk how else to say it but he is so damn stupid.

Chinese protestant Christian living a sheltered life protected by mummy"
15,"#ETH/USDT SHORT TRADE SETUP 
Leverage 20X 

ENTRY RANGE  :-$3020-$3163

TARGETS :-20% 30% 50% 75%++

STOP-LOSS :-$3312 

 paly safe add a 2% In ur portfolio.mange ur Risk Well.Not a scalp okey."
16,played mahjong until 3am and honestly I am just so tired right now I probably need a whole day of sleep to recover
17,Commentary: TraceTogether and SafeEntry shouldn’t be needed for entry into malls and low-risk areas https://t.co/fOOHpQ07Aw
18,@rensterrrr https://t.co/As8xjORG1g
19,@rensterrrr do you want to start with mine....
20,@NeilHumphreys @HossanLeong nominating Mr Hossan for a seat on the multi ministry task force please
21,@ryanthehooman that is bloody disturbing. and creepy. what the fuck.
22,CCB there really are 4349564 sgboy variants on twitter this one worse than Loki https://t.co/1HSDTDJkHT
23,eh eh eh swami i waiting me kat staircase ingat nama I syasya staircase ke https://t.co/WAXGh4jNKZ
24,"Me: I like to use the bumgun to assist w washing toilet every day

Kollick: wah u hebat

me: also I use laundry detergent cos the smell damn nice

Kollick: are u serious

Me: yup

Kollick: mm ok

Finance minion: U use bumgun to wash toilet?

FM is the human Internet Explorer https://t.co/j2fDmaKuIx"
25,"New day new year, can we find someone else to cancel other than the dinosaurkangaroo that one is old news already lah.

in all fairness he criticised a whole bunch of stuff la best to eat love and fresh air so happened he picked on a topic w defenders akin to the bts army"
26,"We can learn the same from our youths, who continue to be resilient despite living thru a plague, a world dying because of the actions of the pioneer generation, of open discrimination (jobs, gender, orientation, race), internalised self-hate. https://t.co/EOytWgSmNO"
27,"@chuanjin1 😂 sign of the Times = glancing past the attached image and misreading ""Crowhurst Dr"" as ""Corona virus Dr""!"
28,Covid in Singapore means you are still required to do the safe entry check in for smoking outdoor https://t.co/8SiLPKqiNM
29,I wish Safe Entry jobs existed when I was waiting for my O Level results. Lol.
30,"fuck my safe entry job, shag sia"
31,"カワウソ イズ バック

https://t.co/3MkRUK2arZ New SafeEntry Check-In Shows An Otter Swimming On Top If You're Cleared"
32,"本日TraceTogetherがアップデートされたと言うので早速対応……チェックイン画面にオッターが泳いでおった～‼️😆
#Covid29備忘録 #追跡アプリ
#TraceTogether #SafeEntry https://t.co/qcCdWh965r"
33,Capitol finally removed their problematic automated SafeEntry gantries! https://t.co/EikoDbx1CO
34,TTはsafe entry とワクチン見せるとこ一枚のUIにしてくれー
35,New systems is in place for entry/exit protocol at the mall as newly announced measure kick-in soon. #SafeEntry https://t.co/6vxrmBjF31
36,"Check-out. Gov't provide the  device for free &amp; the use of Safe-Entry system via TraceTogether apps is mandatory as of May 17, 2021 in Singapore. https://t.co/46aXudEBQl"
