,Text
0,ST Print edition omits SG Gov't was surveillance company's customer https://t.co/sqgj9z5Bve
1,"@jasonlol_eth @withFND Hello! This piece is called 'Surveillance' and has an interesting/mysterious backstory 🚨🚨

https://t.co/odPbil1EuN"
2,“…  documentation reviewed by Reuters shows the company's surveillance technology was pitched to the Indonesian government as well. Reuters couldn't determine if Indonesia became a client.” https://t.co/lpP7kOK9zo
3,"@ShortSightedCap If FB comes up with workarounds for attribution, Apple can block it again with next release given that users opted out, Apple owns iOS &amp; seems serious on de-fanging FB’s  biz model of monetising surveillance"
4,"@NFTAsiaOfficial 'Surveillance' 🚨

Tagging @CryptoBengs https://t.co/YOwq4K4B0K"
5,@H0NEYBIX Age of surveillance capitalism and Silicon values come to mind. Locally this: https://t.co/ZvjkoH0pEm
6,Video Surveillance System: Why Does Your Office Need https://t.co/RFXnP94iUe
7,"IMF management, board 'have no role' in statements issued after a country surveillance mission

February 04, 2022 11:48 AMReuters reported a draft sentence critical of Japan's financing of high-emissions coal projects was deleted from a Jan 28 statement. https://t.co/eL6RxXAf94"
8,"IMF management, board 'have no role' in statements issued after a country surveillance mission https://t.co/2jj8HKiheq"
9,"WHO sees pause, even end, of Covid-19 pandemic for Europe

February 03, 2022 9:36 PMBut it cautions that countries must pursue vaccination campaigns and surveillance to detect new variants.

https://t.co/5kDJcLfYrb https://t.co/mUIZNuBH1z"
10,"Truly 🤩🤩🤩 to listen to @davidakaye in conversation with @mariaressa, discussing journalism, freedom of expression, online tech and surveillance capitalism. https://t.co/QpogNEs2Bk"
11,#SGDengueUpdate 174 cases were reported in the week ending 29 Jan. NEA’s Gravitrap surveillance system detected an increasing Aedes aegypti mosquito population across the island. Let’s stay vigilant &amp; #BLOCKDengue. https://t.co/FBVpR46gWo
12,"A year after Myanmar coup, growing surveillance threatens lives https://t.co/mZFWnoJV7b https://t.co/pPAmHTeq3F"
13,"The same Information platform of INTERPOL INT is giving away Information to the host country to attack and run Illgal Activities Drugs trafficking and Organized cycle of crimes easily. Misuse of other technology Surveillance by host country Singapore,  https://t.co/kyv2XNUNFD"
14,"viAct added a smarter touch to its surveillance system by training it to acquire insights using vision technology and transform them to audio-visual alerts.""

Read insightful article https://t.co/d38pMR9JFB

#viAct #ConstructionManagementSoftware #ConstructionSafety #HongKong"
15,"First Look With Surveillance: Omicron Optimism, Russian Gas https://t.co/U8c7iiOK0c"
16,What is the best Surveillance drones for Private Investigators? https://t.co/L28FgS64tW
17,'Bloomberg Surveillance Simulcast' Full Show (11/22/2021) https://t.co/p4BYANe1xB
18,"First Look With Surveillance: Powell Stays, Oil Slides https://t.co/E827uPwIkY"
19,Just posted a photo @ TNT Surveillance Pte Ltd https://t.co/A7HrVWweh3
20,@Khairykj @KKMPutrajaya 1. Why Malaysia did not distribute ART to the public (at least B40) as part of surveillance and mitigation measure? 2. While those received alert via TraceTogether apps as close-contact can collect via dispenser machine. @IsmailSabri60 https://t.co/bsddoSwAiY
