,Text
0,"Another day, another $WOO's fact:

Let's learn about $WOO's ever increasing utilities and as of now: 

First &amp; foremost: 

1. STAKING
WOO tokens can be staked to reduce trading fees, unlock zero-fee trading on WOO X, and increase referral rebates."
1,@ElonMansur Scammers are bloody irritating. No difference from rug pull tokens.
2,"🪙  NEW RADIX COIN MINTED 🪙
Name:   Radix One Million Pixels  (romp)
Description: Radix One Million Pixels Project. Leave a pixellated mark in the cr ...
Amount: 1000000 tokens
Creation (UTC): 2022-02-06T22:53:03
ledger: https://t.co/3N43N9Cu3q"
3,"NFT movement is turning off some artists https://t.co/dBAGLZ5tP2 WHEN non-fungible tokens, or NFTs, first exploded on to the market last year, proponents touted their potential to..."
4,"RT @ProofofMilan: Just by having your token launched or bridged on/to Zilliqa, every token will automatically have an opportunity to build more use cases around it through the #metaverse. It will become a 'utility network'. Think about that for a second. https://t.co/vKwQPlFU0k"
5,@safemoon @RhythmBSC I'm trying to develop 'SUPERMOON' bsc token that will be skyrocket within two weeks. Update coming....
6,"This is an amazing project. I have claimed ETH/BSC free token . It's awesome.
Claim here: https://t.co/ySHrtRo9ki

@OjiPounds @defitective @DaRu87_  @DefiBotsLab @ngenidevelopers https://t.co/TDx3kUv5ap"
7,"Another day, another $WOO's fact: 

@WOOnetwork is believing in organic development with the right product.

Here's a screenshot of what @BenYorke replied when some random KOL asked about cooperation. $Woo don't pay people to shill their token, let the project speaks for itself. https://t.co/pr6G4o95eZ"
8,Do not miss the chance to be the first holders of $WEAR token - @metaweartoken 🚀🚀🚀 https://t.co/V1NpaqA9Xp #metaverse #metawear #airdrop
9,Cant emphasize this enough to pre-PMF projects I chatted with recently who’s thinking about launching their own token. The #1 priority should be to build a product that solves a big enough actual problem and that users love you for it. Tokens should only be considered post-PMF https://t.co/gvRLmDvEMb
10,@cryptoQsecret @DogeZillaarmy Check their app. So much development going on. So 80 to 90% burn will kill some zeros. Later that can burn 99.99 % of tokens 😅😅
11,"RT @UnifeesToken: Hey fam!!!

Long-awaited #FEES staking is live now!!!

Stake your FEES tokens and earn a massive 30% APR

@zilliqa #staking #passiveincome #unifees https://t.co/7Abo0kVqpz"
12,Most Frequently Asked Questions About NFTs(Non-Fungible Tokens) https://t.co/jfpc0IJweS
13,"6/ 🚀 @finance_ref offers liquidity pools, lending and exchange for NEAR and is also connected with the Rainbow Bridge. 

🚀 Berry Club is a DeFi app created mostly for users to just have fun creating shared pixel art while farming token rewards"
14,"Register your interest to claim an upcoming Fraktal marketplace token!
https://t.co/WuaVwEATE2"
15,@cryptoswaiin What’s this token about?
16,"@issue_token_xrp Thank you so much for the great opportunity. 
@ozlemtr90
@AzNFT3
@ZinhlengidiSA"
17,"🪙  NEW RADIX COIN MINTED 🪙
Name:   CHILIX  (chili)
Description: Reservation token for Chilix NFTs 
Amount: 10000 tokens
Creation (UTC): 2022-02-06T16:08:04
ledger: https://t.co/UDhTEW0veV"
18,@nbg_crypto Steady NBG coin community.. Semuga Warga Nusantara dan International bersatu padu mencanak kan NBG token.. In Sha Allah dgn IZIN Nya jua.. Subhanallah...
19,"🔔 NEW TRUSTLINE 📢 

📍Please use caution and conduct your own research 🧐 

Token Name: $ShinaInu
Twitter Page: @ShinaInuXRP
Trustline:https://t.co/fjENMlxrBw 

#XRP #XRPL #XRPCommunity 
#Trustline #Airdrop #AirdropAlert 
#XummCommunity"
20,"👀 I swear it isn't me! A quick guide to the @cronosphere_ $SPHERE token.  One of the latest #deflationary protocols on @cronos_chain!

#Cronosphere #CronosChain @CronosChainNews #DeFi

https://t.co/KetO8mES14"
21,"Congrats @MoExosphere for winning 1 $Apespunk token 🥳

DM @ApesPunk for your prize 🏆

✔️ https://t.co/TIYsTohXHj"
22,@DeFiDiscussion @playtaunt Could you please elaborate more about your tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
23,@babyswap_bsc @meta_rim Could you please elaborate more about your $RIM tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
24,"@deanrey3 @cciebryan @AndreCronjeTech @ibdotxyz The two aren’t technically related besides sharing a token. Also, there’s apparently a third project that’s supposed to use the token as well. I think he just likes having expensive tokens with low total supply? I don’t know."
25,@StartFinance @Goldefy_ Could you please elaborate more about your tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
26,"@GangXenon @bot_suite Could you please elaborate more about your #NFT  tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
@sujonali4289
@TraxVampire1
@traxanna1"
27,@IM_Communityitw @coin_race Could you please elaborate more about your tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
28,"Value Locked in Defi Climbs 13% Higher Since Last Week's Low, SOL Price ... - CFX Magazine: The highest good contract platform token ethereum (ETH) has seen its worth swell by 18.5% within the final seven days. Binance coin (BNB) jumped… https://t.co/OixslrUUls #binance #bnb"
29,"@chrn69 Same sentiments! NFT is about community, collaboration, cohesion and wellness + some added benefits of profits when you invest in projects with great vision that can deliver in areas of your interests for arts, music, brand, DeFi token staking it a bit of everything I love it!"
30,"🔔 NEW TRUSTLINE 📢 

📍Please use caution and conduct your own research 🧐 

Token Name: $XCC
Twitter Page: @XcharityClub
Trustline:https://t.co/3PvYYWw5yC 

#XRP #XRPL #XRPCommunity 
#Trustline #Airdrop #AirdropAlert 
#XummCommunity"
31,@c_challengers @HarvestChronicl Could you please elaborate more about your #NFT tokenomics?What’s the total supply and what kind of plans do you have regarding the token unlocks in the future?
32,"🔔 NEW TRUSTLINE 📢 

📍Please use caution and conduct your own research 🧐 

Token Name: $XCHANGE
Twitter Page: @XCHANGENFT
Trustline:https://t.co/8E2di4Uyg5 

#XRP #XRPL #XRPCommunity 
#Trustline #Airdrop #AirdropAlert 
#XUMMCommunity"
33,"🔔 NEW TRUSTLINE 📢 

📍Please use caution and conduct your own research 🧐 

Token Name: $BisonG
Twitter Page: @BisonGrass_Xrpl
Trustline:https://t.co/Y8XnUu8yHj 

#XRP #XRPL #XRPCommunity 
#Trustline #Airdrop #AirdropAlert 
#XummCommunity"
34,"🔔 NEW TRUSTLINE 📢 

📍Please use caution and conduct your own research 🧐 

Token Name: $XASTRAL
Twitter Page: @astralsonx
Trustline:https://t.co/hGGuT2p3al 

#XRP #XRPL #XRPCommunity 
#Trustline #Airdrop #AirdropAlert 
#XummCommunity"
35,"28/
The team will be monitoring the flow of funds and market sentiments to continuously adjust the APY or token inflation rate to ensure that they are in line with the prevailing monetary policy and keep token holders safe from excessive token inflation."
36,"27/
This gives investors a way to have stable and predictable returns when staking their BLU tokens."
