,0
0,"congress, morons, di, bit, understand, you, have, go, step, by, step, vaccinations, ., tgrse, people, criticized, pm, permitting, covaxin, ., now, wants, all, vaccinated, ., they, looted, india, 60, yrs, cheated, all, indians, ., never, hataued, garibi"
1,"close, 90, million, already, vaccinated, ruchi, ."
2,"parents, got, vaccinated, #, vaccinated"
3,"Today, mom, and, dad, took, the, first, dose, of, vaccine, .., slightly_smiling_face, #, vaccinated"
4,"request, you, get, vaccinated, asap, ., state, is, trying, create, artificial, shortage, vaccines, ."
5,"it, ’, s, only, when, well, aware, citizens, wants, get, vaccinated, central, health, care, management, fiasco, continues, ., vague, restrictions, seeming, be, diskrimination, ., fyi, :, maharashtra, is, worst, affected, state, ., #, maharashtraneedsvaccine"
6,"as, there, are, few, %, people, who, are, positive, after, being, vaccinated, ., so, state, govt, should, stop, cribbing, about, this, especially, front, digital, media, social, media, ."
7,"true, said, ,, 25, above, should, also, b, consider, instead, 45, above, ., is, there, way, get, vaccinated, ,, as, at, my, place, most, them, are, preferring, 45, +, folded_hands"
8,"have, you, got, yourself, vaccinated"
9,"9, crore, indians, vaccinated, #, vaccinateeveryindian, #, vaccine, #, vaccines4all"
10,"40, fully, vaccinated, doctors, ,, test, positive, covid, -, 19, at, kgmc, ,, lucknow, ,, india, #, covid19, #, covid, #, coronavaccine"
11,"wear, mask, get, vaccinated, maintain, social, distance, aware, others, #, comonindia, #, indiafightscorona, only, we, together, can, ."
12,"family, members, front, line, workers, should, also, be, vaccinated, despite, any, age"
13,"sri, lanka, cricket, team, be, vaccinated, against, covid19, ,, first, dose, be, given, april, 11, -, #, lka, #, srilanka, #, cricket, #, vaccinate"
14,"absolutely, correct, ,, it, ’, s, shelf, life, is, just, 4, hrs, -, let, us, hope, ,, more, people, come, center, getting, vaccinated"
15,"today, our, officer, is, mangapet, range, officer, staff, we, are, vaccinated, covid"
16,"same, here, ...., luckily, my, parents, also, got, vaccinated, last, week, ."
17,"oops, ,, i, did, not, think, i, could, get, vaccinated, that, soon, ., at, least, ,, singapore, government, is, really, efficient, about, that, ., so, i, booked, two, jabs, ’, slot, immediately, ., flexed_biceps"
18,"so, what, should, i, tweet, then, ..., mr, ., ki, aunty, got, vaccinated, eyesunamused_face"
19,"another, advocate, rich, pharma, companies, who, are, not, able, digest, 30, crores, indians, getting, vaccinated, either, free, or, at, 250, ₹, per, vaccine, shot, .., guess, who, could, possibly, be, payroll, big, pharma, giants, pfizer, or, modern, ’, s, push, their, use, india"
20,"late, reply, this, thread, but, ..., it, is, quite, sian, because, that, is, going, to, be, another, divide, created, by, this, pandemic, ., it, would, mean, certain, percentage, people, would, be, excluded, events, /, venues, that, require, people, be, vaccinated, ,, traveling, without, quarantine, ."
21,"chairman, -, cum, -, managing, director, ,, nlc, india, ltd, .,, shri, rakesh, kumar, along, with, his, mother, got, first, dose, #, covid19, vaccine, at, nlc, india, hospital, ,, neyveli, #, vaccinated, #, largestvaccinationdrive"
22,"thinking_facethinking_face, sanghio, ka, maths, bhi, modi, ki, tarah, hai, ., abey, pahli, baat, ,, yahan, baat, out, 100, ki, ho, rahi, hai, ., jiska, population, se, koi, lena, dena, nahi, hairolling_on_the_floor_laughingrolling_on_the_floor_laughing, ., jitni, jyaada, population, hogi, end, figure, utna, jyaada, hoga, ., par, 100, people, mein, se, kitne, vaccinated, hue, hai, yeh, important, hota, hai"
23,"chutiye, baat, yahan, vaccinated, ki, ho, rahi, hai, ., out, 100, people, how, many, people, india, are, vaccinated, ., doosra, g7, is, not, only, performing, better, than, us, but, also, pledging, help, other, ., hamara, waala, pm, toh, election, mein, mast, hai"
24,"maybe, she, is, talking, terms, absolute, number, shots, ., however, ,, percentage, wise, only, chhatisgarh, &, amp, ;, gujarat, have, vaccinated, more, than, 20, %, it, is, 45, +, population, ., maha, is, at, 10, ., 9, %, as, per, apr, 04, ,, data, ., fact, is, highest, cases, also, come, frm, maharashtra, ."
25,"how, sanghi, fool, other, ', s, india, is, vaccinated, just, 6, people, out, 100, ., where, as, even, small, those, country, are, doing, better, who, do, not, produce, covid19, vaccine, ., keep, fooling"
26,"good, know, ,, still, trying, gather, courage, get, vaccinated, beaming_face_with_smiling_eyes"
27,"as, per, best, cm, ..., traveling, standing, busses, can, lead, coronovirus, ...., but, standing, at, bus, stops, waiting, bus, can, get, u, vaccinated, #, justuddhavlogic"
28,"if, pawar, could, get, 2nd, dose, at, home, why, not, thousands, elderly, who, are, not, able, move, out, can, also, be, vaccinated, then, ., this, shows, we, have, infrastructure, home, #, vaccination, #, vaccine"
29,"uk, ’, s, population, is, 67, mn, india, is, 1, ., 3, bn, ., india, is, vaccinating, 1, ., 9, mn, day, ., india, has, vaccinated, 87, mn, ,, 11, mn, both, doses, ., %, based, comparison, is, not, correct, ,, talk, absolute, numbers, ., uk, has, solid, medical, infra, better, per, 100, ,, 000, medical, staff, compared, india, ."
30,"registration, new, admission, open, children, born, october, ,, november, &, amp, ;, december, 2014, ., #, backtoschook, #, bahrain, #, breaking, #, news, #, admission, #, school, #, primary, #, vaccinated, #, vaccinate, ,#, commit4bahrain, #, بحرين, #, moe, #, education"
31,"go, panchak, school, .., no, line, nothing, .., can, get, vaccinated, minutes, ."
32,"#, largestvaccinationdrive, #, unite2fightcorona, if, you, are, eligible, ,, register, yourself, get, vaccinated, without, any, delay, ."
33,"9718419991, ., my, father, got, vaccinated, next, day, ."
34,"sir, waiting, all, health, workers, people, above, age, 45, get, vaccinated, would, take, eternity, since, people, are, not, willing, get, vaccinated, hence, low, figures, ."
35,"youngest, population, world, should, also, let, youngsters, get, vaccinated, #, lifesoverpolitics"
36,"gmch, ..., good, job, ., get, yourself, vaccinated"
37,"it, is, been, over, year, since, #, covidー19, started, ,, things, are, only, getting, worse, ., people, are, getting, vaccinated, ,, so, ease, up, damn, restrictions, ., unamused_face"
38,"vaccinated, check_mark, ️, Alas, never, took, a, photo, ..., beaming_face_with_smiling_eyes, #, vaccinated"
39,""", ten, deaths, out, 10, million, people, vaccinated, is, one, -, in, -, a, -, million, chance, ., that, is, roughly, same, risk, as, being, murdered, next, month, or, -, if, you, get, car, drive, 250, miles, -, risk, you, dying, road, accident, that, journey, ."""
40,"prevention, is, better, than, cure, ,, be, vaccinated, when, it, is, your, turn, ., #, largestvaccinedrive, #, fightagainstcoronavirus, nehru, yuva, kendra, sangathan, -, nyks, india, nyks, odisha, ministry, youth, affairs, sports, ,, government, india, nehru, yuva, kendra, sangathan, -, ganjam, district"
41,"my, father, just, vaccinated, yesterday, .., well, good, .."
42,"if, you, need, more, information, convince, you, get, vaccinated, ."
43,"personal, finance, daily, :, 10, countries, where, vaccinated, americans, are, allowed, travel, over, -, the, -, counter, ,, 15, -, minute, covid, -, 19, tests, are, coming, store, near, you, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
44,"only, 16, ., 5, %, our, population, are, vaccinated, broken_heart"
45,"nope, ,, even, though, vaccinated, but, not, safe, ., misconception, ."
46,"very, true, each, individual, should, be, vaccinated, by, wait, corona, spread, ., give, free, vaccine, all, like, other, countries, who, are, not, vaccine, manufacturers, like, india, ., cheap, politics"
47,"now, that, i, ’, m, vaccinated, none, these, niggas, can, ’, t, tell, me, shiiiiiiiiiiiit"
