,0
0,"45, +, #, bbmp, #, bengaluru, #, covidvaccine, availability, 07, /, 02, at, 04Happy_face_smiley0pm, free, slots, 0, paid, slots, 0"
1,"45, +, #, urban, #, bengaluru, #, covidvaccine, availability, 07, /, 02, at, 04Happy_face_smiley0pm, free, slots, 0, paid, slots, 0"
2,"45, +, #, rural, #, bengaluru, #, covidvaccine, availability, 07, /, 02, at, 04Happy_face_smiley0pm, free, slots, 0, paid, slots, 0"
3,"mandaviya, informed, that, total, 170, crore, covid, -, 19, vaccine, doses, have, been, administered, already, throughout, country, #, coronavirus, #, omicron"
4,"bjp, &, amp, ;, rss, communal, virus, country, "", like, covid, "", ,, but, vaccine, has, been, developed, by, dehli, as, ,, available, market, ., #, all, states, need, first, dose, till, 2024, ."
5,"sr, citizens, covid, 3rd, vaccine, dose, delay, due, error, certificate, :, orissa, hc, issues, notice, center, #, covidvaccine, #, kalingatv"
6,"syringe, about, sixteen, million, 77, %, sri, lankans, have, gotten, at, least, one, vaccine, dose, so, far, –, total, vaccinations, :, 36, ,, 518, ,, 577, –, fully, vaccinated, :, 14, ,, 010, ,, 772, –, daily, vaccinations, :, 126, ,, 474, ~, Sri_Lanka, status, id, 234, ~"
7,"protest, against, covid, restrictions, vaccines, madrid"
8,"#, shiningjk, jk, path, development, 83, %, teenagers, recieve, first, jab, covid, vaccine, j, &, amp, ;, k, #, badaltakashmir, #, badaltajammukashmir"
9,"the, lab, rats, astrazeneca, are, the, bravest, people, ,, xde, even, heard, they, have, side, effects, ., people, sinovac, ni, mcm2, afraid, of, vaccine, side, effects, ., after, all, ,, most, likely, it, ’, s, just, placebo, ., long, covid, is, worst, ytjt"
10,"omg, covid, get, vaccine, omg, delta, get, vaccine, second, dose, omg, omicron, get, booster, jab, someone, :, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
11,"drugs, controller, general, india, ,, grants, emergency, use, single, -, dose, sputnik, light, covid, -, 19, vaccine, ."
12,"Aadhar, number, is, not, required, for, medical, services, and, Govt, vaccination, #, zeetamilnews, |, #, aadhar, |, #, corona, |, #, vaccine, |, #, covidvaccine, ||"
13,"north, delhi, has, at, least, 24858, new, slots, available, between, 07, -, 02, -, 22, &, amp, ;, 14, -, 02, -, 22, ., covishielTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, dose1, -, 18, +/, 45, +:, 7816, /, 0, dose2, -, 18, +/, 45, +:, 7745, /, 0, covaxin, :, dose1, -, 18, +/, 45, +:, 295, /, 0, dose2, -, 18, +/, 45, +:, 258, /, 0, book, one, now, at, #, vaccine, #, cowin, #, covid, #, delhi"
