,0
0,"soniya, mummy, hot, toh, couid, me, magic, stick, huma, ke, death, kam, kar, deli, ..., aur, rahul, baba, ape, hadto, se, tayyar, kake, saeko, vaccination, data"
1,"#, pickins, :, about, twenty, ,, zero, children, perils, eligible, couid, -, nineteen, vaccination"
2,"previous, couid, -, nineteen, infection, i, but, not, vaccination, i, improves, performance, antibodies, -"
3,"india, i, i, couid, -, nineteen, vaccination, coverage, crosses, one hundred and seventy-one, ., seventy-three, or, mark"
4,"i, got, call, office, principal, commissioner, cost, lucknow, ,, it, ascertained, status, couid, vaccination, doses, by, me, ,, all, doses, booster, is, taken, by, me, ,, thanks, regards, or, commissioner, cost, lucknow"
5,"i, have, booked, flight, thirteen, feb, ,, two thousand and twenty-two, toronto, new, delhi, departure, time, one thousand, one hundred and fifty-five, est, please, do, let, me, know, that, as, per, new, guidelines, that, have, come, today, ,, is, couid, -, nineteen, test, still, necessary, or, i, can, upload, my, vaccination, certificate, only, travel"
6,"couid, -, nineteen, vaccination, drive, :, around, one hundred and seventy-two, crore, couid, vaccine, doses, administered, india, ,, says, govt"
7,"oscars, two thousand and twenty-two, :, attendees, not, required, provide, couid, -, nineteen, vaccination, proof, oscars, will, reportedly, return, it, is, traditional, setting, dolby, theatre, hollywood, boulevard, it, is, upcoming, ceremony, march, twenty-seven, #, latest, news, by, #, businessstandard"
8,"couid, -, nineteen, vaccination, at, cac, govt, ., boys, senior, secondary, school, ,, loni, road, ,, north, east, district, #, largestvaccinedrive, #, fightagainstcovid19, #, united2fightcorona"
9,"couid, vaccination, centre, list, eleven, ., two, ., twenty-two, two, /, two, #, vaccinationdrive, #, covidvaccine, #, kmcfightsagainstcorona"
10,"couid, vaccination, centre, list, eleven, ., two, ., twenty-two, one, /, two, #, vaccinationdrive, #, covidvaccine, #, kmcfightsagainstcorona"
11,"Vaccinate, to, protect, yourself, and, your, loved, ones, from, coronavirus, #, uranus, #, covidvaccination"
12,"is, couid, ki, raja, se, but, spray, logon, ne, ape, pardon, ko, khoja, hai, but, sare, log, ani, jan, se, hath, who, bethe, agr, ap, is, susan, se, bacha, chaste, hair, ply, vaccination, larvae, ...., #, jeelodobara, #, jeelophirse, #, covidvaccine"
13,"guv, inspects, couid, vaccination, centres"
14,"couid, vaccination, centers, eleven, /, two, /, two thousand and twenty-two"
15,"pal, advise, precaution, couid, vaccination, dose, those, who, have, already, taken, two, pfizer, doses, usa, feb, twenty, ,, this, is, very, essential, so, citizen, seventy, +"
16,"tonga, i, i, first, couid, outbreak, erupts, ;, vaccination, surges, ninety-eight, %"
17,"total, number, active, couid, -, nineteen, cases, aryans, as, feb, ten, :, seven, ,, eight hundred and sixty-six, total, vaccination, aryans, as, feb, ten, first, dose, seventy, ,, three hundred and thirty-seven, second, dose, five, ,, four hundred and thirty-one, total, cumulative, figure, four, ,, one, ,, thirty-two, ,, eight hundred and seventy-nine, as, date, #, try, ,, ,"
18,"deaths, due, couid, what, is, vaccination, rate, what, it, is, free, what, we, are, safe, sir, gallian, nikola, ata, he, tuck, bhai, congress, mubarak, kashmir, nha, se, kashmiri, pandit, ko, braga, diya, mar, diya, gay, harm, parivartan, rne, bola, gay, wo, mubarak, dunny, ke, same, mubarak, nai, koi, mubarak, kashmir, nha, se, kashmiri, pandit, ko, braga, diya, mar, diya, gay, harm"
19,"couid, -, nineteen, :, vaccination, updates, nine, ., two, ., two thousand and twenty-two, number, people, who, have, received, first, dose, -, ma, :, thirteen, atolls, :, eight, number, people, who, have, received, second, dose, -, ma, :, thirty-three, atolls, :, fifteen, number, people, who, have, received, booster, dose, -, ma, :, six hundred and one, atolls, :, two thousand, four hundred and seventy-three"
20,"passengers, aged, fifteen, above, require, full, vaccination, against, couid, -, nineteen, order, undertake, inbound, flights, pakistan, ."
21,"Information, was, given, to, the, general, public, through, cultural, programs, in, chiming, ,, Bhakrod, ,, carnal, and, Khinvsar, villages, of, nagar, district, today, by, a, mobile, exhibition, vehicle, being, run, to, make, the, general, public, aware, about, #, Corona, vaccination, ., #, covid19, #, covidvaccination"
22,"total, number, active, couid, -, nineteen, cases, punjab, as, feb, ten, :, five, ,, seven hundred and seventy-one, total, vaccination, first, second, dose, punjab, day, feb, ten, :, two, ,, eighty-seven, ,, three hundred and fifty-six, #, pub, ,, ,"
23,"india, i, i, #, covid19, vaccination, coverage, has, crossed, one hundred and seventy-one, crore, seventy-three, lakh, today, more, than, forty-three, lakh, vaccine, doses, administered, till, seven, am, today, ., more, than, one, crore, sixty-four, lakh, precaution, doses, identified, categories, beneficiaries, couid, vaccination, have, been, administered, so, far, ."
24,"state, couid, -, nineteen, vaccination, update, as, with, february, two thousand and twenty-two"
25,"#, covid19, vaccination, drive, :, around, one hundred and seventy-two, crore, couid, vaccine, doses, administered, india, ,, says, govt"
26,"couid, vaccination, has, been, started, today, in, various, schools, in, the, district, for, children, between, the, ages, of, fifteen, and, fourteen, under, the, direction, of, the, Department, of, Health, dish, ., A, total, of, five hundred and seventy-two, students, we, are, vaccinated, on, the, first, day, by, the, district, chief, hospital, Buddhist, ., #, covidvaccination, #, coronaupdate"
27,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, set, ravibala, social, welfare, officer, ids, project, director, addressing"
28,"vaccination, against, couid, -, nineteen, is, necessity, today, i, i, scenario, ., hoping, this, problem, ends, soon, ,, everyone, remains, safe, secure, ."
29,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, shri, seenivasan, addressing"
30,"The, number, of, corona, vaccines, injected, in, India, has, crossed, one hundred and seventy-one, crore, i, #, india, #, covidvaccination"
31,"booster, vaccine, have, been, shown, improve, body, ', i, resistance, couid, -, nineteen, ,, offering, extra, dose, protection, against, virus, pfizer, is, one, most, commonly, used, vaccines, each, course, vaccination, processbut, what, side, effects, should, you, expect"
32,"india, couid, -, nineteen, vaccination, update, :, ten, -, feb, -, two thousand and twenty-two, nine, :, fifteen, am, view, more, :, #, largestvaccinedrive, #, largestvaccinationdrive, #, unite2fightcorona, #, indiafightscorona"
33,"very, surprising, that, vaccinated, population, &, it, ;, yrs, is, forcefully, exposed, attend, offline, classes, &, amp, ;, examination, present, couid, situation, ., no, -, one, is, cares, about, their, safety, ., why, cannot, offline, classes, &, amp, ;, examination, begin, after, couid, vaccination, them, as, well, ."
34,"some, pics, peer, educators, seen, gujaratis, ,, aryans, ,, punjab, uttarakhand, under, #, risk, trained, spread, health, related, awareness, at, home, ,, schools, community, inch, couid, vaccination, ., well, doneclapping_handslight_skin_toneclapping_handslight_skin_tone"
35,"couid, -, nineteen, influenza, confection, :, importance, vaccination"
36,"couid, vaccination, update, :, vaccination, figure, india, crossed, one hundred and seventy-two, crores, ,, more, than, forty-three, lakh, people, took, vaccine, twentyfour, hours"
37,"multi, -, lingual, posters, we, are, created, citizens, above, sixty, years, urging, them, go, couid, vaccination, fearlessly, these, we, are, pushed, through, digital, platforms, :, my, ., ashok, join, ,, executive, director, ,, micro, labs, limited, ,, executive, director, ,, micro, labs, limited, #, pradanya2022, #, day"
38,"do, ., deserved, #, one, minister, ', i, award, his, exceptional, performance, health, ministry, way, he, has, managed, things, millennium, ', i, biggest, peril, couid, was, outstanding, ., then, he, did, amazing, job, vaccination, process, ., retweet, if, you, agree"
39,"i, request, everyone, make, use, free, couid, -, nineteen, vaccination, programme, that, will, be, held, various, locations, mahadevapura, assembly, constituency, eleven, -, two, -, two thousand and twenty-two, ."
40,"*, couid, -, nineteen, vaccination, update, -, day, three hundred and ninety-one, *, *, india, i, i, cumulative, vaccination, coverage, reaches, nearly, one hundred and seventy-two, crore, *, *, more, than, forty-three, lakh, vaccine, doses, administered, today, till, seven, am, *"
41,"#, covid19update, |, India, ', i, #, covidvaccination, coverage, reached, about, one hundred and seventy-two, crores, ., More, than, forty-three, lakh, doses, have, been, administered, till, seven, am, today, :, Health, Ministry"
42,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, shri, i, devi, padmanabhan, field, publicity, officer, tiruchirapalli, addressing"
43,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, asst, project, officer, shri, geetharatnam, addressing"
44,"India, ', i, couid, vaccination, coverage, has, reached, around, one hundred and seventy-two, crores, ., More, than, forty-three, lakh, doses, have, been, administered, till, seven, am, today, :, Ministry, of, Health, #, covidvaccination"
45,"India, ', i, loved, vaccination, coverage, has, reached, about, one hundred and seventy-two, crores, ., More, than, forty-three, lakh, doses, have, been, administered, till, seven, am, today, :, Ministry, of, Health, #, covidvaccination"
46,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, block, medical, officer, do, suryakumar, addressing"
47,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, abhinaya, alai, kuthu, performing"
48,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, sum, coordinator, shri, rajabhoopathy, addressing"
49,"mini, cop, couid, vaccination, swath, bharat, abhiyan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur"
50,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, block, medical, officer, do, i, suryakumar, addressing"
51,"india, i, i, couid, -, nineteen, vaccination, coverage, reaches, nearly, one hundred and seventy-two, crores, ,, with, administration, more, than, forty-three, lakh, doses, till, seven, am, today, :, union, health, ministry"
52,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, fo, tiruchirapalli, shri, i, devi, padmanabhan, addressing"
53,"motivated, by, #, freedomconvoy, "", challenge, couid, -, nineteen, antibody, prerequisite, cross, -, line, drivers, ,, six, guards, french, motorists, we, are, going, paris, go, against, their, administration, ', i, vaccination, rules, ., #, canada"
54,"yeah, i, still, do, not, get, why, ,, symptoms, are, much, less, severe, after, vaccination, me, is, example, :, i, ,, my, country, number, deaths, is, much, lower, after, seventy, %, population, has, been, vaccinated, against, couid, life, has, been, back, normal, ."
55,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, spa, tricky, shri, i, ravindran, welcoming"
56,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, abhinaya, alai, kuthu, song, drama, program"
57,"mini, cop, couid, vaccination, swath, bharat, abhiyaan, voters, day, soil, health, card, aka, by, fob, tiruchirapalli, at, singer, lambada, panchayat, perambalur, exhibition, by, ids"
