,0
9000,"union, health, minister, do, harsh, vardan, holds, meeting, via, video, conference, with, health, ministers, nine, states, &, amp, ;, us, review, prevailing, couid, situation, &, amp, ;, progress, vaccination, drive, their, respective, regions, ....#, indiafightscorona"
9001,"can, anybody, refer, corporate, couid, vaccination, drive, private, hospitals, other, than, avery, &, amp, ;, mortis"
9002,"visiting, couid, vaccination, centre, under, seva, hi, sangathan, organised, by, kisae, mocha, impale, east"
9003,"we, need, couid, vaccination, center, eighteen, +, &, amp, ;, forty-five, +, also, dedicated, to, nation, ', i, interest, modify, and, yogi, ,, in, bridge, vicar, gob, which, is, surrounded, by, toxic, drain, on, three, sides, hundreds, of, residents, died, untimely, from, corona, ,, thanks, opening, couid, vaccination, center"
9004,"is, ., paalai, zachary, ,, add, kamp, has, monitored, different, couid, vaccination, testing, centers, twentynine, /, five, /, twentynine, ."
9005,"couid, vaccination, victory_hand, i, sign_of_the_horns, take, responsibility, get, vaccinated, stay, away, rumorssign_of_the_hornsfire, #, besafewearamask, #, covidvacccinedone, victory_hand, i, red_heart, i"
9006,"self, test, kit, #, mylar, #, icer, #, covid_19, #, covidvaccination, #, coronavirus, #, coviself, #, covid19india"
9007,"all, vaccine, are, very, safe, there, is, negligible, difference, between, efficacy, almost, nil, side, effects, #, goforvaccine, #, covid19, #, covidemergencyindia, #, covidvaccination, #, secondcovidwave, #, vaccinesafty"
9008,"I, have, had, my, couid, -, nineteen, vaccine, est, dose, ., grinning_face_with_smiling_eyes, #, vaccinationdonecheck_mark, i, #, vaccination, @, dean, gemilang, um"
9009,"people, ', i, are, flushes, out, ,, assembling, getting, unite, couid, -, nineteen, vaccination, at, slot, area, as, per, given, registration, i, but, why, this, is, not, social, distancing, ord, wave, pandemic, ,, but, #, jharkhandgovt, getting, it, done, ., so, ,, i, simply, urge, why, cannot, you, providing, doses, door, door, ."
9010,"after, vaccination, doses, why, couid, test, is, mandatory, assay, citizens, who, arrived, other, states"
