,0
0,"when, i, got, my, booster, there, was, like, 15, different, pharmacies, close, me, offering, pfizer, but, i, had, already, had, moderna, so, i, drove, like, twenty, minutes, closest, moderna, place, ., it, was, hood, ., i, regret, nothing"
1,"they, been, lying, us, ,, fauci, ,, pfizer, biden, since, beginning, biden, ', s, term, still, are, not, telling, us, ,, are, vaccines, no, good, ,, are, they, destroying, our, immune, systems, ,, has, china, released, another, killer, covid, what, ', s, fucking, truth"
2,"another, good, one, for, you, here, ., take, a, look, ., about, pfizer, ."
3,"i, had, pfizer, booster, with, no, side, effects, ., it, was, second, shot, that, hit, me, ."
4,"#, crimesagainsthumanity, will, not, go, unpunished, ,, if, not, this, world, ,, next, ., imo, ,, drawback, monoclonal, antibody, is, set, up, these, supposed, #, merk, #, pfizer, oral, c, -, 19, treatments, ., thank, you, your, bravery"
5,"if, life, is, “, priceless, ”, it, ’, s, not, let, ’, s, remove, pfizer, ’, s, liability, waiver, see, how, they, fare, winking_face_with_tongue"
6,"look, at, how, it, was, developed, by, pfizer, ,, modern, ,, astra, zeneca, ,, johnson, and, the, other, pharmaceutical, companies, that, do, it, as, a, way, of, development, ,, your, ignorance, is, so, great"
7,"i, ', m, house, pfizer, as, well, ., second, shot, took, me, all, way, out, ., booster, did, nothing, really, ., crossed_fingersmedium, -, dark_skin_tonecrossed_fingersmedium, -, dark_skin_tonecrossed_fingersmedium, -, dark_skin_tone"
8,"pfizer, hit, me, much, harder, than, it, did, my, husband, ."
9,"hopefully, some, powerful, people, brought, justice, south, africa, says, covid19, pill, pfizer, is, good, news, says, “, i, hate, predictions, but, i, promise, we, will, strive, bring, good, news, stories, ”, says, tigers, says"
10,"i, took, my, pfizer, booster, late, september, w, /, o, any, issues"
11,"it, was, teddy, bear, transport, cook, children, ’, s, ., they, were, phenomenal, moment, they, walked, in, ."
12,"that, is, false, ,, pfizer, ,, modern, and, others, have, already, received, final, approval, for, months, ., the, abdala, vaccine, has, not, delivered, the, provisional, documentation, ., He, has, not, even, been, able, to, give, a, schedule, of, when, he, is, going, to, give, it, ..., obviously, he, does, not, have, it, yet, ."
13,"i, wish, you, would, screen, cap, rather, than, rt, crap, like, this, ."
14,"pfizer, disagrees, with, your, last, point, ."
15,"i, can, say, that, my, az, 1st, required, two, days, recovery, 2nd, day, i, was, able, go, walk, ,, pfizer, 2nd, was, 1, day, sleepiness, /, headache, ,, pfizer, 3rd, was, marginally, milder, than, #, 2, but, slightly, more, body, aches, ."
16,"Good, morning, ,, if, I, have, my, two, doses, of, Pfizer, ,, can, I, take, an, Aztrazeneca, booster, ,, or, will, we, have, a, schedule, for, a, Pfizer, booster, ?"
17,"hence, not, being, better, off, ,, unless, you, own, pfizer, stock, that, is, ."
18,"If, they, are, vaccines, applied, in, Mexico, there, could, be, a, reason, ,, if, they, were, applied, in, the, US, it, would, be, good, to, know, if, they, were, Pfizer, ,, Moderna, or, J, &, amp, ;, J, and, how, long, ago, ."
19,"hundred_points, congrats, moderna, pfizer, winning, 2021, ."
20,"wow, i, remembered, that, bradford, said, that, katy, took, the, booster, shot, and, got, very, sick, with, reaction, ,, people, like, people, being, clubbed, by, pfizer"
21,"pfizer, clinical, trial, ph, 3, was, poorly, designed, ., used, same, dose, as, 6, mo, 2, yr, old, cohort, ., had, scrap, start, over, ., you, can, read, al, about, it, biotech, news, sites, ., if, you, really, care, learn, or, just, planting, propaganda"
22,"lmao, i, rolled, with, pfizer, this, time, since, i, got, moderna, initial, shots, ., heard, mixing, might, be, better, but, nurse, there, told, me, it, didn, ’, t, matter, face_with_tears_of_joy"
23,"why, in, the, world, ,, the, only, vaccine, that, has, covered, all, the, protocols, ,, to, be, suitable, for, minors, is, pfizer, ., here, it, is, not, by, preference, ."
24,"pharmacy, i, went, 2, said, theres, province, wide, shortage, pfizer, they, wont, be, getting, more, until, next, week, very, limited, supply, expressionless_facegrimacing_face"
25,"day, after, my, booster, ,, very, sleepy, body, achy, ., but, happy, be, boosted, bring, 2022, #, boosted, #, covid19ab, #, pfizer"
26,"follow, money, ., if, pfizer, is, making, bunch, money, ,, surely, whoever, makes, ivermectin, must, be, making, bunch, as, well, ., it, ', s, ford, chevy, ., if, you, can, ', t, trust, pfizer, ,, how, can, you, trust, whoever, makes, ivermectin"
27,"For, consistency, ,, all, supporters, of, the, party, in, power, in, Mexico, should, be, applied, ., while, Silvio, and, Eugenia, sing, to, them, in, the, local, sound, of, the, vaccination, centers, ., Pfizer, is, a, vaccine, that, is, produced, in, “, neoliberal, ”, countries"
28,"with, pfizer, two, i, laid, couch, played, games, slept, ., this, one, i, was, bed, all, day, unable, lift, finger, ., it, was, like, i, was, knocked, out, ."
29,"man, had, covid, -, 19, why, doesn, ', t, canada, give, you, credit, natura, imunity, does, trudeau, own, stock, pfizer"
30,"fda, authorize, pfizer, booster, kids, 12, -, 15, via"
31,"and, surely, we, will, pay, more, than, pfizer, ,, the, price, of, a, Cuban, "", doctor, ""., gatell, must, be, taking, a, mega, commission"
32,"astra, for, over, 60s, ., Pfizer, for, children, under, 18, years, of, age, ."
33,"got, moderna, booster, after, earlier, pfizer, vax"
34,"moderna, massachusetts, ,, usa, ,, pfizer, new, york, ,, usa, ., nothing, else, add, ;, that, ', s, tweet"
35,"i, already, have, appointment, at, pharmacy, which, offers, pfizer, booster, ., i, was, looking, at, pop, ups, case, i, could, get, something, sooner, ."
36,"thankful, get, pfizer, booster, shot, today, flexed_bicepssyringemy, son, asked, when, do, i, get, my, booster, 2, more, monthssmiling_face_with_heart, -, eyes, #, sciencerocks"
37,"they, say, it, is, a, new, business, they, are, going, to, sell, it, to, us, 5, times, more, expensive, than, pfizer, it, will, be"
38,"i, finally, got, booster, appointment, today, they, asked, me, if, i, was, ok, having, moderna, after, two, pfizer, doses, which, i, replied, “, no, no, i, ’, m, not, brand, loyal, here, …”, face_with_tears_of_joy"
39,"all, good, ., i, didn, ’, t, know, pfizer, owned, it, previously, ."
40,"you, might, should, get, different, vaccine, j, &, amp, ;, j, has, low, effectivity, rate, ., i, got, pfizer, x, 3, ,, 2, &, amp, ;, 3, side, effects, sucked, ,, got, migraine, after, both, ,, but, not, many, ."
41,"I, got, vaccinated, with, pfizer, and, I, have, never, been, able, to, obtain, my, frowning_face, certificate, ️"
42,"selling, brandname, securus, pfizer, vaccines, cheap"
43,"johnson, &, amp, ;, johnson, makes, listerine, ,, but, i, get, your, point, ."
44,"washington, d, ., c, ., is, one, worst, hot, spots, this, data, not, including, breakthrough, cases, our, family, 4, ., all, adults, 3x, ,, kids, 2x, -, pfizer, -, vaxxed, ., b, /, c, no, pcr, appt, ., available, only, had, home, test, kits, confirm, like, many, other, friends, we, know, who, are, also, positive, ., #, covid19"
45,"my, nine, -, year, -, old, daughter, had, pfizer, no, complaints, at, all, ., we, had, party, with, balloons, she, was, so, happy, after, throwing, purple, fit, over, flu, shot, just, couple, years, earlier"
46,"so, far, ,, only, side, effect, i, have, pfizer, booster, is, slight, soreness, around, injection, site, my, right, arm, ,, which, was, my, only, side, effect, after, first, two, shots, march, /, april, ."
47,"i, got, j, &, amp, ;, j, vaccine, 6, months, ago, …, plus, flu, shot, november, pfizer, booster, days, ago, …, i, ’, m, healthcare, worker, ., slightly_smiling_face"
48,"this, reminds, me, of, the, movie, #, dontlookup, it, ', s, besides, that, despite, there, is, strong, scientific, evidence, regarding, pfizer, and, astrazeneca, ,, the, government, told, us, not, to, see, those, vaccines, and, better, watch, abdala, ., pandemic, times, playing, with, the, health, of, Mexicans, ."
49,"main, reason, question, is, if, hypothetically, real, +, case, count, is, closer, 5million, /, day, ,, large, proportion, us, will, be, likely, infected, by, end, january, ., maybe, we, will, reach, endemic, levels, before, 2024, as, pfizer, predicted, thanks, diskussion, your, science"
50,"all, 3, pfizer"
51,"they, ’, ve, been, working, coronavirus, vaccines, decade, ., pfizer, vaccine, is, fda, approved, ., eua, didn, ’, t, allow, them, skip, any, steps, testing, ,, it, just, allowed, them, do, steps, parallel, instead, series, ., millions, millions, people, have, had, it, we, ’, re, fine"
52,"today, i, took, my, pfizer, booster, dose, ,, thank, god, for, life, and, for, the, opportunity, to, get, vaccinated, ., vaccinate, if, you, gas"
53,"j, &, amp, ;, j, vaccination, combined, with, pfizer, booster, ."
54,"i, have, no, symptoms, so, far, ,, if, i, have, it, i, will, probably, find, out, tomorrow, ., but, i, have, three, doses, pfizer, vs, my, roommates, one, dose, j, &, amp, ;, j, ., ironically, she, was, scheduled, get, booster, yesterday, couldn, ', t, go, ."
55,"i, got, mild, fever, &, amp, ;, was, tired, after, j, &, amp, ;, j, ., just, sore, arm, pfizer, booster"
56,"no, ,, i, had, all, three, moderns, shots, ., my, husband, did, pfizer, vaccine, moderns, booster, ...., no, problems, ., thumbs_up"
57,"Unfortunately, they, say, no, ."
58,"family, of, 15, ,, 15, infected, ,, including, grandmother, ,, parents, and, 3, minors, ., adults, all, with, pfizer, in, the, eu, ., omicron, is, a, bastard, but, his, stupidity, is, much, more, so, ."
59,"read, this, thread, about, the, vaccines, with, sinovac, +, pfizer, ,, practically, it, says, that, every, patient, vaccinated, with, sivac, requires, booster, with, pfizer"
60,"was, wondering, if, moderna, would, get, ahead, pfizer, ., looks, like, they, might, ., still, baffling, pfizer, won, ', t, submit, eua, now, 6, -, 24, mo, that, did, show, good, response, ."
61,"that, ', s, prohibited, true, over, 8, million, kids, this, age, group, got, syringe, cdc, study, had, 42, ,, 504, kids, w, /, pfizer, -, 58, %, had, local, reactions, -, 41, %, had, fatigue, or, headaches, -, 11, confirmed, cases, myocarditis, -, 2, girls, who, died, w, /, "", complicated, histories, "", early, on, ..., no, deaths, since, most, recover"
62,"over, 8, million, kids, this, age, group, got, syringe, study, had, 42, ,, 504, kids, w, /, pfizer, -, 58, %, had, local, reactions, -, 41, %, had, fatigue, or, headaches, -, 11, confirmed, cases, myocarditis, -, 2, girls, who, died, w, /, "", complicated, histories, "", early, on, ..., no, deaths, since, most, recover"
63,"those, dudes, got, pfizer, no, you, see, they, all, played, in, europe"
64,"meds, created, by, pfizer, merck, r, meant, 2, b, taken, by, people, who, have, recently, been, infected, with, sars, -, cov, -, 2, are, at, higher, risk, progressing, severe, form, covid, -, 19, ,, which, could, lead, hospitalization, death, ., i, ’, d, rather, take, measures, b4, than, after, infection, ."
65,"it, was, through, site, -, not, sure, if, it, ', s, new, location, i, just, happened, check, today, found, it, ., will, add, i, booked, moderna, -, not, sure, if, it, ', ll, have, pfizer, ."
66,"fda, expected, authorize, pfizer, -, biontech, booster, shots, 12, -, 15, -, year, -, olds, by, early, next, week"
67,"no, side, effects, besides, sore, arm, both, doses, 11, yo, ,, pfizer, ."
68,"i, only, had, slight, reaction, first, pfizer, ., nothing, flu, or, shingles, ."
69,"scientists, have, shown, ,, proven, data, that, with, each, additional, vaccine, shot, immune, response, weakens, quicker, ,, 3rd, booster, its, 12, weeks, till, its, 35, %,, pfizer, now, pushing, 4th, shot, ,, soon, it, will, be, monthly, shot, pfizer, making, millions, american, ', s, are, dying, vaccinations"
70,"this, is, how, i, feel, ,, too, ., plus, because, i, had, j, &, amp, ;, j, only, one, booster, with, pfizer, ,, i, don, ', t, even, feel, fully, vaccinated, ., ugh, ."
71,"booster, hit, my, daughter, harder, than, my, son, pfizer, my, wife, harder, than, me, moderna, is, there, any, data, differences, based, gender"
72,"rolling_on_the_floor_laughingrolling_on_the_floor_laughingface_with_tears_of_joyrolling_on_the_floor_laughing, were, you, asleep, all, this, time, even, 12, grader, would, have, been, aware, that, pfizer, settlement, rolling_on_the_floor_laughingface_with_tears_of_joyrolling_on_the_floor_laughing"
73,"got, all, mine, at, walgreens, so, they, were, all, pfizer, ., didn, ’, t, trust, clinic, post, ., they, gave, me, appointment, &, amp, ;, then, snatched, it, back, fairly, early, ."
74,"pff2, all, the, time, ..., and, tuesday, i, take, 3rd, dose, of, pfizer, ."
75,"i, have, a, astra, two, pfizer, person_facepalminglight_skin_tone, ‍, female_sign, ️"
76,"returning, my, pfizer, bluth, esthetic"
77,"i, dont, know, where, you, got, that, data, but, uk, nhs, reported, that, vaccine, effectiveness, does, not, look, that, good, against, omicron, infections, ,, not, hospitalizations, ,, especially, pfizer, booster, :"
78,"so, we, can, get, fourth, ., pfizer, has, love, this, shit, ."
79,"just, got, my, booster, was, pfizer, ,, now, moderna, booster, girl, wish, me, luck"
80,"get, mi, pfizer, 6g"
81,"oh, no, how, dare, i, question, pfizer, overlords"
82,"fda, greenlight, pfizer, covid, -, 19, booster, children, aged, 12, 15, via"
83,"now, line, actual, shot, ., getting, moderna, ,, so, i, get, complete, ontario, hunger, games, trifecta, ., az, /, pfizer, /, moderna"
84,"nope, ,, all, 3, pfizer"
85,"1, my, 77, year, old, mother, has, taken, 0, my, dad, died, 36, hours, after, pfizer, booster, jab, ."
86,"yeah, &, amp, ;, we, shouldn, ', t, forget, that, pfizer, is, ,, like, pretty, much, every, company, ,, business, making, money, shareholders, so, i, don, ', t, always, think, it, wise, take, ceo, big, pharma, firm, at, their, word, about, their, product"
87,"fully, vaxxxxced, syringesyringesyringe, 1, -, pfizer, check_mark_button, junho, 2, -, pfizer, check_mark_button, setembro, 3, -, moderna, check_mark_button, dezembro"
88,"until, recently, ,, pfizer, was, perhaps, best, known, as, maker, viagra, ., not, anymore, ., via"
