,0
0,"rt, centers, medicare, medicaid, services, cms, centers, disease, control, prevention, cdc, have, made, updates, their, covid, -, 19, guidance, regarding, nursing, home, visitation, ,, definitions, vaccination, status, ,, more, ., read, our, summary, :, down_arrow, ️"
1,"we, have, strong, evidence, that, vaccines, work, work, well, ., so, trying, show, that, certain, country, has, lot, deaths, despite, high, vaccination, rate, doesn, ', t, make, sense, ., all, you, are, really, pointing, out, is, that, deaths, would, be, much, worse, if, not, vaccines, ."
2,"i, just, moved, away, oh, -, one, lowest, vaccination, rates, ,, trump, parades, yeah, there, is, lot, structural, racism, ., don, ’, t, get, me, started, corrupt, state, house, ., many, wonderful, people, there, …, go, bengalsblue_heart"
3,"gop, covid, denialism, misinformation, has, had, predictably, uneven, effects, across, country, ., life, is, very, different, different, states, localities, ., there, are, wildly, different, vaccination, rates, ,, public, health, responses, ,, public, behaviors, ..., and, ,, course, ,, infection, rates, ."
4,"omicron, is, burning, its, way, through, saipan, community, right, now, just, few, months, we, went, having, highest, vaccination, rates, lowest, transmission, ,, third, highest, transmission, usa"
5,"andrea, bordeaux, exits, ', run, world, ', due, vaccination, requirement, filming"
6,"i, still, believe, at, current, vaccination, rates, ,, that, our, exposure, immunity, will, outlast, virus, it, will, lose, its, virility, ., i, also, have, say, that, media, organizations, pushing, vaccine, have, not, done, good, job, making, it, palatable, public, opinion, …"
7,"i, actually, went, see, james, taylor, jackson, browne, november, ., we, had, tickets, long, time, they, checked, vaccination, cards, at, door, ., i, wore, mask, whole, time, was, boosted, by, then, as, well, ., my, husband, who, was, doing, chemo, at, time, did, not, go, ,, daughter, went, ."
8,"just, when, you, thought, neither, airline, could, get, any, worse, ..., announcement, comes, as, major, u, ., s, ., airlines, forecast, profitability, 2022, ,, benefiting, higher, vaccination, rates, reopening, economies, pandemic, ..."
9,"rt, new, fact, sheet, with, suggestions, help, ombudsman, programs, advocate, higher, rates, covid, -, 19, vaccination, boosters, ., &, gt, ;&, gt, ;, read, fact, sheet, :"
