,0
20000,"uh, you, don, ', i, say, ...., the, most, corrupt, crime, family, america, stole, money, students, ,, renters, ,, handicap, ,, puppies, tax, payers, ., this, shouldn, ', i, surprise, anyone, ,, also, twenty, million, vaccines, that, just, disappeared, under, boy, genderless, ...., thinking_faceclown_facepile_of_poo"
20001,"that, ', i, stupid, ., people, should, get, damn, free, vaccine, ., there, is, pandemic, ., people, are, dying, by, thousands, per, day, ., period, are, refusing, free, vaccine, ., humans, are, stupid, don, ', i, deserve, live, ., they, certainly, don, ', i, deserve, have, job, ."
20002,"dosent, matter, ., those, podcast, where, organ, used, forbidden, word, prob, weren, i, i, twenty-two, anyways, ., so, why, is, it, problem, all, sudden, organ, opened, everyone, i, i, eyes, about, couid, so, now, they, want, him, gone, ., vaccine, =, money, big, pharma, ., no, needles, me, gto"
20003,"it, i, i, his, job, at, end, day, play, ,, he, i, i, getting, paid, millions, ., so, yes, if, he, disagrees, with, science, ,, choses, not, get, vaccine, while, knowing, consequences, ,, it, is, most, definitely, his, fault, ."
20004,"im, not, injecting, experimental, vaccine, into, my, body, no, thanks, ., i, have, worked, through, entire, pandemic, without, being, sick, /, infected, by, couid, therefore, have, not, infected, anyone, else, either, ., vaccinated, sheep, wont, even, know, when, they, spread, it, since, they, i, donthavesymptoms, i"
20005,"so, glad, i, made, it, without, putting, that, big, pharma, placebo, vaccine, my, body, ., amount, scared, sheep, this, country, is, frightening, ."
20006,"increase, deaths, since, two thousand and twenty-one, but, it, ', i, not, vaccines, clown_face"
20007,"like, i, used, one, after, i, was, around, unmasked, people, bit, but, i, was, masked, all, ., do, they, just, think, vaccine, is, useless"
20008,"point, is, you, don, i, i, know, what, i, i, anything, you, consume, ,, you, don, i, i, know, what, is, any, vaccine, that, i, i, ever, been, used, ., what, i, i, insulin, i, i, all, bet, you, don, i, i, know, ., but, i, i, all, bet, you, i, i, take, it, if, you, were, diabetic, ."
20009,"more, usa, died, microbe, under, biden, administration, than, trump, administration, &, amp, ;, biden, had, vaccines, &, amp, ;, therapeutic, ., thinking_face, #, letsgobrandon"
20010,"vaccinated, still, spread, virus, ., out, restaurant, all, vaccinated, some, even, boosters, still, getting, cases, omicron, ., should, be, choice, not, forced, period, ., if, vaccines, actually, stop, spread, you, have, point, but, they, don, i, i, ."
20011,""", i, have, legitimate, health, reason, not, get, vaccine, but, my, doctors, don, ', i, agree, i, ummm, ..., i, have, some, bad, news, you, ."
20012,"#, covid19, update, :, ninety, ., three, %, eligible, people, five, older, have, received, their, first, dose, couid, -, nineteen, vaccine, ,, eighty-four, ., nine, %, have, received, their, second, dose, ,, fifty-four, ., zero, %, eligible, adults, have, received, third, dose, ., one, /, three"
20013,"please, talk, mayor, make, vaccine, masks, optional, it, i, i, been, two, years, science, doesn, i, i, show, that, these, mandates, are, needed, ., please, speak, up, -, please"
20014,"we, ', ve, never, done, vaccine, passports, correctly, ,, province, or, federally, ., it, ', i, probably, too, late, start, now, ."
20015,"question, is, ,, did, cac, think, vaccine, would, stop, spread, their, mask, guidance, last, april, suggests, yes, ., then, they, changed, course, august, ., it, ', i, not, vaccine, ., it, ', i, preventative, measure, ., but, that, doesn, ', i, fit, how, they, sold, it, nor, does, it, justice, mandates, ."
