,0
0,"india, all, other, counties, shud, quickly, stop, relaxation, fully, vaccinated, foreign, arrivals, ,, before, it, is, late, .., otherwise, be, ready, explosion, that, we, r, seeing, western, countries, .."
1,"finally, fully, vaccinated, ., #, covid19, #, coronavirus"
2,"glad, that, #, kamalhaasan, has, been, fully, vaccinated, ..., folded_hands, folded_hands, folded_hands, folded_hands"
3,"kamal, hassan, tested, covid, positive, after, us, visit, ..., was, he, vaccinated"
4,"not, everyone, is, vaccinated, ,, not, every, vaccinated, person, avoids, virus, then, combined, with, winter, which, always, has, hit, population, puts, hospitals, under, stress, ."
5,"this, is, why, india, shud, be, careful, now, ..., forget, people, ,, even, govts, are, careless, as, soon, as, majority, is, vaccinated, ,, that, is, primary, reason, recent, surge, western, countries, .., i, hope, better, sense, prevails, .."
6,"register, volunteering, ,, globe_with_meridians, click, or, mobile_phonecontact, 9443700982, pushpin, rt, -, pcr, test, is, mandatory, volunteers, even, if, partially, or, fully, vaccinated, red_exclamation_markred_exclamation_mark, pranam, 3, /, 3"
7,"mere, papa, ne, dusra, dose, nahi, lagwaya, tha, phir, bhi, 2nd, dose, vaccinated, ka, msg, aaya, hai, ., ye, kaise, sambhav, hai, ki, bina, vaccine, lagawaye, hi, vaccination, ka, msg, aa, raha, hai"
8,"if, you, are, fully, vaccinated, then, pls, make, universal, pass, ., mbmc, officer, at, station, can, you, help, you, make, one, ."
9,"fully, vaccinated, 2nd, dose, successful"
10,"it, says, vaccinated, people, only, can, watch, movie, my, thought, is, we, can, run, camp, itself, there, ., thumbs_up"
11,"make, sure, close, contact, positive, case, spend, quarantine, period, 7, days, vaccinated, &, amp, ;, 10, days, unvaccinated, even, though, tested, negative, ., sbb, many, others, in, the, past, have, been, negative, in, working, mcm, normal, sleepy_face"
12,"new, video, channel, ., cambodia, is, now, open, vaccinated, travelers, ,, so, I, am, showing, you, around, phnom, penh, ., #, hotspots, #, phnompenh, #, cambodia, #, traveltheworld, #, youtube, #, siemreap, #, kampot, #, vacation, #, itchyfeetinthekh"
13,"#, coronavirus, :, last, wave, minimize, damage, by, wearing, #, masks, public, ,, improving, #, ventilation, buildings, ,, getting, #, vaccinated"
14,"i, would, say, a, ,, unless, z, ', s, life, signs, or, precondition, mean, z, die, ., but, if, fully, vaccinated, z, could, get, well, at, home, ., i, now, know, 5, that, have, done, this, recovered, well, ."
15,"every, day, is, an, opportunity, for, us, to, succeed, assalammualaikum, and, good, morning, #, cucirumahipoh, #, homecleaning, #, supportlocal, #, supportsmallbusiness, #, vaccinated"
16,"i, guess, %, vaccinated, population, is, much, higher, roslindale, than, texas, ...., slightly_smiling_face"
17,"i, would, do, same, ., is, it, split, -, brain, problem, people, like, that, have, freedom, have, other, un, vaccinated, people, die, they, should, donate, their, unwanted, vaccines, here, laos, ., we, cannot, get, enough"
18,"i, hope, only, fully, vaccinated, people, are, allowed, enter, stadia, ., there, isn, ’, t, seat, empty, ., which, is, great, sight, but, little, trepidation, too, ."
19,"no, rapid, pcr, ,, only, rt, -, pcr, test, passengers, above, age, 5, years, arriving, singapore, if, not, fully, vaccinated, cost, per, rt, -, pcr, test, is, ₹, 900, /"
20,"fully, vaccinated, @, Siriraj, Medical, Research, Center, -, simr, bangkok, noi"
21,"black_small_square, ️, Newly, infected, patients, not, found, in, 489, Kovid, sample, test, in, the, district, today, ,, now, active, cases, of, Kovid, -, 19, in, the, district, 00, -, Deputy, Commissioner, black_small_square, ️, To, prevent, the, serious, stage, of, Kovid, infection, ,, Kovid, must, be, installled, -, Deputy, Commissioner, #, vaccinated"
22,"cases, are, not, same, as, admissions, ., here, we, don, ’, t, test, as, much, ., so, likely, we, have, transmission, ongoing, but, not, picked, up, ., also, since, most, are, vaccinated, -, admissions, deaths, aren, ’, t, much, ., i, am, tracking, cases, our, hospital, ., i, clamp, down, travel, meetings, if, they, rise, ."
23,"5, /, I, am, vaccinated, ,, not, please, government, but, :, *, not, die, covid, -, 19, ., *, not, make, up, hospital, bed, if, i, get, sick, ., *, hold, my, loved, ones, my, arms, *, to, not, have, do, pcr, or, antigenic, tests, go, restaurant, ,, go, vacation, many, more, come, ..."
24,"4, /, as, child, adult, ,, I, have, been, vaccinated, measles, ,, measles, ,, polio, ,, measles, many, more, ;, my, parents, i, trusted, science, never, had, suffer, or, transmit, any, these, diseases, ."
25,"very, good, summary, :, 1, /, I, am, fully, vaccinated, and, ,, no, ,, i, do, not, know, what, has, it, ,, neither, this, vaccine, ,, nor, ones, i, had, as, child, ,, nor, big, mac, ,, or, hot, dogs, ,, or, any, other, treatments, .., whether, it, is, cancer, ,, aids, ,, polyarthritis, ,, or, vaccines, infants, or, children, ."
26,"palghar, is, behind, 45, plus, age, group, ., this, group, has, lot, comorbities, like, hypertension, ,, diabetes, ., appeal, get, vaccinated, avoid, damage, third, wave, mutating, virus, with, different, variants, ;, #, palghar, collector"
27,"whether, any, data, vaccinated, persons, testing, positive"
