,0
0,"it, ', s, because, all, unvaccinated, once, they, all, catch, it, numbers, should, start, going, down, ., i, just, hope, all, hospitals, can, keep, up, highly, unvaccinated, states, ., i, believe, nh, is, getting, filled, up, fast, as, they, are, released"
1,"unfortunate, part, about, all, this, is, that, when, it, ', s, all, said, done, kyrie, has, been, officially, ejected, by, nba, ,, he, will, only, have, himself, blame, this, unvaccinated, nonsense, ., #, kyriegetvaccinated"
2,"you, f, ', n, dumbass, tell, me, how, you, can, tell, difference, between, getting, covid19, already, vaccinated, person, unvaccinated, person, go, ahead, try, ., you, can, ask, blue, boy, when, you, can, cause, that, ', ll, be, me, holding, my, breath, ...., c, ', mon, give, it, try, ."
3,"our, icu, ,, 98, %, of, patients, ventilators, are, unvaccinated, ., you, can, point, 2, %, that, are, vaccinated, make, conclusions, ,, but, if, you, do, math, you, ’, ll, conclude, that, vaccines, significantly, reduce, risk, death, suffering, ,, yes, they, ’, re, suffering, their, families, too"
4,"you, say, as, you, welcome, unvaccinated, immigrants, out, stateface_with_tears_of_joy"
5,"if, i, were, hospitalized, i, wouldn, ', t, want, this, unvaccinated, person, touch, me, or, loved, one, ., firem"
6,"unvaccinated, people, should, not, be, denied, healthcare, because, they, made, choice, ., that, ’, s, dangerous, slippery, slope, ."
7,"#, getvaccinated, "", dow, ,, who, was, unvaccinated, ,, had, spent, much, time, recent, months, working, with, burns, home, they, had, bought, myrtle, beach, ,, where, they, planned, move, after, his, retirement, ."""
8,"hundreds, thousands, u, ., s, ., troops, remain, unvaccinated, ;"
9,"so, now, i, either, have, get, vaccine, or, lose, my, job, …, is, there, pay, raise, be, given, ones, who, follow, this, “, new, rule, ”, …, #, unvaccinated, #, questioneverything, #, donttreadonme, snakebiohazard, ️, United_Statesbiohazard, ️"
10,"golden, state, brooklyn, suck, then, it, doesn, ’, t, make, sense, i, heard, unvaccinated, athlete, another, city, can, play, arena, is, that, true"
11,"they, ’, re, not, letting, unvaccinated, people, work, at, hospitals, what, ’, s, world, coming, when, medical, professionals, have, be, healthy"
12,"fellow, nurse, ,, i, wouldn, ’, t, want, you, taking, care, me, if, you, ’, re, unvaccinated, ., that, same, science, you, ’, re, using, care, patients, is, same, that, enabled, us, even, have, vaccine, ., stop, it, ."
13,"anyone, know, what, these, unvaccinated, people, who, walk, out, are, going, do, employment, now, thinking_face, ….., #, misguided, #, getvaccinated, #, stupidity"
14,"i, am, sorry, but, you, do, have, stay, away, ., it, should, be, unvaccinated, that, stay, away, ., i, ', m, so, sorry, your, losses, ."
15,"“, i, ’, m, unvaccinated, ”, triangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flag"
16,"just, perusing, california, &, amp, ;, los, angeles, county, #, covid19, data, …, the, feeling, #, winning, comes, mind, because, outcomes, are, encouraging, …, but, ,, i, still, see, how, unvaccinated, are, disproportionately, affected, ., so, ,, get, vaccinated, #, thisisourshot"
17,"trade, his, talents, south, beach, florida, loves, unvaccinated"
18,"makes, sense, ., why, would, nets, knowingly, willingly, risk, health, other, players, staff, their, families, by, exposing, them, unvaccinated, person"
19,"thought, occurred, me, that, some, companies, will, no, longer, be, able, call, themselves, "", equal, opportunity, employers, "", if, they, refuse, hire, unvaccinated, ."
20,"or, until, restrictions, are, lifted, that, are, preventing, him, being, unvaccinated, participating, due, state, which, they, reside, practice, ."
21,"big, brother, has, certainly, thought, their, next, moves, through, ., what, happened, "", we, are, all, this, together, ""., that, ', s, out, window, if, people, don, ', t, do, as, they, are, told, ., this, is, sinister, ., unvaccinated, mtl, ., nurses, will, have, licenses, suspended, #, newsbreak"
22,"vaccinated, people, got, most, say, about, unvaccinated"
23,"kyrie, is, unvaccinated, so, now, he, can, ’, t, work"
24,"they, ’, ve, said, all, along, vaccinated, can, get, it, -, i, have, 2, friends, who, did, ., you, just, don, ’, t, get, nearly, as, sick, nor, hospitalized, you, won, ’, t, die, ., pretty, big, improvement, over, getting, sick, w, /, no, vaccine, ., just, ask, er, doctors, whose, dying, unvaccinated, patients, beg, vaccines, ."
25,"rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, impossible, they, are, still, unvaccinated, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
26,"children, are, still, unvaccinated, ."
27,"unvaccinated, are, filling, up, icus, ., being, vaccinated, doesn, ’, t, keep, you, getting, covid, -, 19, ,, but, it, tremendously, help, with, keeping, symptoms, mild, people, out, icus, ."
