,0
0,"it, ', i, because, all, vaccinated, once, they, all, catch, it, numbers, should, start, going, down, ., i, just, hope, all, hospitals, can, keep, up, highly, vaccinated, states, ., i, believe, no, is, getting, filled, up, fast, as, they, are, released"
1,"unfortunate, part, about, all, this, is, that, when, it, ', i, all, said, done, kyrie, has, been, officially, ejected, by, nba, ,, he, will, only, have, himself, blame, this, vaccinated, nonsense, ., #, kyriegetvaccinated"
2,"you, i, ', i, dumbass, tell, me, how, you, can, tell, difference, between, getting, covid19, already, vaccinated, person, vaccinated, person, go, ahead, try, ., you, can, ask, blue, boy, when, you, can, cause, that, ', all, be, me, holding, my, breath, ...., i, ', mon, give, it, try, ."
3,"our, icu, ,, ninety-eight, %, of, patients, ventilators, are, vaccinated, ., you, can, point, two, %, that, are, vaccinated, make, conclusions, ,, but, if, you, do, math, you, i, all, conclude, that, vaccines, significantly, reduce, risk, death, suffering, ,, yes, they, i, re, suffering, their, families, too"
4,"you, say, as, you, welcome, vaccinated, immigrants, out, stateface_with_tears_of_joy"
5,"if, i, were, hospitalized, i, wouldn, ', i, want, this, vaccinated, person, touch, me, or, loved, one, ., fire"
6,"vaccinated, people, should, not, be, denied, healthcare, because, they, made, choice, ., that, i, i, dangerous, slippery, slope, ."
7,"#, getvaccinated, "", dow, ,, who, was, vaccinated, ,, had, spent, much, time, recent, months, working, with, burns, home, they, had, bought, myrtle, beach, ,, where, they, planned, move, after, his, retirement, i"
8,"hundreds, thousands, u, ., i, ., troops, remain, vaccinated, ;"
9,"so, now, i, either, have, get, vaccine, or, lose, my, job, i, is, there, pay, raise, be, given, ones, who, follow, this, i, new, rule, i, i, #, vaccinated, #, questioneverything, #, donttreadonme, snakebiohazard, i, United_Statesbiohazard, i"
10,"golden, state, brooklyn, suck, then, it, doesn, i, i, make, sense, i, heard, vaccinated, athlete, another, city, can, play, arena, is, that, true"
11,"they, i, re, not, letting, vaccinated, people, work, at, hospitals, what, i, i, world, coming, when, medical, professionals, have, be, healthy"
12,"fellow, nurse, ,, i, wouldn, i, i, want, you, taking, care, me, if, you, i, re, vaccinated, ., that, same, science, you, i, re, using, care, patients, is, same, that, enabled, us, even, have, vaccine, ., stop, it, ."
13,"anyone, know, what, these, vaccinated, people, who, walk, out, are, going, do, employment, now, thinking_face, ….., #, misguided, #, getvaccinated, #, stupidity"
14,"i, am, sorry, but, you, do, have, stay, away, ., it, should, be, vaccinated, that, stay, away, ., i, ', i, so, sorry, your, losses, ."
15,"i, i, i, i, vaccinated, i, triangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flagtriangular_flag"
16,"just, perusing, california, &, amp, ;, los, angeles, county, #, covid19, data, i, the, feeling, #, winning, comes, mind, because, outcomes, are, encouraging, i, but, ,, i, still, see, how, vaccinated, are, disproportionately, affected, ., so, ,, get, vaccinated, #, thisisourshot"
17,"trade, his, talents, south, beach, florida, loves, vaccinated"
18,"makes, sense, ., why, would, nets, knowingly, willingly, risk, health, other, players, staff, their, families, by, exposing, them, vaccinated, person"
19,"thought, occurred, me, that, some, companies, will, no, longer, be, able, call, themselves, "", equal, opportunity, employers, "", if, they, refuse, hire, vaccinated, ."
20,"or, until, restrictions, are, lifted, that, are, preventing, him, being, vaccinated, participating, due, state, which, they, reside, practice, ."
21,"big, brother, has, certainly, thought, their, next, moves, through, ., what, happened, "", we, are, all, this, together, i, that, ', i, out, window, if, people, don, ', i, do, as, they, are, told, ., this, is, sinister, ., vaccinated, mil, ., nurses, will, have, licenses, suspended, #, newsbreak"
22,"vaccinated, people, got, most, say, about, vaccinated"
23,"kyrie, is, vaccinated, so, now, he, can, i, i, work"
24,"they, i, ve, said, all, along, vaccinated, can, get, it, -, i, have, two, friends, who, did, ., you, just, don, i, i, get, nearly, as, sick, nor, hospitalized, you, won, i, i, die, ., pretty, big, improvement, over, getting, sick, i, /, no, vaccine, ., just, ask, er, doctors, whose, dying, vaccinated, patients, beg, vaccines, ."
25,"rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, impossible, they, are, still, vaccinated, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing"
26,"children, are, still, vaccinated, ."
27,"vaccinated, are, filling, up, ices, ., being, vaccinated, doesn, i, i, keep, you, getting, couid, -, nineteen, ,, but, it, tremendously, help, with, keeping, symptoms, mild, people, out, ices, ."
28,"vaccinated, adults, majority, which, are, republican, are, blame, this, ., also, ,, please, relay, this, information, families, over, seven hundred, kids, who, have, died, couid, six, million, more, who, have, tested, positive, over, last, nineteen, months, ."
29,"ninety-nine, ., five, %, deaths, due, couid, are, vaccinated, people, ., using, nation, wide, statistic, predict, individual, i, i, survival, disease, is, misleading, ., all, factors, that, individual, need, be, accounted, for, ."
30,"this, is, unreal, ., how, can, they, be, allowed, barge, into, people, ', i, lives, vaccinated, how, can, all, these, cops, die, still, no, vaccine, mandate"
31,"i, meant, vaccinated, ,, my, bad, ..."
32,"icu, nurse, would, like, say, unvaccinateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, "", i, don, ', i, want, meet, you, here, icu, ., """
33,"that, is, too, bad, ., my, eighty-six, year, old, friend, is, vaccinated, ., i, worry, her, ."
34,"dominic, them, said, he, is, still, vaccinated, but, plans, get, vaccine, before, returning, action, at, australian, open, ."
35,"is, she, insane, that, i, i, exactly, what, biden, did, ., he, made, free, vaccines, available, all, ., problem, is, that, she, her, fox, colleagues, poisoned, minds, mamas, ., it, i, i, largely, vaccinated, who, are, dying, now, ."
36,"true, ,, but, we, had, frequency, res, lacs, ., this, is, large, vaccinated, pop, with, history, being, carriers, ."
37,"novanta, health, update, ten, /, twelve, :, decline, cases, as, we, come, out, this, ith, wave, ., more, than, ninety-five, %, patients, icu, are, vaccinated, ."
38,"when, did, personal, freedom, become, so, controversial, people, are, really, not, talking, others, because, opinions, vaccines, masks, really, friends, you, can, get, this, virus, vaccinated, person, or, vaccinated, person, so, what, are, we, fighting, about"
39,"vaccinated, really, don, ', i, promise, you, safety, ., vaccinated, are, one, that, are, dying, ., grow, pair, be, like, tag, wear, your, pants, backwards, grinning_face_with_sweat"
40,"every, state, country, has, basically, said, that, all, these, people, who, are, ices, right, now, are, vaccinated, ninety, something, percent, here, is, thing, how, you, going, argue, with, science"
41,"#, covid19, numbers, nebraska, have, largely, plateaued, but, remain, elevated, with, vaccinated, driving, infections, ., case, rates, rural, ne, ,, where, vaccination, rates, are, lower, ,, are, almost, double, those, state, i, i, biggest, cities, ., story, via"
42,"thinking, about, parents, going, protest, at, queen, i, i, park, today, after, their, children, i, i, vaccinated, classes, were, rearranged, become, bigger, during, couid, i, i, ith, wave, ., shame, giving, no, help, endangering, children, ., #, noted, #, poli"
43,"they, i, re, taking, their, sick, time, vacation, time, before, they, i, re, let, go, being, vaccinated, ., this, could, continue, month, or, more, ."
44,"how, many, people, are, wearing, this, but, are, vaccinated"
45,"first, second, wave, were, appalling, horror, show, ., give, you, idea, we, are, currently, at, eleven thousand, four hundred and twenty, death, but, we, reached, ten, thousand, last, december, ., so, if, you, had, calm, vaccinated, first, year, ,, but, are, still, catching, up, us, you, been, having, very, bad, time, two thousand and twenty-one, ."
46,"woke, up, country, hardening, it, i, i, resolve, either, mandate, vaccines, or, refuse, vaccines, grounds, i, freedom, i, reminder, ;, your, freedom, cannot, come, at, price, vaccinated, children, i, i, health, ."
47,"survey, kaiser, ,, ""..., seventy-one, percent, vaccinated, respondents, said, need, boosters, indicated, that, vaccines, were, not, working, i, awesome, #, couid, #, vaccine, #, booster"
48,"just, saw, shirt, that, said, i, vaccinated, lives, matter, i, when, will, this, end"
49,"sports, doesn, ', i, stop, i, busted, economy, ,, churches, stays, open, i, busted, economy, ,, colleges, stays, open, ,, even, high, schools, stays, open, ,, only, grade, schools, close, ,, i, /, i, vaccinated, parents, ., merge, with, &, amp, ;, bug, #, dems, force, these, gop, ', i, hang, themselves, ."
50,"hear, me, ., am, nobody, ,, but, i, just, gave, u, solution, the, problem, save, yor, rating, ., it, ', i, holiday, season, ,, close, schools, ,, let, churches, stay, open, ,, getting, these, vaccinated, pal, hindering, pal, ., let, pal, get, new, vaccine, shots, ,, but, save, teachers, ,, pass, rescue, pig, $, two, ,, four hundred, ."
51,"far, ,, far, less, vaccinated, are, taking, up, hospitals, ., it, i, i, about, ninety-eight, %, vaccinated, ., if, this, wasn, i, i, politicized, beginning, ,, we, i, i, never, have, seen, delta, variant, take, hold, like, it, has, ,, alas, that, ship, has, sailed, ."
52,"#, peaceandblessings, #, learning, #, community, #, allindunity, #, senatereform, #, nomatterwhattherdoes, #, votemidterm2022, #, votegeneral2024, #, vaccinated, #, employees, all, industries, ,, your, employer, has, right, protect, their, business, ., they, get, write, off, their, losses, ., you, don, i, i, ., folded_handsmedium, -, dark_skin_toneface_with_medical_masksyringe"
53,"they, are, minimizing, left, right, this, cover, up, is, affront, they, right, is, pushing, ,, keeping, people, vaccinated, ., this, effects, employers, most, because, their, staff, patrons, sri, i, sick"
54,"but, less, likely, be, hospitalized, or, dead, ., but, can, share, with, vaccinated, idiots, ., or, those, with, compromised, immune, systems, ., so, wear, mask, heathen, ,, while, i, stay, quarantined, ., about, start, my, third, year, i, hate, stupid, most, all, ."
55,"if, you, skip, vaccine, ,, you, should, get, lower, priority, if, caregivers, are, having, ration, care, ,, like, they, are, being, forced, do, alaska, because, vaccinated, who, are, sick, with, couid"
56,"vaccinated, people, only, spread, virus, break, -, through, cases, ,, which, is, still, much, less, common, than, vaccinated, person, getting, sick, ."
57,"had, young, non, couid, patient, code, times, this, er, this, evening, ., she, wasn, i, i, able, get, bed, icu, because, it, i, i, full, i, /, covid19, patients, ., y, i, all, vaccinated, people, don, i, i, see, how, your, ignorance, is, impacting, hospitals, &, amp, ;, others, ., #, getvaccinated, #, wearamask"
58,"i, didn, i, i, see, my, grandparents, until, couple, weeks, ago, ,, after, over, year, ., only, because, one, other, side, passed, ., huge, sacrifices, lot, folks, over, that, time, ., which, has, made, me, callous, caring, about, vaccinated, ., hell, i, just, got, my, third, be, safe, me, &, amp, ;, fam"
59,"unfortunately, vaccinated, are, ignoring, one, two, greatest, commandments, i, to, love, your, neighbor, as, you, love, yourself, i"
60,"vaccinated, like, popovich, are, saying, i, you, can, i, i, tell, me, what, do, i, this, is, age, old, political, ploy, that, dates, back, eventual, rejection, new, deal, ., no, matter, what, excuse, they, give, their, motivation, is, purely, political, ."
61,"hospital, staff, that, are, put, at, risk, when, treating, couid, care, ., people, with, non, -, couid, illnesses, who, can, i, i, get, icu, bed, because, they, i, re, full, vaccinated, patients, care, ., lot, people, care, if, others, are, vaccinated, you, should, too, ."
62,"if, you, ask, me, difference, between, vaccinated, person, vaccinated, person, ..., i, would, have, say, that, one, shows, his, refusal, help, humanity, other, shows, he, knows, about, science, humanity, ."
63,"i, am, donor, ,, if, anything, ever, happens, me, ,, i, will, here, now, that, my, organs, only, go, vaccinated, ., i, refuse, giving, parts, myself, enemy, who, wishes, my, death, ."
64,"you, mean, people, who, got, shot, have, better, shot, vaccinated, have, no, job, whatsoever, ."
65,"same, people, who, think, bakery, has, right, discriminate, against, lgby, people, think, that, private, businesses, should, be, required, serve, vaccinated, plague, rats, who, spread, disease, other, patrons, ., what, happened, sanctity, business, ownership, that, they, love, thinking_face"
66,"or, put, another, way, -, over, seventy-five, %, those, hospitalized, with, couid, -, nineteen, iowa, ,, are, vaccinated, ."
67,"so, vaccinated, need, be, protected, from, i, vaccinated, that, makes, literally, no, sense, ,, but, continue, ."
68,"some, kids, are, still, out, these, are, all, vaccinated, kids, ., so, i, do, believe, vaccine, works, does, what, is, should, ., shorten, time, you, are, sick, if, you, get, pathogen, this, is, true, any, vaccine, ., flu, ,, chicken, pox, ,, measles, so, on, ."
69,"pandemic, vaccinated, emails"
70,"biden, has, information, showing, sixty, %, hospitalization, are, fully, vaccinated, as, he, stands, up, saying, its, crisis, vaccinated, ., he, knows, its, not, ,, its, cos, website, ., i, believe, urgency, pushing, van, is, be, truth, is, coming, out, faster, than, they, anticipated, ."
71,"well, ,, already, guaranteed, he, ', all, stop, texas, rapists, ,, so, he, can, probably, wipe, out, couid, -, nineteen, among, texas, ', vaccinated, hoards, too, ."
72,"wow, i, obviously, jumped, into, nest, bat, shit, crazy, good, luck, you, vaccinated, folks, stay, away, me, please, wear, mask"
73,"vast, majority, recent, cases, those, contracting, couid, are, those, who, are, vaccinated, -, -, way, over, ninety, i, it, ', i, affecting, younger, people, ,, too, ., that, ', i, not, opinion, ,, it, ', i, fact, ."
74,"so, meantime, i, those, vaccinated, ., let, them, drop, dead, ., granted, most, people, have, very, mild, symptoms, couid, but, those, that, do, suffer, you, i, re, response, is, let, them, die, ., might, i, add, some, people, can, i, i, get, vaccine, due, underlying, issues, ., so, let, them, die, too"
75,"nah, ., they, aren, i, i, allowing, rage, filled, vaccinated, ., all, vaccinated, event, goers, will, be, happy, ."
76,"lol, that, i, i, hypocrisy, right, there, ., i, bet, you, were, all, medicare, all, year, ago, but, let, those, vaccinated, die, or, pay, higher, premiums, ., bet, you, thought, big, pharma, was, devil, too, but, now, we, gotta, get, dosed, with, chemical, that, has, no, long, term, studies, humans, ."
77,"why, are, you, ,, vaccinated, person, ,, leaving, your, house"
78,"how, about, i, get, ten, vaccinated, vad, i, for, pash, with, hillary, barry, no"
79,"all, my, couid, patients, tonight, are, under, fifty-five, years, old, they, are, all, vaccinated, ."
80,"vaccinated, caused, it, flushed_face"
81,"new, osha, regs, don, ', i, actually, exist, yet, abbott, ', i, executive, order, violates, businesses, ', first, amendment, right, freedom, association, though, ., being, vaccinated, is, not, protected, class"
82,"who, hell, does, joe, biden, think, he, is, no, american, president, history, our, country, has, ever, thought, it, i, i, ok, people, lose, their, job, because, vaccinated, as, he, puts, it, are, destroying, our, country, this, asshole, needs, be, impeached, he, has, no, right, being, president"
83,"just, tell, people, it, is, against, my, religion, serve, vaccinated, people, ."
84,"you, want, medal, ., i, have, also, served, service, lived, through, nine, /, eleven, i, so, far, i, i, do, not, follow, any, party, ., but, yes, i, do, think, biden, is, idiot, ., my, opinion, ., what, next, ,, your, vaccinated"
