,0
0,"i, would, personally, not, advise, anyone, i, know, mix, vector, johnson, johnson, /, covishield, /, astrazeneca, mrna, pfizer, /, modern, ’, s, jabs, ., i, think, ,, not, sure, that, covaxin, also, is, vector, vaccine"
1,"v, k, paul, ex, prof, neonatology, at, department, pediatrics, knows, vaccines, they, are, still, not, able, convince, who, recognize, covaxin, but, is, now, talking, about, mix, &, amp, ;, use, ., indian, life, is, dirt, cheap, ., #, covid19"
2,"they, should, feel, ashamed, ., even, if, they, recall, 10, %, their, statements, &, amp, ;, false, narrative, against, indigenous, vaccines, covaxin, &, amp, ;, covishield, ,, they, should, retire, public, life, atleast, year, ."
3,"that, is, point, ., even, if, they, recall, 10, %, their, statements, &, amp, ;, false, narrative, against, indigenous, vaccines, covaxin, &, amp, ;, covishield, ,, they, should, retire, public, life, atleast, year, ., very, few, %, age, eligible, population, was, ready, till, march, ., now, they, are, talking, hindsight, ."
4,"this, is, incredible, news, ,, had, got, my, mom, vaccinated, with, #, covaxin, ., what, i, do, not, comprehend, is, why, was, indian, medical, association, not, one, diskovering, this, since, 617, variant, is, causing, unprecedented, havoc, india, ,, earlier, diskovery, rollout, could, have, saved, lives"
5,"i, think, $, ocgn, is, track, 2, bring, it, us, following, their, impressed, interim, analysis, phase, 3, data, showed, it, is, 78, per, efficient, agnst, mild, 100, per, agnst, severe, ., they, apprchd, u, ., s, fda, eua, #, covaxin, mrch, believe, shortly, they, will, get, apprvl, ."
6,"hi, is, it, that, you, are, taking, about, ppl, vacianted, us, because, if, it, is, india, we, already, have, covaxin, which, ocugen, has, partnered, with, ."
7,"i, ’, m, not, even, sure, covaxin, does, job, properly, ."
8,"well, you, can, get, it, vaccine, if, virus, is, not, properly, inactivated, ., like, brazil, is, saying, about, covaxin, ., read, ., but, still, i, would, say, ., one, should, get, vaccinated, asap, ."
9,"this, can, happen, only, with, india, ., god, knows, who, who, they, we, are, paying, commissions, push, vaccine, crowd, which, was, adamant, that, they, will, only, have, covaxin, because, modi, had, that, ., people, get, easily, fooled, by, photo, ops"
10,"places, like, is, administrating, #, covaxin, unproven, vaccine, ., we, live, fools, paradise, ., #, covid19"
11,"even, pakistanis, are, getting, covishield, govt, is, pushing, covaxin, guinea, pigs, india, pakistan, get, 45, million, doses, made, india, covid, -, 19, vaccines, march, :, report"
12,"still, sounds, dodgy, me, ., #, covaxin"
13,"will, they, label, covaxin, india, when, govt, says, efficacy, is, proven"
14,"see, how, health, professionals, across, country, are, trying, talk, shit, ., talking, about, image, but, don, ’, t, have, guts, mention, what, vaccine, was, used, ., if, they, really, say, indian, it, should, be, covaxin, which, i, ’, m, dead, sure, won, ’, t, be, used, ., dr, arvind, says, efficacy, data, is, coming"
15,"you, don, ’, t, have, choice, with, govt, hospital, /, free, vaccination, but, all, paid, jabs, pvt, sector, are, covishield, /, astrazeneca, british, /, swedish, vaccine, ., primarily, because, pvt, sector, refused, lift, shitty, covaxin, ."
16,"even, if, they, open, this, up, pvt, sector, they, will, force, them, use, covaxin, dodgy, vaccine, ., this, govt, is, vile, ., what, they, do, &, amp, ;, what, they, think, is, beyond, devil, too, ., serum, institute, is, sitting, 70, mil, dosses, pile, but, govt, is, sitting, pretty, ., maybe, waiting"
17,"wahi, covaxin, but, it, ’, s, crime, now, talk, about, deadly, vaccine, india, ., what, times"
18,"oxford, vaccine, is, only, modi, earn, brownies, you, are, condemned, untested, covaxin, ., that, too, ehsaan, ke, sath, ."
19,"yesterday, i, was, at, my, latest, blood, test, as, part, #, novavax, #, vaccine, #, trial, ., i, felt, very, lucky, ,, very, privileged, be, part, it, #, crushcovid, #, covidvaccine, #, novavaxvaccine, #, covaxin, #, covid19, #, covid, #, pandemic, #, thankyouscientists, #, labrat, #, lockdown2021"
20,"no, one, is, going, buy, covaxin, ..., hence, export, coviedshield, oxford, -, astrazeneca, ..., let, people, india, risk, their, life, ..."
21,"thanks, rajat, sharma, ..., news, channel, is, being, used, market, covaxin, ..., believe, news, anchor, but, this, new, anchors, order, be, good, books, modi, -, shah, have, become, propaganda, channel, ..."
22,"third, phase, result, covaxin"
23,"frankly, speaking, ,, though, ,, i, don, ’, t, understand, what, emergency, use, clinical, trial, mode, means, ., also, ,, what, i, ’, d, like, understand, is, ,, what, happens, if, covaxin, is, said, be, 51, %, effective, when, they, publish, p3, data, ., would, people, take, it, ,, considering, it, is, above, 50, %, threshold"
24,"fair, enough, ., but, as, science, journalists, seem, have, diskovered, nuance, reportage, ,, here, ’, s, one, :, dr, ., says, she, would, participate, #, covaxin, clinical, trial, ., so, potentially, take, vaccine, ,, which, has, been, approved, only, emergency, use, clinical, trial, mode, anyway, ."
25,"#, thread, decisive, actions, guided, by, philosophy, science, rather, than, narrow, pedantry, ., applies, to, ,, both, ,, one, -, dose, vaccine, strategy, adopted, by, british, govt, ., restricted, emergency, use, approval, granted, covaxin, india"
26,"worn, mask, way, too, much, time, which, has, made, me, vulnerable, other, air, borne, diseases, which, upgrade, themselves, each, year, like, #, apple, iphone, ., loss, air, -, borne, diseases, immunity, ,, therefore, allergies, ., after, 2, doses, #, covishield, another, #, precautiondose, can, we, unmask"
27,"date, -, 11, /, 02, /, 2022, time, -, 9, ., 00am, 5, ., 00pm, age, group, -, 18, +, onspot, covishield, 1st, dose, -, 20, 2nd, dose, -, 20, precaution, dose, -, 60, age, group, -, 15, +, onspot, covaxin, 1st, dose, -, 40, 2nd, dose, -, 20, precaution, dose, -, 40"
28,"all, who, took, covishield, vaccine, got, 2, more, times, infection, so, what, are, you, ranting, about, grinning_face_with_smiling_eyes"
29,"this, is, less, safe, i, think, -, janssen, ad26, ., cov2, ., s, it, is, adenovirus, vaccine, like, covishield, ., no, you, should, not, go, compulsion, ., it, is, counter, productive"
30,"this, is, less, safe, i, think, -, janssen, ad26, ., cov2, ., s, it, is, adenovirus, vaccine, like, covishield"
31,"list, countries, released, today, which, allows, travel, without, rt, -, pcr, test, does, not, have, norway, whereas, norway, recognizes, #, covishield, ., now, can, we, please, think, about, adding, this, list, make, people, ', s, life, easy, ., thank, you"
32,"Due, to, adequate, supply, of, Covishield, vaccine, from, the, state, government, ,, vaccination, of, all, citizens, in, the, age, group, of, 15, years, and, above, 45, years, will, be, carried, out, at, the, Government, Center, with, Nagpur, Municipal, Corporation, from, 10, am, to, 4, pm, tomorrow, ., #, vaccination, #, covishield, #, maharashtra"
33,"*, The, first, ,, second, and, 3rd, pill, vaccine, covishield, of, limited, number, of, Covid, 19, has, been, provided, to, all, the, residents, of, tea, gardens, above, the, age, of, 18, years, in, the, centers, located, in, the, tea, inhabited, areas, ., 2, /, 3"
34,"list, cvc, 11, /, 02, /, 2022, dibrugarh, district, ., Arrangements, have, been, made, to, provide, first, ,, second, and, 3rd, covishield, of, a, limited, number, of, Covid, 19, vaccines, in, the, centers, mentioned, in, the, initiative, photo, of, Dibrugarh, District, Administration, dated, 11, /, 02, /, 2022, ., 1, /, 3"
35,"#, Ministry, of, HealthInquiry, ,, may, God, make, you, happy, /, #, Ministry, of, Health, Is, the, Covishield, vaccine, one, of, the, approved, vaccines, in, Saudi, Arabia, ?, Who, took, it, outside, Saudi, Arabia, ?"
36,"Peace, be, upon, you, ,, is, the, covishield, vaccine, approved, for, the, entry, of, workers, from, India, to, Saudi, Arabia, ?"
