,0
0,"astrazeneca, ’, s, covid, -, 19, vaccine, found, be, 79, percent, effective, :, study"
1,"astrazeneca, ’, s, covid, -, 19, vaccine, is, found, be, 79, %, effective, u, ., s, ., study"
2,"us, trials, #, astrazeneca, vaccine, :, -, 32, ,, 000, people, took, part, -, no, drop, protection, over, 65, -, 100, %, effective, at, preventing, people, falling, seriously, ill, -, 79, %, effective, vs, symptomatic, covid, -, 19, -, no, safety, issues, regarding, blood, clots"
3,"sad, that, this, vaccine, has, received, such, skepticism, anti, vaccine, sentiment, ., lives, that, could, have, been, saved, ., sad_but_relieved_face, even, more, important, now, us, fda, rapidly, review, approve, ., it, ', s, safe, effective, world, is, watching, ., us, has, enough, vaccines, but, we, must, syringeglobe_showing_Europe, -, Africa"
4,"these, results, are, amazing, ., have, 4, vaccines, ,, using, different, mechanisms, ,, all, 100, %, effective, at, eliminating, severe, disease, death, ,, is, astounding, ., that, all, them, are, also, better, than, best, flu, vaccines, at, stopping, all, disease, ,, amazing"
5,"astrazeneca, ’, s, u, ., s, ., trial, shows, coronavirus, vaccine, is, 79, percent, effective, by, william, booth"
6,"vaccine, found, be, 79, %, effective, w, /, no, evidence, blood, clots, us, trial, ., eua, approval, shortly, ."
7,"astrazeneca, :, us, trial, data, shows, that, its, vaccine, is, 79, %, effective, ., #, covid19"
8,"breaking, news, :, astrazeneca, says, us, trial, data, shows, vaccine, 79, %, effective, ,, 100, %, effective, preventing, hospitalization, ,, they, ’, re, now, seeking, fda, approval, ."
9,"london, ap, —, astrazeneca, says, advanced, trial, data, us, study, its, covid, vaccine, shows, it, ’, s, 79, %, effective, ."
10,"extremely, irresponsible, headline, ., even, at, 95, %, effective, which, was, pre, -, variants, ,, 1, 20, wouldn, ’, t, be, effective, ., vaccines, work, by, preventing, serious, illness, creating, enough, immunity, suffocate, disease, until, it, ’, s, no, longer, impactful, ., get, your, shots, ."
11,"i, expect, nothing, ., but, with, science, still, learning, about, this, disease, concern, that, vaccine, may, not, be, effective, as, virus, mutates, ,, heard, immunity, needs, be, goal, ., europe, is, shutting, down, again, ., why, i, gamble, partial, living, ,, but, not, with, my, life, or, anyone, else, ', s"
12,"#, drfauci, :, ‘, bottom, line, ,, vaccines, work, real, world, ., not, only, are, they, efficacious, ,, but, they, are, effective, ’, #, covid19, #, covid19vaccine, #, covid, #, vaccinessavelives, #, vaccinated"
13,"j, &, amp, ;, j, trials, were, not, dismal, ., they, are, bit, less, effective, than, two, approved, 2, dose, vaccines, ,, but, it, kept, folks, out, hospital, ., good, enough, me, if, offered, me, first, ."
14,"weekend, reference, librarian, at, university, ., only, call, today, was, community, member, who, has, appointment, j, &, amp, ;, j, vaccine, tomorrow, wanted, info, about, if, it, would, be, effective, enough, ., couldn, ', t, get, through, her, dr, ', s, office, ., i, read, info, cdc, &, amp, ;, listened, her, ."
15,"it, ’, s, irresponsible, dangerous, ., shouldn, ’, t, our, goal, be, run, out, those, vaccines, are, much, more, effective, arms, ontarians, than, sitting, freezers, ., this, third, wave, is, here, this, political, stalling, tactic, is, hurting, us, ., #, onpoli, #, cdnpoli, #, votefordout2022"
16,"if, vaccinated, people, have, less, limits, ,, their, exposure, is, higher, you, would, expect, more, cases, them, ., if, you, still, see, much, higher, rates, less, exposed, unvaccinated, ,, vaccines, are, very, effective, ."
