,0
0,"time, hopper, i, i, lyme, booster, shot, ., @, animal, hospital, dauphin, county"
1,"i, hope, we, can, get, it, under, control, -, but, each, successive, variant, is, more, contagious, than, previous, one, also, evades, vaccines, more, ., we, i, re, probably, going, be, needing, booster, shots, fall, if, delta, variant, india, takes, off, as, it, has, britain, one, /, three"
2,"scientists, have, found, clues, that, world, i, i, leading, couid, -, nineteen, vaccines, offer, lasting, protection, that, could, diminish, need, frequent, booster, shots, ,, but, they, caution, that, more, research, is, needed, that, virus, mutations, are, still, wild, card, ."
3,"when, do, fully, vaccinated, people, especially, vaccinated, senior, citizens, need, consider, booster, shots"
4,"makes, you, wonder, if, world, we, see, is, actually, real, ., vaccines, were, just, simulation, booster, shot"
5,"look, you, make, when, mom, stops, by, vet, quick, booster, shot, ., eyes"
6,"booster, shots, or, new, vaccine, they, will, try, lockdown, us, down, again"
7,"when, do, we, need, booster, shot, bleach, strong, light"
8,"can, ', i, wait, my, couid, booster, shot, ,, listen, up, ......, face_with_tears_of_joy"
9,"when, leafs, choke, they, ', all, need, booster, shot, ., fentanyl, ."
10,"i, i, i, just, not, ready, ., fairly, soon, it, will, be, six, mos, ., mark, people, who, were, able, get, it, first, ,, i, don, i, i, believe, they, are, sure, how, long, it, protects, ,, ya, know, i, know, they, are, talking, booster, shots, ..., i, will, probs, wear, it, into, next, year, when, they, have, more, info, ., xo"
11,"only, concern, i, have, is, word, booster, shots, stuff, which, i, guess, it, ', i, good, as, virus, is, clearly, evolving, is, becoming, new, flu"
12,"long, -, term, care, advocates, ,, worried, about, vulnerable, residents, ,, say, plans, couid, -, nineteen, booster, shots, must, start, now, -, abc, news, via, -"
13,"course, ,, various, scientists, have, also, said, immunity, may, be, short, -, lived, regular, booster, shots, required, ."
14,"also, ,, every, shot, following, initial, ,, primary, shot, ,, is, called, booster, so, your, performance, is, extra, stupid, today, but, nice, try, ., come, back, monday, with, something, fresh, ."
15,"if, surviving, couid, patients, full, vaccinated, people, need, booster, shot, after, ten, -, eleven, months, ,, i, would, ask, states, corporations, add, booster, shots, lottery, public, vaccine, record, is, automatic, entry, into, lotteries"
16,"when, time, comes, booster, shots, is, money, /, lottery, game, going, be, used, again, entice, pal, into, doing, what, they, should, be, doing, protect, each, other, first, place, this, is, dumb, idea, that, ', all, never, end, told, ya, so"
17,"good, luck, with, your, og, signal, booster, shot, my, second, one, locked, me, my, rump, ."
18,"you, ', re, not, fully, valued, ., your, booster, shot, will, be, due, late, summer, ."
19,"they, promoted, vaccine, as, end, all, be, all, now, fully, vaccinated, pal, may, need, booster, shots, near, future, ...., lol, wow"
20,"yes, ,, we, i, all, probably, need, coronavirus, booster, shots, ., but, which, one, by, carolyn, y, ., johnson"
21,"what, i, i, wrong, with, going, again, booster, shot"
22,"when, booster, shot, comes, around, ,, hold, off, getting, it, ., you, might, die, ,, or, kill, /, maim, someone, you, love, ,, but, hey, ..., $, forty-five, fishing, fishing_pole, stuff, or, whiners, could, just, move, do, what, it, takes, get, ahead, couid, ., i, choose, less, fishy, tropical_fish, more, life, ..."
23,"after, "", vaccine, i, booster, shot, every, six, twelve, months, ,, keep, wearing, mask, ,, still, able, catch, transmit, couid, ., ineffective, say, least, ., i, ', i, waiting, ."
24,"abc, news, :, plans, couid, -, nineteen, booster, shots, need, start, now, ,, say, long, -, term, care, advocates"
25,"is, it, safe, go, vacation, will, i, need, booster, shot, what, should, i, tell, family, or, friends, afraid, or, hesitant, #, getvaccinated"
26,"you, need, booster, shot"
27,"these, two, had, rough, day, ., especially, pixy, ., they, got, their, yearly, booster, shots, ., last, year, when, pixy, got, hers, ,, she, got, very, sick, over, it, ., she, ', i, not, feeling, great, now, but, definitely, not, as, bad, ., broken_heartanxious_face_with_sweat, it, breaks, my, heart, she, feels, rough, because, she, doesn, ', i, know, what, is, wrong, ."
28,"experts, expect, vaccinated, individuals, will, need, booster, shot, within, year, via"
29,"it, i, i, not, any, different, ., booster, shot, is, common, cold, vaccine"
30,"#, igotvaccinatedand, &, amp, ;, i, got, very, very, sick, ,, it, seems, it, triggered, all, my, is, symptoms, but, if, i, need, get, booster, shot, each, year, i, will, gladly, do, so, few, days, being, sick, is, nothing, compared, what, my, cousin, larry, went, through, month, before, he, died, couid, ."
31,"yes, i, have, been, fully, vaccinated, but, no, i, will, not, be, getting, booster, shot, ."
32,"took, my, sixteen, yo, daughter, her, doc, yesterday, mandatory, booster, ga, public, high, school, ;, took, my, then, eighteen, yo, son, health, department, last, year, required, shots, enroll, at, ga, ."
33,"corona, virus, vaccination, lotteries, ...., wow, ,, so, clearly, vaccination, numbers, aren, ', i, as, good, as, expected, ,, plus, vaccination, appointments, are, clearly, slowing, down, ., plus, talk, about, booster, shots, already, needed, come, september, ., person_facepalming, i, male_sign, i"
34,"any, booster, shots, my, kids, or, i, ever, need, will, now, be, called, firmware, updates, ,, just, because, ."
35,"although, technically, it, i, i, third, shot, ,, second, booster, ., either, way, ,, get, your, hav, vaccine, people, ., syringe"
36,"we, know, that, it, is, safe, ., we, know, that, prevention, infection, is, ninety-one, i, we, know, that, fatality, rate, couid, is, zero, i, if, i, need, booster, shot, every, few, months, ,, i, ', all, gleefully, roll, up, my, sleeve, protect, my, patients, ., also, ,, many, medications, clinical, trial, have, benefits, ."
37,"$$$$$$$$$$$$$$$$$$$$$$$$$$$, hurry, &, amp, ;, get, your, kids, vaccinated, ,, $$$$$$$$$$$$$$$$$$$$$$$$$$$$$,, booster, shot, coming, soon, ,$$$$$$$$$$$$$$$$$$$$$$$$$$$$$"
38,"..., and, they, are, going, convince, congress, $, americans, that, we, all, will, need, booster, shot, next, year, ...$$$$$$$$$$$$$$$$$$$$"
39,"news, said, there, will, be, booster, shot, september"
40,"hope, they, catch, cowards, who, did, this, make, them, pay, dearly, so, angry, right, now, omg, six, -, year, -, old, shot, dead, booster, seat, after, mom, gives, finger, driver, who, cut, her, off"
41,"i, ', i, still, having, trouble, syncing, with, bluetooth, ., maybe, they, ', all, fix, it, booster, shot, ., other, than, that, ,, it, ', i, been, nice, not, worry, ."
42,"ask, about, getting, booster, shot, couple, months, ., i, bet, he, does, claims, different, verbiage, as, his, excuse, saying, what, he, did, ."
43,"daughter, -, in, -, law, had, it, twice, now, ., get, shot, ., get, booster, shot, when, they, tell, you, ., immunity, fades, ."
44,"technically, that, was, hepatitis, booster, shot, ,, but, he, i, i, willing, get, vaccinated, that, fine, ., let, him, refuse, couid, vaccine, ., natural, selection, will, claim, him, eventually, ."
45,"not, half, bad, just, minor, soreness, ., experience, was, certainly, better, than, my, military, days, where, you, ', re, told, ', line, up, ', -, it, wasn, ', i, choice, ., i, ', ve, read, so, much, abt, one thousand, nine hundred and eighteen, flu, ., different, times, &, amp, ;, all, that, ., but, yearly, booster, shot, &, amp, ;, i, won, ', i, be, friendsrolling_on_the_floor_laughing"
46,"i, don, i, i, see, why, we, would, need, booster, shot, year, i, i, ve, been, getting, flu, shots, years, they, are, different, strains, flu, no, booster, was, ever, done, ."
47,"i, will, do, fine, without, added, boost, booster, shot, ."
48,"i, don, i, i, see, how, it, i, i, anyone, i, i, business, if, i, got, shot, or, not, ..., if, you, had, virus, then, you, have, antibodies, but, how, long, how, long, is, vaccine, good, how, long, before, people, need, booster, too, many, unknowns, smiling_face_with_smiling_eyes"
