,0
0,"I, love, you, blue_heartwhite_heart, clapping_handsclapping_handsclapping_handsandrada, ,, aguirre, ,, funes, ,, meza, ,, janssen, ,, gonzález, ,, moreno, …, thank, you, team, we, are, in, the, quarterfinals, …, what, a, joy, to, be, from, monterrey"
1,"that, square, could, be, improved, along, with, that, of, janssen"
2,"the, gang, won, those, led, by, javier, aguirre, they, got, to, the, quarterfinals, eliminated, and, humiliating, the, mexican, soccer, champion, soccer_ballsoccer_ball, rogelio, funes, mori, soccer_ball, maxi, meza, soccer_ball, vincent, janssen, soccer_ball, yosimar, yotun, p"
3,"We, will, have, a, new, champion, Cruz, Azul, came, out, thrashed, at, home, against, a, striped, team, who, took, advantage, of, his, opportunities, ., On, behalf, of, the, royals, ,, rogelio, funes, mori, 2, ,, maximiliano, meza, and, vincent, janssen, scored, ., of, the, blues, ,, diskounted, yoshimar, yotun, ., camera, :, striped"
4,"#, ligamx, Mexico, |, reclassification, memo, locomotive, cruz, azul, 1, |, keycap_4, cowboy_hat_face, caz, :, yotún, 32, ', p, mty, :, funes, mori, 11, ', p, ,, 58, ';, table, 27, ';, janssen, 85, ', #, gritaméxicoa21, soccer_ball"
5,"It, is, not, true, that, he, is, asking, if, Janssen, ', s, parents, are, still, in, Mexico, ,, so, that, they, could, see, his, goal, ..."
6,"janssen, great, goal"
7,"egg, egg, egg, egg, winning, and, scoring, even, if, it, hurts, my, janssen, killed"
8,"me, perdí, el, gol, de, janssen, pleading_face, pero, ya, 4, raising_handslight_skin_tonegrinning_faceclapping_handslight_skin_toneclapping_handslight_skin_toneclapping_handslight_skin_tone"
9,"janssen, bull, goal"
10,"i, love, you, so, much, janssen, blue_heart"
11,"Aguirre, ', s, thing, is, scandalous, ,, what, a, way, to, play, soccer, ,, a, work, of, art, ,, Janssen, ', s, goal, from, poncho, gonzález, ', s, play, ,, great, goal, wherever, you, see, it, ,, the, whole, play, is, worth, framing, ."
12,"goooolllll, janssen, ,, golllllllllll, my, bull, blue_heartwhite_heart, 4, -, 1"
13,"the, blue, cross, being, the, blue, cross, .., even, the, janssen, cow, scores, a, goal"
14,"What, a, goal, from, Aguirre, who, commanded, the, center, sucked, ,, Janssen, bounced, it, off, his, head"
15,"gonzalez, -, aguirre, -, janssen, =, goal"
16,"vincent, janssen, goal, look, how, excited, he, was"
17,"to, keep, your, mouth, shut, ,, bull, goal, janssen, 4, -, 1, my, stripes, heart_suit, ️, blue_circlewhite_circle"
18,hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha
19,"wow, janssen, scored, ., Rayados, eliminates, the, Cruz, Azul, with, a, resounding, 4, -, 1, ., again, aguirre, with, a, great, assistance, ., but, before, the, poncho, was, crack, ."
20,"I, ', ll, just, stay, there, ,, I, love, you, janssen, smiling_face_with_hearts"
21,"gooooooool, de, mi, toro, water_buffalo, janssen, 4, el, pandi, blue_circlewhite_circleblue_circlewhite_circleblue_circlewhite_circleblue_circlewhite_circleblue_circlewhite_circle"
22,"rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, no, mamés, janssen, grinning_squinting_facegrinning_squinting_facegrinning_squinting_facegrinning_squinting_face"
23,"and, janssen, finished, it"
24,"el, regreso, del, magic, janssen, ."
25,"ahí, esta, don, vicente, janssen, ., person_shrugginglight_skin_tone, ‍, male_sign, ️"
26,"goooooollllll, janssen, #, arribaelmonterrey"
27,"janssen, thinks, they, are, playing, volleyball, or, what, a, fart, hahahahahaha"
28,"it, was, janssen, pass, ,, idiot"
29,"the, janssen, is, already, paunchy"
30,"Janssen, enters, pressing, and, putting, shame, ,, Funes, was, already, walking, ., we, have, to, finish, this, now, ."
31,"if, you, have, to, have, very, little, chatter, to, win, 3, -, 1, and, that, they, are, fighting, over, funes, and, janssen, ,, go, pamper, yourself, better, ."
32,"Hopefully, it, will, be, the, last, game, in, the, Janssen, and, Cambell, team, ,, that, they, go, to, warm, up, on, the, bench, elsewhere, ."
33,"janssen, nword, walks, forward, with, the, pumbas"
34,"he, ', s, done, it, again, smiling_face_with_hearts, wooooahh, we, ', ve, got, andy, janssen"
35,"fighting, stigma, :, first, long, —, acting, injectable, hiv, treatment, appraised, approved, by, nice, —, news, medical, :, ..., by, viiv, healthcare, combination, with, rekambys, rilpivirine, long, -, acting, injection, ,, developed, by, janssen, sciences, ireland, uc, janssen, ,, ..."
36,"#, covid19, booster, shots, available, those, 18, older, #, moderna, #, pfizer, #, janssen, if, eligible, ,, will, you, book, yours, ahead, holidays, #, 8nn, #, safethanksgiving, face_with_medical_mask"
37,"starting, with, that, lineup, if, the, ca, is, winning, you, the, ridiculousness, of, aguirre, is, coming, piling, people, up, without, meaning, campbell, ,, vergara, ,, janssen, and, alvarado, see, who, is, going, and, who, is, going, to, take, out, person_facepalminglight_skin_tone, ‍, male_sign, ️"
38,"I, will, only, give, a, piece, of, information, because, I, do, not, want, to, make, public, the, salaries, funes, is, above, janssen"
39,"“, a, cohort, 6, ., 4, million, covid, -, 19, vaccinees, 4, ., 6, million, demographically, similar, unvaccinated, persons, ,, recipients, pfizer, -, biontech, ,, moderna, ,, or, janssen, vaccines, had, lower, non, –, covid, -, 19, mortality, risk, than, did, unvaccinated, comparison, groups, …."
40,"smh, ., what, does, subject, ', s, height, have, do, with, their, personal, health, entire, thing, actually, pretty, funny, ., btw, you, don, ', t, have, take, pfizer, at, all, ., ever, hear, tiny, firm, called, moderna, or, even, smaller, one, called, janssen"
