,0
12000,"vaccination, drive, is, very, slow, ., we, have, just, vaccinated, one, %, population, ., at, least, seventy, %, has, be, inoculated, prevent, third, wave, due, shortly, ."
12001,"coronavirus, stats, sri, lanka, ., blue_circle, total, one hundred and eight, ,, one hundred and forty-six, infected, blue_circle, ninety-five, ,, nine hundred and seventy-five, recovered, blue_circle, six hundred and seventy-eight, deaths, red_circle, eleven, ,, five hundred and four, active, cases, blue_circle, daily, cases, one thousand, six hundred and sixty-two, april, thirty, green_circle, ave, daily, per, tests, twenty-seven, ,, zero, red_circle, ave, per, positivity, rate, eight, %, green_circle, total, vaccinated, nine hundred and twenty-five, ,, two hundred and forty-two, green_circle, and, dose, sixty-one, ,, zero, #, la, #, srilanka, #, covid19sl"
12002,"paper, vic, has, given, wonderful, facility, vasa, viral, region, during, couid, crisis, ., but, ground, reality, is, far, different, ., online, portal, not, showing, any, hospital, name, then, who, be, vaccinated, center, without, registration, ., all, politically, influencer, right, face_with_monocle"
12003,"very, sad, crying_face, journalists, should, have, been, vaccinated, as, front, line, workers, long, back, but, it, did, not, happen, so, it, is, causing, so, many, deaths, now, ., crying_face, #, covidindia, #, covid19india, #, lucknowcovid"
12004,"since, people, cannot, donate, blood, two, months, after, getting, vaccinated, ,, able, temper, city, unit, organized, blood, donation, camp, ensure, that, blood, bank, has, sufficient, blood, reserves, future, ., #, abvpforsociety, #, proudblooddonor"
12005,"#, vaccine, #, vaccinated, #, covid19, #, covidindia, #, couldhelp, #, coronaviruspandemic"
12006,"please, ensure, that, name, area, should, not, be, short, because, our, residents, are, running, your, offices, logistics, whole, country, this, pandemic, ., majority, them, are, below, sixty, years, age, ., their, families, should, be, vaccinated, fast, so, these, government, servants, can, work, 24x7, ."
12007,"best, way, find, yourself, is, lose, yourself, service, others, ., really, proud, our, karyakarta, i, i, who, are, pledged, work, selflessly, day, &, amp, ;, night, facinating, under, privileged, citizens, get, vaccinated, ., #, bjymcares"
12008,"if, this, is, not, good, enough, motivation, get, vaccinated, i, do, not, know, what, is"
12009,"i, request, all, youth, get, themselves, registered, vaccinated, may, est, ., we, ,, youth, -, future, nation, have, come, together, fight, with, couid, -, nineteen, ."
12010,"please, be, careful, ,, she, can, still, get, virus, ., my, friend, her, mom, eighty-five, brother, ,, all, vaccinated, ,, got, it, anyway, ., light, cases, ,, thank, god, ."
12011,"boss, how, can, eighteen, +, be, vaccinated, tomorrow, ..."
12012,"though, my, parents, have, got, vaccinated, certificate, are, not, their, names, they, show, my, name, bec, i, registered, them, with, my, number, ply, help, as, helpless, number, is, no, use"
