,0
0,"today, 09, ., 06, ., 2021, #, dcp_balanagar, smt, ., pv, padmaja, has, visited, supervised, arrangements, police, families, vaccination, program, at, bozai, function, hall, ,, balanagar, ., all, police, personal, family, members, balanagar, zone, has, vaccinated, here, ., #, stayhomestaysafe"
1,"if, you, have, not, got, below, news, your, reference, ., but, you, don, ’, t, need, this, but, talk, about, people, traveling, far, get, vaccinated"
2,"unless, 50, %, electorate, population, are, fully, vaccinated, election, comission, should, not, conduct, elections, india, ., it, is, observed, after, corona, positivity, drop, ,, masks, also, start, dropping, face, &, amp, ;, lurking, infection, strike, with, more, ferocity, ., sc, should, intervene, pandemic, elections"
3,"#, breaking, :, after, noting, that, has, issued, guidelines, door, -, to, -, door, vaccination, #, bombayhc, questions, as, what, is, it, waiting, for, ., "", a, senior, politician, was, vaccinated, at, home, ., who, did, that, was, union, govt, ', s, nod, taken, then, "", cj, datta"
4,"haha, tak, perlu, nervous2, ,, tenang2, je, bro, n, get, vaccinated, relieved_face"
5,"already, 23, crore, vaccinated, by, august, we, additional, doses, sputnik, thru, dr, ., reddy, november, zydus"
6,"With, the, current, influx, of, #, vaccinated, ,, today, the, first, dose, of, vaccine, ...., crying_facecrying_face"
7,"unless, 50, %, electorate, population, are, not, fully, vaccinated, election, comission, should, not, conduct, elections, anywhere, india, ., it, is, observed, after, corona, positivity, drop, ,, masks, face, also, drop, ,, inviting, lurking, infection, strike, with, more, ferocity, ., sc, has, intervene, ."
8,"well, managed, ., not, at, all, crowded, ., took, only, 10, mins, get, vaccinated, ., proper, covid, regulations, maintained, ., thank, you, hope, you, organize, this, camp, sooner, once, again, ones, not, yet, vaccinated, ."
9,"took, my, first, dose, covishiled, vaccine, ., i, am, so, grateful, scientist, frontline, health, workers, ., folded_hands, if, you, 18, +, ,, please, yourself, registered, get, vaccinated, ., let, us, hope, better, tomorrow, future, ., stay, safe, .., stay, healthy, let, us, fight, together, #, covid19, #, vaccinated"
10,"how, do, they, decide, who, has, kids, below, 5, years, ..., irrespective, whatever, it, is, people, need, be, vaccinated"
11,"have, you, registered, your, self, i, urge, all, eligible, citizen, get, vaccinated, at, earliest, ..., #, largestvaccinedrive, syringe, #, vaccinationfor18plus"
12,"let, ’, s, get, vaccinated, #, vaccinateindia, #, vaccinationdrive"
13,"thamizh, has, been, included, cowin, website, by, ., sure, it, help, many, people, access, website, vaccination, ., thanks, one, first, person, bring, up, this, issue, ., get, vaccinated, #, covidsecondwave, #, tnlockdown, #, tncoronaupdates"
14,"vaccinated, against, covid, -, 19, alhamdolillah"
15,"member, #, qamarabbasfoundation, have, made, endeavor, educate, people, about, importance, #, covid19, vaccination, encouraged, them, get, themselves, vaccinated, ., qaf, has, started, door, door, campaign, aware, villagers, about, importance, vaccination, ."
16,"me, got, first, dose, vaccine, today, ., i, urge, everyone, register, get, yourself, vaccinated, ., #, vaccinated, #, covid19, #, thankyoumodiji, #, pmoindia"
17,"#, postponeese2021, it, is, not, safe, students, appear, exams, without, being, vaccinated, ., exams, should, be, conducted, post, -, vaccination, ese, aspirants, ., #, postponeese2021"
18,"4, ,, 30, ,, 616, vaccinated, yesterday, ., 2, ,, 11, ,, 50, ,, 258, vaccinated, till, date, ., jai, bjp, fixed, bjp, victory, bjp, triangular_flag"
19,"got, vaccinated, with, first, dose, covaxin, ., finally"
20,"if, you, are, looking, get, yourself, vaccinated, ,, i, would, highly, recommend, you, come, here, ,, at, blk, ., process, is, happening, quite, large, scale, no, ,, there, is, no, rush, ., although, social, distancing, is, something, authorities, could, deal, with, better, way, ..."
21,"yes, madam, we, but, as, all, eps95, pensioners, worst, financial, condition, should, be, vaccinated, free, ., some, are, very, old, &, amp, ;, fragile, should, be, vaccinated, at, their, door, steps, folded_hands"
22,"vaccinated, successfully"
23,"do, u, think, all, are, interested, get, vaccinated"
24,"i, am, living, jammu, vry, panic, situation, 5, days, try, there, is, no, slot, available, my, pin, code, where, is, free, vaccinated, with, out, registration"
25,"i, am, not, vaccinated, every, body, slot, booked, any, help"
26,"did, he, ask, gotra, vaccine, when, he, was, vaccinated, after, casting, aspersions, vaccines"
27,"how, we, can, link, passport, vaccination, certificate, who, has, already, vaccinated, aadhaar, please, give, proper, procedure, link, vaccination, certificate, with, passport, so, it, helps, many, who, vaccinated, aadhaar, or, some, other, documents"
28,"indian, is, concern, we, get, infected, by, foreign, travelers, u, ., k, brazil, ., evey, indians, need, vaccinated, as, early, as, possible, ."
29,"dr, ., antony, fauci, asking, americans, be, get, vaccinated, ,, referring, as, covid, -, 19, b, ., 1, ., 6172, which, has, been, seen, india, uk, ,, 6, %, americans, likely, been, affected, as, per, press, confrence, ., recently, his, press, conference, speaks, about, new, variant, diskover, india, ."
30,""", on, our, consumer, app, ,, our, partners, have, ability, declare, vaccination, status, their, staff, customers, can, see, if, staff, has, been, vaccinated, ."", by, -, oyo, via"
31,"india, congress, kept, everyone, poor, 70yrs, they, did, nothing, that, is, why, all, so, called, rich, people, with, iphone, suv, want, it, free, .., nothing, can, be, done, those, even, real, poor, started, thinking, they, be, charged, 1450, at, govt, hospitals, do, not, go, get, vaccinated"
32,"unbelievable, ,, such, developed, country, still, only, 28, %, ppl, r, only, fully, vaccinated, i, feel, it, is, worst, health, system"
33,"good, morning, tweeps, ., remember, follow, all, #, covid19, sop, ’, s, ., as, we, are, still, not, out, woods, ,, even, if, you, ’, re, fully, vaccinated, ., 1, ., wear, masks, indoors, crowds, 2, ., maintain, 6, ft, physical, distance, 3, ., wash, hands, frequently, 20, seconds, each, time, ."
34,"hope, they, have, been, vaccinated, covid, -, 19, warriors, ladakh, cross, river, earth, mover, ., take, look"
35,"no, slot, is, available, #, delhi, #, covaxin, 2nd, dose, ., what, do, how, do, 1st, dose, 6, -, 5, -, 2021, ., can, i, be, vaccinated, after, 21, june"
36,"if, i, have, completed, being, vaccinated, 2, weeks, before, coming, phuket, ,, but, my, flight, is, usa, usa, -, doha, -, phuket, is, that, considered, direct, flight, there, are, no, flights, states, anywhere, thailand, without, connection, ., .."
37,"it, is, only, when, cases, spike, big, time, that, you, see, people, scrambling, get, vaccinated, ., the, complete, opposite, when, cases, we, are, minimal, vaccines, are, offered, but, registering, was, snail, slow"
38,"bright, morning, here, ., wishing, everyone, pleasant, day, ahead, ., all, best, if, you, are, be, #, vaccinated, today, ., please, register, if, you, have, not, ., #, vaccineregistration, #, vaccineforall"
39,"#, portugal, welcome, vaccinated, american, tourists, ,, hopes, salvage, #, summer"
40,"guanzhou, ', s, cases, people, affected, by, covid19, delta, variant, b, ., 1, ., 617, ;, 1st, india, ;, shorter, incubation, period, ,, faster, transmission, speed, ,, higher, viral, load, ., many, cases, we, are, already, vaccinated, by, chinese, vaccines, -, weak, efficacy, chinese, vaccines, ., face_screaming_in_fearoncoming_fistmedium_skin_tone"
41,"yes, their, should, be, random, checking, vaccination, card, until, half, our, population, get, vaccinated, ."
42,"good, experience, getting, vaccinated, at, pims, ,, islamabad, ., get, yourself, vaccinated, already, ."
43,"got, vaccinated, today, ., #, billgates, has, got, my, info, now, ., i, hope, i, get, good, job, now, rolling_on_the_floor_laughing"
44,"i, got, vaccinated, at, govt, school, so, i, paid, nothing, ."
45,"can, we, know, how, much, %, eligible, people, have, been, vaccinated, chatrapur, nac"
46,"let, ’, s, fight, together, against, #, covid_19, ., get, #, vaccinated, syringesyringe, today"
47,"#, covaxin, #, firstdosedonesyringecheck_mark, ️, #, vaccinated, @, thiruvananthapuram, ,, kerala, ,, india"
48,"patient, with, severe, copd, isn, ’, t, vaccinated, ., he, is, waiting, sputnik, ., is, under, impression, it, ’, s, single, shot, when, asked, why, specifically, sputnik, they, told, haven, ’, t, you, heard, it, gives, 91, %, protection, versus, 80, %, is, 10, %, extra, worth, another, person, -, an, mr, ,, also, waiting, sputnik"
49,"does, this, mean, that, only, 20, doses, r, available, second, dose, so, 20, people, can, hope, get, vaccinated, what, nonsense, is, this, #, vaccine"
50,"If, we, do, not, remove, #, article370, ,, would, anyone, pay, attention, to, these, villages, ,, thank, you, very, much, folded_handsbouquet, #, vaccination, #, vaccinated, #, vaccinationdrive, #, vaccination4all"
51,"ඒ, අප, ි, ටත, ්, ඕන, ෙ., star, -, struck, ', joints, jabs, ':, washington, state, turns, marijuana, giveaways, encourage, residents, get, vaccinated"
52,"how, many, vaccinated, ones, even, know, where, report, adverse, or, side, effects"
53,"excellent, question, mr, how, come, you, didn, ’, t, ask, your, cm, this, ,, when, he, sold, vaccines, pvt, hospitals, profit, &, amp, ;, directed, public, get, vaccinated, at, private, hospitals, at, 5, times, cost, #, vaccinescam"
54,"kgf, director, #, prasanthneel, got, his, vaccination, #, vaccinated, #, vaccinationdone, follow"
55,"1, ., my, second, dose, would, be, after, 84, days, 05th, june, ,, how, would, i, register, that, since, cowin, portal, ,, when, i, am, logging, ,, it, is, showing, as, “, not, vaccinated, ”, 2, ., how, would, i, change, my, age, system, i, got, know, that, this, iti, hospital, ,, p3, ,, karnataka, .., cont, next, comment"
56,"i, had, done, multiple, follow, -, up, with, secretary, apartment, who, all, organized, this, drive, ,, but, they, never, ahown, interest, this, sms, issue, ., finally, last, saturday, 5th, june, all, sudden, i, received, sms, different, person, who, was, vaccinated, with, me, cont, next, comment"
57,"but, what, do, if, de, authorities, are, forcing, vaccination, whole, staff, update, record, sis, .., further, they, are, also, threatening, mark, absent, those, who, are, not, vaccinated, whether, male, or, female, ."
58,"1, why, covaxin, is, super, costly, despite, homegrown, product, 2, which, one, is, better, immune, response, &, amp, ;, lesser, aefi, among, 2, 3, why, people, are, turning, positive, post, -, vaccination, 4, how, long, we, avoid, alcohol, after, inoculation, 5, when, children, would, be, vaccinated"
59,"india, vaccinated, one, canada, first, half, may, ., entire, may, india, vaccinated, one, uk, ., hope, fully, july, india, vaccinate, one, us, ., this, is, degree, vaccination, being, undertaken, india, ., also, do, not, forget, indian, vaccines, are, cheapest, world, ."
60,"nearly, 23, crore, vaccinated, ,, 3, crore, infected, ., only, 16, lakh, cases, at, present, ., india, ,, at, moment, vaccinating, one, qatar, per, day, ., hopefully, june, end, india, vaccinate, one, newzealand, per, day, one, israel, per, day, by, july, ., 2, /, 1"
61,"25, crore, people, vaccinated, they, know, centers, but, jija, sala, do, not, know, ., inka, kya, kare"
62,"we, have, organized, 2nd, vaccination, camp, with, support, district, medical, department, village, joula, block, budhana, muzaffarnagar, districts, ., today, ', s, more, than, 50, people, we, are, vaccinated, ."
63,"still, waiting, actual, answer, as, why, qatar, is, red, list, ., transit, hub, is, lazy, ., #, qatar, #, uktravel, #, vaccinated"
64,"#, vaccinated, thank, you, #, delltechnologies, #, covaxin, #, covid19, #, iwork4dell, #, stayhomestaysafe, #, getvaccinated, #, letsfightcovid"
65,"dear, sirfolded_hands, ,, vaccinated, covaxin, 09, may, 18, +, at, bti, but, still, not, received, any, sms, /, certificate, link, ., cannot, register, cgteeka, 2nd, ., no, answer, helpline, help, sir, ,, sir, ., sir, ., please, look, into, this, &, amp, ;, helpfolded_hands"
66,"welcome, back, ken, heart_suit, ️, red_heart, ️, hope, you, enjoyed, your, stay, kashmir, dear, heart_suit, ️, now, mumbai, ,, take, care, your, health, get, vaccinated, as, soon, as, possible, dear, heart_suit, ️"
67,"About, two, and, a, half, months, after, his, grandfather, ', s, death, ,, he, received, a, certificate, for, both, doses, of, the, vaccine, ., If, there, is, any, other, reason, ..., curiosity, to, know"
68,"this, is, inform, you, that, city, montessori, school, lucknow, ,, uttar, pradesh, is, going, conduct, exams, class, 10th, 1st, july, 2021, ., but, sir, ,, children, are, not, vaccinated, yet, ., please, help, folded_handsfolded_handsfolded_hands"
69,"too, touched, by, program, abt, our, brave, pilots, ., actual, #, coronawarriors, ., we, lost, them, because, we, are, not, vaccinated, ., country, shares, family, ’, s, disappointment, ., how, thoughtless, ."
70,"#, covid19, sir, according, sop, mentioned, by, central, govt, can, i, get, second, dose, covisheild, vaccine, international, travel, after, 60, days, within, 84, days, further, can, i, get, vaccinated, certificate, after, second, dose, immediately"
71,"how, ravish, kumar, ji, ndtv, india, compare, india, vaccination, other, countries, whose, population, is, very, less, than, india, our, govt, vaccinated, 23, crore, people, which, is, also, achievement, but, we, shud, do, more, efforts"
