,0
0,"even, after, being, fully, vaccinated, boosted, with, two, masks, everywhere, i, go, i, still, feel, uncomfortable, when, i, hear, someone, cough, ., coughing, is, sure, way, get, move, ."
1,"our, nurses, are, exhausted, ., if, you, ’, re, not, vaccinated, ,, why, would, you, trust, medicine, at, that, point, not, judging, ., just, asking, ."
2,"they, will, not, get, vaccinated, ."
3,"omicron, is, very, contagious, &, amp, ;, can, still, be, deadly, ., data, shows, that, if, you, ', ve, been, vaccinated, ,, serious, illness, or, death, is, much, less, likely, ., i, continue, encourage, everyone, whose, conscience, &, amp, ;, personal, health, allows, get, covid, vaccine, ., #, yourchoice, #, personalresponsibility"
4,"i, just, saw, commercial, was, spokesperson, ., not, nothing, ,, but, should, insurance, company, have, spokesperson, who, wont, get, vaccinated, i, ', m, supposed, trust, that, guy"
5,"those, bitching, about, tweet, ,, government, tells, them, stay, home, off, roads, their, safety, &, amp, ;, they, do, ., but, tell, them, get, vaccinated, or, wear, mask, they, flip, out, ., reminds, me, bunch, sheep, .."
6,"you, need, be, vaccinated, enter, country, ., if, you, require, negative, test, top, it, then, why, require, vaccination, first, place, am, i, missing, something, here, you, should, get, vaccinated, anyway, ,, but, this, kind, shit, just, buries, safety, argument, ."
7,"provinces, don, ', t, have, resources, test, properly, but, we, ', re, still, wasting, tests, fully, vaccinated, travelers, this, makes, literally, zero, sense, at, this, point, we, ', re, handing, anti, -, vaxxers, their, arguments, fucking, plate, ., fucking, madness, ."
8,"““, life, ', s, most, persistent, urgent, question, is, ,, ', what, are, you, doing, others, ”, -, martin, luther, king, jr, ., more, relevant, than, ever, ., more, resonating, than, ever, ., more, ways, than, ever, ., keep, safe, by, staying, safe, being, vaccinated, -, you, ,, yours, others, ., #, mlkday"
9,"lol, plan, was, ppl, get, vaccinated, ,, but, person_shrugging, ‍, female_sign, ️, if, they, die, they, die, i, guess, at, this, point, ."
10,"absolutely, ., kill, your, own, by, refusing, get, vaccinated, ,, not, us, ."
11,"i, ', m, thinking, if, he, starts, losing, $$$,, he, ', ll, get, vaccinated, ."
12,""", novak, djokovic, will, be, granted, special, entry, participate, australian, open, after, 2023, "", it, will, be, allowed, 2023, if, he, gets, vaccinated, ., as, it, stands, now, ,, he, won, ', t, be, allowed, into, australia, three, years, ."
13,"vaccine, does, keep, some, people, getting, sick, ., those, vaccinated, ,, that, do, get, sick, ,, have, less, virus, nasal, cavities, they, cough, less, ,, thus, they, infect, fewer, people, ., if, you, don, ', t, take, vaccine, how, do, you, slow, spread, disease"
14,"vaccinated, or, not, ,, you, miss, betty, white, ."
15,"today, ', s, thread, worth, reading, is, anyone, who, isn, ', t, vaccinated"
16,"it, is, not, clear, at, all, except, those, who, chose, not, get, vaccinated, ., so, -, called, "", natural, immunity, "", becoming, their, default, option, unless, course, they, first, succumb, ."
17,"so, ..., if, you, get, covid, while, vaccinated, ,, this, course, action, will, reduce, severity"
18,"airlines, seek, end, mandatory, covid, -, 19, testing, vaccinated, passengers, arrival"
