,0
55000,"that, i, i, what, freedom, is, ., you, want, get, vaccinated, fine, ,, i, can, i, i, be, vaccinated, ,, that, should, be, fine, to, ., but, we, are, at, dangerous, point, where, we, don, i, i, even, have, control, what, goes, into, our, own, bodies, ., that, should, scare, everyone, ."
55001,"i, they, i, are, ottawa, police, ., seem, be, handling, it, as, best, they, can, without, tear, gas, water, cannons, ., here, is, your, peaceful, trucker, protestors, ., truth, is, ,, real, truckers, are, working, ., ninety, %, are, vaccinated, ."
55002,"i, knew, you, ', i, love, it, ."
55003,"i, i, i, fully, vaccinated, ., not, because, i, wanted, though, ,, because, my, work, entails, me, be, able, be, at, places, that, require, it, ., but, i, i, i, not, happy, about, it, ., we, should, have, right, choose"
55004,"majority, canadians, are, vaccinated"
55005,"teachers, canada, make, good, coin, ."
55006,"all, dogs, go, heaven, ."
55007,"vaccinated, or, not, taking, away, custody, is, way, too, much, ., you, not, going, tell, me, what, do, with, children, i, created, ., for, ."
55008,"mandates, they, are, asking, have, canceled, are, provincial, not, federal, ., more, importantly, majority, canadians, don, i, i, agree, with, protesters, more, people, were, vaccinated, over, weekend, than, are, protesting, ."
55009,"it, i, i, tiny, joy, i, will, take, all, tiny, fucking, joys, i, can, get, ."
55010,"three, /, thirteen, /, two thousand and twenty, est, infection, ., grocery, store, ., no, one, was, masking, then, ., got, long, couid, this, ., six, /, nine, /, two thousand and twenty-one, and, inf, ., unmasked, indoor, biz, mug, because, said, safe, if, vaccinated, ., eight, /, twentyfour, /, two thousand and twenty-one, ord, inf, ., not, indoors, ,, job, interview, at, school, ., twelve, /, fifteen, /, two thousand and twenty-one, ith, inf, ., ophthalmologist, ', i, ., p100, ."
55011,"by, masking, up, getting, vaccinated, you, are, protecting, vulnerable, ., these, are, common, sense, approaches, ., by, way, :, phrase, i, conceptually, understand, i, is, pretty, meaningless, people, who, understand, what, both, those, words, mean, ."
55012,racism
55013,"you, know, rumor, about, madonna, sean, ', i, split, ,, don, ', i, you"
55014,"yeah, except, everybody, getting, sick, dying, is, i, vaccinated, i, so, kinda, nullifies, any, argument, contrary, simple, mind, you, would, think, problems, like, virus, spread, single, variable, problems, ., good, bye"
55015,"it, is, ., we, i, ve, vaccinated, billions, people, ., it, seems, very, unlikely, that, they, will, suddenly, start, getting, sick, two, years, ."
55016,"my, friend, dan, died, couid, ., he, couldn, i, i, get, vaccinated, ,, because, health, condition, ,, i, know, he, took, every, precaution, be, safe, ., honor, those, at, high, risk, ,, please, get, vaccinated, ,, wear, mask, ,, show, respect, their, lives, ."
55017,"join, team, elect, ohio, democrat, tim, ryan, senate, rob, portman, ', i, seat"
55018,"that, i, i, bot, abby, ., report, as, fake, block, ."
55019,"so, this, is, political, you, because, it, i, i, not, political, our, medical, industry, ., every, hospital, planet, would, strongly, encourage, you, get, vaccinated, ,, so, would, every, health, department, ,, every, medical, association, ,, etc, ., is, it, mandates, you, don, i, i, like, that, i, i, different, topic"
55020,"although, heartto, gold, is, great, choice"
55021,"i, i, i, watching, episode, two, peacemaker, ., you, remind, me, lot, cena, ., not, knowing, or, acknowledging, who, his, best, friend, is, ."
55022,"so, you, are, saying, there, ', i, way, achieve, one hundred, %, vaccinated, with, immune, -, compromised, people, children, under, twelve, ,, so, democrats, can, defeat, virus"
55023,"shah, no, its, ok, ., i, have, no, image, uphold, aside, one, where, pal, think, i, ', i, bully, so, me, getting, mad, at, people, acting, like, children, should, be, okay"
55024,"they, are, not, antivaxxers, ,, they, are, anti, tyranny, ., many, drivers, are, vaccinated, but, stand, freedom, choice, ., if, only, everyone, was, more, like, them, ."
55025,"released, jan, one thousand, nine hundred and seventy, ,, bridge, over, troubled, waters"
55026,"nobody, said, omicron, wasn, i, i, highly, contagious, metric, now, isn, i, i, if, you, get, it, ,, but, are, you, vaccinated, how, mild, /, severe, are, symptoms, any, parent, child, eligible, vaccine, ,, who, doesn, i, i, take, them, get, it, ,, is, negligent, my, book, ."
55027,"we, already, know, its, cold, flu, ,, that, vaccinated, are, most, filling, hospitals, ..., this, pandemic, is, over, ..., your, powers, will, not, work, here, ."
55028,"i, guess, only, end, they, see, is, mandates, ., conservative, leaders, put, them, place, as, well, as, liberal, ., i, think, most, reasonable, people, would, say, ', come, on, ,, vaccinated, or, infected, recovered, you, still, want, mandates, "", then, there, would, be, nationwide, protest"
55029,"i, didn, ', i, think, so, ,, but, i, do, now, ."
55030,"i, i, ve, noticed, this, interviews, :, more, protestor, /, interviewee, /, phone, -, in, caller, stresses, at, start, they, are, absolutely, vaccinated, course, ,, before, launching, into, diatribe, about, freedom, ,, less, i, believe, they, i, re, actually, vaccinated, ."
55031,"i, always, liked, them"
55032,"or, maybe, she, should, take, responsibilty, countless, talent, she, worked, with, &, amp, ;, injured, while, thinking, she, was, entitled, work, there, not, get, vaccinated, like, everyone, else, that, roster, including, roman, reigns, charlotte, who, are, biggest, male, female, stars, they, have, ."
55033,generators
55034,"catch, spread, happens, ,, results, vaccinated, in, -, vaccinated, are, pretty, different, ., i, am, modern, so, guess, step, up, ., but, thanks"
55035,"time, some, our, favorite, wine, ."
55036,"good, article, alter, ', i, jim, jones, here, :"
55037,"if, you, morons, get, vaccinated, then, we, could, pull, back, masking, other, crap"
55038,"jamie, ,, it, i, i, tough, balancing, act, i, but, if, everyone, was, vaccinated, ,, masked, socially, distanced, ., we, can, protect, economy, our, health, system, &, amp, ;, our, loved, ones, ., there, is, price, we, pay, personal, choices, both, ends, ., good, question, thumbs_up"
55039,"i, am, maneuvering, with, difficulty"
55040,"so, we, should, be, masked, forever, couid, isn, i, i, going, away, ., we, are, all, going, get, it, eventually, ,, probably, numerous, times, ., if, you, are, high, risk, ,, wear, not, get, vaccinated, ., that, i, i, best, defense, ., my, mask, my, vaccine, won, i, i, protect, you, ."
55041,"problem, is, authoritarian, governments, mandating, you, have, be, vaccinated, ., people, that, are, vaccinated, that, aren, ', i, vaccinated, are, all, at, peaceful, protest, ."
55042,"you, definitely, don, ', i, live, near, me, ."
55043,"amount, bullshit, i, ', ve, seen, recently, amount, fighting, i, want, do, response, is, extremely, high, ."
55044,1800273talk
55045,"it, ', i, badge, i, wear, with, pride, ., like, my, others, badges, &, it, ;, liberal, ;, vaccinated, ;, anti, -, racist, ;, truth, -, teller, ;, democrat, ."
55046,"hello, ,, fellow, hops, allergy, sufferer, ."
55047,"have, fun, paying, all, fines, legal, fees, ,, ottawa, protesters, ., this, is, payback, torture, you, ', ve, inflicted, entire, city, as, well, as, our, nation, ', i, economy, ., i, look, forward, my, goods, being, delivered, by, responsible, ,, vaccinated, truckers, well, into, future, ."
55048,"so, im, sorry, which, republican, politician, names, said, -, dont, wear, masks, dont, get, vaccinated"
55049,"they, should, have, done, this, week, ago, shame, these, terrorists, who, took, name, truckers, ,, while, ninety, %, vaccinated, truckers, have, not, stopped, working, ., our, shelves, are, always, stocked, #, sheepconvoy, #, gohomeflutruxklan, #, truckersconvoy2022, #, flutruxklan, #, shame, #, nevervoteconservative"
55050,"cake, by, i, ., i, ."
55051,"if, you, didnt, understand, vaccines, that, is, you, ., they, offer, resistance, ., you, can, still, catch, polio, even, vaccinated, ., masks, help, ,, vaccines, help, ,, distancing, helps, ,, quarantining, helps, ,, but, none, it, stops, it, if, everyone, isnt, board, ..., now, ,, because, idiots, ,, everyone, will, get, it, ."
55052,"course, you, can, still, spread, it, if, you, i, re, vaccinated, but, infected, ., however, you, i, re, less, likely, become, infected, if, you, i, re, vaccinated, ."
55053,"that, is, awesome, description, ."
55054,"whistleblower, nurse, destroys, i, delta, i, narrative, ,, vaccinated, patients, fill, hospital, via"
55055,"born, run"
55056,"we, aren, i, i, protecting, those, who, choose, not, be, vaccinated, nor, should, we, ., given, we, appeared, far, more, hard, hit, than, you, ,, far, denser, by, population, ,, you, are, comparing, apples, oranges, ., plus, this, is, about, pediatric, cases, ,, not, overall, ., here, is, denmark, ."
55057,"what, misinformation, you, do, realize, at, one, time, saying, vaccinated, person, could, spread, couid, was, considered, misinformation"
55058,"i, i, all, let, this, just, hang, here, ., stats, most, vaccinated, country, world, ."
55059,"good, her"
55060,"it, tells, me, we, i, i, have, one hundred and fifty-eight, more, free, beds, if, people, got, vaccinated, ., well, ,, one hundred and forty-eight, i, /, i, three, doses, =, ninety-four, %, protection, is, ., icu, ."
55061,"whatever, creature, was, there, doing, this, ,, sound, went, silent, mode, ., i, will, come, outside, balcony, see, if, anything, dead, is, there, ,, but, i, hope, not, ..., i, seriously, should, make, poll, guesses, make, it, fun, what, ', i, outside"
55062,"he, needs, order, something, ., #, 90dayfiance"
55063,"whole, trucker, thing, has, been, fraud, all, along, ,, grocery, stores, have, unionized, ,, vaccinated, drivers, ., #, teamsters"
55064,"eh, ., since, one, group, has, been, hoarding, wealth, hundreds, years, through, state, sanctioned, violence, ,, i, would, guess, wealth, and, intelligence, have, no, correlation, ,, perhaps, even, negative, correlation"
55065,",, do, you, like, raccoons"
55066,"does, he, want, one thousand, that, are, currently, working, ,, delivering, goods, across, boarder, ,, who, are, vaccinated, bow, come, help, them, face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
55067,"last, night, i, enjoyed, my, freedom, go, restaurant, thanks, my, choice, get, vaccinated, ., it, was, delicious, sitting, at, bar, is, best, seat, house, limo, ."
55068,"your, mom, ', i, triple, vaccinated"
55069,"there, i, i, no, one, else, at, restaurant, #, 90dayfiance"
55070,"doubt, it, ,, since, they, have, be, vaccinated, cross, border, ."
55071,"damn, ., hope, you, feel, better, soon"
55072,"well, it, i, i, called, being, vaccinated, something, you, should, do, so, that, you, can, stop, crying, about, putting, mask, ., beaming_face_with_smiling_eyes"
55073,"dog, wandered, into, outdoor, dining, area, where, we, were, eating, ., such, good, one, he, was, very, friendly, ., nobody, could, tell, whose, dog, this, was, ., then, someone, walked, by, was, asked, "", you, looking, dog, "", he, was, so, everyone, clapped, when, they, were, reunited, ., red_heart, i, red_heart, i"
55074,"giggling, babies, ."
55075,"they, should, probably, get, vaccinated, it, just, shouldn, ', i, determine, whether, they, should, keep, their, jobs, or, not, ."
55076,"what, fuck, is, this, show"
55077,"i, ', i, not, one, trying, convince, people, not, get, vaccinated, ."
55078,"i, out, many, ,, only, twenty-two, %, fully, vaccinated, i"
55079,"over, ninety, %, our, truckers, are, vaccinated, so, we, are, fine, here, north, border, ., with, usa, crossing, one, million, dead, threshold, mark, #, covid19, maybe, you, should, worry, about, your, own, country, ., plus, #, texas, has, whole, bunch, infrastructure, issues, so, lots, you, do, i"
55080,"if, you, are, vaccinated, ,, why, do, you, care, if, someone, else, is, vaccinated, if, you, properly, wear, ninety-five, mask, ,, why, do, you, care, if, someone, else, is, wearing, mask, if, you, are, getting, assaulted, ,, are, you, going, demand, cops, ', couid, papers, before, you, decide, whether, let, them, save, you"
55081,"as, long, as, they, are, vaccinated, ., you, are, correct, ."
55082,"i, can, still, travel, if, i, ', i, piss, drunk, ., moreover, ,, again, ,, this, doesn, ', i, follow, as, example, because, it, assumes, vaccines, or, mandates, or, whatever, measures, will, halt, transmission, when, they, have, shown, they, do, not, ., you, are, not, any, less, at, risk, if, i, am, vaccinated, ."
55083,"larger, vegetation, will, still, be, okay, rains, we, had, oct, &, amp, ;, dec, while, depending, what, rains, we, get, still, main, issue, will, be, fast, growing, grass, fires, ,, which, can, be, more, deadly, than, large, woodland, fires, we, get, ."
55084,"dude, ,, i, ', i, vaccinated"
55085,"bless, your, sweet, little, grandson, ., i, was, concerned, my, four, yr, old, till, she, turned, five, last, month, ., part, her, birthday, present, her, birthday, was, her, first, couid, vaccine, ., she, is, now, fully, vaccinated, i, breathe, little, easier, ., i, am, glad, hear, your, grandson, has, improved, ."
55086,"damn, straight, you, are"
55087,"they, don, ', i, want, get, vaccinated, ., they, want, keep, their, jobs, ., they, have, decided, use, what, leverage, they, have, accomplish, both, ., you, get, it"
55088,"fourteen, hours"
55089,"this, was, good, ."
55090,"not, argument, ., statement, ., they, are, blocking, transportation, routes, ., ninety, %, truckers, that, are, vaccinated, need, get, goods, people, who, need, them, ., this, protest, does, nothing, but, make, more, people, despise, these, clowns, ."
55091,"i, have, no, idea, ,, i, wouldn, ', i, hazard, guess, really, ,, but, i, literally, feel, it, ., so, then, i, exit, quickly, am, good, ., but, this, guy, was, leader, fight, against, mandates, i, just, ignored, itchy, feeling, ,, till, i, found, out, he, was, vaccinated, ., too, late, ,, sick, two, weeks, ."
55092,"they, could, always, go, i, i, home"
55093,"i, swear, gawd, ,, these, republicans, must, be, possessed, by, some, alien, life, form, ..., so, this, guy, is, saying, muslim, religion, is, included, this, ,, course, ., #, crazy"
55094,"hopefully, you, i, re, vaccinated, ., you, can, fight, better, if, you, i, re, healthy"
55095,"thanks, im, sure, it, will, be, time"
55096,"#, nowwatching, bride, wore, black, happy, birthday, francois, truffaut"
55097,"oh, ,, fuck, no, ."
55098,"all, truckers, unite, when, are, you, going, grasp, fact, that, protesting, truckers, are, small, minority, that, most, truckers, are, vaccinated, ,, still, working, do, not, support, convoy, it, i, i, ending, ."
55099,"anyone, who, openly, backs, #, jan6thinsurrection, should, never, be, allowed, hold, public, office, ever, again, ."
55100,"yeah, it, i, i, small, population, island, ., all, people, contracting, ,, hospitalized, dying, are, vaccinated, so, what, does, that, tell, you, about, i, vaccines, i, they, i, re, not, working, so, mandates, should, be, abolished, thanks, participating"
55101,"petty, or, pretty, or, both"
55102,"see, you, wednesday, person_shrugging, i, male_sign, i"
55103,"they, deserve, live, have, their, health, protected, wear, mask, get, vaccinated, #, gopbetrayedamerica, #, vaccineswork, #, wearamask"
