,feature_name,idf_weights
0,aaannnndddd,11.624565998024766
16711,maldives,11.624565998024766
16728,malpractice,11.624565998024766
16725,mallory,11.624565998024766
16724,malliotakis,11.624565998024766
16722,malleable,11.624565998024766
16719,malign,11.624565998024766
16715,malfunctioning,11.624565998024766
16705,malawian,11.624565998024766
16730,malted,11.624565998024766
16704,malawi,11.624565998024766
16702,malapropism,11.624565998024766
16701,malaise,11.624565998024766
16698,maladministration,11.624565998024766
16695,makingotherplans,11.624565998024766
16689,makepeace,11.624565998024766
16729,malt,11.624565998024766
16731,maltese,11.624565998024766
16681,majestic,11.624565998024766
16742,mammal,11.624565998024766
16756,manana,11.624565998024766
16753,managerial,11.624565998024766
16747,mana,11.624565998024766
16745,mammy,11.624565998024766
16744,mammography,11.624565998024766
16743,mammogram,11.624565998024766
16741,mamma,11.624565998024766
16732,maltreatment,11.624565998024766
16740,mami,11.624565998024766
16738,mamasan,11.624565998024766
16737,maman,11.624565998024766
16735,mam,11.624565998024766
16734,malware,11.624565998024766
16733,malveaux,11.624565998024766
16687,makeitillegal,11.624565998024766
16680,maitre,11.624565998024766
16939,markiplier,11.624565998024766
16614,madrigal,11.624565998024766
16632,magnanimous,11.624565998024766
16631,magistrate,11.624565998024766
16626,magi,11.624565998024766
16621,magacult,11.624565998024766
16617,maestro,11.624565998024766
16615,mads,11.624565998024766
16612,madrassas,11.624565998024766
16637,magnetism,11.624565998024766
16606,madeline,11.624565998024766
16602,maddie,11.624565998024766
16596,macula,11.624565998024766
16594,macpherson,11.624565998024766
16593,mackey,11.624565998024766
16589,machismo,11.624565998024766
16633,magnate,11.624565998024766
16639,magnifies,11.624565998024766
16679,mair,11.624565998024766
16653,maiden,11.624565998024766
16678,maintenant,11.624565998024766
16667,mainland,11.624565998024766
16666,mainichi,11.624565998024766
16665,mainewinter,11.624565998024766
16660,maimed,11.624565998024766
16657,mailer,11.624565998024766
16651,mai,11.624565998024766
16640,magnifying,11.624565998024766
16649,maharani,11.624565998024766
16648,mahalo,11.624565998024766
16646,maha,11.624565998024766
16644,magufuli,11.624565998024766
16643,magoo,11.624565998024766
16642,magnum,11.624565998024766
16757,manatee,11.624565998024766
16759,manchinema,11.624565998024766
16760,mand,11.624565998024766
16860,maquette,11.624565998024766
16885,margie,11.624565998024766
16878,marcorubiosucks,11.624565998024766
16877,marcorubio,11.624565998024766
16866,maralardo,11.624565998024766
16865,maralago,11.624565998024766
16861,maquis,11.624565998024766
16855,manv,11.624565998024766
16893,margrethe,11.624565998024766
16853,manufacturingjobs,11.624565998024766
16849,manuel,11.624565998024766
16848,manually,11.624565998024766
16847,manual,11.624565998024766
16844,mantis,11.624565998024766
16843,manticore,11.624565998024766
16886,margiemoron,11.624565998024766
16894,margullies,11.624565998024766
16762,mandarin,11.624565998024766
16912,marinepredators,11.624565998024766
16933,marketed,11.624565998024766
16932,marketable,11.624565998024766
16925,marjorietaylorgreeneissostupid,11.624565998024766
16918,mariposa,11.624565998024766
16917,marionette,11.624565998024766
16914,marino,11.624565998024766
16911,marinemammals,11.624565998024766
16895,mari,11.624565998024766
16908,marinate,11.624565998024766
16905,mariko,11.624565998024766
16901,mariano,11.624565998024766
16900,marianne,11.624565998024766
16899,mariana,11.624565998024766
16897,mariachi,11.624565998024766
16842,manta,11.624565998024766
16840,mansplainer,11.624565998024766
16838,manson,11.624565998024766
16782,mandoverse,11.624565998024766
