,0
0,"here, you, go, please, stop, spreading, false, theories, before, #, factchecking, #, knowyourvaccine, #, covid, "", covid, -, 19, vaccines, are, safe, people, who, experience, menstruation, or, are, post, -, menopausal, ,, medical, experts, say, """
1,"not, vaccine, ,, this, is, medicine, covid, ., just, approved, ., this, is, again, ,, made, india, ., We, will, win, ,, Corona, will, lose, ..."
2,"sir, i, am, willing, donate, blood, before, taking, first, jab, covid, vaccine, ."
3,"newswatch, :, cdc, committee, meet, j, &, amp, ;, j, covid, vaccine, as, india, sets, record, case, number, second, straight, day, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
4,"doctor, cdc, advisory, panel, expects, j, &, amp, ;, j, covid, vaccine, pause, eventually, be, lifted, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
5,"both, mom, dad, got, vaccine, ., but, dad, says, people, are, now, out, i, public, with, no, masks, thinking, they, ’, re, bulletproof, ,, invincible, ., such, as, my, cousin, ., who, went, holiday, with, her, husband, ,, twin, boys, ,, another, family, ., other, fam, tested, positive, covid, ."
6,"registration, covid, -, 19, vaccine, all, eligible, citizens, between, 18, -, 45, years, start, 28, april, ,, 2021, #, largestvaccinedrive, #, unite2fightcorona"
7,"wear, your, mask, .., ., #, sustainme, #, covid19india, #, wearamask, #, mask, #, covidiot, #, coronaviruspandemic, #, covidvaccine, #, covid19, #, coronavirus, #, lockdown, #, whistlepodu, #, csk, #, dubai, #, uae, #, blackownedbusiness, #, tamilnadu, #, tamil, #, plasticfree, #, stayhomestaysafe, #, india, #, canada"
8,"when, india, face, #, oxygenshortage, even, when, indians, gasping, our, pm, updates, #, covidvaccine, policy, favor, corporates, #, right, now, at, uk, United_Kingdom, then, front, end, named, be, #, modi, back, end, be, #, amitshah, grinning_face_with_sweat"
9,"more, than, 30, colleges, now, say, covid, vaccines, will, be, mandatory, fall, 2021, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
10,"watch, live, :, cdc, panel, debates, use, j, &, amp, ;, j, covid, vaccine, after, rare, blood, clot, issue, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
11,"coronavirus, update, :, cdc, committee, meet, j, &, amp, ;, j, covid, vaccine, as, india, sets, record, case, number, second, straight, day, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
12,"In, the, earlier, budget, ,, ₹, 35, thousand, crore, has, been, allocated, for, #, covidvaccine, ,, then, use, it, so, that, almost, all, Indians, will, get, free, vaccine, ...., folded_handsfolded_hands"
