,0
0,"cac, says, twenty-eight, blood, clot, cases, ,, three, deaths, may, be, linked, i, &, amp, ;, i, couid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
1,"biden, urges, parents, get, kids, vaccinated, after, cac, panel, endorses, pfizer, couid, vaccine, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
2,"u, ., i, ., cac, panel, backs, couid, -, nineteen, vaccine, now, cleared, adolescents, #, sipgrab, #, unitingpeoplewiththepossibilities"
3,"cac, panel, endorses, pfizer, ', i, couid, vaccine, use, adolescents, ,, clearing, way, shots, begin, thursday, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
4,"we, should, train, amazon, delivery, guys, give, vaccine, ., whole, country, would, be, vaccinated, by, saturday, ., thursday, if, you, have, prime, #, india, #, mumbai, #, maharashtragovernment, #, coronavaccination, #, covidvaccine, #, coronasecondwave, #, covishieldvaccine, #, indianeedsvaccines"
5,"bhaiya, bolt, band, nazi, kari, papi, ignorance, mikhail, ., doesn, ', i, understands, patent, rights, ., hope, he, knows, couid, shield, is, owned, by, oxford, astrazeneca, &, amp, ;, serum, institute, is, only, manufacturer, ., all, those, who, invested, research, will, get, vaccine, first, ,, others, we, have, wait"
6,"today, i, took, my, first, dose, couid, -, nineteen, vaccine"
7,"feeling, very, fortunate, get, first, dose, vaccine, today, ..., #, covid19india, #, covid19vaccines, #, covishield, #, covishieldvaccine, #, healthcare, #, couid"
8,"and, dose, couid, vaccine, victory_hand, i, victory_hand, i, fire"
9,"pfizer, seek, couid, -, nineteen, vaccine, approval, mexico, children, aged, twelve, -, fifteen, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
10,"all, content, creators, ,, influencers, ig, reels, creators, stop, making, bullshit, content, ,, reels, ., please, start, creating, some, awareness, motivational, videos, #, covid19, #, covidvaccine"
11,"dear, tone, condition, couid, is, too, bad, india, ,, they, do, not, have, even, enough, vaccine, support, people, ,, i, am, your, follower, india"
12,"central, government, told, supreme, court, that, it, had, not, given, any, aid, or, grant, research, development, two, couid, -, nineteen, vaccines, being, used, country, i, i, mass, immunization, program, ., totally, agree, that, vaccine, orders, should, have, been, placed, earlier, ."
13,"fda, authorizes, pfizer, -, biotech, couid, -, nineteen, vaccine, emergency, use, adolescents, another, important, action, fight, against, pandemic, #, nifty, #, sipgrab"
14,"i, saw, it, video, when, pregnant, doctor, died, because, couid, nineteen, ., she, must, obviously, be, double, vaccinated, ., i, have, always, been, strong, proponent, efficacy, vaccines, ,, but, my, mind, blows, out, if, some, vaccinated, person, dies, due, this"
15,"just, want, ask, ji, did, bop, take, corona, vaccine, or, not, #, covidvaccine"
16,"madam, ,, government, had, no, business, be, business, ., get, lost, this, useless, business, selling, couid, vaccine, other, countries, letting, our, own, indian, die, ., govt, is, well, prepared, distribution, vaccine, once, it, is, approved, i, i, u, ready, i, people, i, ready"
17,"some, very, interesting, data, this, dashboard, ., hope, we, can, somehow, increase, vaccine, availability, as, that, seems, be, most, crucial, thing, prevent, future, couid, waves, -, lockdown, though, needed, at, times, is, only, stop, gap, solution, but, we, need, vaccinate, vaccinate, vaccinate"
18,"sir, appreciated, folded_hands, allow, all, international, couid, nineteen, vaccine, manufacturing, companies, produce, vaccines, india, at, moment, crisis, ."
19,"To, protect, against, the, second, wave, of, #, CoronaPandemic, ,, get, the, corona, vaccine, done, ,, do, not, go, out, of, the, house, without, reason, ., Follow, the, Corona, Health, Protocol, issued, by, the, state, government, and, stay, safe, ., #, rajasthan, #, sonic, #, covidvaccine, #, epidemic_red_alert_public_diskipline_lockdown, #, stanhope, #, vaccinated"
20,"our, am, &, amp, ;, india, has, been, lucky, have, our, own, three, different, vaccines, own, couid, medicines, ,, oxygen, &, amp, ;, medical, systems, too, i, amp, ;, alongwith, other, countries, help, we, should, get, over, present, tight, position, ., moreover, i, age, wise, as, compared, world, average, we, are, not, lagging"
21,"gujaratis, can, be, model, state, at, couid, and, it, will, praised, ,, only, need, oxygen, injection, vaccine, god, ground, civil, la, hospital, unmehata, ., see, changes, please, listen, carefully, ."
22,"bac, has, issued, global, bid, today, acquire, one, crore, corona, vaccines, vaccinate, citizens, mumbai, at, earliest, massive, scale, it, is, decisive, fight, against, couid, virus, says, bac, commissioner, is, chapel, ."
23,"what, are, bump, officers, bop, mla, yelahanka, doing, ., The, queue, line, to, get, the, couid, vaccine, near, the, vaccine, center, of, the, am, yelahanka, pu, college, ., #, covid19vaccination, #, covid19, #, yelahanka"
24,"this, is, different, level, #, atmanirbharbharata, #, atmanirbhar, tamil, nada, float, global, tenders, couid, -, nineteen, vaccines, inoculate, all, eighteen, -, forty-four, age, group, -, coronavirus, outbreak, news"
25,"couid, nineteen, vaccines, registration"
26,"India, fastest, administer, seventeen, or, couid, vaccine, doses, ., And, now, the, vaccine, is, over, disappointed_face, we, have, the, highest, population, and, resources, ., what, audacity, even, compare, it, with, rest, world, person_shruggingdark_skin_tone"
27,"what, happens, those, age, group, eighteen, -, forty-four, who, have, taken, their, first, dose, vaccine, march, their, second, dose, is, due, now, &, amp, ;, they, are, medical, front, line, workers, #, pune, are, they, not, eligible, #, couid, #, covishield"
28,"cost, #, centralvista, twenty, ,, zero, crore, cost, one, vaccine, #, seruminstituteofindia, one hundred and fifty, is, this, money, total, vaccines, :, one hundred and thirty-three, crore, one, dose, vaccine, whole, india, #, covidindia, #, modikavaccinedisaster, it, i, i, not, #, couid, that, killing, people, ., it, i, i, center, vista, project, ."
29,"#, couid, vaccine, astra, zane, Remove, the, misconception, The, possibility, of, clotting, is, one, in, two, and, a, half, million, ., equates, one, /, two hundred and fifty thousand, zero, ., four, %, Therefore, vaccines, cannot, be, discontinued, due, to, unnecessary, news, ., Vaccinate, until, Allah, Almighty, comes, up, with, a, better, solution"
30,"sir, petition, has, tobe, filed, supreme, court, immediately, asking, them, stop, any, false, public, statements, against, prime, minister, india, by, any, individual, or, media, with, regards, couid, nineteen, situations, oxygen, shortage, vaccine, shortage, india"
31,"when, will, couid, -, nineteen, vaccine, be, given, eighteen, +, youths, pachpakari, panchayat"
32,"Sir, ,, the, Department, of, Health, has, received, a, new, vaccine, ., health, department, boll, raya, haa, kee, app, frontline, maa, name, hoo, i"
33,"when, will, couid, -, nineteen, vaccine, be, given, eighteen, plus, youths, pachpakari, panchayat"
34,"observed, few, banks, financial, institution, contributing, at, around, nor, ten, million, per, co, ., towards, couid, fight, nepal, kudos, great, raising_hands, -, can, that, be, redirected, /, pooled, aim, vaccine, import, rather, thinking_face, #, timetostandtogether, #, thinking, #, thinktogether, #, desperatetimes"
35,"i, got, my, couid, -, nineteen, vaccine, syringecheck_mark_button"
36,"indeed, it, can, be, game, changer, ., #, covidvaccine"
37,"time, delivered, #, couid, vaccine"
38,"he, departed, london, by, indira, gandhi, airportface_with_tears_of_joy, if, congress, was, power, one, ., vaccine, -, rajivgandhi, covidshield, two, ., oxygen, -, indiragandhi, oxygen, cylinder, scheme, three, ., couid, center, -, near, isolation, center, bed, four, ., pie, kit, -, soniagandhi, kit, mask, scheme"
39,"today, i, got, couid, nineteen, vaccine, covishield, ., thanks"
40,"said, field, unit, nuh, ,, meat, ,, aryans, continuously, sending, their, photographs, creating, awareness, motivating, people, with, local, health, service, providers, couid, vaccine, routine, immunization, ., god, blessed, team, ., #, snug, ,, #, nhmharyana, #, corecgpp, #, core, #, covid19"
41,"kya, fraida, it, engineer, hone, ka, jab, ek, couid, vaccine, hi, hi, dna, pay, aha, hu, lasta, hai, vaccine, vi, armani, kita, se, aye, ga, #, kejrudin, delhi, whale, #, bop, #, kejriwalfailsdelhi"
42,"we, play, fastest, finger, first, every, evening, up, nine, am, ,, lidar, mile, couid, vaccine, mumbai, all, centers, website, ., no, luck, till, date"
43,"This, is, what, we, used, to, do, for, train, booking, ,, now, for, couid, vaccine, ..."
44,"#, pakistan, :, may, sixteen, ,, those, thirty, years, older, will, be, able, register, themselves, receive, couid, -, nineteen, vaccine, dose, by, sending, their, chic, one thousand, one hundred and sixty-six, ,, shared, #, covid19vaccination, #, covid19pakistan, #, fu"
45,"finally, ,, got, slot, est, dose, #, covidvaccine, ., thanks, information, ., #, vaccinationdrive, #, cowinapp"
46,"how, well, vaccines, are, working, i, hearing, so, many, disturbing, stories, people, getting, severe, couid, even, after, two, doses, vaccine, ., if, we, do, not, study, this, data, vaccine, hesitancy, will, increase, ., #, covid19vaccination, #, covid19india"
47,"we, kashmiri, can, survive, withoout, couid, vaccine, oxygen, ghost, but, we, cannot, survive, without, bakery, meat, especially, eid, grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweat, #, coronapandemic, #, covidsecondwave"
48,"*, couid, vaccine, *, autocorrected, ., also, problem, is, that, people, are, waiting, whole, time, book, slot, if, they, do, not, get, that, day, they, are, simply, wasting, their, time"
49,"#, covidvaccine, Today, the, youth, secretary, of, the, organization, my, ., #, Udayanidhi_Stalin, mla, gave, their, first, vaccination, ."
50,"i, took, my, first, dose, couid, -, nineteen, vaccine, ., i, appeal, all, my, friends, family, take, vaccine, ., #, covid_19, #, vaccinationdonecheck_mark, i, #, vacation, @, sirs, ,, karnataka"
51,"modify, i, too, much, false, information, is, being, spread, ., please, do, something, counter, it, your, end, ., those, who, are, inimical, you, bop, are, spreading, false, narrative, vaccines, couid, management, ."
52,"can, anyone, please, help, know, that, couid, vaccine, is, available, eighteen, +, tamilnadu, &, amp, ;, my, place, nagercoil, called, telephone, i, up, maximum, hospital, every, one, is, saying, no, stock, no, supply, ."
53,"how, get, couid, -, nineteen, vaccine, dubai, you, family, |, free, vaccine, |..., via"
54,"friends, myself, wife, both, we, are, infected, by, couid, last, week, april, but, while, my, recovery, was, fast, she, is, recovering, slowly, ., this, happened, just, after, six, days, getting, second, jab, vaccine"
55,"Global, tender, for, vaccine, procurement, :, am, orders, #, covidvaccine"
56,"this, is, my, personal, experience, &, amp, ;, suggestions, book, slot, vaccination, eighteen, +, #, mumbai, #, youngandvaccinated, #, mybmcvaccinationupdate, #, covidvaccine, thank, you, such, amazing, so, so, well, organized, vaccination, drive, ."
57,"eighteen, -, forty-four, years, struggle, book, couid, -, nineteen, vaccine, appointment, ,, these, coin, tips, might, help, via"
58,"Government, of, Tamil, nada, decides, to, import, vaccines, through, global, contract, points, as, there, is, not, enough, vaccine, for, persons, between, the, ages, of, eighteen, and, forty-four, in, Tamil, nada, -, #, corona, #, covidvaccine"
59,"The, doctor, at, the, coma, hospital, in, Homagama, says, that, the, virus, has, to, be, given, in, different, variants, like, the, flu, vaccine, every, year, ., That, means, it, is, not, one hundred, %, successful, either, ."
60,"akhilesh, yadav, jee, you, your, supporters, openly, criticized, indian, vaccine, ., did, you, your, supporter, got, couid, vaccinated, or, not, please, answer, this, question"
61,"Reserve, it, first, ., #, vaccine, couid, #"
62,"addition, famous, scams, like, og, ,, og, ,, cog, ,, jia, i, etc, we, would, have, mask, scam, ,, oxygen, cylinder, scam, ,, sanitizer, scam, ,, oxygen, concentrator, scam, ,, vaccine, scam, ,, hospital, bed, scam, ,, rajiv, gandhi, vaccinations, ,, indira, gandhi, couid, care, center, ,, jawaharlal, near, oxygen, hangar, etc, etc"
63,"my, brother, ', i, hospital, at, vadodara, /, isha, hospital, ,, is, willing, purchase, couid, vaccine, as, now, private, hospitals, can, procure, it, ., can, you, suggest, contact, person, details, approach, them, ., +, ninety-one, nine billion, five hundred and seventy-four million, nine hundred and forty-five thousand, is, my, number, ."
64,"pakistanis, aged, thirty, above, will, be, able, get, themselves, registered, couid, -, nineteen, vaccine, sunday, ,, may, sixteen, ."
65,"people, you, mentioned, we, are, already, infected, with, couid, when, they, got, vaccinated, or, they, got, couid, while, visiting, hospital, ,, as, coaxing, is, dead, virus, covishield, is, non, replicating, vector, based, vaccine, they, can, never, because, couid, as, you, are, not, injected, with, live, virus"
66,"i, got, first, dose, couid, vaccine, today, ., ."
67,"neither, opposition, party, or, media, has, guts, put, pressure, govt, who, identify, source, so, called, couid, -, nineteen, ., if, problem, is, solved, at, source, ,, no, vaccine, is, required, ., use, your, brains, instead, arms, ."
68,"sir, maine, ape, mom, dad, i, like, couid, vaccine, book, parvati, hair, maa, papa, do, din, i, lagataar, jaa, i, hospital, par, wo, rob, banana, banana, i, hej, dete, i, or, lava, nazi, pate, please, help, us"
69,"utter, mismanagement, ., will, not, be, surprised, if, several, test, positive, few, more, days, due, utter, chaos, confusion, at, center, ., we, are, made, sit, park, beside, only, be, informed, that, it, was, fever, clinic, vaccines, we, are, available, inside, beside, couid, wards, five, /, i"
70,"people, had, wait, vaccines, near, couid, wards, ., windows, wards, open, ,, patients, oxygen, help, ,, some, coughing, without, masks, ...., all, them, couid, positive, couid, patients, taken, stretchers, front, entire, queue, vaccines, four, /, i"
71,"i, got, my, first, dose, couid, -, nineteen, vaccine, syringesyringesmiling_face_with_sunglasses, #, covidvaccination2021, #, covisheild, #, bhfightcorona"
72,"this, pandemic, has, highlighted, once, again, vast, gulf, between, rich, poor, worlds, ., this, gap, should, be, minimized, by, making, vaccines, diagnostics, more, accessible, all, ., global, south, still, do, not, know, when, couid, -, nineteen, vaccine, will, be, made, available, them, ., solidarity"
73,"this, country, now, divided, into, states, &, amp, ;, ut, couid, ,, govt, says, states, i, responsible, their, stock, ,, how, do, we, expect, +, ve, support, ,, early, vaccine, setup, is, required, brij, vicar, ,, ramprastha, ,, surya, nor"
74,"limit, greed, by, vaccine, manufacturer, serum, institution, india, &, amp, ;, pre, pandemic, two thousand and nineteen, -, twenty, they, earned, two thousand, two hundred and fifty-one, or, five thousand, four hundred and forty-six, or, sales, ., couid, van, sales, exports, are, later, &, amp, ;, he, is, crying, higher, price, &, amp, ;, govt, meekly, /, deliberately, encouraging, it, ., shame, shame"
75,"couid, vaccine, shot, #, two, done, ., @, radio, mas, community, club"
76,"i, have, appointment, at, polar, medical, college, and, dose, couid, shield, vaccine, ., i, at, center, amd, there, is, chaos, here, ,, am, told, patients, are, waiting, since, three, days, as, they, have, not, received, their, quota, ., my, appoinment, was, given, yesterday, ., #, covid19vaccination"
