,0
0,"is, she, going, gloat, back, that, moderna, has, better, numbers, vs, delta"
1,"you, didn, ', t, "", almost, die, second, dose, moderna, "", come, man, ., face_with_rolling_eyes"
2,"moderna, vaccine, that, was, created, by, african, american, woman, scientist, is, better, it, should, have, been, approved, first"
3,"let, em, ., more, these, will, be, coming, now, with, full, approval, ., moderna, should, be, soon, too, ."
4,"#, moderna, next, just, got, my, third, dose, as, booster, ."
5,"trustees, is, what, they, are, ., so, by, the, color, of, the, skin, they, remember, the, slave, trade, and, its, abolition, ., And, because, you, do, not, repudiate, the, modern, slavery, that, you, have, implanted, on, your, poor, and, oppressed, people, ,, on, the, doctors, that, you, force, to, work, for, you, ."
6,"awesome, ., did, they, officially, approve, moderna, yet, i, ’, m, #, teammoderna, myself, so, when, time, get, booster, rolls, around, i, ’, ll, wanna, be, ready, that, ."
7,"modern, profits, #, mdna"
8,"modern, team, ."
9,"got, that, second, moderna, shot, ., i, don, ’, t, feel, that, bad, ., my, wife, is, wiped, out, face_with_tears_of_joy"
10,"my, understanding, is, their, is, already, deal, with, moderna, canadian, facility, ., did, something, change"
11,"moderna, ., no, side, effects, ., i, ’, m, 62, with, copd, emphysema, ."
12,"what, i, ’, ve, read, moderna, is, most, effective, ., it, ’, s, one, i, had, ., first, dose, was, standard, arm, soreness, ., that, will, happen, with, any, shot, into, muscle, ., second, dose, gave, me, two, days, covid, symptoms, ., hope, that, helps"
13,"what, is, "", moderna, financial, "", business, entity"
14,"after, my, moderna, booster, ,, i, have, had, couple, hours, low, -, grade, fever, ., my, friend, called, me, hospital, ,, gasping, as, he, spoke, ,, tell, me, about, his, week, hospital, conditions, there, ., i, consider, any, reaction, as, sign, blessing, ."
15,"this, is, so, exciting, moderna, has, created, vaccine, hiv"
16,"i, ’, m, about, due, that, third, dose, moderna, ."
17,"personal, experience, -, i, believe, moderna, is, more, effective"
18,"nag, az, kasi, ako, sa, dubai, ., I, didn, ', t, finish, the, second, twelve, ,, I, ', m, already, here, with, us, ,, eh, ,, there, ', s, nothing, here, ., so, I, repeated, the, modern, after, a, few, months, ., face_with_tears_of_joy"
19,"modern, vaccine, :, they, investigate, in, the, united, states, possible, relationship, with, heart, risks"
20,"me, ,, too, ., i, got, moderna, #, 3, ., sore, arm, 1, day, ,, malaise, few, hours, ., had, little, response, 2, pfizers, ., hoping, i, got, something, this, one, ., best, ."
