,0
65000,"is, she, going, gloat, back, that, modern, has, better, numbers, is, delta"
65001,"you, didn, ', i, "", almost, die, second, dose, modern, "", come, man, ., face_with_rolling_eyes"
65002,"modern, vaccine, that, was, created, by, african, american, woman, scientist, is, better, it, should, have, been, approved, first"
65003,"let, em, ., more, these, will, be, coming, now, with, full, approval, ., modern, should, be, soon, too, ."
65004,"#, modern, next, just, got, my, third, dose, as, booster, ."
65005,"trustees, is, what, they, are, ., so, by, the, color, of, the, skin, they, remember, the, slave, trade, and, its, abolition, ., And, because, you, do, not, repudiate, the, modern, slavery, that, you, have, implanted, on, your, poor, and, oppressed, people, ,, on, the, doctors, that, you, force, to, work, for, you, ."
65006,"awesome, ., did, they, officially, approve, modern, yet, i, i, i, #, teammoderna, myself, so, when, time, get, booster, rolls, around, i, i, all, wanna, be, ready, that, ."
65007,"modern, profits, #, dna"
65008,"modern, team, ."
65009,"got, that, second, modern, shot, ., i, don, i, i, feel, that, bad, ., my, wife, is, wiped, out, face_with_tears_of_joy"
65010,"my, understanding, is, their, is, already, deal, with, modern, canadian, facility, ., did, something, change"
65011,"modern, ., no, side, effects, ., i, i, i, sixty-two, with, cold, emphysema, ."
65012,"what, i, i, ve, read, modern, is, most, effective, ., it, i, i, one, i, had, ., first, dose, was, standard, arm, soreness, ., that, will, happen, with, any, shot, into, muscle, ., second, dose, gave, me, two, days, couid, symptoms, ., hope, that, helps"
65013,"what, is, "", modern, financial, "", business, entity"
65014,"after, my, modern, booster, ,, i, have, had, couple, hours, low, -, grade, fever, ., my, friend, called, me, hospital, ,, gasping, as, he, spoke, ,, tell, me, about, his, week, hospital, conditions, there, ., i, consider, any, reaction, as, sign, blessing, ."
65015,"this, is, so, exciting, modern, has, created, vaccine, hiv"
65016,"i, i, i, about, due, that, third, dose, modern, ."
65017,"personal, experience, -, i, believe, modern, is, more, effective"
65018,"nag, az, kasi, ako, sa, dubai, ., I, didn, ', i, finish, the, second, twelve, ,, I, ', i, already, here, with, us, ,, eh, ,, there, ', i, nothing, here, ., so, I, repeated, the, modern, after, a, few, months, ., face_with_tears_of_joy"
65019,"modern, vaccine, :, they, investigate, in, the, united, states, possible, relationship, with, heart, risks"
65020,"me, ,, too, ., i, got, modern, #, three, ., sore, arm, one, day, ,, malaise, few, hours, ., had, little, response, two, pfizer, ., hoping, i, got, something, this, one, ., best, ."
