,0
0,"soniya, mummy, hoti, toh, covid, me, magic, stick, ghuma, ke, death, kam, kar, deti, ..., aur, rahul, baba, apne, hanto, se, taiyar, karke, sabko, vaccination, deta"
1,"#, pickids, :, about, 20, ,, 000, children, perlis, eligible, covid, -, 19, vaccination"
2,"previous, covid, -, 19, infection, –, but, not, vaccination, –, improves, performance, antibodies, -"
3,"india, ’, s, covid, -, 19, vaccination, coverage, crosses, 171, ., 73, cr, mark"
4,"i, got, call, office, principal, commissioner, cgst, lucknow, ,, it, ascertained, status, covid, vaccination, doses, by, me, ,, all, doses, booster, is, taken, by, me, ,, thanks, regards, pr, commissioner, cgst, lucknow"
5,"i, have, booked, flight, 13, feb, ,, 2022, toronto, new, delhi, departure, time, 1155, est, please, do, let, me, know, that, as, per, new, guidelines, that, have, come, today, ,, is, covid, -, 19, test, still, necessary, or, i, can, upload, my, vaccination, certificate, only, travel"
6,"covid, -, 19, vaccination, drive, :, around, 172, crore, covid, vaccine, doses, administered, india, ,, says, govt"
7,"oscars, 2022, :, attendees, not, required, provide, covid, -, 19, vaccination, proof, oscars, will, reportedly, return, it, is, traditional, setting, dolby, theater, hollywood, boulevard, it, is, upcoming, ceremony, march, 27, #, latest, news, by, #, businessstandard"
8,"covid, -, 19, vaccination, at, cvc, govt, ., boys, senior, secondary, school, ,, loni, road, ,, north, east, district, #, largestvaccinedrive, #, fightagainstcovid19, #, united2fightcorona"
9,"covid, vaccination, center, list, 11, ., 02, ., 22, 2, /, 2, #, vaccinationdrive, #, covidvaccine, #, kmcfightsagainstcorona"
10,"covid, vaccination, center, list, 11, ., 02, ., 22, 1, /, 2, #, vaccinationdrive, #, covidvaccine, #, kmcfightsagainstcorona"
11,"Vaccinate, to, protect, yourself, and, your, loved, ones, from, coronavirus, #, uranus, #, covidvaccination"
12,"is, covid, ki, waja, se, buht, saray, logon, ne, apne, pyaron, ko, khoya, hai, buht, sare, log, apni, jan, se, hath, kho, bethe, agr, ap, is, nuqsan, se, bachna, chahte, hain, plz, vaccination, lagvaey, ...., #, jeelodobara, #, jeelophirse, #, covidvaccine"
13,"guv, inspects, covid, vaccination, centers"
14,"covid, vaccination, centers, 11, /, 02, /, 2022"
15,"pl, advise, precaution, covid, vaccination, dose, those, who, have, already, taken, two, pfizer, doses, usa, feb, 20, ,, this, is, very, essential, sr, citizen, 70, +"
16,"tonga, ’, s, first, covid, outbreak, erupts, ;, vaccination, surges, 98, %"
17,"total, number, active, covid, -, 19, cases, haryana, as, feb, 10, :, 7, ,, 866, total, vaccination, haryana, as, feb, 10, first, dose, 70, ,, 337, second, dose, 5, ,, 431, total, cumulative, figure, 4, ,, 01, ,, 32, ,, 879, as, date, #, hry, ,, ,"
