,0
0,"thanku, got, my, frst, dosage, #, indiafightscorona, #, indiancovidvaccine, #, covidvaccination, thank, you, no, reaction, no, side, effect, #, imfine, #, igotmyvaccination, #, worldlargestvaccinedrive, #, stayhealthy"
1,"dear, friends, ,, we, are, very, happy, inform, you, that, ,, we, got, covid, -, 19, vaccination, with, our, gurukrupa, vocational, junior, college, bhainsa, alumni, who, is, serving, govt, sector, ."
2,"happy, inform, you, all, that, i, got, covid, -, 19, vaccination, today, with, our, gurukrupa, vocational, junior, college, alumni, ,, she, is, serving, govt, sector, .."
3,"#, odisha, at, #, 2, covid, vaccination, ., compliments, team, &, amp, ;, district, administration, this, commendable, achievement, ., #, vaccinationdrive"
4,"covid, vaccination, done, today, at, sms, dhanvantri, ., feeling, good, request, all, corona, warriors, come, front, complete, vaccination, ., #, getvaccinated, #, covidvaccine, #, covid19vaccination, #, covishield"
5,"au, chancellor, dr, ., karim, seghir, ,, faculty, ,, staff, students, proudly, display, their, green, badge, after, their, covid, -, 19, vaccination, choose, vaccine, ,, not, fear, #, choosevaccine, #, vaccine, #, makeithappen, #, ajmanuniversity, #, ليكن_خيارك_التطعيم"
6,"dulloo, inaugurates, covid, vaccination, center, at, ascoms, jammu, ,, january, 28, :, financial, commissioner, ,, health, &, amp, ;, medical, education, ,, atal, dulloo, today, inaugurated, covid, -, 19, vaccination, center, here, at, acharya, shri, chander, college, medical, sciences, &, amp, ;, hospital, ascoms, jammu, ."
7,"Medicines, and, strictness, must, also, be, fixed, when, it, is, your, turn, ., Be, careful, even, after, vaccination, ., #, staysafe, #, pmayurbanmp, #, vaccinationdrive, #, covidvaccination"
8,"persons, with, #, smi, severe, mental, illness, schizophrenia, ,, bipolar, disorder, &, amp, ;, dementia, :-, another, group, vulnerable, covid, infection, must, be, one, priority, groups, second, phase, india, ', s, covid, vaccination, program"
9,"india, ', s, covid, vaccination, update, by, union, health, secretary, shri, rajesh, bhushan, syringe, #, lakshadweep, is, number, one, ,, odisha, is, number, 2, country, as, far, as, vaccination, is, concerned, ."
10,"covid, -, 19, -, vaccination, done, ."
11,"team, vaccinated, syringe, got, my, 1st, dose, #, pfizerbiontech, covid, -, 19, vaccine, marcham, vip, lol, ,, still, got, shuttle, bus, service, oncoming_bus, vaccination, center, my, workplace, ..., @, hong, kah, ,, singapore"
12,"dear, dr, chitvan, singh, arora, ,, congratulations, you, are, successfully, administrated, with, 1st, dose, covid, -, 19, vaccine, at, garh, chc, 1, at, 10, :, 29, am, 28, -, 01, -, 2021, by, vaccinator, anjli, goswami, 9045227788, ., case, any, queries, post, vaccination, ,, contact, our, help, line, at, 1075, -, cowin"
13,"families, #, hcws, health, care, workers, seem, highly, vulnerable, covid, infection, than, general, population, ., must, put, them, priority, group, phase, 2, covid, vaccination, program, india, ., just, suggestion, ."
14,"hie, I, am, #, indiaIndia, #, vaccination, done, vaccine, added, it, is, safe, together, ,, whole, world, will, defeat, covid, -, 19"
15,"vaccinated, ..., #, covidvaccination, #, apollohospitals, #, india"
16,"covid, 19, vaccination, -, dr, ., chitvan, singh, ."
17,"india, becomes, fastest, country, administer, 2, million, doses, covid, -, 19, vaccine, under, largest, vaccination, drive, world, ., as, we, move, forward, decisive, phase, defeat, covid, ,, let, ’, s, guard, against, rumors, propaganda, about, vaccines, ., #, indiafightscorona"
18,"The, third, phase, of, corona, vaccination, is, going, on, in, Lucknow, ', s, Shyama, Prasad, Mukherjee, Hospital, ., #, covidvaccination"
19,"don, ’, t, blast, at, ppl, who, hv, reservations, abt, getting, covid, vaccination, ., there, r, ppl, with, minor, allergies, or, medical, conditions, &, amp, ;, they, r, worried, abt, having, adverse, side, effects, ."
20,"received, 1st, dose, #, covishield, vaccine, ., give, no, second, thoughts, ,, just, take, it, when, you, can, ., vaccine, saves, lives, #, covidvaccination"
21,"congratulations, modi, government, immediately, doing, covid, vaccination, all, over, india, ., thanks, all, medical, staff, scientistsman, ‍, microscopeman, ‍, microscope, bouquettulip"
22,"covid, vaccination, started, nepal"
23,"hasina, proclaims, ', historic, day, ', as, bangladesh, launches, mass, vaccination, against, covid, -, 19, ., via"
24,"*, sindh, sets, up, 14, covid, vaccination, centers, ,, nine, them, karachi, *, vaccine, company, :, sinopharm, china, first, phase, :, doctors, paramedics, staff, second, phase, :, age, group, above, 60, years"
25,"hpm, #, sheikhasina, has, inaugurated, #, covid19, #, vaccination, #, dhaka, ,, #, bangladesh, :, runu, veronica, costa, ,, senior, staff, nurse, at, kurmitola, gen, ., hospital, ,, received, first, #, oxford, -, #, astrazeneca, #, vaccine, made, india, ., nationwide, mass, #, covidvaccination, start, feb, 7"
26,"Salute, P, ., Government, ., Among, the, least, developed, countries, ,, Nepal, is, the, first, country, to, start, vaccination, ., Do, not, spread, false, propaganda, about, vaccine, in, the, name, of, political, protest, ., Remember, that, European, countries, have, not, been, able, to, get, covid, vaccine, even, after, paying, in, advance, ."
27,"great, modig, pm, interacts, with, beneficiaries, vaccinators, covid, vaccination, drive, varanasi, via, namo, app"
28,"humanity, vaccinated, synopharm, covid, vaccination"
29,"repost, :, mira, toufaily, proud, be, part, pf, historic, covid, vaccination, program, ,, thanks, uae"
30,"hpm, #, sheikhasina, has, inaugurated, #, covid19, #, vaccination, #, dhaka, ,, #, bangladesh, :, runu, veronica, costa, ,, senior, staff, nurse, at, kurmitola, gen, ., hospital, ,, received, first, #, oxford, -, #, astrazeneca, #, vaccine, ., nationwide, mass, #, covidvaccination, start, feb, 7"
31,"well, this, complicates, things, ..., eu, says, astrazeneca, must, supply, covid, vaccines, it, is, uk, plants, -, via, #, brexitreality, #, vaccination, #, astrazenecavaccine, #, covid19, #, covidvaccine, #, fbpe"
32,"i, got, covid, -, 19, vaccination, today, folded_hands, #, coronavirusvaccine, #, covid_19, #, imvaccinated, #, covidvaccine, #, covishieldvaccine"
33,"see, this, video, know, how, you, can, register, #, covidvaccination, #, bangladesh, using, #, surokkha, mobile, app, website, ., #, covid19, #, vaccine, #, vaccineswork, #, vaccinessavelives, #, affordablevaccines4all, #, coronavaccinationcampaign"
34,"hpm, #, sheikhasina, has, inaugurated, #, covid19, #, vaccination, #, dhaka, ,, #, bangladesh, :, runu, veronica, costa, ,, senior, staff, nurse, at, kurmitola, gen, ., hospital, ,, received, first, -, #, astrazeneca, #, vaccine, ., nationwide, mass, #, covidvaccination, start, feb, 7"
35,"#, indiafightscorona, covid, -, 19, vaccine, is, absolutely, safe, efficacious, ., make, sure, that, you, take, vaccination, your, turn, ., if, you, experience, any, side, effects, ,, contact, your, health, provider, /, vaccinator, supervising, your, vaccination, ., #, largestvaccinedrive"
36,"#, bangladesh, today, begins, mass, #, vaccination, against, #, coronavirus, #, covid19vaccination, #, covid_19"
37,"congratulations, our, frontline, workers, #, nepal, getting, first, dose, #, covid, vaccination, you, guys, are, our, #, unsunghero, purple_heartflexed_bicepsmedium_skin_tonefolded_handsmedium_skin_toneclapping_hands, forever, grateful"
38,"#, thankyoudubai, it, is, rulers, caring, about, country, it, is, residents, ., managing, covid, -, 19, crisis, effectively, ., entire, swift, ,, effectively, organized, free, vaccination, program, ., already, vaccinating, almost, 30, %, population"
39,"covid, 19, vaccination, day, kathmandu, manag, district, -, post, dr, rydam, basnet, dr"
40,"ingmt, —, un, agencies, working, closely, with, india, covid, vaccination, drive, :, india, ,, un, team, ', s, work, has, led, five, -, fold, increase, investments, address, gender, -, based, violence, ..., “, we, have, also, trained, 47, ,, 000, nurses, others, address, …"
