,0
0,"mpc, highlighted, rising, risk, growth, covid, -, 19, ,, slow, vaccination, drive, #, nifty, #, sipgrab, #, unitingpeoplewiththepossibilities"
1,"everyone, above, age, 18, shall, be, eligible, #, covid19, vaccination, may, 1, ,, 2021, registration, starts, april, 28, continue, following, covid, appropriate, behavior, even, after, you, take, vaccine, #, vaccineforall"
2,"there, has, shortage, blood, state, ., youths, between, 18, -, 45, should, come, forward, donate, blood, before, taking, covid, vaccine, ., after, vaccination, you, shall, have, wait, 60, days, blood, donation, by, that, time, scarcity, blood, will, be, peak, ., #, bloodmatters, #, blooddonation"
3,"over, last, couple, days, ,, all, i, can, see, social, media, is, covid, news, ., news, channels, is, election, ipl, ., is, government, so, inadequate, irresponsible, vaccination, should, be, their, responsibility, ., lockdown, should, be, theirs, ., why, does, common, man, suffer"
4,"Avoid, possible, blood, deficiency, in, the, next, 2, -, 3, months, due, to, mass, vaccination, ., Plan, in, advance, ., It, is, best, for, us, to, donate, blood, to, a, group, of, 5, -, 6, people, ., 2, /, 2, *, Please, broadcast, *, #, blooddonation, #, covidvaccination, #, covid19india"
5,"₹, 35, ,, 000, crore, was, allocated, for, covid, vaccination, in, the, Union, Budget, of, 2021, -, 22, ,, about, 150, crore, doses, can, be, taken, in, 35, ,, 000, crores, and, now, the, responsibility, of, buying, vaccine, has, been, imposed, on, the, states, and, people, in, the, first, month, of, the, financial, year, itself, ., was, it, paperwork, or, was, wrong, in, intent"
6,"#, covidvaccination, go, get, your, jab, do, not, delay, .., thats, least, help, you, can, do, country, #, covid19vaccination"
7,"i, think, phle, desh, smbhal, lo, ...., aapke, pass, vaccination, ka, plan, bhi, nahi, hai, ..., folded_hands, jab, desh, ki, swchta, ka, khyal, rakh, skate, hai, climate, change, ko, bhi, smbhal, lenge, ..., abhi, covid, chla, rkha, hai, aap, logo, ne, ."
8,"create, queue, where, it, is, not, wanted, ., do, not, give, employment, indians, but, get, them, line, ., that, will, save, emperor, asking, embarrassing, questions, ., covid, vaccination, should, be, universally, available, free, ."
9,"situation, is, getting, worse, day, by, day, this, second, wave, ,, please, take, care, yourself, your, loved, ones, ., #, fightagainstcoronavirus, #, fightagainstcovid19, #, fightagainstcorona, #, stayhomestaysafe, #, stayhome, #, recoveryposse, #, covidvaccination"
10,"israel, has, done, 100, %, vaccination, ,, declared, covid, free, country, ."
11,"registration, corona, vaccine, 18, years, above, cowin, start, 28th, april, ., backhand_index_pointing_down, no, walk, -, ins, allowed, ., #, covidvaccination, #, covishield, #, covaxin, #, largestvaccinedrive"
12,"that, is, issue, brother, ..., as, employees, &, amp, ;, civil, servants, we, must, &, amp, ;, should, stay, away, political, parties, &, amp, ;, try, remain, neutral, ..., we, all, supported, pmik, &, amp, ;, pti, better, healthcare, delivery, system, ..., but, what, we, are, getting, #, nle, #, pmc, #, mti, #, covid_vaccination, rate, u, may, check, etc"
13,"now, time, has, come, vaccinate, all, priority, group, swift, vaccination, drive, by, mobile, vaccination, van, at, urban, rural, levels, with, help, govt, .,, private, ngos, control, covid, morbidity, mortality, ."
14,"we, have, not, found, single, covid, infected, farmer, at, our, agitation, site, ,, says, dr, darshan, pal, samyukt, kisan, morcha, ,, ahead, meeting, with, sonipat, district, officials, over, vaccination, protesters, near, singhu, tikri, border, haryana, ."
15,"india, ', s, vaccination, drive, is, helping, control, spread, virus, ., post, vaccination, ,, breakthrough, infection, numbers, stand, at, just, between, 0, ., 03, %-, 0, ., 04, %, both, covaxin, covishield, ., get, vaccinated, help, india, ', s, fight, against, covid, ., #, indiafightscorona"
16,"6, month, ago, :, uk, mutant, covid, virus, 1, month, ago, :, india, double, mutant, covid, virus, nowadays, :, triple, mutant, covid, virus, vaccine, alone, is, also, not, solution, covid, pandemic, mask, face_with_medical_mask, plus, rapid, vaccination, syringe, both, needed, combat, covid, 19"
17,"this, is, great, ,, but, given, our, level, vaccinations, ,, when, are, we, going, come, off, red, list, most, countries, ,, so, that, we, can, travel, work, #, covidvaccination, #, covidpassport"
18,"covid, -, 19, vaccination, at, boitamari, model, hospital, #, bongagaon"
19,"only, possible, way, slow, down, covid, death, count, india, is, ,, carry, out, mass, vaccination, drive, really, huge, within, next, 20, -, 30, days, ,, like, wildfire, ., kill, death, probability, percentage, ,, while, treating, victims, ., do, it, before, it, is, too, late, ."
20,"still, people, have, doubts, related, covaxin, vaccination, general, .., #, covaxin, #, covidvaccination, #, indiafightscovid19"
