,0
0,"hats, two, officials, &, amp, ;, health, workers, ., it, takes, lot, persuasion, ,, taking, records, ,, biometrics, &, amp, ;, vaccination, ., name, started, vaccinating, poor, ,, homeless, &, amp, ;, destitute, ., #, vaccinationdrive, #, couid, #, vashi, #, coronavirus"
1,"where, is, couid, dose, is, one hundred, available, crowd, is, five hundred, +, ..., is, there, any, social, distancing, maintained, there, is, nooo, couid, nineteen, centre, available, i, only, paid, centre, availability, through, aroma, set, app, i, what, is, non, -, paid, vaccination, center"
2,"couid, -, nineteen, vaccination, drive, -, step, by, step, explanation, -, do, watch, video, refer, article, :, #, covid19vaccination, #, largestvaccinationdrive, #, largestvaccinedrive, #, largevaccinedrive"
3,"what, has, i, logic, behind, mandating, vaccination, travelling, ,, since, vaccination, only, stop, severity, if, one, catches, couid, ., it, neither, prevents, couid, nor, it, stops, spreading, ., this, rule, should, be, uplifted, ,, only, -, reports, &, amp, ;, quarantine, at, arrival, are, must, ."
4,"please, note, no, vaccination, sessions, twentynine, /, six, /, twentynine, due, stock, unavalibility, except, students, employees, going, abroad, at, post, couid, center, majiwaru, ., tac, -, moh, message, the"
5,"i, started, drafting, this, thread, admiration, vaccine, advisory, video, that, was, being, played, at, karachi, i, i, largest, couid, vaccination, center, ., my, admiration, quickly, turned, into, shame, when, i, noticed, it, belonged, ., one, /, four"
6,"final, couid, -, nineteen, vaccination, dose, #, covid_19, #, vaccinationdonecheck_mark, i, @, civil, hospital"
7,"thanks, lot, everything, smoothly, arranged, at, sub, couid, vaccination, centre, they, made, it, happen, ,, thanks, team, smiling_facefolded_hands"
8,"new, chalk, village, under, sailing, hwa, achieved, one hundred, %, couid, vaccination, ."
9,"#, covidvaccination, details, #, krishnagiri, district, twentynine, ., six, ., twentynine, #, vaccinationupdate, #, tuesday, #, largestvaccinedrive, #, vaccinationforall, #, letsvaccinate, #, letsvaccinatekrishnagiri"
10,"My, chest, swells, when, I, look, at, the, country, at, number, one, ., india, crosses, twenty, or, couid, vaccination, coverage, ,, second, country, after, us, reach, mark, via, name, app"
11,"we, |, dunbar, manila, samanwaya, committee, ,, association, with, kolkata, municipal, corporation, today, organized, vaccination, camp, sex, workers, sonagachi, ., vaccination, is, their, only, hope, against, couid, ., around, three hundred, sex, workers, have, been, vaccinateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, bishakha, lascar, ,, committee, chief"
12,"very, true, ,, complacency, is, hidden, enemy, ., we, need, follow, #, couid, -, nineteen, sops, ., #, keep, -, distance, &, amp, ;, #, earmark, even, after, #, vaccination, ."
13,"base, hospital, #, pandora, leading, way, starting, hospital, based, vaccination, drive, public, #, srilanka, clapping_hands, anyone, above, yrs, will, be, vaccinated, with, #, sinopharm, ., issues, may, arise, since, it, is, first, day, ., #, la, #, covid19sl, #, covidvaccination, #, vaccinesforall, #, covid19lk"
14,"free, couid, nineteen, vaccination, drive, at, sheshdripurum, college, magadi, road, bangalore, twentynine, /, six, /, two thousand and twenty-one, ., let, us, unite, our, fight, against, couid, #, unite2fightcorona, #, vaccination, #, indiafightscorona, #, covid19vaccination"
15,"second, dose, also, required, applicants, with, status, "", immune, by, recovery, "", couid, recovered, last, six, months, visited, riya, expo, vaccination, center, ., they, had, no, clue, what, you, do, ."
16,"vaccines, will, reach, around, nine, ., am, #, erodedistrict, #, covidvaccination, #, erode"
17,"still, one hundred, ,, zero, ,, zero, ,, zero, i, indians, are, not, vaccinated, couid, -, nineteen, :, covishield, or, coaxing, vaccines, ., present, rate, vaccination, is, very, very, slow, ., americans, have, completed, about, seventy, %, vaccination, covid_19, ."
18,"good, stat, ., #, couid, #, vaccination, #, vaccine, #, india"
19,"vaccination, against, couid, -, nineteen, vasa, viral, has, always, been, issue, start, vaccination, drive, we, strongly, recommend, local, government, officials, increase, vaccination, centers, also, increase, slots, available, vaccination, #, covid19vaccination"
20,"one hundred, %, couid, vaccination, :, kashmir, village, is, india, ', i, first, inoculate, all, adults"
21,"couid, -, nineteen, vaccination, camp, organized, by, name, lo, i, ., way, branch, at, barabanki, railway, hu, one hundred"
22,"digit, -, batista, government, ', i, good, move, clapping_hands, Payment, of, salaries, to, government, employees, in, digit, -, batista, was, made, conditional, on, vaccination, ., #, gilgitbaltistan, #, covidvaccination"
23,"rising, trend, couid, cases, can, be, seen, some, cities, ., everyone, should, careful, with, mask, distance, avoid, any, infection, ..., even, after, vaccination, ."
24,"are, there, any, couid, vaccination, center, running, saryabadi, block, with, june, two thousand and twenty-one, because, since, last, one, week, we, have, been, registered, but, not, getting, slots, ., today, we, went, try, direct, vaccination, govt, girls, high, school, but, failed"
25,"We, slaughtered, the, free, ,, slaughtered, our, brothers, @, neha, couid, -, nineteen, vaccination, center, riya"
26,"failure, modi, one, ., demonetisation, two, ., weakening, institutions, three, ., cultivation, hate, four, ., lack, jobs, five, ., worst, economy, six, ., mishandling, couid, seven, ., vaccination, policies, #, 7saaldeshbehal"
27,"today, organised, couid, vaccination, camp, three, pub, air, son, nce, held, at, patiala, under, supervision, i, ., o, ., i, ., sharma, sir"
28,"got, #, couid, #, vaccine, today, ..., thanks, #, cmofdelhi, this, other, ministers, involved, ..., well, service, was, nothing, but, wasting, our, time, ..., must, visit, centres, see, how, they, work, ...., #, vaccination"
29,""", chrom, bhoganti, "", at, asano, mines, board, while, couid, vaccination"
30,"ec, receives, couid, -, nineteen, vaccination, mobile, van, ,, other, equipments, worth, is, twentynine, lacs, powergrid, underlines, need, employment, opportunities, locals, powergrid, works"
31,"#, commendable, clapping_hands, step, #, part, #, bookingnow, #, covidvaccination"
32,"entire, world, is, getting, their, people, vaccinated, here, we, see, unscientific, person, talking, nonsense, ., myself, doctor, ,, vaccinated, moved, about, among, positive, couid, patients, was, safe, only, because, antibodies, me, due, vaccination, ."
33,"couid, -, nineteen, vaccination, camp, successfully, organized, at, shree, kshetra, tapobhoomi, ,, goa, ., i, ., i, ., saegiru, brahmeshanand, zachary, swami, blessed, shree, datta, padmanabh, teeth, ', i, vedic, gurukul, students, took, first, dose, camp, ."
34,"under, leadership, am, ,, india, achieves, yet, another, milestone, it, is, #, covid19, vaccination, drive, ., today, ,, india, has, overtaken, usa, total, number, couid, vaccine, doses, administered, till, date, ., #, largestvaccinedrive, #, vaccinationforall"
35,"couid, vaccination, schedule"
36,"got, est, dose, vaccination, syringe, #, covid19, #, covidvaccination"
37,"Not, only, #, coaxing, but, also, those, who, got, #, covishieldvaccine, installed, in, India, #, eu, ban, on, coming, to, Europe, ,, suspicion, of, compromise, in, quality, ., Poonawalla, said, ,, in, a, fit, of, rage, ,, raising, the, issue, at, a, high, level, ., Embarrassing, situation, ,, waiting, for, government, ', i, response, #, covidvaccination"
38,"to, hospital, hilar, refused, two, dose, vaccination, my, carpal, said, time, is, over, but, notice, board, it, is, am, four, am, monday, wednesday, can, india, indians, over, couid"
39,"still, we, have, complete, covid_19, vaccination, one hundred, ,, zero, ,, zero, ,, zero, i, indians, ., definately, ,, we, are, far, away, our, targets, ., sorry, ,, sirfolded_handsred_heart, i, party_popperIndiabackhand_index_pointing_upIndia"
40,"provisional, certificate, couid, -, nineteen, vaccination, -, one, it, dose, @, mau, ,, india"
41,"#, covid19, update, :, india, achieves, another, milestone, #, covid19vaccination, &, amp, ;, overtakes, usa, total, number, couid, vaccine, doses, administered, thirty-two, ., thirty-six, or, ., vaccine, doses, administered, so, far, under, nationwide, vaccination, drive, page_with_curl, :"
42,"ply, carefully, care, yourself, you, family, relatives, ., make, social, distance, ,, we, are, mask, ,, get, couid, nineteen, -, vaccine, ., support, vaccination, center, ., follows, government, guidelines, ., let, us, come, make, stronger, our, country, together, i"
43,"radiant, yadav, gymnastics, coach, couid, -, nineteen, provisional, certificate, couid, -, nineteen, vaccination, -, one, it, dose, vaccinated, by, /, rekha, yadav"
44,"another, version, fool, prashant, bushman, ., what, is, correlation, having, delta, variant, with, that, vaccination, what, matters, is, impact, couid, delta, variant, such, patient, ., which, would, hardly, finds, place, your, headlines, ,, because, you, believe, propaganda, news, ."
45,"vaccine, is, utmost, important, we, all, should, trust, our, scientists, &, amp, ;, our, government, inspire, everyone, take, #, covidvaccination, syringe, all, precautionary, measures, #, couid, #, covid_19, #, deltavariant, #, coronavirus, #, maskupindia, #, unite2fightcorona, #, covid19"
46,"thank, you, shivsena, &, amp, ;, yuka, sena, andhere, west, bac, best, team, work, best, work, going, this, couid, i, proud, #, andheriker, #, free, #, vaccination, ., #, shiv, #, sena, #, andhere, #, west, #, free, #, vaccination, #, center, started, by, bac, association, with, jansen, manual, i, amp, ;, shiv, sena, andhere, west"
47,"but, just, day, after, most, violations, are, being, seen, at, couid, vaccination, centers, as, bedlam, times, gets, exclusive, video, ethic, tagore, ,, samba, where, no, social, distancing, we, are, seen, ."
48,"no, social, distancing, at, #, vaccination, center, ,, ethic, tagore, #, samba, :, i, &, amp, ;, i, police, jammy, kashmir, i, i, samba, district, booked, one hundred, people, sunday, violation, couid, -, nineteen, guidelines, imposed, fines, worth, around, is, fifty, ,, zero, them"
49,"she, got, emotional, after, getting, help, ., folded_hands, #, vaccine, #, couid, #, coronavirus, #, pandemic, #, health, #, corona, #, vaccines, #, vaccination, #, virus, #, medicine, #, lockdown, #, india, #, science, #, quarantine, #, influenza, #, news, #, doctor, #, stanhope, #, healthcare, #, who, #, immunization, #, socialdistancing, #, love, #, hyp"
50,"couid, vaccine, awareness, song, lyrics, modified, original, song, by, :, #, largestvaccinationdrive, #, unite2fightcorona, #, indiafightscorona, #, we4vaccine, #, covidvaccination"
51,"overseas, pakistani, struggling, get, couid, nineteen, vaccination, travelling, ., they, are, facing, great, difficulty, at, labor, islamabad, centres, ., ncos, should, take, immediate, action, address, issue, ."
52,"central, health, ministry, has, said, that, it, has, found, at, least, fifty-one, cases, delta, plus, coronavirus, variant, across, more, than, ten, states, country, ., is, vaccination, still, ultimate, solution, read, article, know, more, ., article, by, -, amit, i, #, couid"
53,"situation, at, ward, hospital, couid, vaccination, ., this, is, state, social, distancing, ., no, care, time"
54,"high, time, act, this, irresponsible, tweets, by, ., vaccination, is, only, way, we, can, defeat, couid, ., please, get, vaccinated, whenever, you, can, &, amp, ;, do, not, listen, such, idiotic, claims, ..."
55,"just, arrived, at, vaccination, centre, my, first, #, couid, vaccine, shot, ., my, appointment, is, fifteen, minutes, I, have, prepared, well, advance, my, shot, ., wish, me, luck"
56,"Tomorrow, we, will, also, have, #, vaccination, in, the, midst, of, rising, #, covid_19, in, the, country, ., syringesyringe"
57,"it, has, been, observed, state, #, couid, appropriate, behaviour, not, been, maintained, at, vaccination, centers, request, take, necessary, steps, otherwise, intention, vaccination, shall, not, be, fruitful"
58,"as, i, mentioned, earlier, ,, instructions, have, been, sent, out, hospitals, by, does, #, srilanka, make, ground, preparation, island, wide, hospital, based, vaccination, programmes, commence, ., #, la, #, covidvaccination, #, vaccineswork, #, vaccinesforall, #, covid19sl, #, covid19lk"
59,"Congratulations, India, overtakes, America, to, become, the, most, vaccinated, country, #, modi, #, india, #, vaccination, #, covidvaccination"
60,"it, is, ok, road, municipal, school, ,, couid, vaccination, centre, next, alias, katya, mandar, ,, mound, west, #, covidvaccination"
61,"india, is, making, momentous, impact, world, ., india, overtakes, us, couid, vaccination, ,, administers, highest, number, doses, world, ., #, largestvaccinedrive, #, freevaccineforall"
62,"india, i, i, couid, -, nineteen, vaccination, coverage, crosses, landmark, thirty-two, or"
63,"when, will, couid, -, nineteen, vaccination, start, again, chaparmukh, gain, panchayat, area"
64,"am, modi, ', i, efforts, pace, up, couid, vaccination, gets, applauded, by, three hundred, scientists, ,, educators, via, name, app"
65,"this, is, vaccination, centre, chasnala, sharia, dhaba, what, is, this, is, is, vaccination, or, spread, couid, shame, jharkhand, government, #, jharkhandgov, not, control, vaccination, centre, please, look, into, this, matter"
66,"couid, -, nineteen, ke, vaccination, ka, liya, late, log"
67,"caravan, joynarayan, is, school, vaccination, camp, without, any, couid, protocol"
68,"this, way, couid, -, nineteen, vaccination, going, chamber"
69,"india, overtakes, us, couid, vaccination, ,, administers, highest, number, doses, world, ., #, modihaitohmumkinhai, India"
70,"Rahul, Gandhi, was, in, a, very, deep, sleep, ,, dreamed, in, his, sleep, that, he, is, feeling, somewhere, else, by, not, applying, the, vaccine, for, couid, -, nineteen, where, he, should, be, ., Suddenly, woke, up, from, sleep, and, immediately, tweeted, that, Modi, ', i, vaccination, drive, is, working, in, the, wrong, direction, ."
71,"sir, ,, even, single, death, innocent, because, couid, vaccination, need, be, investigated, as, life, losing, family, member, cannot, be, compensated, plea, vaccine, is, ninety-nine, ., nine, %, successful, &, amp, ;, as, even, many, fully, vaccinated, persons, have, died, ."
72,"mama, ji, couid, nineteen, ki, three, red, have, sane, valid, hai, or, ham, jest, educated, log, ko, vaccination, ke, like, parmesan, bona, pad, aha, hai, am, santa, kya, problem, hot, hog, or, kevlar, thesis, ke, kevlar, hospital, ke, vaccination, center, me, maha, bhrastachar, ho, aha, hai, parselity"
73,"india, achieves, another, milestone, #, covidvaccination, overtakes, us, total, number, doses, administered, ., #, indiafightscorona"
74,"gujaratis, i, i, giving, i, two hundred and fifty, or, not, wearing, mask, face_screaming_in_fear, expect, all, india, figure, couid, vaccination, ka, whatcha, easily, nika, gay, yoga, grinning_face"
75,"this, is, how, gurugram, civil, hospital, sec, ten, is, hosting, couid, vaccination, program, ., i, think, here, they, are, not, vaccinating, peoples, they, are, spreading, corona, it, is, better, not, be, get, vaccinated, but, avoid, this, kind, vaccination, center, ., they, are, putting, other, ', i, life, at, risk, also, ."
76,"more, than, four hundred and fifty, underprivileged, beneficiaries, we, are, vaccinated, at, today, ', i, free, couid, -, nineteen, vaccination, camp, organized, by, tillotoma, foundation, at, rabindranath, tagore, international, institute, cardiac, sciences, ., folded_handslight_skin_tonefolded_handslight_skin_tonefolded_handslight_skin_toneraising_handslight_skin_tone, #, covidvaccine, #, tillotomafoundation"
77,"vaccine, ke, line, me, hada, hone, se, couid, yoga, tho, #, vaccine, #, covidvaccination, #, covid19"
78,"#, governmentofindia, duty, couid, -, nineteen, at, vaccination, centre, with, others, ., block, -, taras, ,, panchayat, -, solar, ., vicci, ., centre, -, middle, school, hariya, told, delta"
79,"trap, district, administration, carry, out, mass, couid, vaccination, drive, at, outreach, region, border, area, with, myanmar, walking, six, hours, footmarks, lazy, each, i, /, i, despite, inclement, weather, ."
80,"we, need, learn, live, with, couid, ., people, may, die, couid, ,, but, will, die, hunger, ., ,, increase, vaccination, instead, ., lockdown, neither, short, nor, longterm, solution, ."
81,"visited, #, couid, vaccination, center, at, regional, institute, co, -, operative, management, sector, thirty-two, -, i, ,, chandigarh, ., organized, by, grinder, rana, ji, up, by, ,, deepak, madhav, ji, by, ,, raj, yaduvanshi, bop, it, cell, #, covid19, #, vaccinationdrive"
82,"my, certificate, couid, -, nineteen, vaccination, -, one, it, dose, smiling_face_with_smiling_eyes"
83,"started, couid, -, nineteen, vaccination, #, vaccination, #, covidvaccine, #, getvaccinated, #, covishield, #, pathology"
84,"couid, vaccination, camp"
85,"dear, am, sir, ,, we, have, trust, couid, vaccination, process, ,, we, would, like, request, online, slot, vaccination, center, pilcher, municipality, area, as, becoz, some, group, people, eighteen, +, &, amp, ;, forty-five, +, are, still, not, gets, vaccinated, last, enhancement, vaccination, drive, avoid, rushes"
86,"first, day, after, #, covidvaccination, +, est, day, chums, i, algae, hai, face_with_thermometerweary_face"
87,"am, modi, ', i, efforts, pace, up, couid, vaccination, gets, applauded, by, three hundred, scientists, ,, educators"
88,"there, will, be, couid, -, nineteen, vaccination, program, initiated, #, srilanka, via, all, base, ,, district, ,, provincial, ,, teaching, national, hospitals, with, aim, vaccinating, all, citizens, aged, over, yrs, once, stocks, arrive, ., crossed_fingers, this, will, be, addition, moh, vaccination, clinics, ., #, la"
89,"couid, nineteen, i, and, dose, vaccination, complete, with, covidshiled, ., thank, u, #, mo, thank, u, #, administration_jagannathtemple_puri, #, sta, heartily, thank, u, sir, heart_suit, i, i, i, i, vaccine, i, i, mask, i, i, i, i, i, i, i, i, i, i, i, i, i, ें.., jai, jagannath, folded_hands, #, covishield, #, indiafightscorona"
90,"#, largestvaccinedrive, #, unite2fightcorona, prior, registration, is, not, mandatory, getting, vaccinated, ., people, can, get, themselves, registered, spot, while, going, #, couid, vaccination, ."
91,"even, #, mahamahim, motivate, people, #, covidvaccination"
92,"hon, ', ble, am, shri, talked, topics, like, ,, #, covidvaccination, ,, rainwater, ,, medicinal, properties, gilly, many, other, plants, latest, episode, #, mannkibaat, ., case, you, missed, it, ,, here, are, key, highlights"
93,"nearly, five hundred, underprivileged, people, kolkata, we, are, vaccinated, at, today, ', i, free, couid, -, nineteen, vaccination, camp, organized, by, partnership, with, at, in, tagore, hospital, ,, kolkata, ., proud, be, part, team, ., folded_hands, thanks, narayan, health, all, support, hundred_points"
94,"most, commendable, vaccination, drive, by, delhi, govt, ., why, has, delhi, govt, stopped, posting, daily, health, bulletin, couid, -, nineteen, after, twenty, june, two thousand and twenty-one"
95,"#, rokoautoko, abhiyan, inaugurated, surajpur, district, ...., volunteers, spread, awareness, couid, -, nineteen, disease, ,, treatment, vaccination, ,, association, with, media, collective, child, rights, district, administration, surajpur, ., nice, india, #, togetheragainstcovid19"
96,"all, are, request, do, their, own, #, vaccination, or, before, upcoming, #, thirdwave, couid, ., because, during, this, vaccination, we, will, be, win, this, couid, -, nineteen, situation, #, stay, safe, #, stay, healthy, #, always, sanitation, your, hands, ."
97,"twenty-six, -, six, -, two thousand and twenty-one, forty-five, +, couid, vaccination, duty, at, khushi, panchayat, bhagwan, ,, operator, -, indian, ,, vaccination, -, sarong, ,, malaria, awareness, program, done, by, at, presence, mow, ,, sahiba, ,, cho, ,, bhi, ,, and, ."
98,"am, i, i, efforts, pace, up, couid, vaccination, gets, applauded, by, three hundred, scientists, ,, educators, ., modi, hai, pumkin, hai, India, #, i, i, i, i, i, i, i, i, i, i, i"
99,"#, covidvaccination, camp, conducted, at, #, nitcalicut, with, #, mercy, &, amp, ;, research, institute, with, &, amp, ;, with, june, ., four hundred and thirty-three, persons, including, over, two hundred, students, ,, plus, faculty, ,, staff, ,, family, members, faculty, ,, staff, research, scholars, ,, age, group, eighteen, eighty-six, we, are, vaccinated, ."
100,"got, my, first, shot, today, at, #, ppv_stadiumnasional, Malaysia, please, register, at, get, your, #, covidvaccination, today"
101,"please, ,, stay, connected, twitter, handle, next, update, couid, vaccination, our, district, ..., thank, you, ..."
102,"couid, suppression, vaccination, facility, those, who, go, abroad, jobs, ..."
103,"after, getting, couid, vaccination, shot"
104,"why, #, covidvaccination, is, so, expensive, #, kolkatared_question_mark, #, vaccine, #, covid19"
105,"let, i, i, soooo, @, neha, couid, -, nineteen, vaccination, center, riya"
106,"am, needs, streamline, couid, -, nineteen, vaccination, process, enforce, strict, checking, systems, eliminate, fake, vaccination, camps, endangering, life, thousands, #, westbengal, ., any, fake, vaccination, camp, rural, areas, can, because, irreparable, damage, villagers"
107,"everything, happens, according, plan, ,, he, said, ., #, la, #, srilanka, #, covid19lk, #, covid19sl, #, covidvaccine, #, covidvaccination"
108,"one hundred and ten, ,, zero, pregnant, women, registered, via, mysejahtera, couid, -, nineteen, vaccination, ..."
109,"congratulations, to, mohamed, hairs, bin, mohamed, khairuddin, from, the, facility, management, unit, who, received, the, #, astrazeneca, vaccine, injection, under, the, national, #, covid19, immunization, program, ., #, lindungdirilindungsemua, #, menangbersama, #, covidvaccination"
