,feature_name,idf_weights
0,aadaraniya,10.159099707782586
11301,megavaccinationdrive,10.159099707782586
11254,medias,10.159099707782586
11255,mediate,10.159099707782586
11261,medicalcolleges,10.159099707782586
11262,medicaldrone,10.159099707782586
11263,medicalemergency,10.159099707782586
11264,medicalfacilities,10.159099707782586
11266,medicalstudents,10.159099707782586
11267,medicaltips,10.159099707782586
11269,medicareforall,10.159099707782586
11270,medicasuperspecialityhospitals,10.159099707782586
11272,medicheck,10.159099707782586
11275,mediclinic,10.159099707782586
11276,medico,10.159099707782586
11278,medlifestyle,10.159099707782586
11279,medrxiv,10.159099707782586
11280,medscapeindia,10.159099707782586
11282,medwayhospitals,10.159099707782586
11283,medziphema,10.159099707782586
11284,meeeeeeee,10.159099707782586
11288,meenatchi,10.159099707782586
11290,meerutpolice,10.159099707782586
11295,megacamp,10.159099707782586
11296,megadrive,10.159099707782586
11253,mediapersons,10.159099707782586
11252,median,10.159099707782586
11251,mediabypassk,10.159099707782586
11225,mcdonald,10.159099707782586
11208,mayabunder,10.159099707782586
11210,mayate,10.159099707782586
11212,mayb,10.159099707782586
11214,mayera,10.159099707782586
11217,mayo,10.159099707782586
11219,mayorofprayagraj,10.159099707782586
11221,mayurbhanj,10.159099707782586
11222,mbmcvaccinedrive,10.159099707782586
11223,mbungani,10.159099707782586
11224,mccullough,10.159099707782586
11226,mchale,10.159099707782586
11250,mediaanalysis,10.159099707782586
11227,mcleod,10.159099707782586
11229,mea,10.159099707782586
11234,meaningless,10.159099707782586
11236,meanthe,10.159099707782586
11238,mearas,10.159099707782586
11240,measlesrubella,10.159099707782586
11243,mec,10.159099707782586
11244,mecha,10.159099707782586
11248,medexpert,10.159099707782586
11249,medi,10.159099707782586
11298,megan,10.159099707782586
11305,meghan,10.159099707782586
11421,microscopefor,10.159099707782586
11309,meju,10.159099707782586
11367,merchant,10.159099707782586
11369,mercifully,10.159099707782586
11373,merest,10.159099707782586
11375,merger,10.159099707782586
11376,merging,10.159099707782586
11378,merman,10.159099707782586
11384,messala,10.159099707782586
11387,messiah,10.159099707782586
11391,metaphor,10.159099707782586
11392,metaprolol,10.159099707782586
11393,metaverse,10.159099707782586
11394,meteor,10.159099707782586
11396,methi,10.159099707782586
11398,methodist,10.159099707782586
11399,meticulous,10.159099707782586
11400,meticulously,10.159099707782586
11401,metre,10.159099707782586
11404,metropolis,10.159099707782586
11410,mian,10.159099707782586
11413,michigan,10.159099707782586
11414,micr,10.159099707782586
11417,microbeinfo,10.159099707782586
11419,microbiome,10.159099707782586
11366,merc,10.159099707782586
11365,meracgbadalrahahai,10.159099707782586
11363,meo,10.159099707782586
11336,menanggis,10.159099707782586
11311,melanin,10.159099707782586
11313,melee,10.159099707782586
11315,melinda,10.159099707782586
11316,mellitus,10.159099707782586
11317,melly,10.159099707782586
11321,mem,10.159099707782586
11323,membership,10.159099707782586
11324,membrane,10.159099707782586
11326,memeislove,10.159099707782586
11327,memethefamilyman,10.159099707782586
11337,menchicka,10.159099707782586
11362,menyerang,10.159099707782586
11338,mend,10.159099707782586
11340,mene,10.159099707782586
11341,menganjeng,10.159099707782586
11342,menggelepur,10.159099707782586
11343,meningitis,10.159099707782586
11348,mentaldisorder,10.159099707782586
11355,mentalwarrior,10.159099707782586
11356,mentalwellbeing,10.159099707782586
11357,mentalwellness,10.159099707782586
11361,menu,10.159099707782586
11201,maxim,10.159099707782586
11199,maxhealthcare,10.159099707782586
11198,maxhealth,10.159099707782586
11197,mawsikar,10.159099707782586
11045,marampally,10.159099707782586
11046,marathahalli,10.159099707782586
11048,marathinewsupdate,10.159099707782586
11050,marathoner,10.159099707782586
11051,marathwada,10.159099707782586
11056,marcy,10.159099707782586
11059,marenahalli,10.159099707782586
11060,margherita,10.159099707782586
11065,marhaura,10.159099707782586
11066,mari,10.159099707782586
11068,mariachi,10.159099707782586
11069,mariah,10.159099707782586
11071,mariana,10.159099707782586
11073,marijuana,10.159099707782586
11074,marika,10.159099707782586
11075,marina,10.159099707782586
11076,marinara,10.159099707782586
11077,marinated,10.159099707782586
11080,marino,10.159099707782586
11081,maritime,10.159099707782586
11083,markandey,10.159099707782586
11086,marketed,10.159099707782586
11087,marketer,10.159099707782586
11044,mara,10.159099707782586
11042,mapsofindia,10.159099707782586
11038,manushyanu,10.159099707782586
10997,manipulated,10.159099707782586
10977,mangaldoi,10.159099707782586
10981,mangoicecream,10.159099707782586
10982,mangsatabam,10.159099707782586
10983,manhood,10.159099707782586
10984,manhunt,10.159099707782586
10986,maniac,10.159099707782586
10990,maniharan,10.159099707782586
10993,manimajra,10.159099707782586
10995,maninagar,10.159099707782586
10996,manipulate,10.159099707782586
10998,manipulating,10.159099707782586
11036,manughatchc,10.159099707782586
11000,manipulator,10.159099707782586
11003,manjulata,10.159099707782586
11004,manjunath,10.159099707782586
11009,mannampandal,10.159099707782586
11013,manny,10.159099707782586
11014,manoharthana,10.159099707782586
11016,manoosh,10.159099707782586
11021,mansi,10.159099707782586
11022,mansion,10.159099707782586
