,feature_name,idf_weights
35467,zzzzzzzzzzip,11.621339540734036
10757,excretion,11.621339540734036
10799,exhilaration,11.621339540734036
10800,exhume,11.621339540734036
10801,exile,11.621339540734036
23149,permeating,11.621339540734036
23144,permanency,11.621339540734036
10805,existent,11.621339540734036
23143,permamante,11.621339540734036
23142,permafucked,11.621339540734036
10808,existing_conditions,11.621339540734036
23141,perm,11.621339540734036
23140,perlote,11.621339540734036
23139,perla,11.621339540734036
23136,perjury,11.621339540734036
10813,exocomps,11.621339540734036
10815,exonerate,11.621339540734036
10816,exonerated,11.621339540734036
10817,exonerates,11.621339540734036
23133,periphery,11.621339540734036
10819,exorcist,11.621339540734036
23132,periodicity,11.621339540734036
23131,periodically,11.621339540734036
23127,perimenopausal,11.621339540734036
23125,pericardium,11.621339540734036
10825,expanse,11.621339540734036
23123,pericardial,11.621339540734036
10827,expansive,11.621339540734036
23110,perforated,11.621339540734036
10797,exhibitor,11.621339540734036
23151,permian,11.621339540734036
10795,exhibiting,11.621339540734036
23176,perra,11.621339540734036
23199,persona,11.621339540734036
10761,excusing,11.621339540734036
23191,persisted,11.621339540734036
23189,persichili,11.621339540734036
23187,persevere,11.621339540734036
23186,perseverance,11.621339540734036
23184,persecuting,11.621339540734036
23180,perrottet,11.621339540734036
10770,exemplary,11.621339540734036
10771,exemplified,11.621339540734036
23178,perrine,11.621339540734036
23177,perrin,11.621339540734036
10775,exempting,11.621339540734036
23152,permissible,11.621339540734036
23175,perps,11.621339540734036
23174,perplexity,11.621339540734036
23169,perpetuates,11.621339540734036
10783,exerting,11.621339540734036
10785,exfoliating,11.621339540734036
23163,perpetrating,11.621339540734036
10787,exhaling,11.621339540734036
23161,perpetrate,11.621339540734036
23160,peroxide,11.621339540734036
23159,peroooo,11.621339540734036
23158,peron,11.621339540734036
10792,exhaustive,11.621339540734036
23109,perfidious,11.621339540734036
23101,perennial,11.621339540734036
23100,perduepharma,11.621339540734036
23027,penance,11.621339540734036
23044,peng,11.621339540734036
23043,penetration,11.621339540734036
23039,penetanguishene,11.621339540734036
23035,penderboro,11.621339540734036
23034,pender,11.621339540734036
23033,pendejos,11.621339540734036
10880,explanatory,11.621339540734036
10881,expletive,11.621339540734036
23031,pendant,11.621339540734036
23030,penciled,11.621339540734036
23028,penchant,11.621339540734036
10886,explodes,11.621339540734036
23026,penalupside,11.621339540734036
23051,penned,11.621339540734036
23024,penaltiesupside,11.621339540734036
23023,penalizing,11.621339540734036
23020,penal,11.621339540734036
23018,pembertons,11.621339540734036
23017,pelotonmedtwitter,11.621339540734036
23015,peloton_harley,11.621339540734036
10895,explorer,11.621339540734036
23011,pele,11.621339540734036
23010,pela,11.621339540734036
23009,pejesimios,11.621339540734036
23008,pegging,11.621339540734036
23007,pegged,11.621339540734036
23045,penguin,11.621339540734036
23053,penniless,11.621339540734036
23096,perceptible,11.621339540734036
10850,expending,11.621339540734036
23095,percentile,11.621339540734036
10837,expediently,11.621339540734036
23089,percapitadeath,11.621339540734036
10840,expediting,11.621339540734036
10841,expedition,11.621339540734036
10842,expeditiously,11.621339540734036
10844,expelgreene,11.621339540734036
23081,peppermint,11.621339540734036
10846,expelling,11.621339540734036
23080,peppering,11.621339540734036
23079,peppered,11.621339540734036
10849,expended,11.621339540734036
10851,expenditure,11.621339540734036
23054,penning,11.621339540734036
23077,peplomer,11.621339540734036
23076,pepguardiola,11.621339540734036
23074,pepa,11.621339540734036
23071,peopleschoice,11.621339540734036
23070,peoplepower,11.621339540734036
23069,peopleoverprofits,11.621339540734036
23068,peopleare,11.621339540734036
23066,peopl,11.621339540734036
23065,peon,11.621339540734036
23063,penthouse,11.621339540734036
10863,experimenter,11.621339540734036
23058,penrose,11.621339540734036
10758,excruciating,11.621339540734036
23206,personaltrainer,11.621339540734036
23003,peewee,11.621339540734036
10755,excommunicated,11.621339540734036
23318,pfizereyes,11.621339540734036
10653,everyvaccinematters,11.621339540734036
10655,evicted,11.621339540734036
10658,evidencebased,11.621339540734036
23313,pfizerdoesntcare,11.621339540734036
23312,pfizercriminale,11.621339540734036
23311,pfizercovidjab,11.621339540734036
23310,pfizercorruption,11.621339540734036
10663,evildoer,11.621339540734036
10664,evilinstitutions,11.621339540734036
10665,evincing,11.621339540734036
10666,eviscerate,11.621339540734036
23309,pfizercollision,11.621339540734036
10668,evite,11.621339540734036
23308,pfizerceo,11.621339540734036
10670,evokes,11.621339540734036
23307,pfizercarditis,11.621339540734036
23306,pfizerboy,11.621339540734036
23305,pfizerboostershot,11.621339540734036
23304,pfizerboosterdose,11.621339540734036
23302,pfizerboost,11.621339540734036
23301,pfizerbooser,11.621339540734036
10677,evolvingeyes,11.621339540734036
23298,pfizerandbiontech,11.621339540734036
23296,pfizasperin,11.621339540734036
10680,ewan,11.621339540734036
10682,eweeweewe,11.621339540734036
23319,pfizerfam,11.621339540734036
10649,everyplace,11.621339540734036
10647,everyoneisincluded,11.621339540734036
23327,pfizerites,11.621339540734036
23342,pfizerpfam,11.621339540734036
23341,pfizerpapers,11.621339540734036
10621,evenin,11.621339540734036
23340,pfizeroncology,11.621339540734036
10623,evenly,11.621339540734036
23339,pfizermedical,11.621339540734036
23337,pfizermasterrace,11.621339540734036
23336,pfizermandate,11.621339540734036
23335,pfizermafia,11.621339540734036
23334,pfizerlies,11.621339540734036
23331,pfizerkillschildren,11.621339540734036
23328,pfizerized,11.621339540734036
10633,everhad,11.621339540734036
10646,everyoneisgoingtocanberra,11.621339540734036
10634,everlast,11.621339540734036
10635,evermore,11.621339540734036
10636,everone,11.621339540734036
10637,evers,11.621339540734036
10638,everthing,11.621339540734036
10639,everwhere,11.621339540734036
23326,pfizeriscriminal,11.621339540734036
23325,pfizerisbullshit,11.621339540734036
10642,everybodycooldown,11.621339540734036
23324,pfizering,11.621339540734036
10644,everyhing,11.621339540734036
23323,pfizergates,11.621339540734036
23294,pfiderna,11.621339540734036
23293,pfesynthesis,11.621339540734036
23292,pfemedchem,11.621339540734036
23235,pesinho,11.621339540734036
23248,petdentistry,11.621339540734036
