,0
0,"prominent, ,, highly, educated, scientists, /, experts, who, have, somehow, become, biased, against, vaccination, &, amp, ;, safety, protocols, effort, are, unfathomable, equally, as, informative, decision, makers, as, rational, scientists, ., face_with_symbols_on_mouth"
1,"false, -, it, is, defined, term, now, includes, anyone, who, opposes, regulations, mandating, vaccination, ., your, body, ,, government, ', i, choice, ."
2,"do, ., bode, says, young, people, have, had, "", disproportionate, burden, "", couid, infections, recently, ., she, says, that, ', i, largely, because, they, cannot, be, vaccinated, right, now, ., she, thinks, vaccination, youngest, kids, will, help, make, sure, kids, can, be, better, protected, ."
3,"intentionally, deceived, about, his, vaccination, status, ., openly, broke, couid, protocols, ., ummm, i, and, admitted, it, ., watch, out, ,, your, whiteness, is, showing, face_with_tears_of_joy"
4,"interesting, meeting, great, forum, highlight, success, rwanda, i, i, vaccination, program"
5,"greece, travel, advisory, february, nine, ,, two thousand and twenty-two, -, information, entry, requirements, greece, demonstrating, vaccination, status, ', entry, requirements, ', ', coronavirus, ', pages"
6,"#, freedomconvoycanada2022, protests, comprised, first, truckers, but, later, joined, by, thousands, other, protesters, headed, towards, canada, i, i, capital, i, challenge, government, vaccination, mandate, i, writes, ."
7,"because, you, can, ', i, mandate, health, procedures, when, there, is, no, threat, anymore, ., we, ', ve, got, go, back, getting, colds, flus, again, ,, since, omicron, evades, values, anyway, ., forced, vaccination, is, unnecessary, ,, especially, no, despotic, ., omicron, changed, everything, ."
8,"maryland, ', i, results, omicron, wave, are, what, one, would, have, expected, two, /, ards, less, severe, variant, *, with, no, vaccination, *, -, not, one, most, vaccinated, states, country, ."
9,"not, healthy, children, ,, but, immune, compromised, children, it, is, worse, ., all, children, should, wear, mask, until, there, is, herd, immunity, through, vaccination, ., why, don, i, i, parents, want, their, kids, protect, immune, compromised, kids, i, don, i, i, understand, ."
10,"are, you, flipping, many, right, wingers, free, universal, healthcare, ,, guaranteed, income, ,, climate, action, ,, billionaire, taxation, ,, police, reform, /, abolition, or, are, they, flipping, you, anti, -, vaccination, ,, public, health, skepticism, ,, privileging, privilege, over, safety, ,, etc, ."
11,"areas, with, low, vaccination, rates, are, also, very, resistant, /, hostile, masking, ., parents, those, communities, will, demand, mask, mandates, be, dropped, when, they, see, high, -, vaccination, areas, end, required, masking, ."
12,"there, are, very, very, few, reasons, people, couldn, i, i, get, vaccination, ., very, few, ,, almost, nil, ."
13,"this, one hundred, i, i, also, hang, out, with, everyone, no, matter, what, their, vaccination, status, is, i, or, beliefs, ."
14,"my, live, interview, with, major, to, news, channel, india, ,, i, said, that, #, truckersconvoy, protest, against, #, vaccination, mandates, continues, center, #, ottawa, ., i, live, near, canadian, parliament, &, amp, ;, can, see, that, major, streets, near, parliament, were, blocked, by, trucks, ."
15,"rhode, island, gov, ., mckee, lifting, mask, mandate, ,, vaccination, requirements"
16,"i, had, similar, experience, recently, around, which, pharmacy, i, i, i, used, my, couid, vaccination, ., climb, down, fast, i, did, ."
17,"so, airport, security, just, asked, my, proof, vaccination, no, problem, i, keep, that, my, phone, ., #, getvaccinatedandboosted"
18,"what, goof, he, sets, standards, minutes, proof, vaccination, what, fuk"
19,"name, another, place, where, twenty, +, people, sit, room, seven, hours, day, five, days, week, even, if, i, was, back, office, there, ', i, like, ten, people, my, floor, we, all, have, our, own, offices, ., also, vaccination, rates, school, aged, kids, is, much, lower, than, rest, us, ."
20,"because, you, can, still, spread, it, even, if, you, ', re, vaccinated, although, it, certainly, makes, it, less, likely, ., masking, reduces, transmission, rate, ., it, ', i, annoyance, ,, i, agree, ., vaccination, significantly, reduces, chances, death, ,, so, that, ', i, point, ., one, /, two"
21,"yep, ,, agree, with, everything, you, said, ., but, they, can, still, catch, wave, good, health, /, motivation, /, vaccination, at, right, time, ."
22,"not, mention, young, children, with, no, vaccination, at, all"
23,"survivor, bias, seems, now, come, together, multiple, experiences, check_box_with_check, i, survivor, bias, after, vaccination, check_box_with_check, i, survivor, bias, after, infection, check_box_with_check, i, survivor, bias, after, multiple, infections, check_box_with_check, i, survivor, bias, after, asymptomatic, infection"
24,"did, you, know, certain, vaccines, may, induce, inflammation, heart, want, stay, informed, join, pic, ., it, ', i, free, ., #, physicians4informedconsent, #, 1stdonoharm, #, vaccines, #, vaccination, #, informedconsent, #, science, #, statistics"
25,"up, to, delta, measurements, had, an, impact, on, overall, transmission, ., this, is, no, longer, the, case, with, omicron, even, at, the, level, of, vaccination, ., that, ', i, what, has, changed, ..., it, ', i, time, to, turn, the, page, and, reintroduce, measures, if, necessary, according, to, the, new, variants"
26,"me, too, i, i, i, vaccinated, boosted, ., only, symptoms, were, fever, ,, chills, ,, slight, dry, cough, two, days, ., felt, just, like, when, i, got, my, second, vaccination, ."
27,"no, big, deal, show, your, vaccination, proof, your, phone, ., no, big, burden, folks, at, door, have, quick, look, ."
28,"like, vaccination, to, have, cash, flow"
29,"canada, has, one, highest, vaccination, rates, world, ninety, percent, canadian, truckers, are, vaccinated, ., canadian, trade, group, @​​, cantruck, has, vocally, opposed, country, i, i, trucker, protests, ., via"
30,"check, out, new, paper, i, &, amp, ;, myself, #, covid19, #, vaccination"
31,"she, had, no, trouble, providing, her, vaccination, status, when, she, entered, school, whether, it, be, grammar, school, high, school, or, college, ., yet, she, has, issue, now, ., or, i, i, i, assuming, she, went, school, i"
32,"canada, has, one, highest, vaccination, rates, world, ninety, percent, canadian, truckers, are, vaccinated, ., canadian, trade, group, @​​, cantruck, has, vocally, opposed, country, i, i, trucker, protests, ."
33,"no, ,, other, countries, are, dropping, some, these, mitigation, steps, because, their, adult, vaccination, rate, approaches, eighty, -, eighty-five, i, obviously, ,, we, aren, ', i, going, see, that, anytime, soon, ."
34,"today, is, last, day, get, your, couid, -, nineteen, shot, or, booster, campus, at, mobile, vaccination, clinic, ., it, is, parked, until, two, i, ., i, ., mikaelson, center, parking, lot"
35,"i, analysis, i, that, study, is, using, data, adjusted, time, vaccination, saying, it, i, i, data, with, vaccinated, people, removed, ., quite, dishonest, ."
36,"people, are, allowed, exemptions, these, number, grounds, ., i, ', ve, never, had, prove, my, vaccination, my, employer, or, my, school, before, ., nor, waiter, restaurant, ."
37,"hold, up, ,, ny, lifting, it, i, i, vaccination, mask, mandates, means, that, kyrie, can, play, home, games, ,, right"
38,"us, barbaric, pandemic, response, is, pathologically, greedy, dictating, policy, through, gov, ', i, ., they, own, &, amp, ;, operate, ., ruling, pol, ., party, =, pandemic, policy, actively, opposes, mitigation, &, amp, ;, vaccination, by, legislation, ,, litigation, ,, &, amp, ;, order, until, pandemic, ', profit, ', curve, flattens, ."
39,"yeah, ,, making, hiv, thing, ,, back, another, scare, fear, campaign, boogie, man, nightmare, out, there, -, he, ', i, normalizing, hiv, ,, testing, hiv, ,, vaccination, hiv, ."
40,"due, #, covid19, vaccine, booster, visit, now, make, your, booster, appointment, or, find, nearby, walk, -, in, vaccination, clinic, ., #, vaccinatepasadenavictory_hand, i"
