,0
0,"it, is, suggestions, sir, increase, vaccination, center, dharam, ..., out, ten, ,, zero, ,, zero, population, only, ask, vaccinated, means, around, three, %, only, get, vaccinated, still, ninety-seven, %, remaining, i"
1,"ok, ,, i, rest, my, case, here, ., people, see, data, different, way, ., me, him, people, gets, fully, vaccinated, is, way, better, than, one, ., him, ."
2,"vaccinated, heart_exclamation, i"
3,"I, have, been, vaccinated, ten, may, ,, two thousand and twenty-one, at, chctamnar, ., but, I, have, not, received, any, mug, regarding, same, ., i, contacted, local, health, officials, ,, they, said, that, they, have, shared, data, raigarh, ., but, no, update, me"
4,"we, are, ready, serve, you, safeway, ,, because, we, are, vaccinated, ."
5,"And, brother, "", pancho, i, #, bop, ', i, #, vaccine, is, working, or, not, or, else, making, yourself, at, home, vaccines, grinning_face_with_sweat, nevermind, ,, #, justasked, nerd_face, well, ,, get, #, vaccinated, &, amp, ;, staysail, crossed_fingerslight_skin_tonefolded_handslight_skin_toneraising_handslight_skin_tonegreen_heart, ji, smiling_face_with_halo, jifolded_handslight_skin_tonegreen_heart"
6,"i, got, my, first, shot, syringetoday, i, who, are, not, yet, vaccinated, please, get, vaccinated, soon, hugging_facesmiling_face_with_hearts, #, freevaccineforstudents"
7,"finally, vaccinated, i, now, i, can, live, longer, than, my, friendsface_with_tears_of_joyface_with_tears_of_joy"
8,"self, help, groups, can, play, major, role, increase, pace, vaccination, programs, getting, people, vaccinated, due, their, hold, over, village, community, ., utilizing, their, presence, i, considered, ., this, was, suggested, earlier, also, ., utilization, shes, is, welcome"
9,"monday, joke, many, like, me, have, paid, one thousand, two hundred and fifty, indian, made, vaccine, after, playing, fingers, first, your, world, famous, coin, app, ., lying, will, not, work, anymore, ., india, has, vaccinated, double, dose, four, %, it, is, total, population, ., so, do, not, play, with, absolute, numbers"
10,"what, has, population, #, india, &, amp, ;, #, usa, what, is, percentage, people, both, countries, vaccinated, please, stick, relevant, ."
11,"we, are, proud, say, that, i, -, ten, is, now, one hundred, %, vaccinated, store, timings, :, nine, :, zero, am, -, seven, :, zero, am, monday, -, saturday, #, shopwithsafety, #, getvaccinated, #, earmark"
12,"when, you, discuss, number, positive, cases, &, amp, ;, deaths, ,, you, rely, upon, absolute, numbers, ., now, ,, when, talking, vaccines, ,, you, are, considering, percentage, population, vaccinated, ., seems, like, you, need, go, back, school, &, amp, ;, finish, your, incomplete, syllabus, ., people, are, not, dumb, ."
13,"second, dose, done, ., now, i, i, i, fully, vaccinated, partying_face, #, coax"
14,"#, vaccinated, #, covid19vaccine, #, alhamdulillah"
15,"update, :, had, taken, first, shot, ,, then, left, center, after, thirty, -, minute, observation, period, potential, side, effects, ., so, far, only, feeling, slight, soreness, my, vaccinated, arm, ,, but, be, heading, back, home, rest, rest, day, ."
16,"andd, ...., I, am, vaccinated, ., syringednaflexed_biceps, thank, you, malaysiaanchor, marine, department"
