,0
0,"president, biden, calls, everyone, get, vaccinated, save, their, lives, ,, republicans, say, that, you, have, right, die, ., who, would, you, want, lead, you"
1,"no, ..., kids, are, going, suffer, because, forty, i, ohio, adults, didn, ', i, get, vaccinated, didn, ', i, get, their, kids, vaccinated, ., not, because, vaccinated, adults, went, bars, ., you, ', re, not, very, good, at, constructing, coherent, arguments, ."
2,"every, adult, have, all, had, opportunity, get, vaccinated, if, they, are, worried, about, complications, ., as, far, as, spread, couid, ,, it, i, i, going, spread, regardless"
3,"alot, people, i, know, have, kidded, at, least, most, them, are, vaccinated, ., #, indiana"
4,"i, am, fully, vaccinated, boosted, ., as, soon, as, i, was, contacted, ,, went, upstairs, did, rapid, test, i, brought, home, case, ever, needed, ., it, was, negative, ., mask, is, only, protect, others, me, case, i, do, have, was, false, negative, ., still, doing, fine, ."
5,"scheduled, appointment, bailed, too, get, her, first, vaccine, shot, syringe, i, am, scared, am, i, doing, right, thing, as, parent, myself, chai, are, fully, vaccinated, ., no, linked, cases, children, dying, vaccine, i, think, that, calmed, my, nerves, down, just, little, ."
6,"vaccinated, pal, are, having, breakthroughs, ., they, are, out, sick, driving, staffing, shortages, ., such, is, case, ny, schools, where, all, staff, are, valued, ."
7,"right, i, have, three, ., yo, ., we, just, got, email, that, our, kiddo, may, have, been, exposed, by, another, kiddo, at, school, whose, nanny, almost, certainly, vaccinated, tested, positive, ., he, i, i, been, back, two, days, school"
8,"yes, ,, it, ', i, nuts, ., i, love, going, movies, ., probably, too, soon, unless, you, can, rent, theater, just, vaccinated, family, friends, ., worth, checking, ."
9,"tonight, it, finally, hit, me, ., i, lost, my, first, friend, complications, couid, ., if, you, are, friend, mine, at, risk, please, go, get, vaccinated, ., love, all, you, would, give, anything, go, around, talk, one, more, time, ."
10,"i, don, ', i, think, vaccinated, boosted, adult, going, bar, full, other, adults, is, boogie, man, you, ', re, looking, here, ,, but, i, also, don, ', i, think, you, ', re, especially, interested, reasonable, position, here, so, whatever, ."
11,"have, couple, friends, who, got, it, ., one, without, booster, one, with, ,, both, vaccinated, ., both, said, they, were, bed, thirty-six, -, forty-eight, hours, felt, terrible, ."
12,"which, kids, over, five, cannot, get, vaccinated"
13,"well, i, had, birthday, first, my, mother, baked, me, cake, that, i, didn, ', i, expect, then, she, got, sick, with, couid, -, nineteen, ., she, ', i, her, upper, seventy, ', i, so, i, ', i, worried, ., i, think, she, ', i, list, treatment, ., she, was, vaccinated, ,, so, i, hope, she, ', i, strong, enough, fight, it, off, ."
14,"my, second, dose, do, ., faci, i, i, plague, that, he, paid, chinese, sudan, create, ., yes, fully, vaccinated, four, months, after, first, infection, ., infected, before, thanksgiving, two thousand and twenty, infected, december, two thousand and twenty-one, ., yes, fully, vaccinated"
15,"how, do, you, explain, ninety, %, hospitalized, couid, patients, are, not, vaccinated"
16,"so, "", mild, ,, like, cold, "", version, couid, -, nineteen, that, vaccinated, &, amp, ;, boosted, people, are, still, getting, -, is, it, also, free, long, couid, ,, multi, -, organ, damage, chance, passing, it, someone, else, ,, you, cavalier, jackasses"
17,"this, rec, paints, every, school, district, ideal, picture, :, masks, testing, galore, ,, all, children, vaccinated, ,, space, decongest, rooms, ., this, is, not, reality, many, schools, ., meds, -, please, stop, i, doing, epi, i, when, you, dont, understand, generalizability, ."
18,"cac, also, endorsing, kids, getting, vaccinated, but, i, am, guessing, you, only, pick, choose, what, you, want, listen, so, it, can, suit, particular, narrative"
