,0
0,"visited, converted, 12, mobile, hospitals, into, mobile, vaccination, centers, along, with, #, parliamentarysecretary, mobile, vaccination, vans, be, distributed, across, city, ,, this, enable, people, get, vaccinated, with, ease, ., #, thankyousindhgovt"
1,"hi, ,, I, am, indian, passport, holder, with, canadian, visa, ,, traveling, maldives, toronto, ., i, am, fully, vaccinated, hold, negative, rtpcr, certificate, ., i, be, allowed, layover, at, dublin, airport, around, 4, hours, terminal, 1"
2,"hi, ,, I, am, indian, passport, holder, with, canadian, visa, ,, traveling, maldives, toronto, 11, aug, ., i, am, fully, vaccinated, hold, negative, rtpcr, certificate, ., i, be, allowed, layover, at, dublin, airport, around, 4, hours, terminal, 1"
3,"what, about, those, are, vaccinated, uae, stranded, pakistan, ., is, this, vaccination, sufficient, travel, back, uae"
4,"get, vaccinated, everyone, #, igotmyshot, #, vaccination"
5,"uae, has, lifted, travel, restrictions, pakistan, starting, 5th, august, ,, fully, vaccinated, passengers, with, valid, resident, visa, may, travel, uae, ., #, flight_suspension, #, uae, #, pakistan, #, flights"
6,"good, news, :, uae, opens, flights, pakistan, ,, india, ,, srilanka, ,, nepal, ,, nigeria, uganda, clapping_hands, only, fully, vaccinated, ,, valid, visa, holders, 14, days, passed, 2nd, dose, vaccination, can, return, uae, smiling_face_with_smiling_eyes, #, uae, #, wam, #, abudhabi, #, covid19"
7,"fully, vaccinated, against, chinese, virus, covid, -, 19, grinning_face"
8,"sir, ,, there, is, something, wrong, with, authorities, vaccination, centers, varanasi, even, people, are, not, present, at, centers, they, receives, messages, got, vaccinated, how, it, can, be, possible, ."
9,"fully, vaccinated, against, corona, virus, victory_hand"
10,"sir, verification, mechanism, required, ensure, all, registration, at, vaccination, are, actually, vaccinated, ,, there, is, reasonable, loop, holes, i, witnessed, myself"
11,"respected, sir, ,, due, some, emergency, reason, i, did, not, reached, at, my, vaccination, center, which, was, alloted, uphc, pandeypur, ., but, i, have, received, this, message, though, i, did, not, yet, vaccinated, please, check, out, responsible, authority, ."
