,0
0,"visited, converted, twelve, mobile, hospitals, into, mobile, vaccination, centers, along, with, #, parliamentarysecretary, mobile, vaccination, vans, be, distributed, across, city, ,, this, enable, people, get, vaccinated, with, ease, ., #, thankyousindhgovt"
1,"hi, ,, I, am, indian, passport, holder, with, canadian, visa, ,, traveling, maldives, toronto, ., i, am, fully, vaccinated, hold, negative, roper, certificate, ., i, be, allowed, layover, at, dublin, airport, around, four, hours, terminal, one"
2,"hi, ,, I, am, indian, passport, holder, with, canadian, visa, ,, traveling, maldives, toronto, eleven, aug, ., i, am, fully, vaccinated, hold, negative, roper, certificate, ., i, be, allowed, layover, at, dublin, airport, around, four, hours, terminal, one"
3,"what, about, those, are, vaccinated, use, stranded, pakistan, ., is, this, vaccination, sufficient, travel, back, use"
4,"get, vaccinated, everyone, #, igotmyshot, #, vaccination"
5,"use, has, lifted, travel, restrictions, pakistan, starting, ith, august, ,, fully, vaccinated, passengers, with, valid, resident, visa, may, travel, use, ., #, flight_suspension, #, use, #, pakistan, #, flights"
6,"good, news, :, use, opens, flights, pakistan, ,, india, ,, srilanka, ,, nepal, ,, nigeria, uganda, clapping_hands, only, fully, vaccinated, ,, valid, visa, holders, fourteen, days, passed, and, dose, vaccination, can, return, use, smiling_face_with_smiling_eyes, #, use, #, wam, #, abudhabi, #, covid19"
7,"fully, vaccinated, against, chinese, virus, couid, -, nineteen, grinning_face"
8,"sir, ,, there, is, something, wrong, with, authorities, vaccination, centers, varanasi, even, people, are, not, present, at, centers, they, receives, messages, got, vaccinated, how, it, can, be, possible, ."
9,"fully, vaccinated, against, corona, virus, victory_hand"
10,"sir, verification, mechanism, required, ensure, all, registration, at, vaccination, are, actually, vaccinated, ,, there, is, reasonable, loop, holes, i, witnessed, myself"
11,"respected, sir, ,, due, some, emergency, reason, i, did, not, reached, at, my, vaccination, center, which, was, alloted, upvc, pandeypur, ., but, i, have, received, this, message, though, i, did, not, yet, vaccinated, please, check, out, responsible, authority, ."
12,"good, people, twitter, bangalore, ,, benji, is, abandoned, puppy, looking, home, call, his, own, ., he, is, neutered, vaccinated, ., location, :, her, layout, ., do, me, details, ."
13,"only, use, residence, with, fully, vaccinated"
14,"nah, they, are, going, to, send, vaccination, team, every, home, i, if, peoples, will, not, get, vaccinated, ."
15,"humanitarian, cases, included, pregnant, women, who, is, non, vaccinated"
16,"hi, ,, I, am, vaccinated, with, two, doses, sinopharm, holding, valid, employment, visa, profession, :, marketing, manager, currently, india, ,, we, be, able, travel, dubai, after, august, five"
17,"i, am, student, know, government, threatening, us, that, guys, who, have, turned, eighteen, should, get, vaccinated, otherwise, you, will, not, be, allowed, sit, examination, hall, i"
