,0
0,"what, scam, as, today, date, 08, /, 02, /, 2022, i, was, sitting, my, house, …, i, did, not, even, stepped, out, my, house, …, but, yet, i, received, official, text, message, stating, that, i, have, been, vaccinated, with, my, precaution, booster, dose, …., i, mean, how, is, it, possible"
1,"all, religious, institutions, reopen, #, bhubaneswar, march, 12, ., only, fully, vaccinated, devotees, be, allowed, access, after, showing, identity, proof, vaccination, certificate, :, bmc"
2,"i, have, also, blogged, about, tripurari, poornima, goa, .."
3,"beautiful, lambs, beautiful, #, islamabad, ., btw, get, vaccinated, or, boosted, if, you, haven, ', t, ."
4,"sach, kadwa, hota, hai, smirking_face"
5,"thank, you, addition, ., i, did, visit, temples, yes, they, must, be, mentioned, sure, .., i, have, written, about, ponda, taluka, some, temples, another, goan, blog, ..."
6,"oh, laavly, ...., grinning_squinting_face"
7,"virtual, meeting, today, ....., #, mamata, again, uttered, #, vishnumata, ., should, not, be, allowed, see, ganga, arti, visit, temples, ."
8,"Said, in, a, virtual, meeting, in, Lucknow, today, ."
9,"can, be, expanded"
10,"covid, -, 19, :, omicron, drives, s, korea, ’, s, cases, record, high, ;, aus, open, borders, vaccinated, tourists"
11,"#, vaccinated"
12,"is, on, -, schedule, open, their, borders, february, 21st, ..., no, quarantine, fully, vaccinated, travelers, raising_handsmedium_skin_toneraising_handsmedium_skin_toneraising_handsmedium_skin_tone, #, traveltuesday"
13,"about, 31, ,, 500, people, aged, 18, above, have, not, made, appointments, #, covid19, booster, jab, ;, risk, losing, fully, vaccinated, status, feb, 14, :, moh"
14,"i, think, more, than, 80, %, people, isb, /, rwp, are, fully, vaccinated, ,, so, there, should, not, be, any, problem"
15,"From, Monday, ,, #, singapore, will, only, be, considered, vaccinated, if, you, have, received, your, second, or, third, dose, of, vaccination, in, the, last, 9, months, ., If, you, cannot, show, "", vaccinated, "", on, your, cell, phone, ,, participation, in, public, life, is, virtually, impossible, ."
16,"religious, institutions, open, devotees, fully, vaccinated, february, 12, view, decline, number, new, #, covid19, cases, overall, improvement, scenario, ,, it, has, been, decided, open, religious, institutions, all, types, february, 12, :, bmc"
17,"i, just, recovered, covid, too, even, vaccinated, ..., it, ', s, good, here, symptoms, are, mild, flue, ., takecare"
18,"hong, kong, ,, omicron, is, now, spreading, community, ;, variant, has, no, respect, political, strategy, ., worry, is, that, hong, kong, could, see, exponential, growth, coming, days, ,, that, omicron, could, spread, faster, than, elderly, most, vulnerable, can, get, vaccinated, ."
19,"sorry, about, your, loss, ., this, is, probably, not, best, time, ask, ,, but, we, are, you, vaccinated, ,, if, you, were, ,, do, you, think, it, could, be, probable, because"
20,"poetry, pandemic, …, 12th, standard, student, mariyam, khan, getting, vaccinated, against, coronavirus, by, “, vaccinator, ”, umesh, thakur, delhi, ’, s, ghalib, academy, ,, which, is, dedicated, works, great, poet, mirza, ghalib"
21,"mian, nawaz, sharief, youthioo, k, gher, un, ki, bajioo, ki, milnay, jatay, hooay, .., hahahaha, mns, ice, cream, kha, ki, takleef, .., coffee, pibli, takleef, ..., ajeeb, pagal, hoo"
22,"is, there, any, kit, /, test, available, check, if, person, is, vaccinated"
23,"liberalism, gone, cleaners"
24,"eagerly, waiting, dpr, ,, new, kanpur, expressway, dpr"
25,"same, wa, group"
26,"all, religious, institutions, bhubaneswar, bmc, area, be, opened, 12th, february, lord, lingaraj, temple, ,, maximum, 100, devotees, at, time, be, allowed, only, fully, vaccinated, devotees, be, allowed"
27,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
28,"my, car, doesn, ’, t, get, same, mpg, like, it, used, to, ,, do, i, need, get, it, vaccinated"
29,"7star, ggs, news, :, australia, open, borders, vaccinated, travelers, australia, open, borders, vaccinated, travelers, february, 21, .:, #, australia, #, covid19vic, #, afternoonbriefing, #, afternoonstories"
30,"you, got, it, winking_face_with_tongue"
31,"everyone, set, is, very, cautious, ,, they, are, being, responsible, ., only, fully, vaccinated, people, are, allowed, ,, we, make, sure, follow, all, covid, -, 19, guidelines, ., i, am, happy, be, shooting, again, ., tejasswi, 5m, ig, family"
32,"abbey, chapri, tu, srk, ko, budhaa, bol, raha, hai, ..., you, are, not, even, mail, between, his, toenails, ..., smirking_face"
33,"go, school, kid, ..."
34,"california, lift, indoor, mask, mandate, vaccinated, people, feb, ., 15, ,, newsom, says, via, /, r, /, news"
35,"this, specific, rule, makes, no, sense, ., kindly, revoke, this, fully, vaccinated, people, ."
36,"My, friend, and, I, we, are, fully, vaccinated, ., her, face, ran, out, of, big, big, pimples, &, amp, ;, swollen, ."
37,"keycap_9keycap_0, %, karnataka, is, now, fully, vaccinated, with, both, doses, two, districts, -, bengaluru, rural, vijayapura, -, have, achieved, 100, %, second, dose, coverage, ., congrats, all, health, workers, district, administration, involved, this, ., #, covid19, #, vaccination"
38,"kuwait, insurance, friends, have, been, vaccinated, they, are, ready, to, offer, you, travel, insurance, guaranteeing, you, peace, mind, your, trip"
39,"cha, bhakhari"
40,"lag, rha, hai, jaise, adhir, ranjan, ,, nagin, dance, kar, rha, hai, ."
