,0
0,"hello, plant, people, we, i, re, happy, announce, that, we, are, open, walk, -, in, now, ., but, those, who, are, fully, vaccinated, only, ***, thread"
1,"if, that, is, so, ,, that, needs, picked, up, ., at, end, every, one, should, be, vaccinated, ., remember, polio, ."
2,"after, fourteen, days, just, fully, vaccinated, i"
3,"doe, origin, ., I, do, not, have, it, fully, vaccinated, ., do, not, want, to, ."
4,"fully, vaccinated, blue_heart, #, vaccinated"
5,"partially, vaccinated"
6,"vaccinated, doesn, i, i, mean, immune, i, pal, you, still, need, mask, up"
7,"completed, vaccinated, alhamdulillah, @, ipod, ,, peak"
8,"seeloknya, fully, vaccinated, low, risk, tu, bole, teean, la, juga, ut, view, detail, ., mash, lagi, ken, manually, peg, profile, ut, check, ., hope, better, access, ."
9,"why, do, i, have, partially, vaccinated, status, even, though, i, have, completed, two, doses, yapleading_face"
10,"you, dah, cutup, two, weeks, after, and, dose, dah, i, ada, back, ada, yg, cop, after, two, weeks, and, dose, baru, status, be, reflected, as, i, fully, vaccinated, i"
11,"sir, please, note, cases, us, is, amongst, non, vaccinated, ..."
12,"i, i, ve, been, fully, vaccinated, by, i, &, amp, ;, i, vaccination, may, at, usa, i, i, went, nearby, pav, but, they, said, can, i, i, update, my, vaccination, info, into, mysejahtera, so, what, should, i, do"
13,"trust, me, it, is, total, harassment, passengers, traveling, i, i, lor, pna, checkin, counters, boarding, denials, even, those, fully, vaccinated, ,, what, i, i, use, policy"
14,"fully, vaccinated, +, pfizer"
15,"good, by, ke, ., There, are, still, a, few, shortcomings, ., my, wife, lists, the, vaccine, for, my, dependents, ., open, dot, my, sejahtera, my, wife, still, write, not, vaccinated, ., hope, you, can, go, out, once, near, all, dependent, smartphones, ., them"
16,"masha, ., allah, good, news, ., pleas, open, flight, vaccinated, mama, holder, ."
17,"next, one, month, be, test, our, ability, combat, couid, ., hope, we, can, all, show, discipline, by, following, proper, protocols, during, festival, season, ., by, year, end, ,, country, be, almost, fully, vaccinated, ., till, then, extreme, caution, needed, avoid, future, waves, ., folded_hands"
18,"i, i, i, vaccinated, years, est, dose, thirty-one, may, &, amp, ;, and, dose, thirty, june, face_with_hand_over_mouth"
19,"we, need, become, more, vigilant, regarding, use, vaccines, ., millions, people, could, have, been, vaccinated, by, these, wasted, doses, ., pensive_facedowncast_face_with_sweat"
20,"the, new, update, system, best, tengo, new, interface, ni, i, da, axis, dos, ke, -, two, with, aug, hari, tu, ., saber, no, jaggu, fully, vaccinated, thumbs_upsmiling_face, i"
21,"yeayyyyyyyy, fully, vaccinatedface_blowing_a_kiss, alhamdulillah, ., banal, parents, martha, amuck, ., hahahahaha, tiberrolling_on_the_floor_laughing, @, pav, persuade, door"
22,"then, why, this, couid, -, nineteen, was, declared, as, pandemic, why, did, lockdown, &, amp, ;, government, spent, disease, you, have, be, vaccinated, ., it, does, not, matter, whether, you, like, it, or, not, ., do, not, spread, virus, ., us, is, paying, it, with, both, hands, ., respect, others, life, ."
23,"dah, update, guys, new, features, :, three, one, info, at, check, -, in, ui, -, risk, status, ,, vaccinated, status, last, check, info, ., new, feature, -, check, out, button, ., just, press, after, exiting, ., no, need, scan, ., continuous, improvement, progress, ., kudos, by"
