,0
0,"yes, ,, i, got, pfizer, first, ., i, felt, terrible, both, times, but, it, only, lasted, day, so, crossed_fingers"
1,"slight, sore, arm, couid, vaccine, booster, ., zero, issues, ., amazing, how, these, mrna, vaccines, do, not, produces, adverse, side, effects, at, all, me, this, was, modern, ,, i, had, two, pfizer, shots, march"
2,"note, it, was, ad, just, prior, next, segment, ., can, is, gonna, be, going, full, pfizer, fu, ., other, words, get, ready, some, i, regulation, porn, i"
3,"special, thanks, team, great, booster, shot, experience, this, morning, ., partnership, with, new, york, state, ,, this, site, has, already, administered, over, three hundred and fifty-three, ,, zero, vaccine, doses, ., more, than, two hundred, kids, are, scheduled, get, their, first, dose, pfizer, vaccine, today"
4,"red_apple, school, backpack, miami, -, dade, broward, county, public, schools, have, begun, administering, couid, -, nineteen, pfizer, vaccine, children, as, young, as, five, years, old, ."
5,"i, have, pfizer, so, maybe, i, i, all, stick, with, it, ., i, thought, about, modern, because, it, is, more, effective, ."
6,"maybe, eight, hours, after, i, got, pfizer, all, three, too, so, maybe, you, i, re, clear, crossed_fingers"
7,"so, ., i, i, i, not, wrecked, but, i, don, i, i, feel, good, either, ., sore, bad, headache, ., but, ., ny, modern, boosters, are, half, dose, unless, you, are, high, risk, ,, so, i, had, half, dose, ., pfizer, is, full, dose, ., wrecked, my, wife, ."
8,"here, in, the, country, nothing, pfizer, boost, check"
9,"vaccines, pfizer, -, biotech, will, be, available, at, clinics, toronto, beginning, thursday, ,, november, twentyfive, children, aged, five, eleven, years, old, ,, approved, by, health, canada, ., getting, vaccinated, is, best, way, protect, your, child, ,, your, family, ,, your, community, ."
10,"attention, is, their, vaccine, eliminate, assholes, world, like, orange, hitler, kid, stalin, throw, you, have, white, plague, trifecta, ., real, turkeys, this, #, thanksgiving"
11,"this, is, long, ,, good, faith, critique, i, i, consolation, i'm, new, pfizer, antiviral, i, i, acl, protease, inhibition, mechanism, ., i, i, shift, is, amazing, case, study, audience, capture, no, evergreen, moment, ."
12,"no, ,, for, teenagers, the, only, one, approved, is, pfizer"
13,"pfizer, pill, mimics, same, mechanism, as, ivermectin, except, it, costs, $, five hundred, $, seven hundred, five, day, course, ., meanwhile, japan, cases, plummeted, beginning, august, thirteen, with, sudden, widespread, treatments, ivermectin, ., deaths, now, nearly, nill, ."
14,"you, ', re, answering, questions, that, i, didn, ', i, ask, nor, did, jerome, ., he, asked, why, people, were, skeptical, vaccine, compared, ivermectin, ., i, asked, was, drug, developed, one hundred and eight, days, like, pfizer, vaccine, was"
15,"updateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, closure, #, us206, no, at, south, pfizer, way"
16,"modern, booster, after, pfizer, vaccine, yesterday, ., bit, more, tired, than, usual, sore, arm, ., still, able, get, decent, six, miles, run, thirty, minutes, peloton, ., definitely, worth, it, flexed_biceps"
17,"pfizer, boldface, boost, reaction"
18,"eleven, /, twenty, at, 2Happy_face_smiley0, am, ,, officers, responded, doa, /, unknown, at, four thousand and sixty-nine, pfizer, ., body, was, such, state, decomposition, that, investigators, could, not, determine, cause, death, ., autopsy, revealed, that, victim, suffered, gsa, ., this, is, ongoing, homicide, investigation, ."
19,"so, i, good, news, i, department, my, couid, test, came, back, negative, so, all, i, can, think, is, priest, exorcist, shouting, at, couid, germs, i, the, power, pfizer, compels, you, power, pfizer, compels, you, i"
20,"big, day, my, yo, try, ., he, ', all, be, getting, his, est, pfizer, his, parents, are, currently, anxious, ., excited, ..., but, ,, anxious, ..."
21,"updateTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, closure, #, us206, so, at, south, pfizer, way"
22,"my, the, court, order, indicated, twelve, to, seventeen, years, old, and, gately, ', i, compris, just, announced, with, great, fanfare, since, June, that, it, authorized, pfizer, for, that, age, range"
23,"i, ', ve, got, my, pfizer, booster, scheduled, tomorrow, ."
24,"pfizer, is, full, chinese, board, members"
25,"per, my, text, :, conclusion, ,, everything, hurts, like, it, did, i, am, just, as, sleepy, as, i, was, with, second, pfizer, shot, ., i, think, i, may, have, hurt, ab, ., just, one, ., i, am, currently, bed, getting, ready, sleep, ., i, am, old, ., get, vaccinated, boosted"
26,"eighty-five, %, twelve, +, fully, vaccinated, across, canada, ., we, i, ve, got, approval, pfizer, five, -, eleven, so, i, expect, that, will, roll, our, soon, ,, similar, levels, ,, if, not, higher, ."
27,"same, ,, but, i, got, one, oh, with, my, az, ., now, i, ', i, double, pfizer, ."
28,"#, 2nddose, #, pfizer, #, pedivaccine, #, kidsvaccine, #, fullyvaccinatedkid"
29,"i, had, strong, response, pfizer, two, *, very, *, strong, response, modern, booster, ., side, effects, one hundred and two, ., of, peaked, around, twentyfour, -, thirty-six, hours, ,, followed, by, lingering, gi, issues"
30,"#, baby, got, his, first, shot, #, pfizer, #, covidvaccinekids"
31,"republicans, war, christians, leaked, pfizer, emails, confirm, graphene, oxide, jab, do, ., david, martin, stopping, corona, death, cult"
32,"i, got, my, flu, shot, my, couid, booster, today, i, got, two, modern, one, pfizer"
33,"anyone, with, pfizer, +, pfizer, +, modern, booster, questions, ,, i, am, ready, with, all, news, that, i, i, fit, report, i, -, safe, after, vaccination, health, checker"
34,"yeah, ., i, was, out, after, booster, ., low, grade, fever, chills, ., this, was, not, case, with, first, two, shots, ., pfizer, ."
35,"recommending, that, no, longer, be, given, age, twelve, -, twentynine, while, announcing, rollout, age, five, -, eleven, is, bold, strategy, ., person_shrugging, i, male_sign, i"
36,"i, had, pfizer, too, ., it, wasn, i, i, as, bad, as, my, second, dose, but, i, had, headache, pretty, quickly, slept, gazillion, hours, ."
37,"i, had, modern, my, first, two, shots, got, pfizer, booster"
38,"pfizer, whistleblower, slams, vaccine, trials"
39,"my, mom, got, #, johnsonandjohnson, #, covid19, syringe, i, think, she, should, choose, #, pfizer, #, thereabout"
40,"i, got, my, booster, yesterday, i, ', i, feeling, great, today, grinning_face, #, modern, #, pfizer, #, mismatch"
41,"modern, ended, up, being, more, effective, than, pfizer, long, term, ., i, got, pfizer, Skeptical_annoyed_undecided_uneasy_or_hesitant"
42,"doesn, i, i, care, about, people, ,, only, profits, ., thank, you, ,, speaking, up"
43,"vaccinated, bolstered, ., syringesyringesyringe, modern, pfizer"
44,"whoa, ., might, have, pfizer, hangover, ., headache, little, sensitive, cold, chills, ., not, as, bad, as, whiskey, hangover, but, without, irresponsible, fun, at, start, ."
45,"#, twenty-three, November, |, This, Wednesday, the, with, ,, the, application, of, the, first, doses, of, #, pfizer, is, #, covid19, for, children, under, fifteen, seventeen, years, of, age, continues, in, #, cuernavaca, at, the, already, established, points, and, the, third, armored, regiment, will, be, enabled, as, a, vaccination, headquarters, ., more, information, i, backhand_index_pointing_down"
46,"tucson, i, just, put, it, together, with, the, one, for, pneumonia, and, the, pfizer, booster"
47,"good, you, that, ', i, what, pfizer, is, counting, on, ."
48,"#, vacunacovid19, stragglers, manage, to, complete, their, vaccination, scheme, after, months, of, waiting, inhabitants, of, toluca, and, nearby, municipalities, ,, managed, to, complete, their, pfizer, pharmaceutical, scheme, ;, dose, that, had, not, reached, the, area, and, was, one, of, the, most, anticipated, ."
49,"flu, or, couid, I, don, ', i, know, ,, I, ', i, sick, if, I, know, ..., thank, God, vaccinated, with, two, doses, of, pfizer"
50,"flu, shot, check_mark_button, pfizer, booster, check_mark_button, now, stare, at, cane, &, amp, ;, cane, accessories, stand, at, cos, fifteen, minutes, ., #, covid19"
51,"alberta, is, changing, its, recommendation, on, the, minimum, duration, between, the, two, doses, of, mrna, vaccine, pfizer, and, modern, from, four, to, eight, weeks, ,, in, particular, for, children, ., she, also, recommends, the, pfizer, vaccine, rather, than, modern, for, twelve, to, twentynine, year, olds, #, cab"
52,"had, no, ill, effects, with, pfizer, ,, they, told, me, drink, ton, water, keep, moving, my, arm"
53,"boosted, team, #, pfizer, ., thank, you, staff, at, aqueduct, vaccination, site, #, queens, quick, easy, experience, ., looking, forward, spending, holidays, with, that, boost, protection, against, #, covid19, ., #, getvaccinated, ."
54,"attention, from, today, and, until, November, twentyfive, ,, the, and, dose, of, the, vaccine, against, #, covid19, will, be, applied, exclusively, to, latecomers, who, received, their, first, dose, of, pfizer, ,, modern, or, astrazeneca, vaccine, and, who, have, not, completed, their, vaccination, schedule, ."
55,"got, pfizer, -, modern, cocktail, ring, thanksgiving, turkey, check_mark_button"
56,"pfizer, pill, isn, ', i, "", cure, "", it, ', i, treatment, treatment, pill, form, is, especially, useful, reach, populations, hard, reach, &, amp, ;, underserved, communities, if, you, don, ', i, know, difference, between, treatments, &, amp, ;, cures, you, definitely, aren, ', i, doing, good, job, at, your, own, research"
57,"i, just, got, called, i, a, pfizer, i, it, made, me, chuckle, ., doing, booster, thing, ."
58,"booster, -, shot, time, -, out, #, pfizer, #, safetravels, @, santa, clara, county, fairgrounds"
59,"check, your, sources, ., i, hope, you, ', re, aware, bill, gates, was, busted, spending, more, than, $, three hundred and forty, million, media, sources, pfizer, spent, millions, doctors, prostitutes, ., discernment, is, superpower, these, days, ."
60,"#, vaccinationnation, ..., jabs, ., modern, with, pfizer, kicker, i, ', i, statistics, ', statistic, ., all, ', i, good, i, flexed_biceps"
61,"boosted, i, now, have, combined, powers, ex, pfizer, ex, modern, booster, my, system, ., #, covid19, #, ᴠᴀᴄᴄɪɴᴇssᴀᴠᴇʟɪᴠᴇs, #, mixandmatch, @, wal, -, mart, stores"
62,"thanks, but, i, i, i, good"
63,"should, pfizer, modern, share, their, vaccine, increase, world, supply, sign, share, if, you, agree, ."
64,"got, my, booster, had, modern, est, two, shots, ,, got, pfizer, booster, ., not, any, reason, other, than, that, ', i, what, they, have, at, cos, target, near, me, ., #, science"
65,"more, people, died, key, clinical, trial, pfizer, ', i, couid, vaccine, than, company, publicly, reported"
66,"#, twenty-three, november, lily, load, ,, employee, of, the, ,, urged, parents, who, come, to, accompany, their, children, the, first, dose, of, the, #, pfizer, vaccine, ,, to, respect, the, healthy, distance, to, avoid, infections, of, #, covid19, ."
67,"what, know, about, couid, -, nineteen, boosters, pfizer, ,, modern, ,, i, &, amp, ;, i, |, usa, today, via"
68,"pfizer, #, booster, done, thank, you, ,, ., #, ugh, #, covidvaccine"
69,"not, me, getting, modern, booster, after, repping, pfizer, gang, months"
70,"got, my, third, pfizer, dose"
71,"here, lagging, behind, i, last, day, for, those, of, us, who, started, vaccination, schedule, and, second, dose, of, pfizer, and, astrazeneca, #, hermosillo"
72,"after, six, months, of, the, second, dose, ,, in, the, us, you, can, put, a, modern, booster, or, pfizer, clapping_hands"
73,"downey, :, i, did, you, try, conceal, pfizer, you, put, their, logo, powerpoint, presentations, sent, walgreens, holmes, :, i, no, i"
74,"pfizer, /, modern, :, there, are, no, mrna, experts, overseas, me, :, so, fucking, teach, biochemists, about, mrna"
75,"today, #, university, #, employees, who, are, fully, #, vaccinated, one, shot, johnson, &, amp, ;, johnson, ,, or, two, shots, #, modern, or, #, pfizer, received, $, one hundred, #, giscard, helping, #, southernuniversity, maintain, safe, healthy, workplace, ., #, wearesouthern, #, covid19"
76,"appointments, will, be, only, wednesday, ,, saturday, monday, tuesday, ., appointment, times, will, be, adjusted, based, our, priorities, ensure, safety, health, your, family, our, staff, ., if, you, booked, adult, pfizer, appointment, ,, we, will, not, administer, your, kids, dose, ."
77,"pfizer, is, now, up, two, -, one, against, me, ."
78,"pfizer, modern, handshake"
79,"According, to, Elizabeth, ,, therans, worked, with, Pfizer, on, a, successful, program, focused, on, detecting, cancer, markers, from, two thousand and six, -, two thousand and eight, ."
80,"i, got, mine, i, i, stuck, i, with, pfizer, #, threeshots"
81,"six, god, damn, ., i, i, i, it, ., i, originally, got, pfizer, as, well, ., where, did, you, go, yours, we, i, ve, been, talking, about, getting, booster, at, work, so, im, tryna, hop, it, ."
82,"#, twenty-three, November, personnel, from, the, roadrunner, brigade, urged, adolescents, to, talk, to, their, parents, or, guardians, ,, comply, with, the, documents, they, deal, with, and, clear, the, lines, to, avoid, contagion, during, the, first, dose, of, #, pfizer, under, fifteen, seventeen, years, old, ."
83,"#, boosted, #, pfizer, vaccine, #, three, me, ., easy, as, pie, ., no, appointment, needed, ., walk, clinic, ., people, were, there, getting, their, first, ,, second, ,, third, ., free, ., #, covid19"
84,"seems, breakthrough, cases, are, more, common, than, what, is, being, reported, ,, according, pfizer, board, member, ."
85,"pfizer, after, two, doses, pfizer, knocked, me, down, ., *, way, *, worse, than, first, second, shots, ."
86,"she, ', i, pfizer, gal, still, #, covidvaccine"
87,"here, i, i, something, be, thankful, got, my, couid, -, nineteen, booster, shot, today, as, part, vaccine, study, ., #, getvaccinated"
88,"he, ', i, talking, about, vaccinated, who, haven, ', i, gotten, booster, shots, ., without, semiannual, booster, shots, vaccinated, are, little, different, than, vaccinated, ., this, is, endemic, ,, so, we, aren, ', i, going, stop, it, ., pfizer, will, be, making, billions, off, couid, years, come, ."
89,"$, 107b, two, +, years, pfizer, i, i, couid, -, nineteen, vaccine, may, redefine, i, megablockbuster, i, by, two thousand and twenty-two, ., looks, like, forever, boosters, mandates, may, prove, be, great, business, model, ."
90,"I, already, put, the, pfizer, booster, dose, and, I, still, haven, ', i, received, the, #, ny, #, boostershot, or, code"
91,"#, vacunacionanticovid19, this, is, how, the, queue, is, found, at, the, Cuernavaca, city, hall, for, the, first, dose, #, pfizer, of, fifteen, seventeen, years, ."
92,"i, got, mine, last, friday, pfizer, top, pfizer, ., was, out, commission, most, saturday, but, came, back, quickly, flexed_bicepsmedium, -, light_skin_tone"
93,"pfizer, board, member, recently, said, breakthrough, cases, are, higher, than, what, is, being, reported, ."
94,"this, pfizer, board, member, ."
95,"former, fda, chief, under, trump, ,, now, pfizer, boarTongue_sticking_out_cheeky_playful_or_blowing_a_raspberry, sage, advice, help, stay, safe, this, holiday, season, ., gottlieb, :, breakthrough, couid, infections, are, more, common, than, people, realize, -"
96,"i, ', i, pfizer, girl, life"
97,"not, gonna, lie, ., ord, pfizer, shot, took, me, down, yesterday, but, i, am, hundred_points, today, ."
98,"I, understand, that, the, i, &, amp, ;, i, booster, has, already, been, approved, ., however, ,, some, recommend, taking, the, pfizer, booster, if, you, got, vaccinated, with, i, &, amp, ;, i, first, ."
99,"pfizer, is, saying, "", breakthrough, "", cases, are, higher, than, what, is, being, reported, ., course, their, solution, is, more, booster, shots, ."
100,"go, read, ninety-one, pages, material, that, pfizer, just, released, ., they, had, massive, number, reports, adverse, reactions, more, than, six, number, that, normally, get, drug, pulled, ."
101,"yeah, i, was, able, get, my, flu, shot, at, safeway, ,, but, not, i, i, i, waiting, list, get, pfizer, booster, ,, unless, i, want, drive, auburn, or, kent, ., it, just, feels, far, face_with_tears_of_joy"
102,"correction, :, i, am, getting, #, modernabooster, shot, ., mix, match, with, my, initial, shot, ., pharmacist, recommended, this, i, says, it, had, little, more, protection, /, edge, it, ., #, vaccine"
103,"that, ', i, what, i, took, ., pfizer"
104,"all, this, he, can, still, get, couid, ,, cannot, sue, pfizer"
105,"should, pfizer, modern, share, recipe, so, vaccine, can, be, shared, across, world, sign, share, if, you, agree"
106,"hello, doctor, ,, the, booster, can, be, applied, if, one, was, vaccinated, with, siva, the, next, week, I, will, take, my, children, to, vaccinate, and, I, wanted, to, see, if, I, would, take, advantage, of, applying, the, booster, pfizer, or, modern, us, ."
107,"great, resettrade_mark, i, brought, you, by, friendly, billionaires, world, economic, forum, ., i, you, will, own, nothing, be, happy, i, paid, by, pfizer, ."
108,"got, my, pfizer, booster, yesterday, upgraded, og, sure, did, make, my, arm, sore, ."
109,"i, had, almost, zero, side, effects, my, two, pfizer, shots, march, ., this, will, be, modern, so, just, being, cautious, ., i, am, mixing, purpose, ,, apparently, following, two, pfizer, with, modern, gives, most, protection"
110,"my, mother, ', i, good, friend, was, ceo, co, ., that, developed, pill, envelope, allow, opioid, meds, be, taken, but, not, addictive, few, years, ago, ., that, co, ., is, now, bankrupt, cuz, pharma, had, zero, interest, it, ..., pfizer, mainly, suh, just, sad, face_with_rolling_eyessad_but_relieved_face"
111,"today, will, be, cat, i, i, eye, appointment, at, seven, :, forty-five, at, ophthalmologist, ., then, i, i, i, going, walk, -, in, appointment, get, my, pfizer, booster, ."
112,"as, today, ,, parents, children, ages, five, born, two thousand and sixteen, eleven, years, age, are, eligible, book, appointment, receive, pfizer, couid, -, nineteen, vaccine, ., appointments, begin, thursday, ,, november, twentyfive, ,, two thousand and twenty-one, ."
113,"i, legit, got, appendicitis, because, pfizer, booster, shot, ,, it, i, i, apparently, i, rare, i, side, effect, expressionless_face"
114,"remember, this, week, second, doses, of, #, pfizer, are, applied, for, people, eighteen, years, and, older, in, #, cancan, and, #, playadelcarmen, syringe"
115,"i, ', i, ex, pfizer, booster, four, days, ago, ., no, observation, /, awareness, side, effects, i, /, any, shots, ., these, things, somewhat, vary"
116,"if, you, want, know, that, modern, is, somewhat, more, effective, than, pfizer, but, also, somewhat, more, prone, annoying, side, effects, that, this, is, all, probably, about, dose, size, or, that, cloth, masks, are, fairly, ineffective, ,, you, need, do, your, own, research, ."
117,"they, know, they, don, i, i, have, prove, it, fifty-five, years, so, pfizer, are, i, -, liars"
118,"does, it, seem, odd, anyone, else, that, year, ago, pfizer, couid, vaccine, had, be, kept, at, extremely, low, temperature, ,, but, now, it, ', i, available, everywhere"
119,"#, asieslapolitica, #, sinatra, #, covid19, #, pfizer, state, vaccination, command, receives, consignment, of, seventy-three, ,, seven hundred and ten, pfizer, doses, for, young, people, aged, fifteen, to, seventeen"
120,"zero, symptoms, my, pfizer, booster, just, like, first, two, completely, asymptomatic, just, smile, my, face, weird"
121,"with, all, fake, facts, misinformation, pfizer, ,, faucet, ,, cac, biden, ', i, gang, ,, surely, can, ,, certainly, not, news, feed, ,, is, no, position, be, judge, real, facts, ., really, funny, grinning_face_with_smiling_eyes, grinning_squinting_face"
122,"fuckity, fuckity, fuck, fuck, ,, fuck, fuckity, fuck, pfizer, ., middle_fingermedium, -, light_skin_tonemiddle_fingermedium, -, light_skin_tonemiddle_fingermedium, -, light_skin_tonemiddle_fingermedium, -, light_skin_tonemiddle_fingermedium, -, light_skin_toneface_with_symbols_on_mouthface_with_symbols_on_mouthface_with_symbols_on_mouthface_with_symbols_on_mouthface_with_symbols_on_mouth"
123,"pfizer, i, two, modern, booster"
124,"got, pfizer, booster, this, morning, ,, my, arm, is, sore, as, woozy_faceknocked, -, outface, i, dizzy"
125,"great, ,, why, is, pfizer, still, protected, vaccine, lawsuits"
126,"Well, ,, they, were, not, vaccinated, with, the, Pfizer, ,, which, is, the, best, ,, and, each, citizen, has, about, three, shots, ."
127,"i, think, pfizer, modern, vaccines, are, still, about, fifty, %, effective, at, preventing, infection, down, ninety, %, initially, ., that, should, be, enough, slow, spread, if, you, i, re, not, infected, ,, you, can, i, i, transmit, but, not, stop, it, without, other, measures, ."
128,"fuck, pfizer, middle_fingermedium, -, light_skin_tone"
129,"stragglers, arrive, from, across, the, state, #, pfizer, and, #, sinovac"
130,"do, ., my, case, backhand_index_pointing_downlight_skin_tone, couid, december, thirty, /, january, fifteen, mild, /, asymptomatic, may, pfizer, vaccine, june, pfizer, vaccine, couid, july, ten, /, august, five, prolonged, cold, ., am, i, already, superman"
131,"est, pfizer, :, two, ., two, ., twentynine, and, pfizer, :, two, ., twenty-six, ., twentynine, pfizer, booster, :, nine, ., twentynine, ., twentynine, flu, injection, :, eleven, ., two, ., twentynine"
132,"patient, :, do, you, have, couid, vaccine, me, :, yup, both, modern, pfizer, it, :, i, i, i, thinking, getting, it, next, semester, ., me, :, why, wait, holidays, are, coming, ., it, :, you, i, re, right, ., let, i, i, do, it, ., me, beaming_face_with_smiling_eyes, family, docs, ., saving, world, one, it, at, time, #, familymedtwitter, #, getvaccinated"
133,"hitler, stalin, would, like, this, wacko, ., paid, by, pfizer, modern, or, chinese, pos, ."
134,"me, too, i, i, i, really, like, this, be, cold, all, thanks, i, &, amp, ;, i, pfizer"
135,"announce, second, doses, of, lags, from, sinovac, and, pfizer, from, all, groups, will, be, from, twenty-six, to, twentynine, november, ., backhand_index_pointing_downmedium_skin_tonebackhand_index_pointing_downmedium_skin_tone, info"
136,"just, got, my, booster, shot, ., #, pfizer, #, boostershot, #, fullyvaccinated, #, safeforthanksgiving, #, doitforthepeopleyoulove, #, friends, #, family"
137,"short, sale, some, pfizer, stock"
138,"i, also, got, i, &, amp, ;, i, one, ., i, i, i, not, sure, what, issues, you, are, having, but, i, got, pfizer, booster, ., only, side, effects, were, sore, arm, being, bit, more, tired, than, usual, ."
139,"i, received, my, pfizer, booster, last, friday, massachusetts, ., i, have, admit, i, was, pretty, fatigued, next, day, but, it, is, worth, it, ."
140,"problem, is, that, he, can, i, i, draw, any, conclusions, about, safety, ,, efficacy, or, dosing, four, ., twenty-seven, year, olds, without, data, about, them, ., data, pfizer, submitted, is, almost, certainly, about, five, -, eleven, year, olds, ."
141,"today, i, got, pfizer, booster, after, my, moderns, back, spring, also, today, flu, shot, other, arm, ."
142,"&, it, ;, me, getting, my, pfizer, booster, after, modern, main, dose, :"
143,"long, term, pandemic, pfizer, vaccine, technology, has, been, around, years"
144,"oh, yeah, ,, i, was, able, get, my, couid, #, booster, shot, last, week, #, valued, with, #, modern, doses, one, -, two, ,, #, boosted, with, #, pfizer, dose, three, ., as, they, always, do, ,, healthcare, heroes, provided, excellent, care, ., #, covid19nc"
145,"many, people, here, ny, still, won, i, i, eat, restaurants, ,, etc, ., their, final, goal, is, have, plenty, rapid, tests, +, mercy, /, pfizer, antiviral, couid, pills, at, home, ., then, they, i, all, feel, comfortable, enough, get, back, normal, ., i, i, i, not, passing, judgment, ., i, i, i, just, stating, relevant, facts, ."
146,"more, shots, i, brought, you, by, pfizer, i"
147,"it, was, six, months, before, i, got, ord, pfizer, shot, ., zero, side, effects, after, and, third, shots, ."
148,"why, would, pfizer, want, create, vaccine, that, actually, works, it, i, i, much, better, their, bottom, line, create, i, vaccine, i, that, wears, off, after, few, months, ., it, i, i, always, better, have, recurring, revenue, rather, than, one, -, time, sale, ..."
149,"i, ', i, trippin, ', balls, man, dew, pfizer, booster, ."
150,"and, pfizer, triggered, shingles, outbreak, me, ,, but, i, know, someone, who, has, same, reaction, modern, booster, you, did, ."
151,"ex, #, pfizer, ., ex, #, modern, ., ex, flu, shot, ., one hundred, %, pro, #, vaccine, ., #, getthejab, #, letsgetbacktonormal, #, itdoesntevenhurt"
